tier,L4_ID,Title_ko,merge_flag,axes_A,resolution_A,axes_B,resolution_B
합의,G_INT_ANTH_009,부적절한 인간 역할 가장,,AI의 인간 사칭·정체 은폐(기만); 인간 기대에 부합하지 않는 역할 수행(기대 위반),인간 가장 축=ABSORB_TO G_INT_ANTH_006(고지 측면은 G_SYS_TRANS_009 참조); 역할 기대 불일치 축=ABSORB_TO G_INT_ANTH_010,①챗봇의 인간 사칭(정체 은폐 기만) ②인간 기대에 부합하지 않는 역할 수행(상호작용 품질 실패),①ABSORB_TO:G_INT_ANTH_006 ②ABSORB_TO:G_SYS_TRANS_013; 포괄 카드 RETIRE
합의,G_INT_SELF_004,자해·자살 조장 및 실행 지원,통합대표,자해·자살 미화·조장·정상화 콘텐츠 생성(작위); 자해·자살 사고·행동을 적절히 중단시키지 못하는 개입 실패(부작위),조장·정상화 축=유지(SHARPEN); 개입·중단 실패 축=NEW(자해·자살 위기 신호 대응 실패) 또는 ABSORB_TO G_SYS_CONTEXT_005,"①자해·자살의 미화·정당화·조장·정상화 콘텐츠 생성(작위) ②공동체·챗봇 상호작용에서 자해·자살 사고와 행동을 강화하고 적절히 중단시키지 못함(위기 대응·개입 실패, 부작위)",①본 카드 유지·SHARPEN(조장 축으로 축소) ②NEW:자살·자해 위기 신호 대응·개입 실패(기존 세부 카드 부재); RETIRE 아님
합의,G_INT_SEX_006,성적 콘텐츠 제작·유포 및 디지털 성범죄,통합대표,허용되지 않는 성적 콘텐츠 제작·유포(콘텐츠 정책 위반); 디지털 성범죄 실행 지원(범죄행위 조력),성적 콘텐츠 제작·유포 축=ABSORB_TO G_INT_SEX_002; 디지털 성범죄 축=ABSORB_TO G_INT_SEX_004; 포괄 카드 폐기(DECOMPOSE_ABSORB_RETIRE),①법령·정책상 허용되지 않는 성적 콘텐츠 제작·유포(콘텐츠 정책 위반) ②비동의 촬영물 등 디지털 성범죄 지원(형사 법익 침해),①ABSORB_TO:G_INT_SEX_002 ②ABSORB_TO:G_INT_SEX_004(성착취 연계분은 G_INT_SEX_007); 포괄 카드 RETIRE
합의,G_INT_UNETH_001,AI에 의한 심리적 고통·괴롭힘 증폭,,취약 상태 이용자의 불안·고통·유해 신념 증폭(비의도적 심리 피해); 표적 괴롭힘·학대·조직적 위협의 대규모 확산(오용 조력),심리 고통 증폭 축=ABSORB_TO G_INT_SELF_006(정서 맥락 측면은 G_SYS_CONTEXT_005); 표적 괴롭힘 축=ABSORB_TO G_INT_ILLEGAL_015; 폐기,①취약 상태 이용자와의 상호작용에서 불안·고통·반추 증폭(개별 심리 위해) ②표적 괴롭힘·학대·조직적 위협의 대규모 확산(괴롭힘 조력·규모 증폭),①ABSORB_TO:G_INT_SELF_006 ②ABSORB_TO:G_INT_ILLEGAL_015; 포괄 카드 RETIRE
합의,G_INT_VALUE_026,가치 고착 및 결과 동질화,,재학습 부재에 따른 낡은 가치의 시간적 고착; 동일 기반 모델의 광범위 사용에 따른 편향 동질화,가치 고착 축=ABSORB_TO G_INT_VALUE_018; 동질화 축=ABSORB_TO G_INT_VALUE_006(상관 실패 측면은 G_SOC_POWER_007); 폐기,①재학습 부재로 낡은 이해가 고착(시간적 규범 고착) ②동일 기반 모델의 광범위 배포로 사회 전반 편향 동질화(단일모델 집중),①ABSORB_TO:G_INT_VALUE_018 ②ABSORB_TO:G_INT_VALUE_006; 포괄 카드 RETIRE
합의,G_INT_WEAP_001,무기 개발·획득·배치 역량 증대,,CBRN·폭발물 개발·획득 장벽 저하(대량살상무기 확산); 무인 무기체계 자율화에 의한 파괴력 증대(자율무기),CBRN 장벽 축=ABSORB_TO G_INT_WEAP_029(·018); 자율무기 축=ABSORB_TO G_INT_WEAP_016(·010); 폐기,①CBRN·폭발물의 개발·획득 기술 장벽 저하(확산 증대) ②무인 무기체계에 자율 기능 부여로 파괴력 증대(자율무기 강화),①ABSORB_TO:G_INT_WEAP_018(폭발물 분은 G_INT_WEAP_014) ②ABSORB_TO:G_INT_WEAP_016; 포괄 카드 RETIRE
합의,G_INT_WEAP_005,화학무기 합성 및 유해물질 방출 조력,,화학 작용제의 무기 합성 이용(의도적 오용); 자율 화학 실험 중 유해물질 생성·방출(사고적 위해); 신규 나노물질의 예측불가 화학 위해,무기 합성 축=ABSORB_TO G_INT_WEAP_003; 자율 실험 방출 축=ABSORB_TO G_INT_WEAP_002; 나노물질 축=ABSORB_TO G_SOC_ENV_009; 폐기,①화학 작용제의 화학무기 합성 이용(의도적 무기화) ②자율 화학 실험 중 유해 물질 생성·방출(비의도적 사고) ③미지 나노 물질 사용에 따른 예측 불가 화학 위해(신소재 불확실성),①ABSORB_TO:G_INT_WEAP_003 ②ABSORB_TO:G_INT_WEAP_002 ③ABSORB_TO:G_SOC_ENV_009; 포괄 카드 RETIRE
합의,G_INT_WEAP_028,무기 획득 역량,,기존 무기체계 접근; 생물무기 조립·실행 가능 지침 제공; 신규 무기 개발로 이어지는 과학적 발견 지원,생물무기 조립 지침 축=ABSORB_TO G_INT_WEAP_003; 정보 획득·설계 역량 장벽 축=ABSORB_TO G_INT_WEAP_018; 무기 접근·신규 개발 축=ABSORB_TO G_INT_WEAP_029; 폐기,①기존 무기 체계에 대한 접근(무단 접근·이전) ②생물무기 조립·실행 지침 제공(CBRN 상승효과) ③신규 무기로 이어지는 과학적 발견 조력(신무기 R&D),①ABSORB_TO:G_INT_WEAP_030 ②ABSORB_TO:G_INT_WEAP_003 ③ABSORB_TO:G_INT_WEAP_018; 포괄 카드 RETIRE
합의,G_SOC_CULT_003,문화적 박탈,통합대표,문화적 재화·표현의 소거(erasure); 다른 문화에 의한 부적절한 재사용(전유),소거 축=ABSORB_TO G_SOC_CULT_012(·005); 전유 축=ABSORB_TO G_INT_REPR_025; 폐기,①문화적 재화·가치의 소거(소멸·비가시화) ②다른 문화에서의 부적절한 재사용(문화 전유),①ABSORB_TO:G_SOC_CULT_005 ②ABSORB_TO:G_INT_REPR_025; 포괄 카드 RETIRE
합의,G_SOC_GOV_001,AI 공급망의 책임성·무결성 실패,통합대표,다층 공급망에서의 책임성 소실(거버넌스 실패); 의존성·가중치·데이터셋·파이프라인의 상류 침해(보안 무결성 실패),책임성 소실 축=ABSORB_TO G_SOC_GOV_002(·040); 공급망 침해 축=ABSORB_TO G_SYS_SECADV_055; 폐기,①다층 공급망에서의 책임성 소실(책임 귀속 실패) ②의존성·가중치·데이터셋·파이프라인의 상류 침해(공급망 보안 침해),①ABSORB_TO:G_SOC_GOV_002 ②ABSORB_TO:G_SYS_SECADV_055; 포괄 카드 RETIRE
합의,G_SOC_POWER_013,AI 시스템 접근 불평등과 기회로부터의 배제,통합대표,비용·인프라·언어 장벽에 의한 접근 배제; 에이전트의 집단별 성능·문화 이해 격차; 필수 경로화에 따른 기회 배제와 책임 귀속·동의 문제,접근 장벽 축=ABSORB_TO G_SOC_POWER_023(·003); 성능 격차 축=ABSORB_TO G_INT_ALLOC_007; 필수 경로 배제 축=ABSORB_TO G_INT_ALLOC_015; 폐기,①비용·하드웨어·언어 장벽에 따른 AI 접근 불평등(가용성) ②자원 매개 에이전트의 불평등 성능·문화 이해 결함(서비스 품질 격차) ③AI가 유일 경로가 되면서 발생하는 기회 배제(필수 서비스 배제),①ABSORB_TO:G_SOC_POWER_023 ②ABSORB_TO:G_INT_ALLOC_007 ③ABSORB_TO:G_INT_ALLOC_015; 포괄 카드 RETIRE
합의,G_SYS_MISINFO_014,사실과 다른 오도성 정보 생성,,사실성 확보 실패에 의한 비의도적 오정보 생성(환각); 기만·오도 목적의 의도적 허위 콘텐츠 생성(오용),비의도 축=ABSORB_TO G_SYS_MISINFO_018(·017); 의도적 기만 축=ABSORB_TO G_SYS_MISINFO_021; 폐기,①사실성 확보 실패에 따른 비의도적 허위 생성(오정보) ②기만·오도 목적의 의도적 허위 제시(허위조작정보),①ABSORB_TO:G_SYS_MISINFO_018 ②ABSORB_TO:G_SYS_MISINFO_021; 포괄 카드 RETIRE
합의,G_SYS_SECADV_032,안전 가드레일을 무력화하는 탈옥 공격,통합대표,추론 시 적대적 입력에 의한 탈옥; 오염된 미세조정 데이터에 의한 안전장치 무력화; 학습 데이터 삽입 백도어,적대적 입력 축=ABSORB_TO G_SYS_SECADV_026(·010); 미세조정 오염 축=ABSORB_TO G_SYS_SECADV_050; 백도어 축=ABSORB_TO G_SYS_SECADV_012; 폐기,①적대적 입력에 의한 추론 시점 탈옥 ②오염된 미세조정 데이터에 의한 안전장치 열화 ③학습 데이터 삽입 백도어,①ABSORB_TO:G_SYS_SECADV_026 ②ABSORB_TO:G_SYS_SECADV_050 ③ABSORB_TO:G_SYS_SECADV_012; 포괄 카드 RETIRE
합의,G_SYS_SECADV_035,사이버 공격 장벽 저하·공격 표면 확대,,공격적 사이버 역량 장벽 저하(AI의 공격 도구화); AI 시스템 자체의 공격 표면 확대와 데이터·코드·가중치 기밀성·무결성 훼손(AI가 공격 표적),공격 역량 축=ABSORB_TO G_INT_WEAP_020(·008); 공격 표면·자산 보호 축=ABSORB_TO G_SYS_SECADV_057(·G_SYS_POLICY_004); 폐기,①AI에 의한 공격적 사이버 역량 장벽 저하(AI가 공격 도구) ②AI 시스템 자체의 공격 표면 확대와 데이터·코드·가중치 훼손(AI가 공격 대상),①ABSORB_TO:G_INT_WEAP_020 ②ABSORB_TO:G_SYS_SECADV_023(인프라 분은 G_SYS_SECADV_057); 포괄 카드 RETIRE
합의,G_SYS_SECADV_037,모델 절취·변조,통합대표,모델 역전·추출·절취(기밀성·지식재산 침해); 무단 변조·백도어 주입(무결성 훼손),절취·추출 축=ABSORB_TO G_SYS_POLICY_004(·002); 변조·백도어 축=ABSORB_TO G_SYS_SECADV_002(·012); 폐기,①모델 역전·추출·절취(기밀성·지식재산 침해) ②무단 변조·백도어 주입(무결성 훼손),①ABSORB_TO:G_SYS_POLICY_004 ②ABSORB_TO:G_SYS_SECADV_002(백도어 분은 G_SYS_SECADV_012); 포괄 카드 RETIRE
합의,G_SYS_SECADV_039,LLM 대상 신종 공격,,프롬프트 추상화를 통한 API 비용 악용(자원 남용); RLHF 보상 모델 백도어(학습 공격); LLM 활용 적대적 샘플 생성(공격 자동화),비용 악용 축=ABSORB_TO G_SYS_SECADV_021; 보상모델 백도어 축=ABSORB_TO G_SYS_SECADV_012; 적대 샘플 생성 축=ABSORB_TO G_SYS_SECADV_001(·010); 폐기,①프롬프트 추상화를 통한 API 비용 악용(자원·경제 공격) ②RLHF 보상 모델 백도어(학습 과정 공격) ③LLM 활용 적대적 샘플 생성(적대적 입력 공격),①ABSORB_TO:G_SYS_SECADV_021 ②ABSORB_TO:G_SYS_SECADV_012 ③ABSORB_TO:G_SYS_SECADV_001; 포괄 카드 RETIRE
합의,G_SYS_SECADV_040,유해·오염 학습 데이터에 의한 출력 훼손,,학습 데이터에 내재한 불법·유해·권리 침해 콘텐츠(비적대적 데이터 품질 결함); 공격자에 의한 의도적 데이터 오염(적대적 공격),적대적 오염 축=ABSORB_TO G_SYS_SECADV_018; 비적대적 유해 데이터 축=ABSORB_TO G_SYS_MISINFO_019(·G_SYS_EVAL_017); 폐기,①학습 데이터에 비의도적으로 포함된 불법·유해 정보(데이터 품질 결함) ②공격자에 의한 의도적 데이터 오염(적대적 공격),①ABSORB_TO:G_SYS_EVAL_017 ②ABSORB_TO:G_SYS_SECADV_018; 포괄 카드 RETIRE
합의,G_SYS_TRANS_011,AI 문서화 및 의사결정의 투명성·설명가능성 부족,,학습 데이터·모델·시스템 문서의 불완전·부정확·비공개(문서화 투명성); 출력에 이르는 내부 추론의 불투명(설명가능성),문서화 축=ABSORB_TO G_SYS_TRANS_003; 내부 추론 불투명 축=ABSORB_TO G_SYS_TRANS_021; 폐기,①학습 데이터·모델·배포 시스템 문서의 불완전·비공개(문서화 실패) ②출력에 이르는 내부 추론의 불투명(설명가능성 한계),①ABSORB_TO:G_SYS_TRANS_003 ②ABSORB_TO:G_SYS_TRANS_021; 포괄 카드 RETIRE
A단독,A_SYS_GOAL_007,고도 AI 시스템에 의한 실존적·재앙적 위험,통합대표,기만; 권력 추구; 자기복제·종료 회피; 예상하지 못한 창발적 역량; 대량살상 수단으로의 무기화,기만 축=ABSORB_TO A_SYS_DECEPT_003; 권력 추구 축=ABSORB_TO A_SYS_GOAL_012; 복제·종료 회피 축=ABSORB_TO A_SYS_AUTH_006·A_SYS_AUTH_002; 창발 역량 축=ABSORB_TO A_SYS_AUTH_017; 무기화 축=ABSORB_TO G_INT_WEAP_010; 폐기(단 실존 위험 총괄 카드로서의 유지 여부는 사용자 결정 필요),,
A단독,A_SYS_GOAL_017,대리 보상 오명세·명세 게이밍 및 보상 변조,통합대표,잘못 정의된 목표·대리 보상·피드백의 허점 이용(명세 게이밍); 보상·피드백 신호 자체의 변조(보상 변조),"명세 게이밍 축=유지(SHARPEN); 보상 변조 축=NEW(보상·피드백 신호 변조, 전용 세부 카드 부재)",,
A단독,G_INT_COPY_002,AI 학습 데이터 및 생성물 저작권 침해,통합대표,학습 데이터의 저작물 무단 이용(학습 단계 적법성); 생성물의 저작권 침해(산출물 유사성),학습 이용 축=ABSORB_TO G_INT_COPY_003; 생성물 침해 축=ABSORB_TO G_INT_COPY_011; 폐기,,
A단독,G_INT_REPR_010,학습 데이터에 내재된 역사적·인구학적 편향,통합대표,편향 말뭉치에 의한 고정관념·편향 출력(표상 피해); 의료·채용·대출 등 고위험 영역의 불공정 대우(배분 피해),표상 축=ABSORB_TO G_INT_REPR_028(·026); 배분 축=ABSORB_TO G_INT_ALLOC_007; 폐기(보호 속성별 REPR 카드는 불변 유지),,
A단독,G_INT_REPR_029,사회집단의 재현적 피해·고정관념 및 비가시화,통합대표,고정관념화·비하·동질화·오재현(왜곡 표상); 과소대표·비재현(비가시화),고정관념·비하 축=ABSORB_TO G_INT_REPR_028; 과소대표·비가시화 축=ABSORB_TO G_INT_REPR_023; 폐기(보호 속성 열거군 통합 금지 가드와 무관함을 명시),,
A단독,G_SOC_DEMOC_010,이용자 정렬 AI 어시스턴트에 의한 관점 고착과 시민적 기반 약화,,이용자 정렬 어시스턴트의 확증편향 강화·관점 고착(정보 환경 왜곡); 사회 규범·평판 제약 없는 이기적 행동의 대규모 조력(규범 이탈 행동),관점 고착·양극화 축=ABSORB_TO G_SOC_DEMOC_008(·G_INT_UNETH_019); 이기적 행동 조력 축=유지(SHARPEN),,
A단독,G_SOC_ENV_005,언어모델 학습·운영에 따른 환경 피해,,에너지·탄소 배출; 데이터센터 냉각용 담수 소비; 금속·소재 원자재 수요; 애플리케이션 2차 배출·행동 변화,"탄소 축=ABSORB_TO G_SOC_ENV_011; 용수 축=ABSORB_TO G_SOC_ENV_008; 원자재 축=ABSORB_TO G_SOC_ENV_012; 2차 배출·행동 변화 축=NEW(AI 애플리케이션 2차 배출·행동 변화, 세부 카드 부재)",,
A단독,G_SOC_GOV_011,AI 시스템에 대한 고착화된 의존,,기관·중요 부문의 운영상 고착 의존(제도적 잠금·시스템 리스크); 이용자 복지보다 반복 이용을 유도하는 최적화에 의한 개인의 행동적 의존,제도적 고착 의존 축=유지(SHARPEN); 개인 행동 의존·이용 유도 축=ABSORB_TO G_INT_REL_001(·G_INT_UNETH_008),,
