L4_ID,current_L3,verdict,rationale,primary
G_SYS_CONTEXT_010,G_SYS_CONTEXT,MOVE,무관한 문맥이 주의를 분산시켜 모델 성능 자체가 저하되는 것이 핵심 기전이며 맥락 이해나 평가 활동의 실패가 아니므로 PERF로 이관한다.,NO
G_SYS_EVAL_011,G_SYS_EVAL,MOVE,지속적 미세조정으로 인한 파국적 망각은 학습 결함으로 모델이 기존 과업의 정확성·일반화를 상실하는 성능 실패이며 평가 활동의 실패가 아니므로 PERF로 이관한다.,YES
G_SYS_EVAL_015,G_SYS_EVAL,MOVE,학습-운용 데이터 간 분포 이동으로 모델의 타당성 자체가 훼손된다고 명시하여 측정 실패가 아닌 시스템 성능 실패이므로 PERF로 이관한다.,YES
G_SYS_EVAL_018,G_SYS_EVAL,MOVE,주석 결함이 모델의 정확성·신뢰성·일반화 성능을 직접 저하시킨다고 명시되어 있어 PERF 정의에 정확히 부합하므로 이관한다.,YES
G_SYS_EVAL_057,G_SYS_EVAL,MOVE,과적합·과소적합은 학습 결함으로 인한 신뢰할 수 없는 운영 동작의 대표적 사례로 PERF 정의의 전형이므로 이관한다.,YES
G_SYS_EVAL_058,G_SYS_EVAL,MOVE,인지·추론 지연 급증은 평가 활동의 실패가 아니라 시스템 자체의 응답 안정성 실패이므로 PERF로 이관한다.,NO
G_SYS_EVAL_061,G_SYS_EVAL,MOVE,코너 케이스에서의 신뢰할 수 없는 동작은 평가 실패가 아닌 시스템 자체의 안정성 실패이므로 PERF로 이관한다.,YES
G_SYS_EVAL_063,G_SYS_EVAL,MOVE,검증 범위 밖 운용 환경에서 시스템의 신뢰성·안전성이 훼손된다는 정의는 운용 조건 변화로 인한 성능·신뢰성 실패에 정확히 부합하여 이관한다.,NO
G_SYS_OVERCONF_005,G_SYS_OVERCONF,MOVE,분포 외 입력에서 고확신 오작동이 겹치는 사례로 주된 피해 기전이 확신도 표현 실패가 아니라 잘못된 예측·행동이라는 정확성·일반화 실패이므로 PERF로 이관한다.,YES
G_SYS_SECADV_027,G_SYS_SECADV,MOVE,제목과 정의가 성능·견고성·복원력 실패를 핵심으로 하고 환경 잡음·구성요소 고장 등 비공격 조건 변화를 포함하므로 PERF로 이관한다.,YES
G_SYS_SECADV_031,G_SYS_SECADV,MOVE,복잡한 신경망의 내재적 견고성 부족은 모델 자체의 구조적 취약성으로 인한 성능 저하이며 공격 기법이 아닌 시스템 내재 결함이 핵심이므로 PERF로 이관한다.,YES
