audit_id,severity,status,scope,expected,actual,evidence,recommended_action
R01,CRITICAL,PASS,Row conservation,"808 baseline rows and 10 deletions with split and merge consolidation yield 800 final rows","800 final rows","Baseline 808; deletion ledger 10; General 612; Agentic 75; Physical 113","None"
R02,CRITICAL,PASS,Ledger to output coverage,"Unique L4_ID_After set equals final output ID set","Both sets contain the same 800 unique IDs","Symmetric difference 0","None"
R03,HIGH,PASS,Output schema,"All three outputs share one schema","One common 65-column schema","General, Agentic, Physical headers compared exactly","None"
R04,CRITICAL,PASS,L4 ID integrity,"IDs are unique, L3-prefixed, and contiguous within each L3","800 unique IDs; 0 prefix violations; 0 sequence gaps","All L3 sequences start at 001 and end at group count","None"
R05,HIGH,PASS,Domain movement,"Output file, L1_ID, and ledger destination agree","0 file placement errors; 0 ledger destination mismatches","All final IDs referenced by the ledger checked","None"
R06,CRITICAL,PASS,Editorial operation application,"Every operation is applied exactly and linked to its source","All 86 non-delete outputs match prescribed L3 and bilingual text; all 8 deletes are absent; 0 lineage misses","94 editorial operation rows checked","None"
R07,CRITICAL,PASS,Deletion application,"Exactly 10 source rows are deleted with no final ID","10 delete decisions; 0 nonblank after-IDs","DELETE_APPLIED 2; EXPERT_DELETE_APPLIED 8","None"
R08,CRITICAL,PASS,Split and merge lineage,"Every split, rewrite, transfer, and merge output remains reachable from its source ledger row","0 missing operation-to-ledger links; five merge outputs retain representative and absorbed source IDs","G_INT_PRIV_027, G_INT_PRIV_028, G_INT_PRIV_029, G_INT_PRIV_030, A_INT_COLLUSION_004 checked as merges","None"
R09,HIGH,PASS,Global facet and act-type preservation,"Only explicit MERGE uses source union; all other outputs exactly inherit representative source attributes including blanks","0 mismatches across 800 outputs","facet and act-type token sets recomputed from baseline source_row_id and explicit merge Source_L4_IDs","None"
R10,HIGH,PASS,G_SYS_OEXT_014 regression,"Both attributes equal representative source SRC-G-0371","facet blank; act-type blank","Exact string equality to baseline","None"
R11,HIGH,PASS,G_INT_ILLEGAL_013 regression,"Both attributes equal representative source SRC-G-0466","facet blank; act-type blank","Exact string equality to baseline","None"
R12,HIGH,PASS,G_INT_POL_007 regression,"Both attributes equal representative source SRC-G-0532","facet F04; act-type IC, GL, DP","Exact string equality to baseline","None"
R13,HIGH,PASS,G_INT_UNETH_019 regression,"Both attributes equal representative source SRC-G-0332","facet blank; act-type blank","Exact string equality to baseline","None"
R14,HIGH,PASS,G_SOC_DEMOC_005 regression,"Both attributes equal representative source SRC-G-0332","facet blank; act-type blank","Exact string equality to baseline","None"
R15,HIGH,PASS,G_INT_REPR_027 regression,"Both attributes equal representative source SRC-G-0047","facet blank; act-type blank","Exact string equality to baseline","None"
R16,CRITICAL,PASS,Stale EM and Hybrid score removal,"All edited outputs have EM, Hybrid EM, candidate score, and candidate ID evidence cleared","0 stale HUMAN_REVIEW rows; 0 stale content-or-L3 changed rows","159 HUMAN_REVIEW action rows and all 160 content-or-L3 changed outputs checked; 160 final rows are scoreless","None"
R17,CRITICAL,PASS,L3 master immutability,"Release L3 master and propagated hierarchy fields remain exact","Known master hash matches; 0 propagated hierarchy mismatches; reviewed Coordination change remains pending and unapplied","SHA-256 e9439ced64fb49c1496f1955013b5f038ecc7d271b9d6c9704f1e1bf6b0094df; one PENDING_MASTER_CHANGE_NOT_APPLIED","None"
R18,HIGH,PASS,Duplicate generation,"No exact normalized bilingual title pair or full bilingual card is duplicated","0 duplicate title pairs; 0 duplicate full cards","All 800 final outputs checked after whitespace and case normalization","None"
R19,HIGH,PASS,Initial audit remediation,"The ten initial integrity findings remain correctly represented","No regression detected in ambiguous domain routing, direct text edits, conflicting Physical review cases, or pending L3 proposal","Agentic row 30; Physical rows 16, 19, 26, 69, 79, 82, 111; General row 20; L3 A_INT_COORD reviewed","None"
R20,INFO,PASS,Audited file fingerprints,"Audited artifacts are identified by immutable fingerprints","SHA-256 values recorded","General 409088618d344cc4e572929e763dcb6c177115758ec4fe466e1114e85e3014e8; Agentic f77a18d05050c3cd668f65fd13b0869ca6d10ca570c87d2ade6a9adc8581517d; Physical f10634dc6e063d0ef4bde2154ac6c02c9b9467bb67c7403ba0e86ccb502ebadf; L4 ledger f03a1de487241a08ae1e6624ada207bc96decee58169f2c55c03e529d3838607; L3 ledger 396bb71cd2af673086b56fea1ee959b56dad6f1569076ecd210fd04f7d15df18; editorial operations cc3d38fc27e81fb71cc1fcec829becde234bdfdb4fe2fb01cdfe548e1e6f8532","Recompute after any further modification"
