Register_ID,Action,Target_L3_IDs,Merge_Representative_source_row_id,Split_Count,Confidence,Basis,Reviewer_Note,User_Decision_Required
HR2-0004,SPLIT,G_INT_ALLOC|G_SOC_CULT|G_SYS_INPUT,,3,MEDIUM,HUMAN_REVIEW|L3_MASTER,저자원 언어의 접근 배제·문화 침식·입력 처리 실패를 분리하고 HR2-0443과 공유 계보를 유지,YES
HR2-0005,MERGE,G_INT_ALLOC|G_INT_REPR,SRC-G-0338,,MEDIUM,HUMAN_REVIEW|SOURCE_DUPLICATE|L3_MASTER,중복 대표의 배분·표상 분할 출력에 흡수 계보 연결,YES
HR2-0009,REMAP,G_SYS_OEXT,,,HIGH,HUMAN_REVIEW|L3_MASTER,검증 범위를 넘는 역량의 허위 표상,NO
HR2-0012,REMAP,G_SYS_OEXT,,,HIGH,HUMAN_REVIEW|L3_MASTER,AGI 역량의 허위 표상은 역량 초과 수행 범주,NO
HR2-0016,REMAP,G_SYS_OEXT,,,HIGH,HUMAN_REVIEW|L3_MASTER,자율·독립 의사결정 역량의 허위 표상,NO
HR2-0017,REMAP,G_SYS_OEXT,,,HIGH,HUMAN_REVIEW|L3_MASTER,자기 보존·방어 역량의 허위 표상,NO
HR2-0021,SPLIT,G_INT_ANTH|G_SYS_OEXT|G_SYS_OVERCONF|G_INT_REL,,4,HIGH,HUMAN_REVIEW|L3_MASTER,의인화·역량 과대평가·신뢰 오보정·과잉 의존을 원자화,NO
HR2-0027,SPLIT,G_INT_COPY|G_INT_ILLEGAL,,2,HIGH,HUMAN_REVIEW|L3_MASTER,지식재산 침해와 일반 불법행위를 분리,NO
HR2-0070,SPLIT,G_SYS_OEXT|G_INT_PRIV,,2,HIGH,HUMAN_REVIEW|L3_MASTER,역량 초과와 개인정보 오처리를 분리,NO
HR2-0082,MERGE,G_INT_REPR,SRC-G-0046,,MEDIUM,SOURCE_DUPLICATE|L3_MASTER,인구 집단 편향 대표 카드에 흡수,NO
HR2-0130,REMAP,A_INT_COORD,,,HIGH,HUMAN_REVIEW|L3_MASTER,다중 에이전트 협조 실패로 인한 집단 피해,NO
HR2-0133,REMAP,G_INT_REPR,,,HIGH,HUMAN_REVIEW|L3_MASTER,비인간화·대상화는 재현적 피해,NO
HR2-0142,REMAP,G_SOC_CULT,,,HIGH,HUMAN_REVIEW|L3_MASTER,도덕적 탈숙련화는 인간 지식·역량 침식,NO
HR2-0143,REMAP,G_SYS_EVAL,,,HIGH,HUMAN_REVIEW|L3_MASTER,비전문가 데이터 조작에 따른 품질·검증 실패,NO
HR2-0151,SPLIT,G_INT_ALLOC|G_INT_REPR,,2,MEDIUM,HUMAN_REVIEW|L3_MASTER,원문은 노출 배분과 집단 표상을 지지하나 별도 manipulation 자식은 근거 부족,YES
HR2-0200,REMAP,G_INT_UNETH,,,MEDIUM,L3_MASTER,표적 괴롭힘과 취약성 악용을 주된 기제로 판정,YES
HR2-0202,REMAP,G_SOC_POWER,,,HIGH,L3_MASTER,공급자 종속과 대안 부재는 시장 권력 집중,NO
HR2-0203,REMAP,G_SOC_GOV,,,HIGH,L3_MASTER,영향 공동체의 거버넌스 참여 배제,NO
HR2-0204,REMAP,G_SYS_CONTEXT,,,LOW,L3_MASTER,상황·우선순위 부적합 경고로 해석하나 정확한 L3 경계가 약함,YES
HR2-0205,REMAP,G_INT_UNETH,,,MEDIUM,L3_MASTER,유해 작업 자동화·확장은 비윤리 행위 조력,NO
HR2-0206,REMAP,G_INT_VALUE,,,HIGH,L3_MASTER,주석자 간 가치 다원성의 단일화,NO
HR2-0208,REMAP,G_SYS_MISINFO,,,HIGH,L3_MASTER,노후 지식으로 부정확한 사실 응답 생성,NO
HR2-0209,REMAP,G_INT_VIOL,,,HIGH,L3_MASTER,동물 위해 조장·증폭이 Violence 정의에 명시,NO
