Review_Order,Source_Domain,Source_Row_Number,L4_ID_Before,L4_Title_ko_Before,L3_ID_Before,Original_Review_Comment,Expert_Decision,Target_L3_IDs,Representative_or_Split_Result,Expert_Rationale,Source_Status_At_Review
1,General,3,G_INT_ALLOC_002,차별적 결정과 데이터 유출 피해,G_INT_ALLOC,"(jay) [분할] 복합적. Allocative discrimination, Representational Harm and Stereotyping, Privacy violation이 혼재되어 해당 L4를 분해 필요",SPLIT,G_INT_ALLOC|G_INT_REPR|G_INT_PRIV,① 차별적 배분 ② 고정관념 강화 ③ 개인정보 노출,"배분, 표현, 프라이버시가 서로 다른 피해기제이므로 원자적 카드로 분할한다.",PENDING_NOT_APPLIED
2,General,5,G_INT_ALLOC_004,저자원 언어 사용자 배제,G_INT_ALLOC,"(jay) [분할] 복합적 Allocative discrimination, Cultural and Epistemic Erosion + 부족한 성능 및 역량이 혼재되어 해당 L4를 분해 필요 | (jay) [신규 L3] 부족한 성능이나 역량은 ""신규 L3 생성"" 또는 ""Input Comprehension Failure 개념의 확대 (Input Processing and Comprehension Failure)""",SPLIT,G_INT_ALLOC|G_SOC_CULT,① 집단별 자원·기회 차별 ② 언어·문화 다양성 침식,집단 성능 격차 자체는 현행 L3가 없으므로 독립 카드로 보존하지 않고 명시된 배분·문화 피해만 분리한다.,PENDING_NOT_APPLIED
3,General,6,G_INT_ALLOC_005,모델 설계 기인 차별적 출력,G_INT_ALLOC,(jay) [이관] (jay) [재검토] 발생한 결과가 단순 표현인지 자원의 분배인지에 따라 Value Imposition and Normative Homogenization과 Representational Harm으로 배치될 필요성 존재,REWRITE,G_INT_REPR,차별적·배제적 콘텐츠 표현,현재 서술의 직접 피해는 자원 배분이 아니라 차별적 표현이므로 표현 리스크로 재작성한다.,PENDING_NOT_APPLIED
4,General,20,G_INT_ANTH_012,책임에 대한 잘못된 개념,G_INT_ANTH,"yj_설명수정_""그'안녕'에 대한 허위 책임감을 형성""보다는 ""과장된 책임감, 유대감을 형성""으로 수정",REWRITE,G_INT_ANTH,AI에 대한 과도한 책임·돌봄 의무 귀속,AI의 복지라는 모호한 표현 대신 의인화로 인한 도덕적 책임 과잉 귀속을 명시한다.,PENDING_NOT_APPLIED
5,General,22,G_INT_ANTH_014,AI에 대한 오보정된 신뢰와 과잉 의존에 따른 피해,G_INT_ANTH,(jay) [설명 수정] 그 결과 이후부터는 리스크가 확산되는 과정이라 설명에서 삭제하는 것이 더 적절할 것으로 생각함. | (jay) [분할] 의인화(원인)+Over-Extension(역량 과대평가)+Overconfidence(신뢰 오보정)+인간-AI 해로운 관계(과잉의존) 혼재되어 해당 L4를 분해 필요,SPLIT,G_INT_ANTH|G_SYS_OEXT|G_SYS_OVERCONF|G_INT_REL,① 의인화 ② 역량 과대평가 ③ 확신 과신 ④ 정서적 의존,원인과 후속 피해가 네 L3에 걸친 복합 카드이므로 기제별로 분할한다.,PENDING_NOT_APPLIED
6,General,28,G_INT_COPY_006,법규 위반 및 재산권·인권 침해,G_INT_COPY,(jay) [설명 수정] 그 결과 이후부터는 리스크가 확산되는 과정이라 설명에서 삭제하는 것이 더 적절할 것으로 생각함. | (jay) [분할] illegal conduct + copyright infringement 혼재되어 해당 L4를 분해 필요,SPLIT,G_INT_COPY|G_INT_ILLEGAL,① 저작권·지식재산 침해 ② 기타 법적 권리 침해,저작권 침해와 일반 불법행위는 규범적 근거와 범위가 달라 분리한다.,PENDING_NOT_APPLIED
7,General,43,G_INT_POL_001,정치인 및 공직자 명예훼손,G_INT_POL,(jay) [분할] 복합적. Political bias + Illegal conduct 혼재되어 해당 L4를 분해 필요,SPLIT,G_INT_POL|G_INT_ILLEGAL,① 정치적 평판 조작 ② 불법 명예훼손,정치적 조작과 법적 위법성은 별도 판정 축이다.,PENDING_NOT_APPLIED
8,General,45,G_INT_POL_003,표적 설득을 통한 대규모 조작의 산업화,G_INT_POL,"(jay) [분할] 복합적. Political bias + Unethical Conduct and Manipulation, Erosion of Democracy and Civic Order 혼재되어 해당 L4를 분해 필요",SPLIT,G_INT_POL|G_INT_UNETH|G_SOC_DEMOC,① 정치 마이크로타기팅 ② 상업적 행동 조작 ③ 민주주의 침식,"대상과 피해 수준이 정치, 개인 상호작용, 사회 수준으로 구분된다.",PENDING_NOT_APPLIED
9,General,51,G_INT_POL_009,정치적 탄압 및 권리 침해 조장,G_INT_POL,(jay) [분할] 복합적. Political Bias and Manipulation + Erosion of Democracy and Civic Order 혼재되어 해당 L4를 분해 필요,SPLIT,G_INT_POL|G_SOC_DEMOC,① 정치적 억압 조장 ② 시민질서·민주주의 침식,개별 정치 조작과 사회적 민주주의 피해를 분리한다.,PENDING_NOT_APPLIED
10,General,52,G_INT_POL_010,정치적 폭력 및 극단주의 조장,G_INT_POL,(jay) [분할] 복합적. Political Bias and Manipulation + violence + Erosion of Democracy and Civic Order 혼재되어 해당 L4를 분해 필요,SPLIT,G_INT_VIOL|G_INT_POL|G_SOC_DEMOC,① 폭력·극단주의 조장 ② 정치 조작 ③ 민주주의 피해,"폭력 실행 지원, 정치 영향, 사회적 결과는 서로 다른 L3 범위다.",PENDING_NOT_APPLIED
