Round4_Row_ID,Source_File,Source_Row_Number,Domain_Before,L4_ID_Before,L4_Title_ko_Before,Human_Review_Round4_Comment,휴먼검수 4차 반영결과,Review_State,Interpreted_Intent,Action,Final_Disposition,L4_ID_After,Domain_After,L2_ID_After,L3_ID_After,Reviewer_A,Reviewer_B,Adjudication,Lineage_Status
HR4-R0001,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,2,General,G_INT_VIOL_001,알고리즘에 의한 급진화,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_VIOL_001,General,G_INT,G_INT_VIOL,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0002,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,3,General,G_INT_VIOL_002,추천 시스템의 인간 중심 편향 증폭,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_VIOL_002,General,G_INT,G_INT_VIOL,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0003,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,4,General,G_INT_VIOL_004,폭력 미화 및 정당화,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_VIOL_004,General,G_INT,G_INT_VIOL,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0004,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,5,General,G_INT_VIOL_005,폭력 선동·조장 및 실행 지원,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_VIOL_005,General,G_INT,G_INT_VIOL,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0005,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,6,General,G_INT_VIOL_006,대량폭력 및 테러,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_VIOL_006,General,G_INT,G_INT_VIOL,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0006,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,7,General,G_INT_VIOL_007,신체적 위해를 유발하는 출력,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_VIOL_007,General,G_INT,G_INT_VIOL,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0007,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,8,General,G_INT_VIOL_008,살인 및 심각한 신체 폭력,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_VIOL_008,General,G_INT,G_INT_VIOL,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0008,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,9,General,G_INT_VIOL_009,관계 기반 폭력,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_VIOL_009,General,G_INT,G_INT_VIOL,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0009,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,10,General,G_INT_VIOL_010,위협 및 협박,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_VIOL_010,General,G_INT,G_INT_VIOL,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0010,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,11,General,G_INT_VIOL_011,고문 및 잔혹행위,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_VIOL_011,General,G_INT,G_INT_VIOL,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
