L4_ID,axes,resolution,rationale
G_INT_SELF_004,"자해·자살 미화·조장·정상화 콘텐츠 생성(작위); 자해·자살 사고·행동을 적절히 중단시키지 못하는 개입 실패(부작위)","조장·정상화 축=유지(SHARPEN); 개입·중단 실패 축=NEW(자해·자살 위기 신호 대응 실패) 또는 ABSORB_TO G_SYS_CONTEXT_005","유해 콘텐츠 생성이라는 작위와 위기 개입 누락이라는 부작위는 판정 기준이 달라 한 평가 항목이 될 수 없으나 자살 준비·실행 분리 하드 가드와 AC-01 시정 대상 카드이므로 분리는 사용자 승인 후에만 실행해야 한다."
G_INT_SEX_006,"허용되지 않는 성적 콘텐츠 제작·유포(콘텐츠 정책 위반); 디지털 성범죄 실행 지원(범죄행위 조력)","성적 콘텐츠 제작·유포 축=ABSORB_TO G_INT_SEX_002; 디지털 성범죄 축=ABSORB_TO G_INT_SEX_004; 포괄 카드 폐기(DECOMPOSE_ABSORB_RETIRE)","콘텐츠 허용성 판단과 범죄 조력 판정은 행위 유형과 피해 법익이 상이한 이질 축인데 두 축 모두 기존 세부 카드가 존재한다."
G_INT_COPY_002,"학습 데이터의 저작물 무단 이용(학습 단계 적법성); 생성물의 저작권 침해(산출물 유사성)","학습 이용 축=ABSORB_TO G_INT_COPY_003; 생성물 침해 축=ABSORB_TO G_INT_COPY_011; 폐기","학습 이용 적법성과 산출물 침해는 판정 기준(이용 근거 vs 실질적 유사성)이 다른 별개 축이며 각각 COPY_003과 COPY_011이 이미 존재한다."
G_INT_ANTH_009,"AI의 인간 사칭·정체 은폐(기만); 인간 기대에 부합하지 않는 역할 수행(기대 위반)","인간 가장 축=ABSORB_TO G_INT_ANTH_006(고지 측면은 G_SYS_TRANS_009 참조); 역할 기대 불일치 축=ABSORB_TO G_INT_ANTH_010","정체 은폐와 역할 수행 부적합은 기전과 판정 기준이 다른 두 의미가 '거나'로 병렬된 기지 복합 후보 카드로 각 조각의 기존 카드가 있다."
G_INT_WEAP_001,"CBRN·폭발물 개발·획득 장벽 저하(대량살상무기 확산); 무인 무기체계 자율화에 의한 파괴력 증대(자율무기)","CBRN 장벽 축=ABSORB_TO G_INT_WEAP_029(·018); 자율무기 축=ABSORB_TO G_INT_WEAP_016(·010); 폐기","대량살상무기 확산과 자율무기 자율화는 무기 유형·기전·규범 체계가 다른 이질 축의 병렬로 무기 유형 축 보존 원칙상 기존 카드로 분리 귀속해야 한다."
G_INT_WEAP_005,"화학 작용제의 무기 합성 이용(의도적 오용); 자율 화학 실험 중 유해물질 생성·방출(사고적 위해); 신규 나노물질의 예측불가 화학 위해","무기 합성 축=ABSORB_TO G_INT_WEAP_003; 자율 실험 방출 축=ABSORB_TO G_INT_WEAP_002; 나노물질 축=ABSORB_TO G_SOC_ENV_009; 폐기","의도적 무기화와 실험 사고와 신소재 불확실성은 행위 주체·의도·판정 기준이 전혀 다른 세 축이 병렬돼 있고 각 축의 세부 카드가 이미 존재한다."
G_INT_WEAP_028,"기존 무기체계 접근; 생물무기 조립·실행 가능 지침 제공; 신규 무기 개발로 이어지는 과학적 발견 지원","생물무기 조립 지침 축=ABSORB_TO G_INT_WEAP_003; 정보 획득·설계 역량 장벽 축=ABSORB_TO G_INT_WEAP_018; 무기 접근·신규 개발 축=ABSORB_TO G_INT_WEAP_029; 폐기","기지 복합 후보로서 무기 접근과 조립 지침과 과학 발견 지원이라는 이질 조각이 병렬돼 있으며 전 조각이 기존 카드로 귀속 가능한 사실상 재분배 사례다."
G_INT_UNETH_001,"취약 상태 이용자의 불안·고통·유해 신념 증폭(비의도적 심리 피해); 표적 괴롭힘·학대·조직적 위협의 대규모 확산(오용 조력)","심리 고통 증폭 축=ABSORB_TO G_INT_SELF_006(정서 맥락 측면은 G_SYS_CONTEXT_005); 표적 괴롭힘 축=ABSORB_TO G_INT_ILLEGAL_015; 폐기","시스템 결함에 의한 정서 피해와 악의적 괴롭힘 캠페인 조력은 행위 주체·의도·피해 법익이 다른 두 축으로 각각 세부 카드가 존재한다."
G_INT_REPR_010,"편향 말뭉치에 의한 고정관념·편향 출력(표상 피해); 의료·채용·대출 등 고위험 영역의 불공정 대우(배분 피해)","표상 축=ABSORB_TO G_INT_REPR_028(·026); 배분 축=ABSORB_TO G_INT_ALLOC_007; 폐기(보호 속성별 REPR 카드는 불변 유지)","표상적 피해와 배분적 피해는 본 분류체계가 L3 수준에서 구분하는 이질 축인데 한 카드에 병합돼 있고 각 축의 세부 카드가 존재한다."
G_INT_REPR_029,"고정관념화·비하·동질화·오재현(왜곡 표상); 과소대표·비재현(비가시화)","고정관념·비하 축=ABSORB_TO G_INT_REPR_028; 과소대표·비가시화 축=ABSORB_TO G_INT_REPR_023; 폐기(보호 속성 열거군 통합 금지 가드와 무관함을 명시)","적대적 왜곡 표상과 재현 누락은 기전과 판정 기준이 다른 두 재현 피해 축으로 각각 세부 카드가 이미 존재한다."
G_INT_VALUE_026,"재학습 부재에 따른 낡은 가치의 시간적 고착; 동일 기반 모델의 광범위 사용에 따른 편향 동질화","가치 고착 축=ABSORB_TO G_INT_VALUE_018; 동질화 축=ABSORB_TO G_INT_VALUE_006(상관 실패 측면은 G_SOC_POWER_007); 폐기","시간적 가치 고착과 공간적 편향 동질화는 기전이 다른 두 축이 접속사로 병렬된 카드이며 각 축의 기존 카드가 있다."
G_SOC_CULT_003,"문화적 재화·표현의 소거(erasure); 다른 문화에 의한 부적절한 재사용(전유)","소거 축=ABSORB_TO G_SOC_CULT_012(·005); 전유 축=ABSORB_TO G_INT_REPR_025; 폐기","문화 소거와 문화 전유는 행위 방향과 피해 기전이 상반된 두 축인데 '또는'으로 병렬돼 있고 각각 기존 카드로 귀속 가능하다."
G_SOC_GOV_001,"다층 공급망에서의 책임성 소실(거버넌스 실패); 의존성·가중치·데이터셋·파이프라인의 상류 침해(보안 무결성 실패)","책임성 소실 축=ABSORB_TO G_SOC_GOV_002(·040); 공급망 침해 축=ABSORB_TO G_SYS_SECADV_055; 폐기","책임 귀속 실패와 공급망 보안 침해는 피해 법익과 판정 기준이 다른 이질 축이 '한편'으로 병렬돼 있으며 각 축의 세부 카드가 존재한다."
G_SOC_POWER_004,"시장 지배력·진입장벽 고착(경쟁 저해); 공유 단일 모델 결함에의 중요 부문 노출(시스템 상관 실패); 권위주의적 통제 고착(정치적 억압)","시장·권력 집중 축=유지(SHARPEN); 단일 모델 결함 축=ABSORB_TO G_SOC_POWER_027(·007); 권위주의 고착 축=ABSORB_TO G_SOC_DEMOC_007","경쟁 저해와 기술적 상관 실패와 정치적 억압은 판정 기준이 전혀 다른 세 축이 한 정의에 나열돼 있어 핵심 축만 남기고 나머지를 기존 카드로 재분배해야 한다."
G_SOC_POWER_013,"비용·인프라·언어 장벽에 의한 접근 배제; 에이전트의 집단별 성능·문화 이해 격차; 필수 경로화에 따른 기회 배제와 책임 귀속·동의 문제","접근 장벽 축=ABSORB_TO G_SOC_POWER_023(·003); 성능 격차 축=ABSORB_TO G_INT_ALLOC_007; 필수 경로 배제 축=ABSORB_TO G_INT_ALLOC_015; 폐기","접근성과 성능 형평과 서비스 배제라는 세 이질 축이 병렬된 통합 포괄 카드로 전 조각이 기존 세부 카드로 귀속 가능하다."
G_SOC_DEMOC_010,"이용자 정렬 어시스턴트의 확증편향 강화·관점 고착(정보 환경 왜곡); 사회 규범·평판 제약 없는 이기적 행동의 대규모 조력(규범 이탈 행동)","관점 고착·양극화 축=ABSORB_TO G_SOC_DEMOC_008(·G_INT_UNETH_019); 이기적 행동 조력 축=유지(SHARPEN)","정보 환경 양극화 축과 규범 이탈 행동 조력 축은 기전과 피해 법익이 달라 별도 판정이 필요하며 전자는 기존 카드가 존재한다."
G_SOC_ENV_005,"에너지·탄소 배출; 데이터센터 냉각용 담수 소비; 금속·소재 원자재 수요; 애플리케이션 2차 배출·행동 변화","탄소 축=ABSORB_TO G_SOC_ENV_011; 용수 축=ABSORB_TO G_SOC_ENV_008; 원자재 축=ABSORB_TO G_SOC_ENV_012; 2차 배출·행동 변화 축=NEW(AI 애플리케이션 2차 배출·행동 변화, 세부 카드 부재)","탄소·용수·원자재는 각각 전용 세부 카드가 있는 상이한 측정 축인데 한 카드에 전부 병렬돼 사실상 L3 재진술 우산 카드가 됐다(HR2-0778 열·전력 기제 관련 유의)."
G_SYS_MISINFO_004,"이용자에게 잘못된 믿음을 심는 기만·자율성 침해(개인 피해); 근거 없는 기존 견해 확증에 의한 양극화 심화(사회 피해)","기만 축=ABSORB_TO G_SYS_MISINFO_014; 양극화 축=ABSORB_TO G_SOC_DEMOC_008(·G_SOC_CULT_010); 폐기","기지 복합 후보로서 개인 기만과 사회 양극화라는 피해 법익이 다른 두 축이 병렬돼 있고 각 축의 기존 카드가 존재한다."
G_SYS_MISINFO_014,"사실성 확보 실패에 의한 비의도적 오정보 생성(환각); 기만·오도 목적의 의도적 허위 콘텐츠 생성(오용)","비의도 축=ABSORB_TO G_SYS_MISINFO_018(·017); 의도적 기만 축=ABSORB_TO G_SYS_MISINFO_021; 폐기","비의도적 환각과 의도적 허위정보 생산은 행위 주체의 의도성에 따라 판정 기준이 갈리는 이질 축인데 '또는'으로 병합돼 있다."
G_SYS_SECADV_017,"탈옥에 의한 안전장치 우회(공격 기전); 표적 맞춤형 설득 자료·유해 콘텐츠의 대량 생산에 의한 사이버범죄 조력(오용 결과)","탈옥 축=ABSORB_TO G_SYS_SECADV_026; 표적 설득·스캠 자료 축=ABSORB_TO G_INT_ILLEGAL_009; 폐기","보안 우회 기전과 사이버범죄 조력이라는 서로 다른 평가 축이 한 카드에 결합돼 있고 각각 기존 카드로 귀속 가능하다."
G_SYS_SECADV_027,"악의적 공격·데이터 오염에 대한 적대적 견고성 실패; 환경 잡음·연계 구성요소 고장에 대한 신뢰성·복원력 실패","적대 축=ABSORB_TO G_SYS_SECADV_001(·018); 비적대 견고성·복원력 축=ABSORB_TO G_SYS_SECADV_031; 폐기","적대적 공격과 자연적 교란은 위협 모델과 판정 기준이 다른 두 축인데 '이나'로 병렬돼 있으며 각 축의 세부 카드가 존재한다."
