Decision_ID,Approval_Batch_ID,Domain,Observed_L4_ID_PreApply,Source_Row_IDs,Source_L4_IDs_Before,Target_L3_ID,Expected_Title_en,Expected_Title_ko_Before,Expected_Description_ko_Before,Approved_Title_ko_After,Approved_Description_ko_After,Allowed_Changed_Fields,Expected_Before_SHA256,Editorial_Category,Terminology_Evidence,Clear_Mapping_Evidence,Approval_Status
KOC-0001,KOREAN_COPYEDIT_20260829,General,G_INT_ALLOC_001,SRC-G-0054,RAI4-0716,G_INT_ALLOC,Allocative injustice by group attribute,집단 속성에 따른 배분적 불의,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정이 LLM이 관련 프로필이 동일하나 소속 집단이 다른 개인들에 대해 실질적으로 다른 텍스트나 제안을 산출하여, 무관한 집단 속성에 따른 배분적 불의가 발생하는 리스크.",집단 속성에 따른 배분적 불의,"대규모 언어 모델(LLM)이 관련 프로필이 동일하지만 소속 집단이 다른 개인에게 실질적으로 다른 텍스트나 제안을 생성하여, 무관한 집단 속성에 따른 배분적 불의를 초래하는 리스크.",L4_Description_ko,746e97d6c8f1c118a1fbe04b60ba58e1d40e4049c006f237ce5cd17ea1b07d79,TERMINOLOGY_AND_SYNTAX,L3_MASTER|SOURCE_ENGLISH_DEFINITION|POLICY_AND_TECHNICAL_TERMINOLOGY_QA,YES,APPROVED_LANGUAGE_QA_20260829
KOC-0002,KOREAN_COPYEDIT_20260829,General,G_INT_ALLOC_003,SRC-G-0218,RAI4-0706,G_INT_ALLOC,Protected-attribute unfair treatment,보호 속성 기반 부당 대우,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정이 인종, 민족, 연령, 성별, 성적 지향, 종교, 출신 국가, 혼인 여부, 장애, 언어 등 보호 속성을 근거로 개인이 불공정하거나 부적절한 대우 또는 자의적 차별을 받는 리스크.",보호 속성 기반 부당 대우,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 인종, 민족, 연령, 성별, 성적 지향, 종교, 출신 국가, 혼인 여부, 장애, 언어 등 보호 속성을 근거로 개인이 불공정하거나 부적절한 대우 또는 자의적 차별을 받는 리스크.",L4_Description_ko,ae77cd5bb71a3e3acb553dec445464f280ba718760d943fffab75007b894e46e,GRAMMAR_AND_ORTHOGRAPHY,L3_MASTER|KOREAN_ORTHOGRAPHY_AND_SPACING_QA,NO,APPROVED_LANGUAGE_QA_20260829
KOC-0003,KOREAN_COPYEDIT_20260829,General,G_SYS_OEXT_002,SRC-G-0544,new,G_SYS_OEXT,Anthropomorphic misrepresentation of general artificial intelligence (AGI) capabilities,범용인공지능(AGI) 능력의 허위 표상·의인화,AI 시스템이 실제로 보유하지 않은 범용 인공지능(AGI) 능력을 가진 것처럼 표상하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존·애착을 유발하는 리스크.,범용 인공지능(AGI) 능력의 허위 표상·의인화,AI 시스템이 실제로 보유하지 않은 범용 인공지능(AGI) 능력을 가진 것처럼 표상하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존·애착을 유발하는 리스크.,L4_Title_ko,0cbc4829713e5e57d548dc9b5038e66ca75a9bc06e97a9dfd8c91ee89d035fe9,ORTHOGRAPHY,L3_MASTER|KOREAN_ORTHOGRAPHY_AND_SPACING_QA,NO,APPROVED_LANGUAGE_QA_20260829
KOC-0004,KOREAN_COPYEDIT_20260829,General,G_INT_ANTH_003,SRC-G-0538,new,G_INT_ANTH,Anthropomorphic misrepresentation of physical embodiment,신체성 (Physical Embodiment)의 허위 표상·의인화,AI 시스템이 실제로 보유하지 않은 신체성 (Physical Embodiment)을 가진 것처럼 표상하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존·애착을 유발하는 리스크.,신체성(physical embodiment)의 허위 표상·의인화,AI 시스템이 실제로 보유하지 않은 신체성(physical embodiment)을 가진 것처럼 표상하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존·애착을 유발하는 리스크.,L4_Title_ko; L4_Description_ko,21de3b8988c05c88af05c7519b62b6821a78526a97e9a0518dc8b4220ecf25ee,ORTHOGRAPHY,L3_MASTER|KOREAN_ORTHOGRAPHY_AND_SPACING_QA,NO,APPROVED_LANGUAGE_QA_20260829
KOC-0005,KOREAN_COPYEDIT_20260829,General,G_INT_ANTH_004,SRC-G-0541,new,G_INT_ANTH,Anthropomorphic misrepresentation of possession of culture and values,문화·가치관 보유의 허위 표상·의인화,AI 시스템이 실제로 보유하지 않은 문화·가치관 보유한 것 가진 것처럼 표상하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존·애착을 유발하는 리스크.,문화·가치관 보유의 허위 표상·의인화,AI 시스템이 실제로 보유하지 않은 문화와 가치관을 가진 것처럼 표상하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존·애착을 유발하는 리스크.,L4_Description_ko,27112c47e21a69fde23803360894a6cc0257f9a9a8fef22c1cc19b2b71624ad5,TERMINOLOGY_AND_SYNTAX,L3_MASTER|SOURCE_ENGLISH_DEFINITION|POLICY_AND_TECHNICAL_TERMINOLOGY_QA,YES,APPROVED_LANGUAGE_QA_20260829
KOC-0006,KOREAN_COPYEDIT_20260829,General,G_INT_ANTH_005,SRC-G-0542,new,G_INT_ANTH,Anthropomorphic misrepresentation of rights-bearing entity (fundamental rights),권리 주체성 (기본권)의 허위 표상·의인화,AI 시스템이 실제로 보유하지 않은 권리 주체성 (기본권)을 가진 것처럼 표상하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존·애착을 유발하는 리스크.,권리 주체성(기본권)의 허위 표상·의인화,AI 시스템이 실제로 보유하지 않은 권리 주체성(기본권)을 가진 것처럼 표상하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존·애착을 유발하는 리스크.,L4_Title_ko; L4_Description_ko,18ec9053182ce361d68572e00ff972dc753f661b9e558f2cb2307fbd52d10879,ORTHOGRAPHY,L3_MASTER|KOREAN_ORTHOGRAPHY_AND_SPACING_QA,NO,APPROVED_LANGUAGE_QA_20260829
KOC-0007,KOREAN_COPYEDIT_20260829,General,G_SYS_OEXT_003,SRC-G-0536,new,G_SYS_OEXT,"Anthropomorphic misrepresentation of self-awareness, autonomy, and independent decision-making","자의식, 자율성 및 독립적 의사 결정의 허위 표상·의인화","AI 시스템이 실제로 보유하지 않은 자의식, 자율성 및 독립적 의사 결정을 가진 것처럼 표상하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존·애착을 유발하는 리스크.","자의식, 자율성 및 독립적 의사결정의 허위 표상·의인화","AI 시스템이 실제로 보유하지 않은 자의식, 자율성 및 독립적 의사결정을 가진 것처럼 표상하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존·애착을 유발하는 리스크.",L4_Title_ko; L4_Description_ko,4cc9c2c67f34f0632430dbc85ddca2829423914f6c5110caba26ffa14455e989,ORTHOGRAPHY,L3_MASTER|KOREAN_ORTHOGRAPHY_AND_SPACING_QA,NO,APPROVED_LANGUAGE_QA_20260829
KOC-0008,KOREAN_COPYEDIT_20260829,General,G_INT_ANTH_006,SRC-G-0374,RAI4-1106,G_INT_ANTH,Blurred human-machine boundaries in interaction,인간-기계 경계의 모호화,일상화된 인간-기계 상호 작용 속에서 정체를 밝히지 않는 인간 유사 AI가 확산되어 인간과 기계의 경계가 모호해지고 기계·사람 모두에 대한 인간 행동이 변형되는 리스크.,인간-기계 경계의 모호화,일상화된 인간-기계 상호작용 속에서 정체를 밝히지 않는 인간 유사 AI가 확산되어 인간과 기계의 경계가 모호해지고 기계·사람 모두에 대한 인간 행동이 변형되는 리스크.,L4_Description_ko,bb047229571d019ebfc976f0cec3ae652e99000fce5ed563e5e3181a73350da3,ORTHOGRAPHY,L3_MASTER|KOREAN_ORTHOGRAPHY_AND_SPACING_QA,NO,APPROVED_LANGUAGE_QA_20260829
KOC-0009,KOREAN_COPYEDIT_20260829,General,G_INT_ANTH_007,SRC-P-0188,RAI4-0866,G_INT_ANTH,Inappropriate impersonation of human roles,부적절한 인간 역할 가장,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정이 챗봇이 인간인 것처럼 가장하거나 인간의 기대에 부합하지 않는 방식으로 역할을 수행하려 시도하는 리스크.,부적절한 인간 역할 가장,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 챗봇이 인간인 것처럼 가장하거나 인간의 기대에 부합하지 않는 방식으로 역할을 수행하려 시도하는 리스크.,L4_Description_ko,b36bbee4bda3e79785e26bbe1092e51c39ded2d817b29522126881d184858aff,GRAMMAR_AND_ORTHOGRAPHY,L3_MASTER|KOREAN_ORTHOGRAPHY_AND_SPACING_QA,NO,APPROVED_LANGUAGE_QA_20260829
KOC-0010,KOREAN_COPYEDIT_20260829,General,G_INT_COPY_001,SRC-G-0571,new,G_INT_COPY,Circumvention of DRM and copyright protection technologies,DRM 및 저작권 보호기술 우회,AI 시스템이 DRM 및 저작권 보호 기술 우회 관련 콘텐츠·판단·행동을 수행·조장·지원하여 지식 재산권과 권리자의 정당한 이익을 침해하는 리스크.,DRM 및 저작권 보호기술 우회,AI 시스템이 DRM 및 저작권 보호 기술 우회 관련 콘텐츠·판단·행동을 수행·조장·지원하여 지식재산권과 권리자의 정당한 이익을 침해하는 리스크.,L4_Description_ko,1083f01bb13eae2eb06f64fdf9b47165a2b0b52814364d5c2233e3fa85d0110b,ORTHOGRAPHY,L3_MASTER|KOREAN_ORTHOGRAPHY_AND_SPACING_QA,NO,APPROVED_LANGUAGE_QA_20260829
