L4_ID,verdict,resolved_title,corrected_label,issue
G_SYS_EVAL_008,PASS,AI and the Everything in the Whole Wide World Benchmark,,
G_SYS_EVAL_011,PASS,Catastrophic forgetting in connectionist networks,,
G_SYS_EVAL_016,PASS,Alignment faking in large language models,,
G_SYS_EVAL_022,PASS,"Quantifying Language Models' Sensitivity to Spurious Features in Prompt Design or: How I learned to start worrying about prompt formatting",,
G_SYS_EVAL_029,PASS,Open Problems and Fundamental Limitations of Reinforcement Learning from Human Feedback,,
G_SYS_EVAL_035,PASS,Judging LLM-as-a-Judge with MT-Bench and Chatbot Arena,,
G_SYS_EVAL_051,PASS,"Fine-tuning Aligned Language Models Compromises Safety, Even When Users Do Not Intend To!",,
G_SYS_EVAL_052,PASS,Time Travel in LLMs: Tracing Data Contamination in Large Language Models,,
G_SYS_EVAL_054,PASS,State of the Art: Reproducibility in Artificial Intelligence,,
G_SYS_EVAL_066,PASS,LLM Evaluators Recognize and Favor Their Own Generations,,
G_SYS_EVAL_070,PASS,Model evaluation for extreme risks,,
G_SYS_EVAL_072,PASS,The Data Provenance Initiative: A Large Scale Audit of Dataset Licensing & Attribution in AI,,
A_SYS_GOAL_007,PASS,An Overview of Catastrophic AI Risks,,
A_SYS_GOAL_009,PASS,The Superintelligent Will: Motivation and Instrumental Rationality in Advanced Artificial Agents,,
A_SYS_GOAL_012,PASS,Optimal Policies Tend to Seek Power,,
A_SYS_GOAL_013,PASS,Measuring Progress on Scalable Oversight for Large Language Models,,
A_SYS_GOAL_014,PASS,Risks from Learned Optimization in Advanced Machine Learning Systems,,not independently re-fetched this session; arXiv:1906.01820 is a well-established, widely-cited paper (mesa-optimization) and the identifier/title pairing is corpus-consistent
A_SYS_GOAL_017,PASS,Concrete Problems in AI Safety,,
A_SYS_GOAL_023,PASS,Concrete Problems in AI Safety,,duplicate arXiv:1606.06565 of A_SYS_GOAL_017 (verified live)
G_SOC_ENV_005,PASS,Energy and Policy Considerations for Deep Learning in NLP,,
G_SOC_ENV_008,PASS,"Making AI Less ""Thirsty"": Uncovering and Addressing the Secret Water Footprint of AI Models",,
G_SOC_ENV_011,PASS,Carbon Emissions and Large Neural Network Training,,
A_INT_COLLUSION_001,PASS,"Artificial Intelligence, Algorithmic Pricing, and Collusion",,
A_INT_COLLUSION_002,PASS,Secret Collusion among AI Agents: Multi-Agent Deception via Steganography,,
G_SYS_SECADV_001,PASS,Explaining and Harnessing Adversarial Examples,,
G_SYS_SECADV_002,PASS,BadNets: Identifying Vulnerabilities in the Machine Learning Model Supply Chain,,
G_SYS_SECADV_006,PASS,PoisonedRAG: Knowledge Corruption Attacks to Retrieval-Augmented Generation of Large Language Models,,
G_SYS_SECADV_009,PASS,Visual Adversarial Examples Jailbreak Aligned Large Language Models,,
G_SYS_SECADV_010,PASS,Universal and Transferable Adversarial Attacks on Aligned Language Models,,not independently re-fetched (rate-limit/cache dedup); arXiv:2307.15043 is the well-known Zou et al. GCG attack paper, corpus-consistent
G_SYS_SECADV_012,PASS,Universal Jailbreak Backdoors from Poisoned Human Feedback,,
G_SYS_SECADV_018,PASS,Poisoning Attacks against Support Vector Machines,,
G_SYS_SECADV_021,PASS,Sponge Examples: Energy-Latency Attacks on Neural Networks,,
G_SYS_SECADV_025,PASS,Jailbroken: How Does LLM Safety Training Fail?,,
G_SYS_SECADV_026,PASS,"""Do Anything Now"": Characterizing and Evaluating In-The-Wild Jailbreak Prompts on Large Language Models",,
G_SYS_SECADV_038,PASS,"Great, Now Write an Article About That: The Crescendo Multi-Turn LLM Jailbreak Attack",,
G_SYS_SECADV_044,PASS,Not what you've signed up for: Compromising Real-World LLM-Integrated Applications with Indirect Prompt Injection,,
G_SYS_SECADV_046,PASS,Multi-Agent Risks from Advanced AI,,
G_SYS_SECADV_048,PASS,Scalable and Transferable Black-Box Jailbreaks for Language Models via Persona Modulation,,not independently re-fetched this session; arXiv:2311.03348 is a well-established, corpus-consistent identifier/title pairing
G_SYS_SECADV_050,PASS,"Fine-tuning Aligned Language Models Compromises Safety, Even When Users Do Not Intend To!",,duplicate arXiv:2310.03693 of G_SYS_EVAL_051 (verified live)
