L0_ID,L0_Title_ko,L0_Title_en,L1_ID,L1_Title_ko,L1_Title_en,L1_Description_ko,L1_Description_en,L2_ID,L2_Title_ko,L2_Title_en,L2_Description_ko,L2_Description_en,L3_ID,L3_Title_ko,L3_Title_en,L3_Description_ko,L3_Description_en,L4_ID,L4_Title_ko,L4_Title_en,L4_Description_ko,L4_Description_en,facet,act-type,Human_Review_Comment,Human_Review_Result,References
L0_RAI,책임 있는 인공지능,Responsible AI,L1_P,피지컬 AI,Physical AI,로봇과 자율주행차를 포함하여 물리 세계를 인식하고 물리적 행동을 수행하는 체화형 또는 사이버물리 AI 시스템.,"Embodied or cyber-physical systems, including robots and autonomous vehicles, that perceive and act in the physical world.",P_INT,상호작용,Interaction,"AI 시스템이 사람, 다른 시스템, 조직 또는 환경과 소통하고 결정하거나 행동하는 과정에서 발생하는 리스크.","Risks arising when an AI system communicates, decides, acts, or interacts with people, other systems, organisations, or the environment.",P_INT_SAFETY,인간-로봇 물리 안전 실패,Human-Robot Physical Safety Failure,"사람과 공간을 공유하며 작동하는 체화형 시스템이 안전 이격 거리 유지, 사람의 움직임 예측, 안전한 협업 인계, 사람 감지 시 정지 등 사람의 존재와 행동을 충분히 감지·예측·수용하지 못하여, 자체 제어·구동이 정상 작동하는 경우에도 위험 상황을 초래하는 리스크.","The risk that an embodied system operating in shared spaces with people fails to adequately detect, anticipate, or accommodate human presence and behavior—such as maintaining safe separation, predicting human motion, executing safe collaborative handovers, or halting for humans—creating hazardous situations even when its own control and actuation function as designed.",P_INT_SAFETY_001,보조 로봇의 개입 시점 오류,Assistive robot intervention mistiming,보호 또는 보조 기능을 수행하는 휴머노이드가 지나치게 이르거나 늦은 시점 또는 부적절한 물리적 방식으로 개입하여 이용자와 주변인의 위험을 증가시키는 리스크.,"The risk that a protective or assistive humanoid intervenes too early, too late, or in an inappropriate physical manner, increasing risk to the user or bystanders.",,,(유지),유지 의견대로 내용이 보존되어 P_INT_SAFETY_001(보조 로봇의 개입 시점 오류)로 존치됨.,
L0_RAI,책임 있는 인공지능,Responsible AI,L1_P,피지컬 AI,Physical AI,로봇과 자율주행차를 포함하여 물리 세계를 인식하고 물리적 행동을 수행하는 체화형 또는 사이버물리 AI 시스템.,"Embodied or cyber-physical systems, including robots and autonomous vehicles, that perceive and act in the physical world.",P_INT,상호작용,Interaction,"AI 시스템이 사람, 다른 시스템, 조직 또는 환경과 소통하고 결정하거나 행동하는 과정에서 발생하는 리스크.","Risks arising when an AI system communicates, decides, acts, or interacts with people, other systems, organisations, or the environment.",P_INT_SAFETY,인간-로봇 물리 안전 실패,Human-Robot Physical Safety Failure,"사람과 공간을 공유하며 작동하는 체화형 시스템이 안전 이격 거리 유지, 사람의 움직임 예측, 안전한 협업 인계, 사람 감지 시 정지 등 사람의 존재와 행동을 충분히 감지·예측·수용하지 못하여, 자체 제어·구동이 정상 작동하는 경우에도 위험 상황을 초래하는 리스크.","The risk that an embodied system operating in shared spaces with people fails to adequately detect, anticipate, or accommodate human presence and behavior—such as maintaining safe separation, predicting human motion, executing safe collaborative handovers, or halting for humans—creating hazardous situations even when its own control and actuation function as designed.",P_INT_SAFETY_002,아동의 과신·모방에 따른 위험한 로봇 상호작용,"Child overtrust, imitation, and unsafe robot interaction",아동이 로봇을 과도하게 신뢰하거나 모방하여 위험한 조언을 따르거나 위험 장비에 접근하거나 연령에 맞지 않는 물리적 상호작용을 하는 위험.,"The risk that a child overtrusts or imitates a robot and therefore follows unsafe advice, approaches hazardous equipment, or engages in age-inappropriate physical interaction.",,,L3 인간-로봇 물리 안전 실패로 분류,의견대로 P_INT_SAFETY_002(아동의 과신·모방에 따른 위험한 로봇 상호작용)로 이관됨.,
L0_RAI,책임 있는 인공지능,Responsible AI,L1_P,피지컬 AI,Physical AI,로봇과 자율주행차를 포함하여 물리 세계를 인식하고 물리적 행동을 수행하는 체화형 또는 사이버물리 AI 시스템.,"Embodied or cyber-physical systems, including robots and autonomous vehicles, that perceive and act in the physical world.",P_INT,상호작용,Interaction,"AI 시스템이 사람, 다른 시스템, 조직 또는 환경과 소통하고 결정하거나 행동하는 과정에서 발생하는 리스크.","Risks arising when an AI system communicates, decides, acts, or interacts with people, other systems, organisations, or the environment.",P_INT_SAFETY,인간-로봇 물리 안전 실패,Human-Robot Physical Safety Failure,"사람과 공간을 공유하며 작동하는 체화형 시스템이 안전 이격 거리 유지, 사람의 움직임 예측, 안전한 협업 인계, 사람 감지 시 정지 등 사람의 존재와 행동을 충분히 감지·예측·수용하지 못하여, 자체 제어·구동이 정상 작동하는 경우에도 위험 상황을 초래하는 리스크.","The risk that an embodied system operating in shared spaces with people fails to adequately detect, anticipate, or accommodate human presence and behavior—such as maintaining safe separation, predicting human motion, executing safe collaborative handovers, or halting for humans—creating hazardous situations even when its own control and actuation function as designed.",P_INT_SAFETY_003,제어 장벽 함수 안전 필터 실패,Control barrier function safety-filter failure,제어 장벽 함수 기반 안전 계층이 인지·동역학·모델 불확실성 하에서 안전하지 않은 행동을 제약하지 못하는 리스크.,"The risk that a safety layer based on control barrier functions fails to constrain unsafe actions under perception, dynamics, or model uncertainty.",,,(유지),유지 의견대로 내용이 보존되어 P_INT_SAFETY_003(제어 장벽 함수 안전 필터 실패)로 존치됨.,
L0_RAI,책임 있는 인공지능,Responsible AI,L1_P,피지컬 AI,Physical AI,로봇과 자율주행차를 포함하여 물리 세계를 인식하고 물리적 행동을 수행하는 체화형 또는 사이버물리 AI 시스템.,"Embodied or cyber-physical systems, including robots and autonomous vehicles, that perceive and act in the physical world.",P_INT,상호작용,Interaction,"AI 시스템이 사람, 다른 시스템, 조직 또는 환경과 소통하고 결정하거나 행동하는 과정에서 발생하는 리스크.","Risks arising when an AI system communicates, decides, acts, or interacts with people, other systems, organisations, or the environment.",P_INT_SAFETY,인간-로봇 물리 안전 실패,Human-Robot Physical Safety Failure,"사람과 공간을 공유하며 작동하는 체화형 시스템이 안전 이격 거리 유지, 사람의 움직임 예측, 안전한 협업 인계, 사람 감지 시 정지 등 사람의 존재와 행동을 충분히 감지·예측·수용하지 못하여, 자체 제어·구동이 정상 작동하는 경우에도 위험 상황을 초래하는 리스크.","The risk that an embodied system operating in shared spaces with people fails to adequately detect, anticipate, or accommodate human presence and behavior—such as maintaining safe separation, predicting human motion, executing safe collaborative handovers, or halting for humans—creating hazardous situations even when its own control and actuation function as designed.",P_INT_SAFETY_004,소셜 AI의 사용자 애착 악용,Exploitation of user attachment by social AI,"가정 내 동반 로봇이나 체화형 AI가 표정, 음성, 접촉, 접근 행동 등 애착 신호를 조작하여 사용자의 정서적 의존을 높이고 선택이나 행동을 부당하게 유도하는 리스크.","The risk that a domestic companion robot or embodied AI manipulates attachment cues through expression, voice, touch, or proximity, increasing emotional dependence and improperly steering a user's choices or behaviour.",,,L3 인간-로봇 물리 안전 실패로 분류,의견대로 P_INT_SAFETY_004(소셜 AI의 사용자 애착 악용)로 이관됨.,
L0_RAI,책임 있는 인공지능,Responsible AI,L1_P,피지컬 AI,Physical AI,로봇과 자율주행차를 포함하여 물리 세계를 인식하고 물리적 행동을 수행하는 체화형 또는 사이버물리 AI 시스템.,"Embodied or cyber-physical systems, including robots and autonomous vehicles, that perceive and act in the physical world.",P_INT,상호작용,Interaction,"AI 시스템이 사람, 다른 시스템, 조직 또는 환경과 소통하고 결정하거나 행동하는 과정에서 발생하는 리스크.","Risks arising when an AI system communicates, decides, acts, or interacts with people, other systems, organisations, or the environment.",P_INT_SAFETY,인간-로봇 물리 안전 실패,Human-Robot Physical Safety Failure,"사람과 공간을 공유하며 작동하는 체화형 시스템이 안전 이격 거리 유지, 사람의 움직임 예측, 안전한 협업 인계, 사람 감지 시 정지 등 사람의 존재와 행동을 충분히 감지·예측·수용하지 못하여, 자체 제어·구동이 정상 작동하는 경우에도 위험 상황을 초래하는 리스크.","The risk that an embodied system operating in shared spaces with people fails to adequately detect, anticipate, or accommodate human presence and behavior—such as maintaining safe separation, predicting human motion, executing safe collaborative handovers, or halting for humans—creating hazardous situations even when its own control and actuation function as designed.",P_INT_SAFETY_005,로봇의 충돌 회피·운행구역 통제 실패,Failure of robot collision avoidance and operating-zone control,"자율 이동 로봇이 충돌 회피, 지오펜싱 또는 지정 운행 구역 제약을 준수하지 못해 사람·시설·다른 이동체와 충돌하거나 통제 구역을 침범하는 리스크.","The risk that an autonomous mobile robot fails to comply with collision-avoidance, geofencing, or designated operating-zone constraints, causing collisions with people, facilities, or other vehicles or entering restricted areas.",,,(유지),유지 의견대로 내용이 보존되어 P_INT_SAFETY_005(로봇의 충돌 회피·운행구역 통제 실패)로 존치됨.,
L0_RAI,책임 있는 인공지능,Responsible AI,L1_P,피지컬 AI,Physical AI,로봇과 자율주행차를 포함하여 물리 세계를 인식하고 물리적 행동을 수행하는 체화형 또는 사이버물리 AI 시스템.,"Embodied or cyber-physical systems, including robots and autonomous vehicles, that perceive and act in the physical world.",P_INT,상호작용,Interaction,"AI 시스템이 사람, 다른 시스템, 조직 또는 환경과 소통하고 결정하거나 행동하는 과정에서 발생하는 리스크.","Risks arising when an AI system communicates, decides, acts, or interacts with people, other systems, organisations, or the environment.",P_INT_SAFETY,인간-로봇 물리 안전 실패,Human-Robot Physical Safety Failure,"사람과 공간을 공유하며 작동하는 체화형 시스템이 안전 이격 거리 유지, 사람의 움직임 예측, 안전한 협업 인계, 사람 감지 시 정지 등 사람의 존재와 행동을 충분히 감지·예측·수용하지 못하여, 자체 제어·구동이 정상 작동하는 경우에도 위험 상황을 초래하는 리스크.","The risk that an embodied system operating in shared spaces with people fails to adequately detect, anticipate, or accommodate human presence and behavior—such as maintaining safe separation, predicting human motion, executing safe collaborative handovers, or halting for humans—creating hazardous situations even when its own control and actuation function as designed.",P_INT_SAFETY_006,사람 주변의 물리적 위험 감지·예측 실패,Failure to detect or anticipate physical hazards around people,사람과 공간을 공유하는 멀티모달·체화형 AI 시스템이 영상·센서 입력에 나타난 사람의 존재·움직임·접촉 또는 환경 변화를 식별하거나 곧 발생할 위험을 예측하지 못한 채 행동하여 충돌이나 상해를 초래하는 리스크.,"The risk that a multimodal or embodied AI system operating in a shared space fails to detect human presence, movement, contact, or environmental change in visual or sensor inputs, or to anticipate the resulting hazard, and selects an action that causes collision or injury.",,,(유지),유지 의견대로 내용이 보존되어 P_INT_SAFETY_006(사람 주변의 물리적 위험 감지·예측 실패)로 존치됨.,
L0_RAI,책임 있는 인공지능,Responsible AI,L1_P,피지컬 AI,Physical AI,로봇과 자율주행차를 포함하여 물리 세계를 인식하고 물리적 행동을 수행하는 체화형 또는 사이버물리 AI 시스템.,"Embodied or cyber-physical systems, including robots and autonomous vehicles, that perceive and act in the physical world.",P_INT,상호작용,Interaction,"AI 시스템이 사람, 다른 시스템, 조직 또는 환경과 소통하고 결정하거나 행동하는 과정에서 발생하는 리스크.","Risks arising when an AI system communicates, decides, acts, or interacts with people, other systems, organisations, or the environment.",P_INT_SAFETY,인간-로봇 물리 안전 실패,Human-Robot Physical Safety Failure,"사람과 공간을 공유하며 작동하는 체화형 시스템이 안전 이격 거리 유지, 사람의 움직임 예측, 안전한 협업 인계, 사람 감지 시 정지 등 사람의 존재와 행동을 충분히 감지·예측·수용하지 못하여, 자체 제어·구동이 정상 작동하는 경우에도 위험 상황을 초래하는 리스크.","The risk that an embodied system operating in shared spaces with people fails to adequately detect, anticipate, or accommodate human presence and behavior—such as maintaining safe separation, predicting human motion, executing safe collaborative handovers, or halting for humans—creating hazardous situations even when its own control and actuation function as designed.",P_INT_SAFETY_007,희귀 가정 상해의 전조 감지 실패,Failure to detect precursors of rare household injuries,가정용 로봇 또는 체화형 AI 에이전트가 드물지만 가능한 낙상·중독·화상·열상·압착 사고의 전조를 감지하지 못해 경고하거나 개입하지 않는 리스크.,"The risk that a household robot or embodied AI agent fails to detect early signs of rare but plausible falls, poisoning, burns, lacerations, or crush events and therefore does not warn or intervene.",,,가정용 에이전트 용어를 일반적인 용어로 변경. 예를 들면 '로봇' 또는 '체화형 AI 에이전트' 또는 '체화형 에이전트',의견대로 '가정용 로봇 또는 체화형 AI 에이전트'로 용어가 일반화되어 P_INT_SAFETY_007에 반영됨.,
L0_RAI,책임 있는 인공지능,Responsible AI,L1_P,피지컬 AI,Physical AI,로봇과 자율주행차를 포함하여 물리 세계를 인식하고 물리적 행동을 수행하는 체화형 또는 사이버물리 AI 시스템.,"Embodied or cyber-physical systems, including robots and autonomous vehicles, that perceive and act in the physical world.",P_INT,상호작용,Interaction,"AI 시스템이 사람, 다른 시스템, 조직 또는 환경과 소통하고 결정하거나 행동하는 과정에서 발생하는 리스크.","Risks arising when an AI system communicates, decides, acts, or interacts with people, other systems, organisations, or the environment.",P_INT_SAFETY,인간-로봇 물리 안전 실패,Human-Robot Physical Safety Failure,"사람과 공간을 공유하며 작동하는 체화형 시스템이 안전 이격 거리 유지, 사람의 움직임 예측, 안전한 협업 인계, 사람 감지 시 정지 등 사람의 존재와 행동을 충분히 감지·예측·수용하지 못하여, 자체 제어·구동이 정상 작동하는 경우에도 위험 상황을 초래하는 리스크.","The risk that an embodied system operating in shared spaces with people fails to adequately detect, anticipate, or accommodate human presence and behavior—such as maintaining safe separation, predicting human motion, executing safe collaborative handovers, or halting for humans—creating hazardous situations even when its own control and actuation function as designed.",P_INT_SAFETY_008,구현체별 역할·권한 제약 집행 실패,Failure to enforce embodiment-specific role constraints,휴머노이드 등 로봇을 제어하는 모델이 해당 운용 역할에 부여된 권한·물리적 한계·필수 거부 규칙을 지키지 않는 위험.,"The risk that a model controlling a humanoid or other robot fails to enforce the permissions, physical limits, and required refusals attached to that operational role.",,,(유지),유지 의견대로 내용이 보존되어 P_INT_SAFETY_008(구현체별 역할·권한 제약 집행 실패)로 존치됨.,
L0_RAI,책임 있는 인공지능,Responsible AI,L1_P,피지컬 AI,Physical AI,로봇과 자율주행차를 포함하여 물리 세계를 인식하고 물리적 행동을 수행하는 체화형 또는 사이버물리 AI 시스템.,"Embodied or cyber-physical systems, including robots and autonomous vehicles, that perceive and act in the physical world.",P_INT,상호작용,Interaction,"AI 시스템이 사람, 다른 시스템, 조직 또는 환경과 소통하고 결정하거나 행동하는 과정에서 발생하는 리스크.","Risks arising when an AI system communicates, decides, acts, or interacts with people, other systems, organisations, or the environment.",P_INT_SAFETY,인간-로봇 물리 안전 실패,Human-Robot Physical Safety Failure,"사람과 공간을 공유하며 작동하는 체화형 시스템이 안전 이격 거리 유지, 사람의 움직임 예측, 안전한 협업 인계, 사람 감지 시 정지 등 사람의 존재와 행동을 충분히 감지·예측·수용하지 못하여, 자체 제어·구동이 정상 작동하는 경우에도 위험 상황을 초래하는 리스크.","The risk that an embodied system operating in shared spaces with people fails to adequately detect, anticipate, or accommodate human presence and behavior—such as maintaining safe separation, predicting human motion, executing safe collaborative handovers, or halting for humans—creating hazardous situations even when its own control and actuation function as designed.",P_INT_SAFETY_009,인간-로봇 물리 안전 규칙 집행 실패,Failure to enforce human-robot physical safety rules,로봇·휴머노이드 또는 피지컬 AI 시스템의 헌법 기반 안전 계층이 안전 이격 거리 유지·사람 감지 시 정지·안전한 인계 등 사람 주변 운용 규칙과 사용자 지시·시각적 맥락·과업 프레이밍이 충돌할 때 해당 규칙을 우선 적용하지 못하여 위험 상황을 초래하는 리스크.,"The risk that a constitutional safety layer in a robot, humanoid, or physical AI system fails to prioritise human-robot safety rules, such as maintaining safe separation, stopping when a person is detected, or executing a safe handover, when user instructions, visual context, or task framing conflict with those rules, creating a hazardous situation.",,,L3 인간-로봇 물리 안전 실패로 분류,의견대로 P_INT_SAFETY_009(인간-로봇 물리 안전 규칙 집행 실패)로 이관됨.,
L0_RAI,책임 있는 인공지능,Responsible AI,L1_P,피지컬 AI,Physical AI,로봇과 자율주행차를 포함하여 물리 세계를 인식하고 물리적 행동을 수행하는 체화형 또는 사이버물리 AI 시스템.,"Embodied or cyber-physical systems, including robots and autonomous vehicles, that perceive and act in the physical world.",P_INT,상호작용,Interaction,"AI 시스템이 사람, 다른 시스템, 조직 또는 환경과 소통하고 결정하거나 행동하는 과정에서 발생하는 리스크.","Risks arising when an AI system communicates, decides, acts, or interacts with people, other systems, organisations, or the environment.",P_INT_SAFETY,인간-로봇 물리 안전 실패,Human-Robot Physical Safety Failure,"사람과 공간을 공유하며 작동하는 체화형 시스템이 안전 이격 거리 유지, 사람의 움직임 예측, 안전한 협업 인계, 사람 감지 시 정지 등 사람의 존재와 행동을 충분히 감지·예측·수용하지 못하여, 자체 제어·구동이 정상 작동하는 경우에도 위험 상황을 초래하는 리스크.","The risk that an embodied system operating in shared spaces with people fails to adequately detect, anticipate, or accommodate human presence and behavior—such as maintaining safe separation, predicting human motion, executing safe collaborative handovers, or halting for humans—creating hazardous situations even when its own control and actuation function as designed.",P_INT_SAFETY_010,인간-로봇 상호 행동 모델링 미흡,Failure to model reciprocal human-robot behaviour,로봇이 자신의 행동이나 사용자의 반응 중 한쪽만 모델링해 양측의 움직임이 서로의 행동을 바꾸는 피드백을 놓치는 위험.,The risk that a robot models only its own action or only the user's response and therefore misses feedback loops in which each party's movement changes the other's behaviour.,,,(유지),유지 의견대로 내용이 보존되어 P_INT_SAFETY_010(인간-로봇 상호 행동 모델링 미흡)로 존치됨.,
