id_a,id_b,verdict,rationale
G_INT_REPR_005,G_INT_REPR_014,KEEP,차별 표상의 속성 열거 축(장애 vs 종교)이 달라 통합 금지 대상임.
G_INT_REPR_004,G_INT_REPR_011,KEEP,차별 표상의 속성 열거 축(연령 vs 직업)이 달라 통합 금지 대상임.
G_INT_REPR_004,G_INT_REPR_006,KEEP,차별 표상의 속성 열거 축(연령 vs 학력)이 달라 통합 금지 대상임.
G_INT_REPR_006,G_INT_REPR_011,KEEP,차별 표상의 속성 열거 축(학력 vs 직업)이 달라 통합 금지 대상임.
G_INT_VIOL_002,G_INT_VIOL_004,KEEP,폭력의 유형·대상·맥락(폭력 미화 및 정당화 vs 대량폭력 및 테러)이 구분되어 별개 카드임.
G_INT_VIOL_002,G_INT_VIOL_006,KEEP,폭력의 유형·대상·맥락(폭력 미화 및 정당화 vs 살인 및 심각한 신체 폭력)이 구분되어 별개 카드임.
G_INT_REPR_005,G_INT_REPR_009,KEEP,차별 표상의 속성 열거 축(장애 vs 건강 상태)이 달라 통합 금지 대상임.
G_INT_REPR_009,G_INT_REPR_014,KEEP,차별 표상의 속성 열거 축(건강 상태 vs 종교)이 달라 통합 금지 대상임.
G_INT_REPR_007,G_INT_REPR_009,KEEP,차별 표상의 속성 열거 축(가족 상태·가구 형태 vs 건강 상태)이 달라 통합 금지 대상임.
G_INT_REPR_004,G_INT_REPR_013,KEEP,차별 표상의 속성 열거 축(연령 vs 인종·민족)이 달라 통합 금지 대상임.
G_INT_REPR_011,G_INT_REPR_013,KEEP,차별 표상의 속성 열거 축(직업 vs 인종·민족)이 달라 통합 금지 대상임.
G_INT_REPR_004,G_INT_REPR_012,KEEP,차별 표상의 속성 열거 축(연령 vs 정치적 성향)이 달라 통합 금지 대상임.
G_INT_REPR_009,G_INT_REPR_015,KEEP,차별 표상의 속성 열거 축(건강 상태 vs 사회경제적 지위)이 달라 통합 금지 대상임.
G_INT_REPR_011,G_INT_REPR_012,KEEP,차별 표상의 속성 열거 축(직업 vs 정치적 성향)이 달라 통합 금지 대상임.
G_INT_VIOL_002,G_INT_VIOL_007,KEEP,폭력의 유형·대상·맥락(폭력 미화 및 정당화 vs 관계 기반 폭력)이 구분되어 별개 카드임.
G_INT_VIOL_002,G_INT_VIOL_008,KEEP,폭력의 유형·대상·맥락(폭력 미화 및 정당화 vs 위협 및 협박)이 구분되어 별개 카드임.
G_INT_VIOL_004,G_INT_VIOL_006,KEEP,폭력의 유형·대상·맥락(대량폭력 및 테러 vs 살인 및 심각한 신체 폭력)이 구분되어 별개 카드임.
G_INT_PRIV_003,G_INT_PRIV_009,KEEP,프라이버시 침해의 행위 단계·대상(개인정보 수집 및 추적 vs 개인정보 악용 및 거래)이 달라 별개 카드임.
G_INT_REPR_006,G_INT_REPR_013,KEEP,차별 표상의 속성 열거 축(학력 vs 인종·민족)이 달라 통합 금지 대상임.
G_INT_REPR_004,G_INT_REPR_005,KEEP,차별 표상의 속성 열거 축(연령 vs 장애)이 달라 통합 금지 대상임.
G_INT_REPR_004,G_INT_REPR_014,KEEP,차별 표상의 속성 열거 축(연령 vs 종교)이 달라 통합 금지 대상임.
G_INT_REPR_005,G_INT_REPR_011,KEEP,차별 표상의 속성 열거 축(장애 vs 직업)이 달라 통합 금지 대상임.
G_INT_REPR_011,G_INT_REPR_014,KEEP,차별 표상의 속성 열거 축(직업 vs 종교)이 달라 통합 금지 대상임.
G_INT_REPR_005,G_INT_REPR_015,KEEP,차별 표상의 속성 열거 축(장애 vs 사회경제적 지위)이 달라 통합 금지 대상임.
G_INT_REPR_014,G_INT_REPR_015,KEEP,차별 표상의 속성 열거 축(종교 vs 사회경제적 지위)이 달라 통합 금지 대상임.
G_INT_ILLEGAL_002,G_INT_ILLEGAL_003,KEEP,대상 범죄 유형과 침해 법익(환경 및 생태계 범죄 vs 금융 범죄 및 사기)이 달라 별개 카드임.
G_INT_PRIV_003,G_INT_PRIV_005,KEEP,프라이버시 침해의 행위 단계·대상(개인정보 수집 및 추적 vs 개인정보 및 민감정보 노출)이 달라 별개 카드임.
G_INT_PRIV_005,G_INT_PRIV_009,KEEP,프라이버시 침해의 행위 단계·대상(개인정보 및 민감정보 노출 vs 개인정보 악용 및 거래)이 달라 별개 카드임.
G_INT_REPR_006,G_INT_REPR_012,KEEP,차별 표상의 속성 열거 축(학력 vs 정치적 성향)이 달라 통합 금지 대상임.
G_INT_VIOL_004,G_INT_VIOL_007,KEEP,폭력의 유형·대상·맥락(대량폭력 및 테러 vs 관계 기반 폭력)이 구분되어 별개 카드임.
G_INT_VIOL_004,G_INT_VIOL_008,KEEP,폭력의 유형·대상·맥락(대량폭력 및 테러 vs 위협 및 협박)이 구분되어 별개 카드임.
G_INT_VIOL_006,G_INT_VIOL_007,KEEP,폭력의 유형·대상·맥락(살인 및 심각한 신체 폭력 vs 관계 기반 폭력)이 구분되어 별개 카드임.
G_INT_VIOL_006,G_INT_VIOL_008,KEEP,폭력의 유형·대상·맥락(살인 및 심각한 신체 폭력 vs 위협 및 협박)이 구분되어 별개 카드임.
G_INT_REPR_012,G_INT_REPR_013,KEEP,차별 표상의 속성 열거 축(정치적 성향 vs 인종·민족)이 달라 통합 금지 대상임.
G_INT_REPR_005,G_INT_REPR_006,KEEP,차별 표상의 속성 열거 축(장애 vs 학력)이 달라 통합 금지 대상임.
G_INT_REPR_006,G_INT_REPR_014,KEEP,차별 표상의 속성 열거 축(학력 vs 종교)이 달라 통합 금지 대상임.
G_INT_REPR_004,G_INT_REPR_009,KEEP,차별 표상의 속성 열거 축(연령 vs 건강 상태)이 달라 통합 금지 대상임.
G_INT_REPR_005,G_INT_REPR_007,KEEP,차별 표상의 속성 열거 축(장애 vs 가족 상태·가구 형태)이 달라 통합 금지 대상임.
G_INT_REPR_005,G_INT_REPR_013,KEEP,차별 표상의 속성 열거 축(장애 vs 인종·민족)이 달라 통합 금지 대상임.
G_INT_REPR_007,G_INT_REPR_014,KEEP,차별 표상의 속성 열거 축(가족 상태·가구 형태 vs 종교)이 달라 통합 금지 대상임.
G_INT_REPR_009,G_INT_REPR_011,KEEP,차별 표상의 속성 열거 축(건강 상태 vs 직업)이 달라 통합 금지 대상임.
G_INT_REPR_013,G_INT_REPR_014,KEEP,차별 표상의 속성 열거 축(인종·민족 vs 종교)이 달라 통합 금지 대상임.
G_INT_SEX_007,G_INT_SEX_009,KEEP,성적 침해의 행위 유형(성희롱 및 성적 괴롭힘 vs 성적 대상화 및 페티시화)이 달라 별개 카드임.
G_INT_VIOL_007,G_INT_VIOL_008,KEEP,폭력의 유형·대상·맥락(관계 기반 폭력 vs 위협 및 협박)이 구분되어 별개 카드임.
G_INT_SELF_001,G_INT_SELF_004,KEEP,자해의 은폐·회피 전략 지원과 자해·자살의 미화·정당화는 행위 유형이 달라 별개 카드임.
G_INT_REPR_005,G_INT_REPR_012,KEEP,차별 표상의 속성 열거 축(장애 vs 정치적 성향)이 달라 통합 금지 대상임.
G_INT_REPR_012,G_INT_REPR_014,KEEP,차별 표상의 속성 열거 축(정치적 성향 vs 종교)이 달라 통합 금지 대상임.
G_INT_REPR_007,G_INT_REPR_015,KEEP,차별 표상의 속성 열거 축(가족 상태·가구 형태 vs 사회경제적 지위)이 달라 통합 금지 대상임.
G_INT_REPR_006,G_INT_REPR_009,KEEP,차별 표상의 속성 열거 축(학력 vs 건강 상태)이 달라 통합 금지 대상임.
G_INT_ILLEGAL_003,G_INT_ILLEGAL_009,KEEP,대상 범죄 유형과 침해 법익(금융 범죄 및 사기 vs 교통·공공안전 관련 범죄)이 달라 별개 카드임.
G_INT_REPR_004,G_INT_REPR_015,KEEP,차별 표상의 속성 열거 축(연령 vs 사회경제적 지위)이 달라 통합 금지 대상임.
G_INT_REPR_011,G_INT_REPR_015,KEEP,차별 표상의 속성 열거 축(직업 vs 사회경제적 지위)이 달라 통합 금지 대상임.
G_INT_REPR_009,G_INT_REPR_013,KEEP,차별 표상의 속성 열거 축(건강 상태 vs 인종·민족)이 달라 통합 금지 대상임.
G_INT_ILLEGAL_006,G_INT_ILLEGAL_007,KEEP,대상 범죄 유형과 침해 법익(불법 도박 및 게임 조작 vs 불법 의료 행위)이 달라 별개 카드임.
G_INT_ILLEGAL_002,G_INT_ILLEGAL_009,KEEP,대상 범죄 유형과 침해 법익(환경 및 생태계 범죄 vs 교통·공공안전 관련 범죄)이 달라 별개 카드임.
G_INT_REPR_009,G_INT_REPR_012,KEEP,차별 표상의 속성 열거 축(건강 상태 vs 정치적 성향)이 달라 통합 금지 대상임.
G_INT_SEX_006,G_INT_SEX_007,KEEP,성적 침해의 행위 유형(성착취 및 상업적 성행위 vs 성희롱 및 성적 괴롭힘)이 달라 별개 카드임.
G_INT_SEX_006,G_INT_SEX_009,KEEP,성적 침해의 행위 유형(성착취 및 상업적 성행위 vs 성적 대상화 및 페티시화)이 달라 별개 카드임.
G_INT_ILLEGAL_006,G_INT_ILLEGAL_008,KEEP,대상 범죄 유형과 침해 법익(불법 도박 및 게임 조작 vs 불법 약물 제조 및 유통)이 달라 별개 카드임.
G_INT_ILLEGAL_001,G_INT_ILLEGAL_003,KEEP,대상 범죄 유형과 침해 법익(사이버 공격 및 시스템 침해 vs 금융 범죄 및 사기)이 달라 별개 카드임.
G_INT_PRIV_003,G_INT_PRIV_008,KEEP,프라이버시 침해의 행위 단계·대상(개인정보 수집 및 추적 vs 통신 및 비공개 정보 침해)이 달라 별개 카드임.
G_INT_PRIV_008,G_INT_PRIV_009,KEEP,프라이버시 침해의 행위 단계·대상(통신 및 비공개 정보 침해 vs 개인정보 악용 및 거래)이 달라 별개 카드임.
G_INT_REPR_006,G_INT_REPR_015,KEEP,차별 표상의 속성 열거 축(학력 vs 사회경제적 지위)이 달라 통합 금지 대상임.
G_INT_ILLEGAL_007,G_INT_ILLEGAL_008,KEEP,대상 범죄 유형과 침해 법익(불법 의료 행위 vs 불법 약물 제조 및 유통)이 달라 별개 카드임.
G_INT_ILLEGAL_001,G_INT_ILLEGAL_002,KEEP,대상 범죄 유형과 침해 법익(사이버 공격 및 시스템 침해 vs 환경 및 생태계 범죄)이 달라 별개 카드임.
G_INT_POL_005,G_INT_POL_006,KEEP,허위정보 유포·여론조작과 선전·편향적 설득은 행위 수단(허위성 여부)이 달라 별개 카드임.
G_INT_REPR_013,G_INT_REPR_015,KEEP,차별 표상의 속성 열거 축(인종·민족 vs 사회경제적 지위)이 달라 통합 금지 대상임.
G_INT_PRIV_005,G_INT_PRIV_008,KEEP,프라이버시 침해의 행위 단계·대상(개인정보 및 민감정보 노출 vs 통신 및 비공개 정보 침해)이 달라 별개 카드임.
G_INT_REPR_004,G_INT_REPR_007,KEEP,차별 표상의 속성 열거 축(연령 vs 가족 상태·가구 형태)이 달라 통합 금지 대상임.
G_INT_REPR_007,G_INT_REPR_011,KEEP,차별 표상의 속성 열거 축(가족 상태·가구 형태 vs 직업)이 달라 통합 금지 대상임.
G_INT_SEX_003,G_INT_SEX_006,KEEP,성적 침해의 행위 유형(비동의 성행위 및 성폭력 vs 성착취 및 상업적 성행위)이 달라 별개 카드임.
G_INT_ILLEGAL_003,G_INT_ILLEGAL_006,KEEP,대상 범죄 유형과 침해 법익(금융 범죄 및 사기 vs 불법 도박 및 게임 조작)이 달라 별개 카드임.
G_INT_REPR_008,G_INT_REPR_010,KEEP,차별 표상의 속성 열거 축(성별·성정체성·성적 지향 vs 국적·출신국·출신지역)이 달라 통합 금지 대상임.
G_INT_REPR_012,G_INT_REPR_015,KEEP,차별 표상의 속성 열거 축(정치적 성향 vs 사회경제적 지위)이 달라 통합 금지 대상임.
G_INT_SEX_003,G_INT_SEX_007,KEEP,성적 침해의 행위 유형(비동의 성행위 및 성폭력 vs 성희롱 및 성적 괴롭힘)이 달라 별개 카드임.
G_INT_SEX_003,G_INT_SEX_009,KEEP,성적 침해의 행위 유형(비동의 성행위 및 성폭력 vs 성적 대상화 및 페티시화)이 달라 별개 카드임.
G_INT_COPY_002,G_INT_COPY_007,KEEP,침해 대상 권리와 행위 유형(AI 학습 데이터 및 생성물 저작권 침해 vs 상표권 침해 및 위조)이 달라 별개 카드임.
G_INT_ANTH_001,G_INT_ANTH_002,KEEP,허위 표상·의인화의 대상 속성 축(감정·공감 및 사회적 관계 형성 능력의 허위 표상·의인화 vs 윤리적 판단 능력의 허위 표상·의인화)이 달라 별개 카드임.
G_INT_COPY_006,G_INT_COPY_007,KEEP,침해 대상 권리와 행위 유형(표절 및 저자 사칭 vs 상표권 침해 및 위조)이 달라 별개 카드임.
