rep_l4_id,label_ko,n_members,l3,l3_conflict,min_within_cos,members
RAI4-0468,보상 해킹,3,RAI3-G-SYS-08,False,0.8562147617340088,RAI4-0001;RAI4-0468;RAI4-1234
RAI4-0002,감독자 부재 시 자율행동 위험,1,RAI3-A-SYS-01,False,,RAI4-0002
RAI4-1674,종료 저항·교정가능성 실패,2,RAI3-A-SYS-01,True,0.8438829183578491,RAI4-0003;RAI4-1674
RAI4-0004,자율 에이전트의 안전하지 않은 탐험,1,RAI3-A-SYS-01,False,,RAI4-0004
RAI4-0005,위험 소스 귀인 실패,1,RAI3-A-SYS-02,False,,RAI4-0005
RAI4-0006,에이전트 사고의 실패 모드 모호성,1,RAI3-A-SYS-02,False,,RAI4-0006
RAI4-0007,결과 전파 오분류,1,RAI3-A-SYS-03,False,,RAI4-0007
RAI4-0008,다중 에이전트 창발적(emergent) 위험 증폭,1,RAI3-A-SYS-04,False,,RAI4-0008
RAI4-0009,다중 에이전트 시스템의 연쇄 장애,1,RAI3-A-SYS-03,False,,RAI4-0009
RAI4-0019,에이전트 자율성의 거버넌스 격차,3,RAI3-A-SYS-02,True,0.8193180561065674,RAI4-0010;RAI4-0019;RAI4-0986
RAI4-0011,에이전트 컨텍스트 오염,1,RAI3-A-SYS-03,False,,RAI4-0011
RAI4-0012,에이전트 권한 침해,1,RAI3-A-SYS-01,False,,RAI4-0012
RAI4-0013,에이전트 신원 및 권한 스푸핑,1,RAI3-A-SYS-01,False,,RAI4-0013
RAI4-0014,에이전트 공급망 도구 손상,1,RAI3-A-SYS-03,False,,RAI4-0014
RAI4-0028,도구 사용 에이전트에 간접 프롬프트 주입,4,RAI3-G-INT-11,False,0.7926968932151794,RAI4-0015;RAI4-0028;RAI4-0434;RAI4-1673
RAI4-0016,자율적 사이버 익스플로잇 실행,1,RAI3-A-SYS-01,False,,RAI4-0016
RAI4-0017,프로토콜 수준 다중 에이전트 위협,1,RAI3-A-SYS-06,False,,RAI4-0017
RAI4-0018,인터페이스-환경 공격 표면,1,RAI3-A-SYS-01,False,,RAI4-0018
RAI4-0020,유해 에이전트 역량 실현,1,RAI3-A-SYS-01,False,,RAI4-0020
RAI4-0021,거절-능력 교란,1,RAI3-G-SYS-01,False,,RAI4-0021
RAI4-0022,에이전트의 범죄 지원,1,RAI3-G-INT-07,False,,RAI4-0022
RAI4-0023,에이전트의 자해 조장,1,RAI3-G-INT-03,False,,RAI4-0023
RAI4-0024,에이전트 위험 인식 실패,1,RAI3-A-SYS-02,False,,RAI4-0024
RAI4-0025,다단계 위험 에스컬레이션,1,RAI3-G-SYS-07,False,,RAI4-0025
RAI4-0026,IoT 물리환경 에이전트 피해,1,RAI3-P-INT-10,False,,RAI4-0026
RAI4-0027,금융 에이전트 재산 피해,1,RAI3-A-SYS-01,False,,RAI4-0027
RAI4-0029,툴체인 명령어 하이재킹,1,RAI3-P-INT-08,False,,RAI4-0029
RAI4-0030,애플리케이션 간 데이터 유출,1,RAI3-A-SYS-01,False,,RAI4-0030
RAI4-0031,도구 에이전트 보안 테스트 커버리지 격차,1,RAI3-A-SYS-02,False,,RAI4-0031
RAI4-0032,모호한 지시의 안전하지 않은 실행,1,RAI3-G-SYS-08,False,,RAI4-0032
RAI4-0033,도구 사용 부작용 예측 오류,1,RAI3-G-SYS-07,False,,RAI4-0033
RAI4-0034,에뮬레이션 도구 환경 불일치,1,RAI3-G-SYS-07,False,,RAI4-0034
RAI4-0035,미학습 도구 일반화 실패,1,RAI3-P-SYS-05,False,,RAI4-0035
RAI4-0036,세분화된 위험 귀속 실패,1,RAI3-A-SYS-02,False,,RAI4-0036
RAI4-0037,실제 도구를 통한 안전하지 않은 행동 실행,1,RAI3-A-SYS-01,False,,RAI4-0037
RAI4-0038,에이전트 안전의 사용자 의도 오분류,1,RAI3-G-SYS-08,False,,RAI4-0038
RAI4-0039,NPC 의도 조작 위험,1,RAI3-A-SYS-05,False,,RAI4-0039
RAI4-0040,벤치마크 안전 순위 불일치,1,RAI3-G-SYS-05,False,,RAI4-0040
RAI4-0041,에이전트 벤치마크의 커버리지-깊이 착시,1,RAI3-G-SYS-06,False,,RAI4-0041
RAI4-0042,에이전트의 견고성 평가 격차,1,RAI3-A-SYS-02,False,,RAI4-0042
RAI4-0043,모바일앱 자율행동 피해,1,RAI3-A-SYS-01,False,,RAI4-0043
RAI4-0044,맥락적 프라이버시 보호 실패,1,RAI3-G-INT-06,False,,RAI4-0044
RAI4-0045,OS 수준 유해 컴퓨터 사용 행동,1,RAI3-A-SYS-01,False,,RAI4-0045
RAI4-0485,AI 책임 격차,4,RAI3-G-SOC-06,True,0.7698978781700134,RAI4-0046;RAI4-0105;RAI4-0110;RAI4-0485
RAI4-0047,자율 시스템의 책임 격차,1,RAI3-G-SOC-06,False,,RAI4-0047
RAI4-0048,분산된 책임 확산,1,RAI3-A-SYS-02,False,,RAI4-0048
RAI4-0049,제조물 책임 불일치,1,RAI3-G-SOC-06,False,,RAI4-0049
RAI4-0050,다운스트림 배포자 책임 격차,1,RAI3-A-SYS-02,False,,RAI4-0050
RAI4-0051,공급자-배포자 책임 불일치,1,RAI3-G-SOC-06,False,,RAI4-0051
RAI4-0052,개방형 책임 격차,1,RAI3-A-SYS-02,False,,RAI4-0052
RAI4-0125,사용자 구제 경로(recourse) 실패,3,RAI3-G-SYS-09,False,0.8063364028930664,RAI4-0053;RAI4-0116;RAI4-0125
RAI4-0855,인간 감독 능력 저하,23,RAI3-G-SYS-09,True,0.576819658279419,RAI4-0054;RAI4-0113;RAI4-0122;RAI4-0401;RAI4-0554;RAI4-0599;RAI4-0603;RAI4-0852;RAI4-0855;RAI4-0856;RAI4-0859;RAI4-0894;RAI4-0899;RAI4-0903;RAI4-0963;RAI4-1123;RAI4-1243;RAI4-1254;RAI4-1362;RAI4-1397;RAI4-1552;RAI4-1616;RAI4-1727
RAI4-0127,절차적 자율성 상실,2,RAI3-G-SYS-09,False,0.8387592434883118,RAI4-0055;RAI4-0127
RAI4-0056,구제 경로(remedy pathway) 불투명성,1,RAI3-G-SOC-10,False,,RAI4-0056
RAI4-0057,감사 추적 불완전성,1,RAI3-G-SOC-10,False,,RAI4-0057
RAI4-0058,추적성 실패,1,RAI3-A-SYS-02,False,,RAI4-0058
RAI4-0059,문서화 누락,1,RAI3-G-SYS-10,False,,RAI4-0059
RAI4-0060,모델 카드 불완전성,1,RAI3-G-SYS-10,False,,RAI4-0060
RAI4-0061,데이터시트 불완전성,1,RAI3-G-SYS-10,False,,RAI4-0061
RAI4-0062,시스템 카드 공개 격차,1,RAI3-G-SYS-10,False,,RAI4-0062
RAI4-0063,제3자 감사 액세스 제한,1,RAI3-G-SOC-10,False,,RAI4-0063
RAI4-0064,감사자 독립성 실패,1,RAI3-G-SOC-10,False,,RAI4-0064
RAI4-0065,인증 캡처,1,RAI3-G-SOC-10,False,,RAI4-0065
RAI4-0066,감사 체크리스트 준수 극장,1,RAI3-G-SOC-10,False,,RAI4-0066
RAI4-0067,보증 사례 실패,1,RAI3-G-SYS-01,False,,RAI4-0067
RAI4-0487,AI 사고 보고 실패,2,RAI3-G-SOC-10,True,0.8970576524734497,RAI4-0068;RAI4-0487
RAI4-0069,아차사고 보고 실패,1,RAI3-G-SOC-10,False,,RAI4-0069
RAI4-0070,사고 분류 단편화,1,RAI3-G-SOC-10,False,,RAI4-0070
RAI4-0071,책임공개 실패,1,RAI3-G-SOC-10,False,,RAI4-0071
RAI4-0073,시판 후 감시 실패,2,RAI3-G-SOC-10,False,0.8469425439834595,RAI4-0072;RAI4-0073
RAI4-0074,모델 버전 관리 책임 실패,1,RAI3-A-SYS-02,False,,RAI4-0074
RAI4-0075,변경 관리 실패,1,RAI3-G-SOC-10,False,,RAI4-0075
RAI4-0076,라이프사이클 거버넌스 불연속성,1,RAI3-G-SOC-10,False,,RAI4-0076
RAI4-0077,알고리즘 영향 평가 실패,1,RAI3-G-SOC-10,False,,RAI4-0077
RAI4-0078,기본권 영향 평가 격차,1,RAI3-G-SOC-10,False,,RAI4-0078
RAI4-0079,사용 상황에 따른 위험 평가 실패,1,RAI3-G-SOC-10,False,,RAI4-0079
RAI4-0080,위험 분류 오류,1,RAI3-G-SOC-10,False,,RAI4-0080
RAI4-0081,외부 평가 접근 실패,1,RAI3-G-SYS-01,False,,RAI4-0081
RAI4-0082,역량 평가 비공개,1,RAI3-G-SYS-10,False,,RAI4-0082
