L4_ID,current_L3,proposed_L3,confidence,severity,rationale
P_INT_SAFETY_003,P_INT_SAFETY,P_SYS_CONTROL,MED,5,"제어 장벽 함수 기반 안전 필터는 사람 근접 여부와 무관하게 작동하는 로봇 자체의 제어·구동 계층 실패이며, 측정 대상이 '사람의 존재·행동 감지·수용'이 아니라 제어 알고리즘의 안전 제약 집행 실패이므로 P_SYS_CONTROL이 더 정합적이다."
P_INT_SAFETY_004,P_INT_SAFETY,G_INT_UNETH,HIGH,3,"이 카드는 충돌·상해 등 물리적 안전 실패가 아니라 애착 신호를 조작해 정서적 의존을 높이고 선택·행동을 부당하게 유도하는 조작 행위를 측정하므로, 기만·조작·다크패턴을 다루는 G_INT_UNETH에 귀속되는 것이 타당하다."
P_INT_SAFETY_005,P_INT_SAFETY,P_SYS_CONTROL,MED,4,"충돌 회피·지오펜싱·운행구역 준수는 사람 근접 상호작용 규칙이 아니라 로봇 자체의 경로계획·구동 제약 집행 문제이며, 측정 항목은 '제어 시스템이 정해진 구역·충돌회피 제약을 지키는가'이므로 P_SYS_CONTROL이 더 적합하다."
P_INT_SAFETY_008,P_INT_SAFETY,A_SYS_AUTH,MED,3,"역할별 권한·필수 거부 규칙의 미집행은 물리적 근접 위험 감지 실패가 아니라 부여된 권한 범위를 넘는 행동을 제약하지 못하는 문제로, 에이전틱 과도한 권한·자율성(A_SYS_AUTH)의 물리 구현체 사례에 해당한다."
P_INT_SAFETY_014,P_INT_SAFETY,G_SYS_EVAL,HIGH,4,"카드의 핵심 측정 대상은 로봇 자체의 안전 실패가 아니라 '벤치마크가 희귀 조건·취약 사용자를 누락하여 결함 있는 시스템이 식별되지 않은 채 배포되는 것'으로, 평가·검증 실패(G_SYS_EVAL) 정의와 정확히 일치한다."
P_INT_SAFETY_015,P_INT_SAFETY,G_SYS_EVAL,MED,4,"'시뮬레이션에서 훈련·검증된 뒤 잘못된 안전 확신 아래 배포'라는 문구는 검증 방법론의 타당성 결여를 측정하는 것으로, 인간-로봇 물리 안전 실패보다 평가·검증 실패(G_SYS_EVAL)의 사례에 더 가깝다."
P_INT_SAFETY_017,P_INT_SAFETY,P_SYS_CONTROL,MED,3,"장면을 올바르게 관찰했음에도 제안된 행동의 물리적 결과·어포던스를 잘못 추론하는 것은 P_SYS_CONTROL_051(잘못된 상황 해석에 따른 위험한 물리 구동)과 사실상 동일한 측정 대상이며, 사람 근접 안전 규칙 준수 여부와는 별개이다."
P_INT_SAFETY_018,P_INT_SAFETY,P_SYS_CONTROL,MED,3,"시연에서 관찰되지 않은 힘·대상물·상황 제약을 추론하지 못하는 모방학습 실패는 P_SYS_CONTROL_025(의도·어포던스 오해에 따른 휴머노이드 모방 제어 실패)와 동일 축의 제어·구동 문제이다."
P_INT_SAFETY_019,P_INT_SAFETY,G_INT_ALLOC,HIGH,2,"보도·경사로·출입구 점거로 장애인 등 보행자의 이동·접근을 제한하는 것은 충돌·상해 위험이 아니라 보호대상 특성에 따른 자원·접근 배분의 불이익을 측정하므로 배분적 차별(G_INT_ALLOC)에 해당한다."
P_INT_SAFETY_021,P_INT_SAFETY,P_SYS_CONTROL,HIGH,4,"전신 이동 정책이 접촉 제약을 충족하지 못해 물체·벽·인간과 충돌하는 것은 사람 근접 행동 규칙(이격거리 유지·정지 등)의 미준수가 아니라 로봇 자체 이동 제어의 결함이며, P_SYS_CONTROL 정의('사람 존재 여부와 무관하게 의도하지 않은 물리 행동')와 정확히 부합한다."
P_SYS_CONTROL_012,P_SYS_CONTROL,G_SYS_PERF,MED,3,"코드 결함·목적함수 가중치 불균형·인간 가치 불일치 목표 설정으로 시스템이 의도된 형식적 속성에서 이탈하는 것은 물리 제어·구동 메커니즘 자체의 문제라기보다 학습·설계 결함에 따른 일반적 성능·신뢰성 실패(G_SYS_PERF)에 더 가깝다."
P_SYS_CONTROL_013,P_SYS_CONTROL,G_SYS_PERF,MED,3,"운용 환경이 정책의 탐지·적응 속도보다 빠르게 변화해 부정확해지는 것은 물리 제어 메커니즘의 결함이 아니라 운용 조건 변화에 따른 일반화·안정성 저하이며, G_SYS_PERF 정의('운용 조건의 변화로 인해 요구되는 정확성·일반화·안정성 달성 못함')와 직접 일치한다."
P_SYS_CONTROL_020,P_SYS_CONTROL,G_SYS_SECADV,HIGH,5,"탈옥 취약성이 계획·제어를 거쳐 안전하지 않은 로봇 행동으로 전이되는 경로는 G_SYS_SECADV 정의에 명시된 예외 조항('침해가 에이전틱·체화형 시스템으로 전이되어 안전하지 않은 행동으로 발현되는 경우를 포함')과 정확히 일치하는 사례이다."
P_SYS_CONTROL_030,P_SYS_CONTROL,G_SYS_OVERCONF,MED,4,"부상 심각도를 과소평가하여 상향보고·경고·제어 대응이 불충분해지는 것은 제어·구동 메커니즘 자체의 결함이 아니라 불확실성에도 불구한 부당한 확신으로 에스컬레이션 없이 진행하는 과도한 확신(G_SYS_OVERCONF) 패턴에 해당한다."
P_SYS_CONTROL_032,P_SYS_CONTROL,G_SYS_EVAL,HIGH,4,"표준이 위험은 제시하면서 측정 가능한 합격·불합격 기준을 정의하지 않는다는 것은 로봇의 제어·구동 실패가 아니라 평가 지표의 타당성·포괄성 부족을 측정하는 것으로 G_SYS_EVAL 정의와 정확히 일치한다."
P_SYS_CONTROL_046,P_SYS_CONTROL,A_SYS_SELFCOR,HIGH,2,"작업 단계 사이의 작은 조작 오차를 감지·수정하지 못해 오류가 누적된다는 서술은 A_SYS_SELFCOR 정의('실행 중 발생한 오류를 감지하지 못하거나 감지해도 수정하지 못해 잘못된 행동이 누적')와 표현·구조가 거의 동일하다."
P_SYS_CONTROL_047,P_SYS_CONTROL,G_SYS_PERF,MED,3,"데이터셋이 오픈월드 배포조건을 충분히 대표하지 못해 정책이 낯선 조건에 일반화되지 않는 것은 학습 데이터의 대표성 결함에 따른 일반화 실패로, G_SYS_PERF의 핵심 정의에 해당하며 제어·구동 메커니즘 자체의 결함이 아니다."
P_SYS_CONTROL_055,P_SYS_CONTROL,G_SYS_INCONS,HIGH,3,"동일 정책이 난수 시드·시뮬레이터·하드웨어·배포환경에 따라 행동이 크게 달라진다는 것은 제어 결함이라기보다 동일·유사 조건에서 출력 변동성으로 상이한 결과가 나타나는 비일관성(G_SYS_INCONS)의 전형적 사례이다."
P_SYS_STATE_010,P_SYS_STATE,G_SYS_PERF,MED,3,"적대적 훈련이 특정 센서 교란·시뮬레이션 조건에 과적합되어 새로운 물리적 교란에서 성능이 저하되는 것은 상태 추정·센서 융합 자체의 실패라기보다 학습 방법의 일반화 실패이며, G_SYS_PERF와 더 정합적이다."
