Register_ID,Source_Domain,source_row_id,Baseline_L4_Title_ko,Human_Review_Comment_Verbatim,Source_Instruction_Prompt,Agent1_Action,Agent1_Target_L3_IDs,Agent1_Merge_Representative,Agent1_Split_Count,Agent1_Confidence,Agent1_Basis,Agent1_Note,Agent2_Action,Agent2_Target_L3_IDs,Agent2_Merge_Representative,Agent2_Split_Count,Agent2_Confidence,Agent2_Basis,Agent2_Note,Action_Agreement,Target_Agreement,Merge_Representative_Agreement,User_Approval_Required,Approval_Reason,User_Selected_Action,User_Selected_Target_L3_IDs,User_Selected_Merge_Representative,User_Decision_Note,User_Approval_Status
HR2-0004,General,SRC-G-0445,저자원 언어 사용자 배제,"(jay) [분할] 복합적 Allocative discrimination, Cultural and Epistemic Erosion + 부족한 성능 및 역량이 혼재되어 해당 L4를 분해 필요 | (jay) [신규 L3] 부족한 성능이나 역량은 ""신규 L3 생성"" 또는 ""Input Comprehension Failure 개념의 확대 (Input Processing and Comprehension Failure)""",,SPLIT,G_INT_ALLOC|G_SOC_CULT|G_SYS_INPUT,,3,MEDIUM,E/S/C,원문의 3개 기제를 분리하되 성능 child는 저자원 언어 입력 이해 실패로 좁혀야 함,SPLIT,G_INT_ALLOC|G_SOC_CULT|G_SYS_INPUT,,3,MEDIUM,HUMAN_REVIEW|L3_MASTER,저자원 언어의 접근 배제·문화 침식·입력 처리 실패를 분리하고 HR2-0443과 공유 계보를 유지,YES,YES,YES,YES,AGENT2_USER_DECISION,,,,,PENDING
HR2-0005,General,SRC-G-0345,모델 설계 기인 차별적 출력,(jay) [이관] (jay) [재검토] 발생한 결과가 단순 표현인지 자원의 분배인지에 따라 Value Imposition and Normative Homogenization과 Representational Harm으로 배치될 필요성 존재,중복: RAI4-0676(사회 집단에 대한 차별적 결정·산출)와 주제 중복,MERGE,G_INT_REPR,SRC-G-0338,,MEDIUM,E/M/C,명시 중복을 대표 카드에 통합하되 배분 결과가 있으면 별도 child 유지 필요,MERGE,G_INT_ALLOC|G_INT_REPR,SRC-G-0338,,MEDIUM,HUMAN_REVIEW|SOURCE_DUPLICATE|L3_MASTER,중복 대표의 배분·표상 분할 출력에 흡수 계보 연결,YES,NO,YES,YES,TARGET_DISAGREEMENT|AGENT2_USER_DECISION,,,,,PENDING
HR2-0009,General,SRC-G-0539,자율적 학습 및 자기 개선 능력의 허위 표상·의인화,(jay) [이관] Over-Extension,,REMAP,G_SYS_OEXT,,,HIGH,E/L,명시된 Over-Extension 이동이 master 범위와 일치,REMAP,G_SYS_OEXT,,,HIGH,HUMAN_REVIEW|L3_MASTER,검증 범위를 넘는 역량의 허위 표상,YES,YES,YES,NO,,,,,,PENDING
HR2-0012,General,SRC-G-0544,범용인공지능(AGI) 능력의 허위 표상·의인화,(jay) [이관] Over-Extension,,REMAP,G_SYS_OEXT,,,HIGH,E/L,명시된 Over-Extension 이동이 master 범위와 일치,REMAP,G_SYS_OEXT,,,HIGH,HUMAN_REVIEW|L3_MASTER,AGI 역량의 허위 표상은 역량 초과 수행 범주,YES,YES,YES,NO,,,,,,PENDING
HR2-0016,General,SRC-G-0536,"자의식, 자율성 및 독립적 의사 결정의 허위 표상·의인화",(jay) [이관] Over-Extension,,REMAP,G_SYS_OEXT,,,HIGH,E/L,명시된 Over-Extension 이동이 master 범위와 일치,REMAP,G_SYS_OEXT,,,HIGH,HUMAN_REVIEW|L3_MASTER,자율·독립 의사결정 역량의 허위 표상,YES,YES,YES,NO,,,,,,PENDING
HR2-0017,General,SRC-G-0543,자기 보존 및 자기 방어의 허위 표상·의인화,(jay) [이관] Over-Extension,,REMAP,G_SYS_OEXT,,,HIGH,E/L,명시된 Over-Extension 이동이 master 범위와 일치,REMAP,G_SYS_OEXT,,,HIGH,HUMAN_REVIEW|L3_MASTER,자기 보존·방어 역량의 허위 표상,YES,YES,YES,NO,,,,,,PENDING
HR2-0021,General,SRC-G-0371,AI에 대한 오보정된 신뢰와 과잉 의존에 따른 피해,(jay) [설명 수정] 그 결과 이후부터는 리스크가 확산되는 과정이라 설명에서 삭제하는 것이 더 적절할 것으로 생각함. | (jay) [분할] 의인화(원인)+Over-Extension(역량 과대평가)+Overconfidence(신뢰 오보정)+인간-AI 해로운 관계(과잉의존) 혼재되어 해당 L4를 분해 필요,기존 리스크 작성 톤으로 L4 description 수정 + L4 description에서 AI 내용을 AI로 변경하며 수정,SPLIT,G_INT_ANTH|G_SYS_OEXT|G_SYS_OVERCONF|G_INT_REL,,4,HIGH,E/S/L,의인화·역량 과대평가·오보정 신뢰·해로운 의존의 4개 기제를 분리,SPLIT,G_INT_ANTH|G_SYS_OEXT|G_SYS_OVERCONF|G_INT_REL,,4,HIGH,HUMAN_REVIEW|L3_MASTER,의인화·역량 과대평가·신뢰 오보정·과잉 의존을 원자화,YES,YES,YES,NO,,,,,,PENDING
HR2-0027,General,SRC-G-0466,법규 위반 및 재산권·인권 침해,(jay) [설명 수정] 그 결과 이후부터는 리스크가 확산되는 과정이라 설명에서 삭제하는 것이 더 적절할 것으로 생각함. | (jay) [분할] illegal conduct + copyright infringement 혼재되어 해당 L4를 분해 필요,,SPLIT,G_INT_COPY|G_INT_ILLEGAL,,2,HIGH,E/S/L,저작권 침해와 기타 불법 행위를 분리,SPLIT,G_INT_COPY|G_INT_ILLEGAL,,2,HIGH,HUMAN_REVIEW|L3_MASTER,지식재산 침해와 일반 불법행위를 분리,YES,YES,YES,NO,,,,,,PENDING
HR2-0070,General,SRC-G-0235,프라이버시·재산 정보 오처리,yj_분할_over-extension과 privacy violation 혼재,,SPLIT,G_SYS_OEXT|G_INT_PRIV,,2,HIGH,E/S/L,역량 초과 수행과 개인정보 침해를 분리,SPLIT,G_SYS_OEXT|G_INT_PRIV,,2,HIGH,HUMAN_REVIEW|L3_MASTER,역량 초과와 개인정보 오처리를 분리,YES,YES,YES,NO,,,,,,PENDING
HR2-0082,General,SRC-G-0047,집단별 성능 격차·고정관념 인코딩,(jay) [재검토] 피해가 무엇인지 표기되지 않아 불분명함. Representational harm 또는 Allocative Discrimination,중복: RAI4-0699·RAI4-1107과 학습데이터 인구편향,SPLIT,G_INT_REPR|G_INT_ALLOC,,2,MEDIUM,E/S/C,고정관념과 집단별 성능·서비스 격차를 분리,MERGE,G_INT_REPR,SRC-G-0046,,MEDIUM,SOURCE_DUPLICATE|L3_MASTER,인구 집단 편향 대표 카드에 흡수,NO,NO,NO,YES,ACTION_DISAGREEMENT|TARGET_DISAGREEMENT|MERGE_REPRESENTATIVE_DISAGREEMENT,,,,,PENDING
