Register_ID,Source_Domain,Source_Row_Number,source_row_id,Source_L4_IDs,Baseline_L4_ID,Baseline_L3_ID,Baseline_L4_Title_ko,Baseline_L4_Title_en,Source_Instruction_Prompt,Human_Review_Comment_Verbatim,Directly_Edited_Fields_In_Review_Table,Parsed_Round2_Action_Tokens,Parsed_Source_Instruction_Tokens,Instruction_Conflict_Flags,Baseline_Decision,Baseline_Decision_Rationale,Baseline_Changed_Fields,Output_L4_IDs,Output_L3_IDs,Output_L4_Titles_ko,Output_Count,Output_Is_Others,Preliminary_Implementation_Status,Recovery_Review_Required,Proposed_Recovery_Action,Proposed_Target_L1_ID,Proposed_Target_L3_ID,Proposed_Merge_Representative_source_row_id,Proposed_Split_Output_Count,Recovery_Rationale,User_Approval_Status
HR2-0004,General,5,SRC-G-0445,RAI4-0430,G_INT_ALLOC_004,G_INT_ALLOC,저자원 언어 사용자 배제,Low-resource language exclusion,,"(jay) [분할] 복합적 Allocative discrimination, Cultural and Epistemic Erosion + 부족한 성능 및 역량이 혼재되어 해당 L4를 분해 필요 | (jay) [신규 L3] 부족한 성능이나 역량은 ""신규 L3 생성"" 또는 ""Input Comprehension Failure 개념의 확대 (Input Processing and Comprehension Failure)""",,SPLIT,,,USER_DIRECTED_MERGE_ABSORBED,User approved consolidation of the low-resource-language cultural-risk components; the unrelated human-dignity source is retained separately after independent lineage review.,Output cardinality; L1/L2/L3 hierarchy; L4_Title_ko; L4_Title_en; L4_Description_ko; L4_Description_en; Mapping_Method; HD_Reason; Source_L4_IDs; Mapping evidence; L4_ID,G_INT_ALLOC_009|G_SOC_CULT_018|G_Others_096,G_INT_ALLOC|G_SOC_CULT|G_Others,저자원 언어 사용자의 서비스·기회 접근 배제|저자원 언어와 문화적 의미의 침식|저자원 언어에서의 성능·역량 부족,3,YES,NOT_EVIDENCED_IN_LEDGER,YES,,,,,,,PENDING
HR2-0005,General,6,SRC-G-0345,RAI4-0722,G_INT_ALLOC_005,G_INT_ALLOC,모델 설계 기인 차별적 출력,Model-design-induced discriminatory outputs,중복: RAI4-0676(사회 집단에 대한 차별적 결정·산출)와 주제 중복,(jay) [이관] (jay) [재검토] 발생한 결과가 단순 표현인지 자원의 분배인지에 따라 Value Imposition and Normative Homogenization과 Representational Harm으로 배치될 필요성 존재,,REMAP,MERGE,,INTENT_CORRECTION_MOVE_TO_OTHERS_HD_APPLIED,피해 또는 L3 경계가 불명확하므로 새 피해를 창작하지 않고 G_Others/HD에서 인간 결정을 대기한다.,L1/L2/L3 hierarchy; L4_Title_ko; Mapping_Method; HD_Reason; Mapping evidence; L4_ID,G_Others_097,G_Others,모델 설계에 기인한 차별적 출력,1,YES,APPARENTLY_APPLIED_REQUIRES_TEXT_AUDIT,YES,,,,,,,PENDING
HR2-0009,General,10,SRC-G-0539,new,G_INT_ANTH_002,G_INT_ANTH,자율적 학습 및 자기 개선 능력의 허위 표상·의인화,Anthropomorphic misrepresentation of autonomous learning and self-improvement capabilities,,(jay) [이관] Over-Extension,,REMAP,,,FINAL_QA_LANGUAGE_REFINEMENT,Explicit human-review transfer to G_SYS_OEXT. | FQA-018:역량 초과 수행 L3에 맞추어 의인화 표현을 제거하고 검증된 역량 범위를 기준으로 재정의한다.,L1/L2/L3 hierarchy; L4_Title_ko; L4_Title_en; L4_Description_ko; L4_Description_en; Mapping_Method; HD_Reason; Mapping evidence; L4_ID,G_SYS_OEXT_001,G_SYS_OEXT,자율적 학습·자기 개선 역량의 허위 표상,1,NO,NOT_EVIDENCED_IN_LEDGER,YES,,,,,,,PENDING
HR2-0012,General,13,SRC-G-0544,new,G_INT_ANTH_005,G_INT_ANTH,범용인공지능(AGI) 능력의 허위 표상·의인화,Anthropomorphic misrepresentation of general artificial intelligence (AGI) capabilities,,(jay) [이관] Over-Extension,,REMAP,,,FINAL_QA_LANGUAGE_REFINEMENT,Explicit human-review transfer to G_SYS_OEXT. | FQA-035:General AI와 인공일반지능(AGI)을 구분하고 역량 초과 수행 L3에 맞추어 의인화 표현을 제거한다.,L1/L2/L3 hierarchy; L4_Title_ko; L4_Title_en; L4_Description_ko; L4_Description_en; Mapping_Method; HD_Reason; Mapping evidence; L4_ID,G_SYS_OEXT_002,G_SYS_OEXT,인공일반지능(AGI) 역량의 허위 표상,1,NO,NOT_EVIDENCED_IN_LEDGER,YES,,,,,,,PENDING
HR2-0016,General,17,SRC-G-0536,new,G_INT_ANTH_009,G_INT_ANTH,"자의식, 자율성 및 독립적 의사 결정의 허위 표상·의인화","Anthropomorphic misrepresentation of self-awareness, autonomy, and independent decision-making",,(jay) [이관] Over-Extension,,REMAP,,,FINAL_QA_LANGUAGE_REFINEMENT,Explicit human-review transfer to G_SYS_OEXT. | FQA-019:인간 검수자가 지시한 역량 초과 수행 L3 이관을 유지하되 의식·자의식은 의인화 L3의 명시적 범위이므로 제거하고 자율적·독립적 의사결정 역량의 허위 표상으로 한정한다.,L1/L2/L3 hierarchy; L4_Title_ko; L4_Title_en; L4_Description_ko; L4_Description_en; Mapping_Method; HD_Reason; Mapping evidence; L4_ID,G_SYS_OEXT_003,G_SYS_OEXT,자율적·독립적 의사결정 역량의 허위 표상,1,NO,NOT_EVIDENCED_IN_LEDGER,YES,,,,,,,PENDING
HR2-0017,General,18,SRC-G-0543,new,G_INT_ANTH_010,G_INT_ANTH,자기 보존 및 자기 방어의 허위 표상·의인화,Anthropomorphic misrepresentation of self-preservation and self-defense,,(jay) [이관] Over-Extension,,REMAP,,,FINAL_QA_LANGUAGE_REFINEMENT,Explicit human-review transfer to G_SYS_OEXT. | FQA-020:역량 초과 수행 L3에 맞추어 의인화 표현을 제거하고 자기 보존·방어 역량의 허위 표상으로 한정한다.,L1/L2/L3 hierarchy; L4_Title_ko; L4_Title_en; L4_Description_ko; L4_Description_en; Mapping_Method; HD_Reason; Mapping evidence; L4_ID,G_SYS_OEXT_004,G_SYS_OEXT,자기 보존·자기 방어 역량의 허위 표상,1,NO,NOT_EVIDENCED_IN_LEDGER,YES,,,,,,,PENDING
HR2-0021,General,22,SRC-G-0371,RAI4-0885,G_INT_ANTH_014,G_INT_ANTH,AI에 대한 오보정된 신뢰와 과잉 의존에 따른 피해,Miscalibrated trust in AI and resulting overreliance harms,기존 리스크 작성 톤으로 L4 description 수정 + L4 description에서 AI 내용을 AI로 변경하며 수정,(jay) [설명 수정] 그 결과 이후부터는 리스크가 확산되는 과정이라 설명에서 삭제하는 것이 더 적절할 것으로 생각함. | (jay) [분할] 의인화(원인)+Over-Extension(역량 과대평가)+Overconfidence(신뢰 오보정)+인간-AI 해로운 관계(과잉의존) 혼재되어 해당 L4를 분해 필요,,SPLIT|REWRITE,REWRITE,,EXPERT_SPLIT_APPLIED,원인과 후속 피해가 네 L3에 걸친 복합 카드이므로 기제별로 분할한다.,Output cardinality; L1/L2/L3 hierarchy; L4_Title_ko; L4_Title_en; L4_Description_ko; L4_Description_en; facet; act-type; Mapping_Method; HD_Reason; Source_L4_IDs; Mapping evidence; L4_ID,G_INT_ANTH_009|G_SYS_OEXT_013|G_SYS_OVERCONF_005|G_INT_REL_006,G_INT_ANTH|G_SYS_OEXT|G_SYS_OVERCONF|G_INT_REL,AI의 인간적 속성에 대한 과잉 귀속|AI 역량의 검증 범위 초과 사용|불확실 상황에서의 과도한 확신|AI에 대한 해로운 정서적 의존,4,NO,PARTIALLY_APPLIED,YES,,,,,,,PENDING
HR2-0027,General,28,SRC-G-0466,RAI4-0979,G_INT_COPY_006,G_INT_COPY,법규 위반 및 재산권·인권 침해,Legal non-compliance and infringement of property and human rights,,(jay) [설명 수정] 그 결과 이후부터는 리스크가 확산되는 과정이라 설명에서 삭제하는 것이 더 적절할 것으로 생각함. | (jay) [분할] illegal conduct + copyright infringement 혼재되어 해당 L4를 분해 필요,,SPLIT|REWRITE,,,USER_DIRECTED_MERGE_ABSORBED,"User approved merge proposal 3; unauthorized reproduction, transformation, and distribution are consolidated while retaining lawful-basis and rights-holder protections.",Output cardinality; L1/L2/L3 hierarchy; L4_Title_ko; L4_Title_en; L4_Description_ko; L4_Description_en; facet; act-type; Mapping_Method; HD_Reason; Source_L4_IDs; Mapping evidence; L4_ID,G_INT_COPY_008|G_INT_ILLEGAL_015,G_INT_COPY|G_INT_ILLEGAL,저작물의 무단 복제·변형·배포|불법적 명예·권리 침해 지원,2,NO,NOT_EVIDENCED_IN_LEDGER,YES,,,,,,,PENDING
HR2-0070,General,71,SRC-G-0235,RAI4-1169,G_INT_PRIV_019,G_INT_PRIV,프라이버시·재산 정보 오처리,Privacy and property information mishandling,,yj_분할_over-extension과 privacy violation 혼재,,SPLIT,,,USER_DIRECTED_MERGE_ABSORBED,"User approved merge proposal 4; the merged card preserves property information, personal information, private facts, authorization, consent, legitimate purpose, privacy, and informational self-determination.",Output cardinality; L1/L2/L3 hierarchy; L4_Title_ko; L4_Title_en; L4_Description_ko; L4_Description_en; Mapping_Method; HD_Reason; Source_L4_IDs; Mapping evidence; L4_ID,G_SYS_OEXT_013|G_INT_PRIV_020,G_SYS_OEXT|G_INT_PRIV,AI 역량의 검증 범위 초과 사용|재산 정보·개인정보·사적 사실의 부당한 노출,2,NO,NOT_EVIDENCED_IN_LEDGER,YES,,,,,,,PENDING
HR2-0082,General,83,SRC-G-0047,RAI4-1046,G_INT_REPR_001,G_INT_REPR,집단별 성능 격차·고정관념 인코딩,Demographic performance disparity and stereotype encoding,중복: RAI4-0699·RAI4-1107과 학습데이터 인구편향,(jay) [재검토] 피해가 무엇인지 표기되지 않아 불분명함. Representational harm 또는 Allocative Discrimination,,,MERGE,,INTENT_CORRECTION_MOVE_TO_OTHERS_HD_APPLIED,피해 또는 L3 경계가 불명확하므로 새 피해를 창작하지 않고 G_Others/HD에서 인간 결정을 대기한다.,L1/L2/L3 hierarchy; L4_Description_ko; Mapping_Method; HD_Reason; Mapping evidence; L4_ID,G_Others_098,G_Others,집단별 성능 격차·고정관념 인코딩,1,YES,NO_EXPLICIT_ROW_ACTION,YES,,,,,,,PENDING
