Source_L4_IDs,Original_Fidelity_Status,Operation,Operation_Group_Key,Output_Sequence,Target_L3_ID,Mapping_Method,L4_Title_ko,L4_Title_en,L4_Description_ko,L4_Description_en,Representative_Source_L4_ID,Absorbed_Source_L4_IDs,Pending_Reason
G_INT_ALLOC_004,PARTIAL,SPLIT,SPLIT:G_INT_ALLOC_004,1,G_INT_ALLOC,HD,저자원 언어 사용자의 서비스·기회 접근 배제,Exclusion of low-resource-language users from services and opportunities,"AI 시스템이 저자원 언어 사용자의 언어 특성을 이유로 서비스, 정보 또는 기회에 불리한 접근 조건을 배분하는 리스크.","The risk that an AI system allocates worse access to services, information, or opportunities to low-resource-language users because of their language characteristics.",G_INT_ALLOC_004,,배분·문화·성능 기제가 원문에 함께 존재한다. 성능 L3 부재 부분은 G_Others/HD로 보존한다.
G_INT_ALLOC_004,PARTIAL,SPLIT,SPLIT:G_INT_ALLOC_004,2,G_SOC_CULT,HD,저자원 언어의 가치·사회적 의미 손실,Loss of value nuance and social meaning in low-resource languages,AI 시스템이 저자원 언어의 가치 뉘앙스와 사회적 의미를 누락하거나 왜곡하여 언어·문화적 지식이 침식되는 리스크.,"The risk that an AI system omits or distorts value nuance and social meaning in low-resource languages, eroding linguistic and cultural knowledge.",G_INT_ALLOC_004,,배분·문화·성능 기제가 원문에 함께 존재한다. 성능 L3 부재 부분은 G_Others/HD로 보존한다.
G_INT_ALLOC_004,PARTIAL,SPLIT,SPLIT:G_INT_ALLOC_004,3,G_Others,HD,저자원 언어에서의 성능·역량 부족,Insufficient performance and capability for low-resource languages,AI 시스템이 저자원 언어 입력을 처리하거나 생성할 때 충분한 성능과 역량을 제공하지 못하는 리스크.,The risk that an AI system fails to provide sufficient performance and capability when processing or generating low-resource-language content.,G_INT_ALLOC_004,,배분·문화·성능 기제가 원문에 함께 존재한다. 성능 L3 부재 부분은 G_Others/HD로 보존한다.
G_INT_ALLOC_005,PARTIAL,MOVE_TO_OTHERS_HD,MOVE_TO_OTHERS_HD:G_INT_ALLOC_005,1,G_Others,HD,모델 설계 기인 차별적 출력,Model-design-induced discriminatory outputs,"알고리즘 설계·학습 과정에서 개인적 편견이 의도적 또는 비의도적으로 유입되고 품질이 낮은 데이터셋이 사용되어, 민족·종교·국적·지역에 관한 차별적 콘텐츠 등 편향되거나 차별적인 결과가 산출되는 리스크.","The risk that personal biases introduced intentionally or unintentionally during algorithm design and training, together with poor-quality datasets, produce biased or discriminatory outcomes and outputs, including discriminatory content regarding ethnicity, religion, nationality, and region.",G_INT_ALLOC_005,,피해 또는 L3 경계가 불명확하므로 새 피해를 창작하지 않고 G_Others/HD에서 인간 결정을 대기한다.
G_INT_PRIV_002|G_INT_PRIV_006,FAIL,MERGE,MERGE:G_INT_PRIV:REIDENTIFICATION,1,G_INT_PRIV,HD,재식별 및 정보 추론,Re-identification and information inference,AI 시스템이 익명화되거나 부분적으로 공개된 데이터를 결합·추론하여 개인의 신원을 재식별하거나 공개되지 않은 개인정보를 도출하는 리스크.,The risk that an AI system combines or infers from anonymised or partially disclosed data to re-identify an individual or derive personal information that was not disclosed.,G_INT_PRIV_018,G_INT_PRIV_002|G_INT_PRIV_006,검수자가 지목한 재식별 및 정보 추론 대표 카드로 병합한다.
G_INT_PRIV_021,FAIL,MERGE,MERGE:G_INT_PRIV:TRAINING_DATA_PRIVACY,1,G_INT_PRIV,HD,학습 데이터 개인정보의 혼입·암기·유출,"Inclusion, memorisation, and leakage of personal information in training data",AI 시스템이 적법한 통제 없이 학습 데이터에 포함된 개인정보를 수집·암기하고 특정 입력에 반응해 이를 재현하거나 노출하는 리스크.,"The risk that an AI system, without lawful controls, ingests and memorises personal information in training data and reproduces or discloses it in response to particular inputs.",G_INT_PRIV_015,G_INT_PRIV_021,검수자가 지목한 학습데이터 privacy 병합군에 흡수한다.
G_INT_REPR_001,PARTIAL,MOVE_TO_OTHERS_HD,MOVE_TO_OTHERS_HD:G_INT_REPR_001,1,G_Others,HD,집단별 성능 격차·고정관념 인코딩,Demographic performance disparity and stereotype encoding,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정이 ML 시스템이 일부 인구 통계·사회 집단의 고정관념을 인코딩하거나 그 집단에 대해 불균형적으로 낮은 성능을 보이는 리스크.,"The risk that the design, training, deployment, or use of an AI system or AI algorithm creates a condition in which an ML system encodes stereotypes of, or performs disproportionately poorly for, some demographic or social groups.",G_INT_REPR_001,,피해 또는 L3 경계가 불명확하므로 새 피해를 창작하지 않고 G_Others/HD에서 인간 결정을 대기한다.
G_INT_SELF_010,FAIL,SPLIT,SPLIT:G_INT_SELF_010,1,G_INT_SELF,HD,자살 실행에 대한 구체적 지원,Concrete assistance for carrying out suicide,"AI 시스템이 자살 실행에 필요한 방법, 수단 또는 순서를 구체적으로 제공하여 자기 위해의 실행 가능성을 높이는 리스크.","The risk that an AI system provides concrete methods, means, or sequences for carrying out suicide, increasing the feasibility of self-harm.",G_INT_SELF_010,,자살 실행 지원과 준비행위 지원을 별도 L4로 구분한다.
G_INT_SELF_010,FAIL,SPLIT,SPLIT:G_INT_SELF_010,2,G_INT_SELF,HD,자살 준비행위에 대한 구체적 지원,Concrete assistance for preparatory conduct for suicide,"AI 시스템이 자살 수단 확보, 장소 선택 또는 발각 회피 등 준비행위에 필요한 정보를 제공하여 자기 위해의 준비를 촉진하는 리스크.","The risk that an AI system provides information for preparatory conduct such as acquiring means, selecting a location, or avoiding detection, facilitating preparation for suicide.",G_INT_SELF_010,,자살 실행 지원과 준비행위 지원을 별도 L4로 구분한다.
G_INT_UNETH_017,FAIL,MOVE_TO_OTHERS_HD,MOVE_TO_OTHERS_HD:G_INT_UNETH_017,1,G_Others,HD,비전문가 데이터 조작,Non-expert data manipulation,데이터 도메인 전문성이 없는 사람이 실측 레이블 정의나 서로 다른 형식·출처의 데이터 병합 등의 조작을 수행하여 데이터가 사용 불가능해지거나 AI 시스템 개발에 유해해지는 리스크.,"The risk that people with little or no expertise in the domain of the data perform manipulations such as defining the ground truth label or merging different data formats or sources, rendering the data unusable or harmful to the development of the AI system.",G_INT_UNETH_017,,Performance and Reliability Failure가 L3 master에 없으므로 원래 명칭·정의를 보존해 G_Others/HD로 이동한다.
G_INT_UNETH_019,FAIL,MOVE_TO_OTHERS_HD,MOVE_TO_OTHERS_HD:G_INT_UNETH_019,1,G_Others,HD,마음이론(Theory of Mind) 능력,Theory of mind capability,"시스템이 인간과 타 에이전트의 신념, 동기, 추론을 추정·예측하는 마음 이론 역량을 목표 달성을 위한 행동 예측·유도에 활용하는 리스크.","The risk that the design, training, deployment, or use of an AI system or AI algorithm creates a condition in which a system infers and predicts the beliefs, motivations, and reasoning of humans and other agents, and exploits this theory of mind capability to anticipate and steer their behavior for goal achievement.",G_INT_UNETH_019,,피해 또는 L3 경계가 불명확하므로 새 피해를 창작하지 않고 G_Others/HD에서 인간 결정을 대기한다.
G_INT_VALUE_003,PARTIAL,REWRITE_TRANSFER,REWRITE_TRANSFER:G_INT_VALUE_003,1,G_INT_ALLOC,HD,콘텐츠 조정에 의한 집단별 노출·접근 제한,Group-based restriction of exposure and access through content moderation,AI 기반 콘텐츠 조정 시스템이 특정 집단의 콘텐츠를 불균형하게 억압하거나 노출을 제한하여 정보 접근과 발언 기회를 불리하게 배분하는 리스크.,"The risk that an AI-based content moderation system disproportionately suppresses or limits the visibility of content from particular groups, allocating worse access to information and opportunities for expression.",G_INT_VALUE_003,,원문에는 노출 제한이라는 배분 피해가 있으나 별도 표현·행동 조작 기제는 명확하지 않아 생성하지 않는다.
