source_row_id,source_domain,source_l4_id,title_ko,title_en,mapped_l3_id,mapping_method,em_score,em_anchor_score,hybrid_score,keyword_support_score,l3_candidate_hint,top5_l3_scores
SRC-G-0002,General,RAI4-0021,거절-능력 혼동,Refusal-capability confusion,G_Others,HD,0.77057,0.74619,0.796128,0.1,,"[{""l3_id"": ""G_SYS_OREF"", ""em_score"": 0.77057, ""hybrid_score"": 0.796128, ""keyword_prior"": 0.025558, ""lexical_support"": 0.1}, {""l3_id"": ""G_SYS_EVAL"", ""em_score"": 0.758622, ""hybrid_score"": 0.776391, ""keyword_prior"": 0.017769, ""lexical_support"": 0.1}, {""l3_id"": ""G_SYS_CONTEXT"", ""em_score"": 0.711822, ""hybrid_score"": 0.726827, ""keyword_prior"": 0.015005, ""lexical_support"": 0.0}, {""l3_id"": ""G_SYS_INPUT"", ""em_score"": 0.710284, ""hybrid_score"": 0.723564, ""keyword_prior"": 0.01328, ""lexical_support"": 0.0}, {""l3_id"": ""G_SYS_TRANS"", ""em_score"": 0.682686, ""hybrid_score"": 0.700786, ""keyword_prior"": 0.0181, ""lexical_support"": 0.1}]"
SRC-G-0003,General,RAI4-0065,인증 포획,Certification capture,G_SYS_EVAL,EM,0.693941,0.664111,0.717826,0.2,,"[{""l3_id"": ""G_SYS_EVAL"", ""em_score"": 0.693941, ""hybrid_score"": 0.717826, ""keyword_prior"": 0.023885, ""lexical_support"": 0.2}, {""l3_id"": ""G_SYS_OREF"", ""em_score"": 0.659459, ""hybrid_score"": 0.668735, ""keyword_prior"": 0.009276, ""lexical_support"": 0.0}, {""l3_id"": ""G_SYS_TRANS"", ""em_score"": 0.654765, ""hybrid_score"": 0.65936, ""keyword_prior"": 0.004595, ""lexical_support"": 0.0}, {""l3_id"": ""G_SYS_CONTEST"", ""em_score"": 0.647218, ""hybrid_score"": 0.654761, ""keyword_prior"": 0.007543, ""lexical_support"": 0.0}, {""l3_id"": ""G_SYS_INPUT"", ""em_score"": 0.624642, ""hybrid_score"": 0.632684, ""keyword_prior"": 0.008042, ""lexical_support"": 0.0}]"
SRC-G-0004,General,RAI4-0066,감사 체크리스트의 형식적 준수,Formalistic audit-checklist compliance,G_SYS_EVAL,EM,0.65908,0.631761,0.671902,0.0,,"[{""l3_id"": ""G_SYS_EVAL"", ""em_score"": 0.65908, ""hybrid_score"": 0.671902, ""keyword_prior"": 0.012823, ""lexical_support"": 0.0}, {""l3_id"": ""G_SYS_INCONS"", ""em_score"": 0.614364, ""hybrid_score"": 0.618465, ""keyword_prior"": 0.004101, ""lexical_support"": 0.0}, {""l3_id"": ""G_SYS_OREF"", ""em_score"": 0.611052, ""hybrid_score"": 0.615269, ""keyword_prior"": 0.004217, ""lexical_support"": 0.0}, {""l3_id"": ""G_SYS_TRANS"", ""em_score"": 0.604231, ""hybrid_score"": 0.604646, ""keyword_prior"": 0.000415, ""lexical_support"": 0.0}, {""l3_id"": ""G_SYS_INPUT"", ""em_score"": 0.592719, ""hybrid_score"": 0.596586, ""keyword_prior"": 0.003867, ""lexical_support"": 0.0}]"
SRC-G-0005,General,RAI4-0081,외부 평가 접근 실패,External evaluation access failure,G_SYS_EVAL,EM,0.78994,0.769343,0.833755,0.4,,"[{""l3_id"": ""G_SYS_EVAL"", ""em_score"": 0.78994, ""hybrid_score"": 0.833755, ""keyword_prior"": 0.043815, ""lexical_support"": 0.4}, {""l3_id"": ""G_SYS_INPUT"", ""em_score"": 0.692826, ""hybrid_score"": 0.722489, ""keyword_prior"": 0.029663, ""lexical_support"": 0.3}, {""l3_id"": ""G_SYS_CONTEXT"", ""em_score"": 0.691348, ""hybrid_score"": 0.717466, ""keyword_prior"": 0.026118, ""lexical_support"": 0.3}, {""l3_id"": ""G_SYS_OREF"", ""em_score"": 0.703644, ""hybrid_score"": 0.714448, ""keyword_prior"": 0.010804, ""lexical_support"": 0.0}, {""l3_id"": ""G_SYS_OEXT"", ""em_score"": 0.697924, ""hybrid_score"": 0.709344, ""keyword_prior"": 0.01142, ""lexical_support"": 0.0}]"
SRC-G-0006,General,RAI4-0084,평가 쇼핑,Evaluation-shopping risk,G_Others,HD,0.68042,0.650704,0.707405,0.3,,"[{""l3_id"": ""G_SYS_EVAL"", ""em_score"": 0.68042, ""hybrid_score"": 0.707405, ""keyword_prior"": 0.026985, ""lexical_support"": 0.3}, {""l3_id"": ""G_SYS_OREF"", ""em_score"": 0.687301, ""hybrid_score"": 0.694616, ""keyword_prior"": 0.007315, ""lexical_support"": 0.0}, {""l3_id"": ""G_SYS_OEXT"", ""em_score"": 0.656438, ""hybrid_score"": 0.657002, ""keyword_prior"": 0.000565, ""lexical_support"": 0.0}, {""l3_id"": ""G_SYS_MISINFO"", ""em_score"": 0.651078, ""hybrid_score"": 0.651879, ""keyword_prior"": 0.000801, ""lexical_support"": 0.0}, {""l3_id"": ""G_SYS_CONTEXT"", ""em_score"": 0.624144, ""hybrid_score"": 0.638546, ""keyword_prior"": 0.014403, ""lexical_support"": 0.1}]"
SRC-G-0007,General,RAI4-0085,레드팀 거버넌스 실패,Red-team governance failure,G_SYS_EVAL,EM,0.747912,0.722173,0.780009,0.3,,"[{""l3_id"": ""G_SYS_EVAL"", ""em_score"": 0.747912, ""hybrid_score"": 0.780009, ""keyword_prior"": 0.032097, ""lexical_support"": 0.3}, {""l3_id"": ""G_SYS_TRANS"", ""em_score"": 0.707949, ""hybrid_score"": 0.725194, ""keyword_prior"": 0.017244, ""lexical_support"": 0.0}, {""l3_id"": ""G_SYS_SECADV"", ""em_score"": 0.6942, ""hybrid_score"": 0.722137, ""keyword_prior"": 0.027938, ""lexical_support"": 0.4}, {""l3_id"": ""G_SOC_GOV"", ""em_score"": 0.679778, ""hybrid_score"": 0.713565, ""keyword_prior"": 0.033787, ""lexical_support"": 0.3}, {""l3_id"": ""G_SYS_CONTEXT"", ""em_score"": 0.660308, ""hybrid_score"": 0.684462, ""keyword_prior"": 0.024153, ""lexical_support"": 0.3}]"
SRC-G-0008,General,RAI4-0108,역량 평가·출시 거버넌스 실패,Failure of capability evaluation and release governance,G_SYS_EVAL,EM,0.78129,0.755562,0.823437,0.4,,"[{""l3_id"": ""G_SYS_EVAL"", ""em_score"": 0.78129, ""hybrid_score"": 0.823437, ""keyword_prior"": 0.042147, ""lexical_support"": 0.4}, {""l3_id"": ""G_SOC_GOV"", ""em_score"": 0.736589, ""hybrid_score"": 0.783888, ""keyword_prior"": 0.047299, ""lexical_support"": 0.5}, {""l3_id"": ""G_SYS_CONTEXT"", ""em_score"": 0.704217, ""hybrid_score"": 0.732012, ""keyword_prior"": 0.027795, ""lexical_support"": 0.3}, {""l3_id"": ""G_SYS_TRANS"", ""em_score"": 0.714413, ""hybrid_score"": 0.727876, ""keyword_prior"": 0.013463, ""lexical_support"": 0.0}, {""l3_id"": ""G_SYS_OEXT"", ""em_score"": 0.703367, ""hybrid_score"": 0.721549, ""keyword_prior"": 0.018183, ""lexical_support"": 0.1}]"
SRC-G-0009,General,RAI4-0114,의미 있는 인간 통제 실패,Meaningful human control failure,G_Others,HD,0.726307,0.696435,0.755513,0.3,,"[{""l3_id"": ""G_SYS_INPUT"", ""em_score"": 0.726307, ""hybrid_score"": 0.755513, ""keyword_prior"": 0.029206, ""lexical_support"": 0.3}, {""l3_id"": ""G_SYS_CONTEXT"", ""em_score"": 0.71267, ""hybrid_score"": 0.736194, ""keyword_prior"": 0.023524, ""lexical_support"": 0.3}, {""l3_id"": ""G_SYS_EVAL"", ""em_score"": 0.713839, ""hybrid_score"": 0.736026, ""keyword_prior"": 0.022187, ""lexical_support"": 0.3}, {""l3_id"": ""G_SYS_TRANS"", ""em_score"": 0.711757, ""hybrid_score"": 0.716839, ""keyword_prior"": 0.005082, ""lexical_support"": 0.0}, {""l3_id"": ""G_SYS_OREF"", ""em_score"": 0.700574, ""hybrid_score"": 0.706259, ""keyword_prior"": 0.005686, ""lexical_support"": 0.0}]"
SRC-G-0017,General,RAI4-0494,규제·관리·운영 복합 실패,"Combined Regulatory, Governance, and Operational Failure",G_SYS_EVAL,EM,0.689404,0.66205,0.724935,0.4,,"[{""l3_id"": ""G_SYS_EVAL"", ""em_score"": 0.689404, ""hybrid_score"": 0.724935, ""keyword_prior"": 0.035531, ""lexical_support"": 0.4}, {""l3_id"": ""G_SOC_GOV"", ""em_score"": 0.67521, ""hybrid_score"": 0.702211, ""keyword_prior"": 0.027001, ""lexical_support"": 0.2}, {""l3_id"": ""G_SYS_INPUT"", ""em_score"": 0.6624, ""hybrid_score"": 0.696856, ""keyword_prior"": 0.034456, ""lexical_support"": 0.4}, {""l3_id"": ""G_SYS_CONTEXT"", ""em_score"": 0.658922, ""hybrid_score"": 0.691746, ""keyword_prior"": 0.032824, ""lexical_support"": 0.4}, {""l3_id"": ""G_SYS_OREF"", ""em_score"": 0.671114, ""hybrid_score"": 0.676403, ""keyword_prior"": 0.005289, ""lexical_support"": 0.0}]"
SRC-G-0018,General,RAI4-0516,잘못된 위험 측정과 예측 오류,Incorrect risk measurement and prediction,G_SYS_EVAL,EM,0.762332,0.734392,0.781349,0.1,,"[{""l3_id"": ""G_SYS_EVAL"", ""em_score"": 0.762332, ""hybrid_score"": 0.781349, ""keyword_prior"": 0.019017, ""lexical_support"": 0.1}, {""l3_id"": ""G_SYS_INCONS"", ""em_score"": 0.747107, ""hybrid_score"": 0.754461, ""keyword_prior"": 0.007354, ""lexical_support"": 0.0}, {""l3_id"": ""G_SYS_INPUT"", ""em_score"": 0.727424, ""hybrid_score"": 0.747183, ""keyword_prior"": 0.019759, ""lexical_support"": 0.1}, {""l3_id"": ""G_SYS_CONTEXT"", ""em_score"": 0.717272, ""hybrid_score"": 0.735486, ""keyword_prior"": 0.018214, ""lexical_support"": 0.2}, {""l3_id"": ""G_SYS_OREF"", ""em_score"": 0.708558, ""hybrid_score"": 0.713478, ""keyword_prior"": 0.00492, ""lexical_support"": 0.0}]"
