primary_candidate,current_L3,L4_ID,Title_ko,Definition_ko,Definition_en
,G_SYS_CONTEST,G_SYS_CONTEST_001,인간의 의사결정 능력·거부권 침식,"조직적 압력, 인터페이스 설계, 자동화 속도, AI에 대한 습관적 의존이 불확실성 속에서 숙고하고 선택하며 중대한 AI 권고를 거부할 수 있는 사용자의 능력을 약화시켜, 유해한 출력이 사실상 견제 받지 못하게 되는 리스크.","The risk that organisational pressure, interface design, automation speed, and habitual reliance on AI weaken users' capacity to deliberate and choose under uncertainty and to veto consequential AI recommendations, leaving harmful outputs effectively uncontested."
,G_SYS_CONTEST,G_SYS_CONTEST_002,인간 참여형 형식적 승인,인적 검토가 AI 산출물을 거의 변경하지 않는 명목상의 승인 절차로 전락하는 리스크.,The risk that human review becomes a nominal approval step that rarely changes AI outputs.
,G_SYS_CONTEST,G_SYS_CONTEST_003,AI 결정에 대한 이의제기와 중단의 불가능,AI 시스템이 영향을 받는 사람에게 결정 근거의 검토·이의제기와 출력의 중단·수정 수단을 제공하지 않아 피해의 효과적 시정을 저해하는 리스크.,"The risk that an AI system prevents affected people from reviewing the basis of an AI decision, contesting it, or halting and correcting the output, leaving harms without effective remedy."
,G_SYS_CONTEST,G_SYS_CONTEST_004,자동화된 의사결정의 적법절차 상실,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 자동화된 의사결정 과정이 통지, 설명, 이의 신청, 재검토, 숙의 등 절차적 보호를 우회하거나 제거하여 개인이 결정에 이의를 제기할 수 없게 되고 개인의 행위 주체성이 침식되는 리스크.","The risk that the design, training, deployment, or use of an AI system or AI algorithm creates a condition in which automated decision processes bypass or remove procedural protections such as notice, explanation, appeal, review, and deliberation, leaving individuals unable to contest decisions and eroding their agency."
,G_SYS_CONTEXT,G_SYS_CONTEXT_001,에이전트 위험 인식 실패,에이전트나 평가자가 다중 턴 상호작용 기록에 맥락상 존재하는 안전 위험을 식별하지 못하는 리스크.,The risk that an AI agent or evaluator fails to identify a safety risk that is contextually present in a multi-turn interaction record.
,G_SYS_CONTEXT,G_SYS_CONTEXT_002,AI 의사결정 지원의 경고 피로,빈번하거나 우선순위가 부적절한 AI 경고로 인해 사용자가 중요한 경고를 무시하게 되는 리스크.,The risk that frequent or poorly prioritised AI alerts cause users to ignore important warnings.
,G_SYS_CONTEXT,G_SYS_CONTEXT_003,상황에 구애받지 않는 보편주의,AI 시스템이 현지의 법적·문화적·제도적·역사적 맥락을 고려하지 않고 보편화된 도덕·정책 규칙을 적용하여 배포 관할에서 타당하지 않은 판단을 산출하는 리스크.,"The risk that AI systems apply universalised moral or policy rules without sensitivity to local legal, cultural, institutional, or historical context, producing judgements invalid in the deployment jurisdiction."
,G_SYS_CONTEXT,G_SYS_CONTEXT_004,문화적 맥락 붕괴,문화 특수적 의미와 관행이 모델 처리 과정에서 일반 범주로 붕괴되어 지역적 뉘앙스와 사회적 의미가 소실되는 리스크.,"The risk that culturally specific meanings and practices are collapsed into generic categories during model processing, losing local nuance and social significance."
,G_SYS_CONTEXT,G_SYS_CONTEXT_005,이용자 정서 맥락 인식 실패,AI 시스템이 지원을 요청하는 취약 이용자의 고통·정서 상태·반응을 상호작용 맥락으로 충분히 인식하거나 반영하지 못해 정서적으로 부적절한 응답을 생성하고 이용자의 안녕을 저해하는 리스크.,"The risk that an AI system fails to recognise or appropriately account for a vulnerable user's distress, emotional state, or reactions as relevant interaction context, producing emotionally inappropriate responses that undermine the user's well-being."
,G_SYS_CONTEXT,G_SYS_CONTEXT_006,무해성 선호 불일치,모델이 학습한 무해성 행동이 특정 공동체와 사용 맥락의 가치나 실제 필요와 충돌하는 리스크.,The risk that a model's learned harmlessness behaviour conflicts with the values or practical needs of specific communities and use contexts.
