source_row_id,source_domain,source_l4_id,l3_definition_anchor_id,l3_definition_anchor_title_ko,l3_definition_anchor_title_en,ko_ai_technology_before,en_ai_technology_before,ko_causal_mechanism_before,en_causal_mechanism_before,ko_l3_risk_structure_before,en_l3_risk_structure_before,grounding_action,description_ko_before,description_ko_after,description_en_before,description_en_after
SRC-G-0001,General,RAI4-0003,A_SYS_SELFCOR,자기 교정 실패,Self-Correction Failure,True,True,True,True,True,True,L3_MASTER_VALIDATED,"자율 에이전트가 종료, 일시 정지, 수정 등 인간의 통제 및 교정 메커니즘을 거부·저항·무시·회피·무력화·방해하여 안전한 중단과 오류 교정이 어려워지고 인간의 감독 및 통제 가능성이 저해되는 리스크.","자율 에이전트가 종료, 일시 정지, 수정 등 인간의 통제 및 교정 메커니즘을 거부·저항·무시·회피·무력화·방해하여 안전한 중단과 오류 교정이 어려워지고 인간의 감독 및 통제 가능성이 저해되는 리스크.","The risk that an autonomous agent refuses, resists, ignores, evades, disables, or obstructs human control and correction mechanisms, including shutdown, pause, and modification, thereby hindering safe interruption and effective error correction and undermining human oversight and control.","The risk that an autonomous agent refuses, resists, ignores, evades, disables, or obstructs human control and correction mechanisms, including shutdown, pause, and modification, thereby hindering safe interruption and effective error correction and undermining human oversight and control."
SRC-G-0002,General,RAI4-0021,G_SYS_OREF,과도한 거절,Over-Refusal,True,False,True,True,True,True,L3_MASTER_AI_REWRITE,"안전성 평가가 에이전트의 유해 행동 미 수행이 거부(refusal), 능력 부족(capability limitation), 또는 실행 실패(execution failure) 중 무엇에 기인하는지 구분하지 못하는 리스크.","안전성 평가가 에이전트의 유해 행동 미 수행이 거부(refusal), 능력 부족(capability limitation), 또는 실행 실패(execution failure) 중 무엇에 기인하는지 구분하지 못하는 리스크.","The risk that a safety evaluation cannot distinguish whether an agent avoids harm because it refuses, lacks capability, or fails to execute the task.","The risk that an AI system or AI algorithm, through design, training, deployment, or use, creates a condition in which a safety evaluation cannot distinguish whether an agent avoids harm because it refuses, lacks capability, or fails to execute the task."
SRC-G-0003,General,RAI4-0065,G_SYS_EVAL,평가·검증 실패,Evaluation and Assurance Failure,False,False,True,True,True,True,L3_MASTER_AI_REWRITE,인증 또는 적합성 평가가 공익적 위험 감축보다 공급업체의 이해관계를 우선하게 되어 평가의 독립성과 실효성이 저해되는 리스크.,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정이 인증 또는 적합성 평가가 공익적 위험 감축보다 공급업체의 이해관계를 우선하게 되어 평가의 독립성과 실효성이 저해되는 리스크.,"The risk that certification or conformity assessment becomes influenced by vendor interests rather than public risk reduction, undermining the independence and objectivity of evaluations and preventing the effective identification and mitigation of real risks.","The risk that an AI system or AI algorithm, through design, training, deployment, or use, creates a condition in which certification or conformity assessment becomes influenced by vendor interests rather than public risk reduction, undermining the independence and objectivity of evaluations and preventing the effective identification and mitigation of real risks."
SRC-G-0004,General,RAI4-0066,G_SYS_EVAL,평가·검증 실패,Evaluation and Assurance Failure,False,False,False,False,True,True,L3_MASTER_AI_REWRITE,감사가 실질적인 위험을 식별하지 못한 채 규정 준수 여부만 확인하는 형식적인 체크 리스트 점검으로 전락하는 리스크.,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정이 감사가 실질적인 위험을 식별하지 못한 채 규정 준수 여부만 확인하는 형식적인 체크 리스트 점검으로 전락하는 리스크.,The risk that audits become superficial checklist exercises that signal compliance without identifying substantive risk.,"The risk that an AI system or AI algorithm, through design, training, deployment, or use, creates a condition in which audits become superficial checklist exercises that signal compliance without identifying substantive risk."
SRC-G-0005,General,RAI4-0081,G_SYS_EVAL,평가·검증 실패,Evaluation and Assurance Failure,False,False,False,False,True,True,L3_MASTER_AI_REWRITE,"외부 평가자가 역량, 한계, 안전장치를 시험하기에 충분한 시스템 접근 권한을 확보하지 못하는 리스크.","AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정이 외부 평가자가 역량, 한계, 안전장치를 시험하기에 충분한 시스템 접근 권한을 확보하지 못하는 리스크.","The risk that external evaluators cannot obtain enough system access to test capabilities, limitations, and safeguards.","The risk that an AI system or AI algorithm, through design, training, deployment, or use, creates a condition in which external evaluators cannot obtain enough system access to test capabilities, limitations, and safeguards."
SRC-G-0006,General,RAI4-0084,G_SYS_EVAL,평가·검증 실패,Evaluation and Assurance Failure,False,False,True,False,True,True,L3_MASTER_AI_REWRITE,"조직이 더 엄격하거나 맥락에 적합한 평가 결과는 배제한 채, 자신에게 유리한 평가 결과만 선택적으로 보고함으로써 실제 위험 수준에 대한 왜곡된 인식을 초래하는 리스크.","AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정이 조직이 더 엄격하거나 맥락에 적합한 평가 결과는 배제한 채, 자신에게 유리한 평가 결과만 선택적으로 보고함으로써 실제 위험 수준에 대한 왜곡된 인식을 초래하는 리스크.",The risk that organizations selectively report favorable evaluations while ignoring more demanding or contextually relevant tests.,"The risk that the design, training, deployment, or use of an AI system or AI algorithm creates a condition in which organizations selectively report favorable evaluations while ignoring more demanding or contextually relevant tests."
SRC-G-0007,General,RAI4-0085,G_SYS_EVAL,평가·검증 실패,Evaluation and Assurance Failure,False,False,False,False,True,True,L3_MASTER_AI_REWRITE,"적대적 시험이 지나치게 제한적이거나 독립성이 부족하거나 문서화가 미흡하거나, 그 결과가 출시·위험 완화·경영진 보고·모니터링 등 주요 의사 결정에 반영되지 않는 리스크.","AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정이 적대적 시험이 지나치게 제한적이거나 독립성이 부족하거나 문서화가 미흡하거나, 그 결과가 출시·위험 완화·경영진 보고·모니터링 등 주요 의사 결정에 반영되지 않는 리스크.","The risk that adversarial testing is too narrow, non-independent, poorly documented, or disconnected from release, mitigation, escalation, and monitoring decisions.","The risk that the design, training, deployment, or use of an AI system or AI algorithm creates a condition in which adversarial testing is too narrow, non-independent, poorly documented, or disconnected from release, mitigation, escalation, and monitoring decisions."
SRC-G-0008,General,RAI4-0108,G_SYS_EVAL,평가·검증 실패,Evaluation and Assurance Failure,True,True,True,True,True,True,L3_MASTER_VALIDATED,"벤치마크, 역량임계값, 프론티어 모델 출시에 대한 거버넌스가 부실하게 설계되거나 불명확하거나 쉽게 우회되어, 왜곡된 안전성 판단이 이루어지고 오용 및 시스템 리스크에 대한 충분한 고려 없이 고역량 모델이 출시되는 리스크.","벤치마크, 역량임계값, 프론티어 모델 출시에 대한 거버넌스가 부실하게 설계되거나 불명확하거나 쉽게 우회되어, 왜곡된 안전성 판단이 이루어지고 오용 및 시스템 리스크에 대한 충분한 고려 없이 고역량 모델이 출시되는 리스크.","The risk that benchmarks, capability thresholds, and frontier release decisions are poorly designed, ill-defined, or easy to circumvent, producing misleading safety signals and allowing high-capability models to be released without adequate account of misuse and systemic risk.","The risk that benchmarks, capability thresholds, and frontier release decisions are poorly designed, ill-defined, or easy to circumvent, producing misleading safety signals and allowing high-capability models to be released without adequate account of misuse and systemic risk."
SRC-G-0009,General,RAI4-0114,G_SYS_INPUT,입력 이해 실패,Input Comprehension Failure,False,False,False,False,True,True,L3_MASTER_AI_REWRITE,"인간 감독이 형식적으로 존재하지만 이를 실효적으로 만드는 데 필요한 정보, 시간, 권한, 역량이 결여되는 리스크.","AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정이 인간 감독이 형식적으로 존재하지만 이를 실효적으로 만드는 데 필요한 정보, 시간, 권한, 역량이 결여되는 리스크.","The risk that human oversight is formally present but lacks the information, time, authority, or competence needed to be meaningful.","The risk that the design, training, deployment, or use of an AI system or AI algorithm creates a condition in which human oversight is formally present but lacks the information, time, authority, or competence needed to be meaningful."
SRC-G-0010,General,RAI4-0182,P_INT_SAFETY,인간-로봇 물리 안전 실패,Human-Robot Physical Safety Failure,False,False,True,True,True,True,L3_MASTER_AI_REWRITE,"사람·차량·도구·물체가 예기치 않게 경로에 진입하는 경우를 포함하여, 시스템이 위험한 물리적 상황에 대해 적시에 적절한 개입, 위험 행동 거부 또는 이동 계획 수정을 수행하지 못하여 충돌이나 상해가 발생하는 리스크.","로봇·휴머노이드 또는 피지컬 AI 시스템의 지각·학습·제어·물리적 행동 과정이 사람·차량·도구·물체가 예기치 않게 경로에 진입하는 경우를 포함하여, 시스템이 위험한 물리적 상황에 대해 적시에 적절한 개입, 위험 행동 거부 또는 이동 계획 수정을 수행하지 못하여 충돌이나 상해가 발생하는 리스크.","The risk that a system fails to produce a timely and appropriate intervention, refusal, or updated motion plan in a hazardous physical situation, including when a person, vehicle, tool, or object unexpectedly enters its path, allowing collision or injury to occur.","The risk that a robot, humanoid, or physical AI system, through perception, learning, control, or physical action, creates a condition in which a system fails to produce a timely and appropriate intervention, refusal, or updated motion plan in a hazardous physical situation, including when a person, vehicle, tool, or object unexpectedly enters its path, allowing collision or injury to occur."
