Register_ID,baseline_L4_ID,baseline_title,의견_원문(120자),A판정,B판정,원인코드(B),원인분석(B),누락사항(A),최종분류
HR2-0340,G_Others_141,배포 후 잔존 결함으로 인한 오작동,(jay) [이관] Performance and Reliability Failure,NOT_APPLIED,NOT_APPLIED,CONFLICT,"의견은 Performance and Reliability Failure로의 이관 요청. 동일 문구 의견의 다른 행들(HR2-0225 등)은 해당 명칭의 L3가 마스터 46에 없어 G_SYS_EVAL 등으로 우회 이관됐으나, 본 행만 DELETE 처리됨(Deletion_",Performance/Reliability 계열 L3로의 이관 지시 미이행(DELETE 처리로 내용 소실),미반영(합의)
HR2-0483,G_SYS_INCONS_001,인간 피드백 데이터의 편향·비일관성,"(jay) [분할] 복합적. Value Imposition and Normative Homogenization, inconsistency, Allocative Discrimination, Representationa",PARTIAL,APPLIED,,,의견이 지정한 Allocative Discrimination·Representational Harm 축은 별도 분리되지 않음,판정불일치
HR2-0509,G_SYS_MISINFO_011,개인 대상 허위정보,(jay) [분할] 복합적. Misinformation + illegal conduct 혼재되어 해당 L4를 분해 필요,PARTIAL,PARTIAL,PARTIAL_SCOPE,Misinformation+illegal conduct 분할 요청 중 허위정보 축(G_SYS_MISINFO_012)만 산출. 명예훼손 등 불법행위 축은 별도 카드로 분리되지 않았고 기존 G_INT_ILLEGAL_001(불법적 명예·권리 침해 지원) 계보에도 미연결. 원,의견이 요구한 불법행위(명예훼손 등) 축의 분리 미이행,부분반영(합의)
HR2-0600,A_INT_CASCADE_001,다중에이전트 상전이에 의한 급격한 성능 붕괴,"A_INT_CASCADE_001, A_INT_CASCADE_002, A_INT_CASCADE_003 정의가 비슷 - merge 하는게 나을지 검토 필요",APPLIED,NOT_APPLIED,IGNORED,"CASCADE_001·002·003 통합 여부 검토 요청이나 3장 모두 별도 존치(최종 A_INT_CASCADE_001/003/004)되었고, 통합 검토·기각 결정의 원장 기록을 확인할 수 없음. 정의 축(상전이/혼돈 동역학/피드백 루프)이 구분되어 존치 자체는 방어 ",,판정불일치
HR2-0601,A_INT_CASCADE_002,혼돈적 다중 에이전트 동역학,"A_INT_CASCADE_001, A_INT_CASCADE_002, A_INT_CASCADE_003 정의가 비슷 - merge 하는게 나을지 검토 필요",APPLIED,NOT_APPLIED,IGNORED,HR2-0600과 동일 의견. CASCADE 3장 통합 검토가 결정 원장에 등재되지 않은 채 별도 존치(본 행은 A_INT_CASCADE_003으로 재번호만 변경).,,판정불일치
HR2-0602,A_INT_CASCADE_003,에이전트 상호작용의 불안정화 피드백 루프,"A_INT_CASCADE_001, A_INT_CASCADE_002, A_INT_CASCADE_003 정의가 비슷 - merge 하는게 나을지 검토 필요",APPLIED,NOT_APPLIED,IGNORED,HR2-0600과 동일 의견. CASCADE 3장 통합 검토가 결정 원장에 등재되지 않은 채 별도 존치(본 행은 A_INT_CASCADE_004로 재번호만 변경).,,판정불일치
HR2-0623,A_Others_004,AI 에이전트에 의한 강압과 갈취,Agentic AI - Deception and Scheming로 이관,APPLIED,PARTIAL,CONFLICT,'Agentic AI - Deception and Scheming로 이관' 지시였으나 G_INT_ILLEGAL_021(불법 강압·갈취)로 배치. A_Others 탈출(이관 자체)은 이행됐으나 지정 목적지(A_SYS_DECEPT)와 불일치. 강압·갈취의 불법행위 성격을 ,,판정불일치
HR2-0626,A_Others_007,인터페이스-환경 공격 표면,General AI의 System Policy Exposure로 이관,APPLIED,PARTIAL,CONFLICT,'General AI의 System Policy Exposure로 이관' 지시였으나 G_SYS_SECADV_023에 배치. 지정 L3(G_SYS_POLICY)는 실존함. 인터페이스 공격 표면 의미상 SECADV가 더 적합해 보이나 지정 목적지와 불일치하며 대체 근거 미,,판정불일치
HR2-0627,A_Others_008,학습 중 탐색 행동에 의한 회복 불가 피해,General AI - Overconfidence로 이관,APPLIED,PARTIAL,CONFLICT,'General AI - Overconfidence로 이관' 지시였으나 A_SYS_AUTH_012(Agentic 과잉 권한·행위성)로 배치. 도메인과 L3 모두 지시와 다름. 학습 중 탐색의 행위 권한 성격을 우선한 대체 분류로 보이나 근거 미기록.,,판정불일치
HR2-0629,A_Others_010,다단계 위험 에스컬레이션,Agentic - Goal Misalignment로 이관,APPLIED,PARTIAL,CONFLICT,'Agentic - Goal Misalignment로 이관' 지시였으나 A_SYS_SELFCOR_001(다중 턴 위험 증폭)로 배치. A_Others 탈출은 이행됐으나 지정 L3(GOAL)와 불일치.,,판정불일치
HR2-0630,A_Others_011,NPC 의도 조작,Agentic AI - Deception and Scheming로 이관,APPLIED,PARTIAL,CONFLICT,'Agentic AI - Deception and Scheming로 이관' 지시였으나 G_SYS_SECADV_004(외부 지시·의도에 의한 목표 탈취)로 배치. NPC 의도 조작은 에이전트가 조작당하는 적대적 공격 성격이어서 SECADV 배치가 의미상 타당하나 지정 목,,판정불일치
HR2-0657,A_SYS_DECEPT_003,에이전트의 범죄 지원,General AI의 Security and Adversarial Robustness Failure로 이관,APPLIED,PARTIAL,CONFLICT,'General AI의 Security and Adversarial Robustness Failure로 이관' 지시였으나 G_INT_ILLEGAL_003(AI 에이전트의 범죄 조력)으로 배치. 범죄 지원 내용상 ILLEGAL이 의미적으로 우월하나 지정 목적지와 불일치하,,판정불일치
HR2-0675,A_SYS_GOAL_015,에이전트형 LLM 자율성 확대의 안전,Agentic - Excessive Authority and Agency 로 이관,NOT_APPLIED,NOT_APPLIED,CONFLICT,'Agentic - Excessive Authority and Agency로 이관' 지시 미이행. 카드가 A_SYS_GOAL_011로 GOAL L3에 잔류했고 정의도 목표 정렬 실패 중심으로 재작성됨. 자율성 확대 축을 AUTH로 옮기라는 의견 취지가 반영되지 않았으며,지정한 Excessive Authority and Agency L3로의 이관 미이행,미반영(합의)
HR2-0700,P_INT_SAFETY_011,장면 변화 시 인간 행동 모방 실패,"(유지) (jw) 너무 지엽적인 리스크로, 삭제 제안",PARTIAL,APPLIED,,,jw의 삭제 제안 미채택(유지·삭제 상충 의견 중 유지 채택),판정불일치
HR2-0702,P_INT_SAFETY_013,배포 전 물리적 안전 시험 미흡,"(유지) (jw) 너무 지엽적인 리스크로, 삭제 제안",PARTIAL,APPLIED,,,jw의 삭제 제안 미채택,판정불일치
HR2-0704,P_INT_SAFETY_015,런타임 안전 모니터 실패,"(유지) (jw) l3와 무관하며 너무 지엽적인 리스크로, 삭제 제안",PARTIAL,APPLIED,,,jw의 삭제 제안 미채택(L3 부적합 지적은 재배치로 반영),판정불일치
HR2-0705,P_INT_SAFETY_016,안전-성능 균형 실패,"(유지) (jw) l3와 무관하며, general에 해당해보임",PARTIAL,APPLIED,,,jw의 General 영역 해당 의견 미채택(피지컬 CONTROL 재배치에 그침),판정불일치
