후보ID,리뷰어A,리뷰어B,최종판정
F1,CONFIRM_FAIL,CONFIRM_FAIL,FAIL(확정)
F2-01,DOWNGRADE_NOTE,DOWNGRADE_NOTE,NOTE(비차단)
F2-02,DOWNGRADE_NOTE,DOWNGRADE_NOTE,NOTE(비차단)
F2-03,DOWNGRADE_NOTE,NOT_FAIL,NOTE(비차단)
F2-04,DOWNGRADE_NOTE,DOWNGRADE_NOTE,NOTE(비차단)
F2-05,DOWNGRADE_NOTE,NOT_FAIL,NOTE(비차단)
F2-06,NOT_FAIL,NOT_FAIL,PASS
F2-07,DOWNGRADE_NOTE,DOWNGRADE_NOTE,NOTE(비차단)
F2-08,DOWNGRADE_NOTE,DOWNGRADE_NOTE,NOTE(비차단)
F2-09,DOWNGRADE_NOTE,DOWNGRADE_NOTE,NOTE(비차단)
F2-10,DOWNGRADE_NOTE,DOWNGRADE_NOTE,NOTE(비차단)
