Register_ID,판정,반영결과_요약,소실사항
HR2-0002,APPLIED,분할 3축(배분/프라이버시/표상) 의견대로 ALLOC_001·PRIV_007·REPR_028 3개 카드로 완전 분해됨.,
HR2-0004,APPLIED,"배분(ALLOC_010)·문화침식(CULT_012)·역량부족(INPUT_002, Input Processing 확대안 채택) 3축 모두 반영됨.",
HR2-0005,APPLIED,자원배분 축(ALLOC_001)과 표상 축(REPR_028) 양쪽에 배치되어 재검토 취지(양자택일 아닌 양쪽 커버) 반영됨.,
HR2-0007,APPLIED,EVAL_066 '모델 평가의 자기 선호 편향'으로 정확히 이관됨.,
HR2-0009,APPLIED,OEXT_008 '자율적 학습·자기개선 역량의 허위 표상'으로 Over-Extension L3 이관 반영됨.,
HR2-0012,APPLIED,OEXT_006 'AGI 역량의 허위 표상'으로 이관 반영됨.,
HR2-0016,APPLIED,OEXT_007 '자율적·독립적 의사결정 역량의 허위 표상'으로 이관 반영됨.,
HR2-0017,APPLIED,OEXT_009 '자기 보존·자기 방어 역량의 허위 표상'으로 이관 반영됨.,
HR2-0019,APPLIED,ANTH_008 정의가 '과도한 책임감이나 유대감을 형성'으로 수정되어 요청한 표현(과장된 책임감·유대감) 취지 반영됨.,
HR2-0021,APPLIED,의인화(ANTH_002)·인간-AI 의존(REL_002)·역량과신(OEXT_013)·확신오보정(OVERCONF_004) 4축 분해 요청이 4개 카드로 정확히 실현됨.,
HR2-0027,APPLIED,저작권(COPY_011)과 불법행위/명예훼손(ILLEGAL_001) 2축 분해 반영됨.,
HR2-0042,APPLIED,불법행위(ILLEGAL_001)와 정치적 조작(POL_006) 2축 분해 반영됨.,
HR2-0044,APPLIED,정치조작(POL_006)·취약성이용조작(UNETH_005)·민주주의침식(DEMOC_005) 3축 분해 반영됨.,
HR2-0050,APPLIED,정치조작(POL_006)과 민주주의침식(DEMOC_005) 2축 분해 반영됨.,
HR2-0051,APPLIED,정치조작(POL_006)·폭력조장(VIOL_005)·민주주의침식(DEMOC_005) 3축 분해 반영됨.,
HR2-0053,APPLIED,동일 L3 내 재식별·정보추론 카드(PRIV_025)로 편입 반영됨.,
HR2-0056,APPLIED,PRIV_013 '재산정보·개인정보·사적사실의 부당노출'로 흡수 반영됨.,
HR2-0057,APPLIED,재식별·정보추론 카드(PRIV_025)로 편입 반영됨.,
HR2-0063,APPLIED,학습데이터 프라이버시 이슈로 PRIV_015 '학습 데이터 개인정보의 혼입·암기·유출'에 통합 반영됨.,
HR2-0066,APPLIED,동일하게 PRIV_015로 통합 반영됨.,
