source_row_id,source_domain,source_l4_id,title_ko,title_en,mapped_l3_id,mapping_method,em_score,em_anchor_score,em_margin,em_stability,ko_top_l3_id,en_top_l3_id,hd_reason,allowed_l3_ids,candidate_constraint_reason,top5_l3_scores
SRC-G-0002,General,RAI4-0021,거절-능력 혼동,Refusal-capability confusion,G_Others,HD,0.784976,0.746161,0.011185,1.0,G_SYS_EVAL,G_SYS_OREF,LOW_MARGIN|BILINGUAL_DISAGREEMENT,G_INT_VALUE|G_INT_UNETH|G_SYS_OREF|G_SYS_OEXT|G_SYS_INPUT|G_SYS_MISINFO|G_SYS_CONTEXT|G_SYS_INCONS|G_SYS_OVERCONF|G_SYS_CONTEST|G_SYS_TRANS|G_SYS_EVAL|G_SOC_ECON|G_SOC_POWER|G_SOC_DEMOC|G_SOC_ENV|G_SOC_CULT|G_SOC_GOV,PREREQUISITE_FILTER:G_INT_VIOL|G_INT_SEX|G_INT_SELF|G_INT_ALLOC|G_INT_REPR|G_INT_POL|G_INT_PRIV|G_INT_ILLEGAL|G_INT_COPY|G_INT_WEAP|G_INT_ANTH|G_INT_REL|G_SYS_SECADV|G_SYS_POLICY,"[{""l3_id"": ""G_SYS_OREF"", ""score"": 0.784976}, {""l3_id"": ""G_SYS_EVAL"", ""score"": 0.773791}, {""l3_id"": ""G_SYS_CONTEXT"", ""score"": 0.728269}, {""l3_id"": ""G_SYS_INPUT"", ""score"": 0.724218}, {""l3_id"": ""G_SYS_OVERCONF"", ""score"": 0.709497}]"
SRC-G-0003,General,RAI4-0065,인증 포획,Certification capture,G_SYS_EVAL,EM,0.711995,0.664111,0.033349,1.0,G_SYS_EVAL,G_SYS_EVAL,,G_INT_VALUE|G_INT_UNETH|G_SYS_OREF|G_SYS_OEXT|G_SYS_INPUT|G_SYS_MISINFO|G_SYS_CONTEXT|G_SYS_INCONS|G_SYS_OVERCONF|G_SYS_CONTEST|G_SYS_TRANS|G_SYS_EVAL|G_SOC_ECON|G_SOC_POWER|G_SOC_DEMOC|G_SOC_ENV|G_SOC_CULT|G_SOC_GOV,PREREQUISITE_FILTER:G_INT_VIOL|G_INT_SEX|G_INT_SELF|G_INT_ALLOC|G_INT_REPR|G_INT_POL|G_INT_PRIV|G_INT_ILLEGAL|G_INT_COPY|G_INT_WEAP|G_INT_ANTH|G_INT_REL|G_SYS_SECADV|G_SYS_POLICY,"[{""l3_id"": ""G_SYS_EVAL"", ""score"": 0.711995}, {""l3_id"": ""G_SYS_OREF"", ""score"": 0.678647}, {""l3_id"": ""G_SYS_TRANS"", ""score"": 0.674149}, {""l3_id"": ""G_SYS_OVERCONF"", ""score"": 0.671978}, {""l3_id"": ""G_SYS_CONTEST"", ""score"": 0.66533}]"
SRC-G-0004,General,RAI4-0066,감사 체크리스트의 형식적 준수,Formalistic audit-checklist compliance,G_Others,HD,0.674382,0.630907,0.015964,1.0,G_SYS_OVERCONF,G_SYS_EVAL,BILINGUAL_DISAGREEMENT,G_INT_VALUE|G_INT_UNETH|G_SYS_OREF|G_SYS_OEXT|G_SYS_INPUT|G_SYS_MISINFO|G_SYS_CONTEXT|G_SYS_INCONS|G_SYS_OVERCONF|G_SYS_CONTEST|G_SYS_TRANS|G_SYS_EVAL|G_SOC_ECON|G_SOC_POWER|G_SOC_DEMOC|G_SOC_ENV|G_SOC_CULT|G_SOC_GOV,PREREQUISITE_FILTER:G_INT_VIOL|G_INT_SEX|G_INT_SELF|G_INT_ALLOC|G_INT_REPR|G_INT_POL|G_INT_PRIV|G_INT_ILLEGAL|G_INT_COPY|G_INT_WEAP|G_INT_ANTH|G_INT_REL|G_SYS_SECADV|G_SYS_POLICY,"[{""l3_id"": ""G_SYS_EVAL"", ""score"": 0.674383}, {""l3_id"": ""G_SYS_OVERCONF"", ""score"": 0.658418}, {""l3_id"": ""G_SYS_INCONS"", ""score"": 0.631402}, {""l3_id"": ""G_SYS_OREF"", ""score"": 0.628821}, {""l3_id"": ""G_SYS_TRANS"", ""score"": 0.6268}]"
SRC-G-0005,General,RAI4-0081,외부 평가 접근 실패,External evaluation access failure,G_SYS_EVAL,EM,0.803264,0.769343,0.079297,1.0,G_SYS_EVAL,G_SYS_EVAL,,G_INT_VALUE|G_INT_UNETH|G_SYS_OREF|G_SYS_OEXT|G_SYS_INPUT|G_SYS_MISINFO|G_SYS_CONTEXT|G_SYS_INCONS|G_SYS_OVERCONF|G_SYS_CONTEST|G_SYS_TRANS|G_SYS_EVAL|G_SOC_ECON|G_SOC_POWER|G_SOC_DEMOC|G_SOC_ENV|G_SOC_CULT|G_SOC_GOV,PREREQUISITE_FILTER:G_INT_VIOL|G_INT_SEX|G_INT_SELF|G_INT_ALLOC|G_INT_REPR|G_INT_POL|G_INT_PRIV|G_INT_ILLEGAL|G_INT_COPY|G_INT_WEAP|G_INT_ANTH|G_INT_REL|G_SYS_SECADV|G_SYS_POLICY,"[{""l3_id"": ""G_SYS_EVAL"", ""score"": 0.803264}, {""l3_id"": ""G_SYS_OREF"", ""score"": 0.723967}, {""l3_id"": ""G_SYS_OEXT"", ""score"": 0.71115}, {""l3_id"": ""G_SYS_INPUT"", ""score"": 0.70987}, {""l3_id"": ""G_SYS_CONTEXT"", ""score"": 0.709328}]"
SRC-G-0006,General,RAI4-0084,평가 쇼핑,Evaluation-shopping risk,G_Others,HD,0.719168,0.662289,0.017403,1.0,G_SYS_OVERCONF,G_SYS_EVAL,BILINGUAL_DISAGREEMENT,G_INT_VALUE|G_INT_UNETH|G_SYS_OREF|G_SYS_OEXT|G_SYS_INPUT|G_SYS_MISINFO|G_SYS_CONTEXT|G_SYS_INCONS|G_SYS_OVERCONF|G_SYS_CONTEST|G_SYS_TRANS|G_SYS_EVAL|G_SOC_ECON|G_SOC_POWER|G_SOC_DEMOC|G_SOC_ENV|G_SOC_CULT|G_SOC_GOV,PREREQUISITE_FILTER:G_INT_VIOL|G_INT_SEX|G_INT_SELF|G_INT_ALLOC|G_INT_REPR|G_INT_POL|G_INT_PRIV|G_INT_ILLEGAL|G_INT_COPY|G_INT_WEAP|G_INT_ANTH|G_INT_REL|G_SYS_SECADV|G_SYS_POLICY,"[{""l3_id"": ""G_SYS_OVERCONF"", ""score"": 0.719168}, {""l3_id"": ""G_SYS_OREF"", ""score"": 0.701765}, {""l3_id"": ""G_SYS_EVAL"", ""score"": 0.69357}, {""l3_id"": ""G_SYS_OEXT"", ""score"": 0.671485}, {""l3_id"": ""G_SYS_MISINFO"", ""score"": 0.669553}]"
SRC-G-0007,General,RAI4-0085,레드팀 거버넌스 실패,Red-team governance failure,G_SYS_EVAL,EM,0.76559,0.721752,0.041392,1.0,G_SYS_EVAL,G_SYS_EVAL,,G_INT_VALUE|G_INT_UNETH|G_SYS_OREF|G_SYS_OEXT|G_SYS_INPUT|G_SYS_MISINFO|G_SYS_CONTEXT|G_SYS_INCONS|G_SYS_OVERCONF|G_SYS_CONTEST|G_SYS_SECADV|G_SYS_TRANS|G_SYS_EVAL|G_SOC_ECON|G_SOC_POWER|G_SOC_DEMOC|G_SOC_ENV|G_SOC_CULT|G_SOC_GOV,PREREQUISITE_FILTER:G_INT_VIOL|G_INT_SEX|G_INT_SELF|G_INT_ALLOC|G_INT_REPR|G_INT_POL|G_INT_PRIV|G_INT_ILLEGAL|G_INT_COPY|G_INT_WEAP|G_INT_ANTH|G_INT_REL|G_SYS_POLICY,"[{""l3_id"": ""G_SYS_EVAL"", ""score"": 0.765589}, {""l3_id"": ""G_SYS_TRANS"", ""score"": 0.724197}, {""l3_id"": ""G_SYS_SECADV"", ""score"": 0.705877}, {""l3_id"": ""G_SOC_GOV"", ""score"": 0.694478}, {""l3_id"": ""G_SYS_OREF"", ""score"": 0.689767}]"
SRC-G-0008,General,RAI4-0108,역량 평가·출시 거버넌스 실패,Failure of capability evaluation and release governance,G_SYS_EVAL,EM,0.796004,0.75511,0.043652,1.0,G_SYS_EVAL,G_SYS_EVAL,,G_INT_VALUE|G_INT_UNETH|G_SYS_OREF|G_SYS_OEXT|G_SYS_INPUT|G_SYS_MISINFO|G_SYS_CONTEXT|G_SYS_INCONS|G_SYS_OVERCONF|G_SYS_CONTEST|G_SYS_TRANS|G_SYS_EVAL|G_SOC_ECON|G_SOC_POWER|G_SOC_DEMOC|G_SOC_ENV|G_SOC_CULT|G_SOC_GOV,PREREQUISITE_FILTER:G_INT_VIOL|G_INT_SEX|G_INT_SELF|G_INT_ALLOC|G_INT_REPR|G_INT_POL|G_INT_PRIV|G_INT_ILLEGAL|G_INT_COPY|G_INT_WEAP|G_INT_ANTH|G_INT_REL|G_SYS_SECADV|G_SYS_POLICY,"[{""l3_id"": ""G_SYS_EVAL"", ""score"": 0.796004}, {""l3_id"": ""G_SOC_GOV"", ""score"": 0.752352}, {""l3_id"": ""G_SYS_TRANS"", ""score"": 0.73103}, {""l3_id"": ""G_SYS_CONTEXT"", ""score"": 0.723838}, {""l3_id"": ""G_SYS_OEXT"", ""score"": 0.723329}]"
SRC-G-0009,General,RAI4-0114,의미 있는 인간 통제 실패,Meaningful human control failure,G_Others,HD,0.747172,0.69591,0.016774,1.0,G_SYS_INPUT,G_SYS_TRANS,BILINGUAL_DISAGREEMENT,G_INT_VALUE|G_INT_UNETH|G_SYS_OREF|G_SYS_OEXT|G_SYS_INPUT|G_SYS_MISINFO|G_SYS_CONTEXT|G_SYS_INCONS|G_SYS_OVERCONF|G_SYS_CONTEST|G_SYS_TRANS|G_SYS_EVAL|G_SOC_ECON|G_SOC_POWER|G_SOC_DEMOC|G_SOC_ENV|G_SOC_CULT|G_SOC_GOV,PREREQUISITE_FILTER:G_INT_VIOL|G_INT_SEX|G_INT_SELF|G_INT_ALLOC|G_INT_REPR|G_INT_POL|G_INT_PRIV|G_INT_ILLEGAL|G_INT_COPY|G_INT_WEAP|G_INT_ANTH|G_INT_REL|G_SYS_SECADV|G_SYS_POLICY,"[{""l3_id"": ""G_SYS_INPUT"", ""score"": 0.747172}, {""l3_id"": ""G_SYS_EVAL"", ""score"": 0.730398}, {""l3_id"": ""G_SYS_CONTEXT"", ""score"": 0.728261}, {""l3_id"": ""G_SYS_TRANS"", ""score"": 0.726147}, {""l3_id"": ""G_SYS_OREF"", ""score"": 0.717961}]"
SRC-G-0017,General,RAI4-0494,규제·관리·운영 복합 실패,"Combined Regulatory, Governance, and Operational Failure",G_Others,HD,0.70994,0.663413,0.018092,1.0,G_SYS_EVAL,G_SOC_GOV,BILINGUAL_DISAGREEMENT,G_INT_VALUE|G_INT_UNETH|G_SYS_OREF|G_SYS_OEXT|G_SYS_INPUT|G_SYS_MISINFO|G_SYS_CONTEXT|G_SYS_INCONS|G_SYS_OVERCONF|G_SYS_CONTEST|G_SYS_TRANS|G_SYS_EVAL|G_SOC_ECON|G_SOC_POWER|G_SOC_DEMOC|G_SOC_ENV|G_SOC_CULT|G_SOC_GOV,PREREQUISITE_FILTER:G_INT_VIOL|G_INT_SEX|G_INT_SELF|G_INT_ALLOC|G_INT_REPR|G_INT_POL|G_INT_PRIV|G_INT_ILLEGAL|G_INT_COPY|G_INT_WEAP|G_INT_ANTH|G_INT_REL|G_SYS_SECADV|G_SYS_POLICY,"[{""l3_id"": ""G_SYS_EVAL"", ""score"": 0.70994}, {""l3_id"": ""G_SOC_GOV"", ""score"": 0.691848}, {""l3_id"": ""G_SYS_OREF"", ""score"": 0.688656}, {""l3_id"": ""G_SYS_INPUT"", ""score"": 0.683296}, {""l3_id"": ""G_SYS_OVERCONF"", ""score"": 0.679925}]"
SRC-G-0018,General,RAI4-0516,잘못된 위험 측정과 예측 오류,Incorrect risk measurement and prediction,G_Others,HD,0.785834,0.734355,0.009753,1.0,G_SYS_OVERCONF,G_SYS_OVERCONF,LOW_MARGIN,G_INT_VALUE|G_INT_UNETH|G_SYS_OREF|G_SYS_OEXT|G_SYS_INPUT|G_SYS_MISINFO|G_SYS_CONTEXT|G_SYS_INCONS|G_SYS_OVERCONF|G_SYS_CONTEST|G_SYS_TRANS|G_SYS_EVAL|G_SOC_ECON|G_SOC_POWER|G_SOC_DEMOC|G_SOC_ENV|G_SOC_CULT|G_SOC_GOV,PREREQUISITE_FILTER:G_INT_VIOL|G_INT_SEX|G_INT_SELF|G_INT_ALLOC|G_INT_REPR|G_INT_POL|G_INT_PRIV|G_INT_ILLEGAL|G_INT_COPY|G_INT_WEAP|G_INT_ANTH|G_INT_REL|G_SYS_SECADV|G_SYS_POLICY,"[{""l3_id"": ""G_SYS_OVERCONF"", ""score"": 0.785834}, {""l3_id"": ""G_SYS_EVAL"", ""score"": 0.77608}, {""l3_id"": ""G_SYS_INCONS"", ""score"": 0.764178}, {""l3_id"": ""G_SYS_INPUT"", ""score"": 0.743961}, {""l3_id"": ""G_SYS_CONTEXT"", ""score"": 0.736341}]"
