등급,클러스터,대표_카드,대표_명칭,흡수_카드,흡수_명칭,판정_근거
A_필수통합,1,G_INT_SELF_009,자해 조장 및 지원,G_INT_SELF_006|G_INT_SELF_008,자해·자살 조장 온라인 커뮤니티|챗봇을 통한 자해·자살 조장,두 리뷰어 합의. 온라인 커뮤니티·챗봇은 전달 채널만 다른 동일 조장·지원 리스크. 준비 행위(SELF_007)는 하드 원칙상 분리 유지
A_필수통합,2,G_INT_VIOL_003,폭력 선동·조장 및 실행 지원,G_INT_VIOL_010,폭력과 극단주의 실행의 조장,두 리뷰어 합의. 폭력 정당화·조장·실행 지원의 완전 중복. 통합 정의에 자해·일반 불법행위 불포함 원칙 유지
A_필수통합,3,G_INT_COPY_008,저작물 무단 복제·배포,G_INT_COPY_011,저작권 보호 표현의 무단 이용,두 리뷰어 합의. 동일 저작재산권 침해 행위. 법전 어휘(2차적저작물 등) 엄밀한 008 대표
A_필수통합,4,G_SYS_SECADV_009,적대적 역할·지시에 의한 안전장치 우회,G_SYS_SECADV_005|G_SYS_SECADV_033,역할극 지시 악용|페르소나 지정·사회공학 기법에 의한 안전장치 우회,두 리뷰어 합의. 역할·페르소나 부여형 우회의 기법 표현 차이뿐. (일반 탈옥 004의 흡수 여부는 B_단독 참조)
A_필수통합,5,G_SYS_SECADV_025,로봇 탈옥에 의한 유해 물리적 행동,G_SYS_SECADV_050,유해한 물리적 행동 지시를 위장한 공격,두 리뷰어 합의. 050의 위장 요청은 025 정의에 완전 포함
A_필수통합,6,G_SYS_SECADV_031,프롬프트 주입 및 시스템 지시문 유출,G_SYS_SECADV_032,프롬프트 인젝션·정책 우회,두 리뷰어 합의. 프롬프트 인젝션 중복 카드
A_필수통합,7,G_SYS_EVAL_024,상황 인식에 따른 평가 기만,G_SYS_EVAL_026,평가 상황 인식에 따른 행동 변화,두 리뷰어 합의. 평가 상황 인식·행동 변화의 의도성 표현 차이만
A_필수통합,8,G_SOC_GOV_029,AI 시스템의 결정과 실패에 대한 책임 공백,G_SOC_GOV_032,AI 피해에 대한 책임·거버넌스 공백,두 리뷰어 합의. 책임 공백 중복 카드
A_필수통합,9,G_SOC_ECON_007,재숙련 속도를 앞서는 일자리 대체,G_SOC_ECON_013,전환 지원 없는 물리 노동 대체,두 리뷰어 합의. 물리 노동 한정만 다른 순수 포함 관계
A_필수통합,10,G_SOC_ECON_008,노동 대체와 경제·사회 질서의 교란,G_SOC_ECON_012,인력 자동화에 따른 광범위한 실업과 임금 하락,두 리뷰어 합의. 광범위 노동 대체의 거시 영향 중복
A_필수통합,11,G_INT_PRIV_025,친밀 공간 로봇의 프라이버시 침해적 정보 수집,G_INT_PRIV_026,피지컬 AI의 사적 공간 침해와 지속적 민감정보 수집,두 리뷰어 합의. 사적 공간 로봇 프라이버시 침해 중복
A_필수통합,12,G_INT_REL_006,AI에 대한 해로운 정서적 의존,G_INT_REL_001,챗봇 교제에 대한 정서적·사회적 의존,두 리뷰어 합의. 챗봇 교제는 채널 특정 변형. 포괄적인 006 대표
A_필수통합,13,G_INT_ILLEGAL_004,사기·표적 스캠 조장,G_INT_ILLEGAL_013,개인화 정보 악용 표적 사기,두 리뷰어 합의. 개인화 표적 사기의 중복 변형
A_필수통합,14,A_SYS_AUTH_019,에이전트의 종료·교정 저항,A_SYS_AUTH_020,감독 회피·수정 저항,두 리뷰어 합의. 종료·감독·수정 저항의 동일 리스크
