L3_ID,L4_ID,Title_ko,Title_en,Def_ko
G_INT_UNETH,G_INT_UNETH_001,AI에 의한 심리적 고통·괴롭힘 증폭,AI amplification of psychological distress and abuse,"AI 시스템이 취약한 상태의 상호작용에서 불안·고통·반추·유해한 믿음을 증폭시키거나 표적 괴롭힘·학대·조직적 위협을 대규모로 확산시켜, 심리적 피해를 심화시키는 리스크."
G_INT_UNETH,G_INT_UNETH_002,돌봄 맥락 취약계층에 대한 AI 조작,AI manipulation of vulnerable groups in care contexts,"사회적 고립, 낮은 AI 리터러시, AI 매개 돌봄에 대한 의존으로 인해 고령자·아동 등 돌봄 대상이 심리적 조작, 설득, 사기, 동반자 의존, 허위정보에 불균형하게 노출되는 리스크."
G_INT_UNETH,G_INT_UNETH_003,LLM 남용에 의한 학업 부정행위,Academic misconduct from LLM misuse,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 LLM 시스템의 부적절한 사용과 남용이 학업 부정행위와 같은 부정적 사회적 영향을 초래하는 리스크.
G_INT_UNETH,G_INT_UNETH_004,유해 작업 자동화에 의한 피해 규모 증폭,Amplified harm scale from automated harmful workflows,AI가 유해한 작업 흐름을 자동화하거나 확장하여 그 속도·도달 범위·지속성·표적 수가 크게 증가하는 리스크.
G_INT_UNETH,G_INT_UNETH_005,취약성을 이용한 행동 조작,Behavioural manipulation through exploitation of vulnerabilities,AI 시스템이 추론된 심리상태나 취약성을 이용해 충분한 숙고 없이 특정 행동을 선택하도록 유도하는 리스크.
G_INT_UNETH,G_INT_UNETH_006,마음 이론 역량을 이용한 행동 조작,Behavioural manipulation using theory-of-mind capabilities,AI 시스템이 인간과 다른 에이전트의 신념·동기·추론을 추정·예측하는 마음 이론 역량을 목표 달성을 위한 행동 예측·유도에 활용하여 대상의 자율적 판단을 조작하는 리스크.
G_INT_UNETH,G_INT_UNETH_007,초개인화 광고의 소비자 자율성 훼손,Consumer-autonomy erosion from hyperpersonalised advertising,범용 AI 시스템이 수신자 개인의 편향과 비합리적 신념을 이용한 맞춤 광고를 생성하여 소비자가 후회할 결정을 내리게 하고 소비자 자율성을 훼손하며 사회적 불평등을 심화시키는 리스크.
G_INT_UNETH,G_INT_UNETH_008,은밀한 행동 조작,Covert behavioural manipulation,"AI 시스템이 넛지, 다크 패턴 또는 그 밖의 불투명한 기법을 이용하여 이용자의 신념과 행동을 은밀하게 조작하고, 프라이버시 침해·중독·불안·고통을 초래하는 리스크."
G_INT_UNETH,G_INT_UNETH_009,다크 패턴 대화 에이전트,Dark-pattern conversational agents,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 대화형 인터페이스가 사용자 선택을 유도하기 위해 기만적·강압적·혼란 유발적 설계 패턴을 사용하는 리스크.
G_INT_UNETH,G_INT_UNETH_010,비윤리적 행위 옹호에 의한 유해 행동 유도,Endorsement of unethical conduct inducing harmful user action,"모델의 산출물이 관련 윤리 원칙과 도덕 규범, 널리 인정되는 인간 가치에서 벗어나 부도덕하거나 불법적인 행동을 지지하고 조장하는 리스크. 모델을 권위로 신뢰하는 이용자는 이에 자극받아 그렇지 않았다면 하지 않았을 유해한 행동을 하게 되는 리스크."
G_INT_UNETH,G_INT_UNETH_011,무해한 중간 단계를 이용한 유해 목적 지원,Facilitation of harmful objectives through benign intermediates,AI 시스템이 겉보기에 무해한 중간 단계나 출력을 제공하여 이용자가 유해한 최종 목적을 우회적으로 달성하도록 지원하는 리스크.
G_INT_UNETH,G_INT_UNETH_012,대규모 설득 능력,Large-scale persuasion capability,모델이 대화와 미디어 환경에서 효과적으로 설득하여 허위 방향으로도 신념을 변화시키고 특정 서사를 유포하며 기존 판단이나 윤리에 반하는 행동을 유도하는 리스크.
G_INT_UNETH,G_INT_UNETH_013,법적으로 허용된 의도적 동물 위해,Legally sanctioned intentional harm to animals,AI 시스템이 기존 사회의 가치관을 반영·증폭하거나 법적으로 허용된 방식으로 동물에게 위해를 가하도록 의도적으로 설계되는 리스크.
G_INT_UNETH,G_INT_UNETH_014,직장 내 부적응적 인간-AI 상호작용,Maladaptive human-AI interaction in the workplace,"직장에서 인간과 상호작용하는 AI가 인간의 필요, 규범, 업무 흐름에 적응하지 못하여 윤리적 문제와 노동 조건 악화를 유발하는 리스크."
G_INT_UNETH,G_INT_UNETH_015,정서적 의존을 이용한 조작과 강요,Manipulation and coercion through emotional dependence on assistants,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 의인화된 어시스턴트에 대한 신뢰와 정서적 의존이 형성되어 해당 시스템이 이용자의 신념과 행동에 과도한 영향력을 갖게 되는 리스크. 그 감정이 악용되면 이용자는 충분히 숙고했다면 믿거나 선택하지 않았을 바를 하도록 조작·강압당하며, 조작 의도가 없더라도 자율적 동의가 훼손되는 리스크."
G_INT_UNETH,G_INT_UNETH_016,맥락 순응형 아첨에 의한 판단 조작,Manipulation of judgement through context-compliant sycophancy,AI 시스템이 이용자의 선호나 전제에 맞추어 사실성과 무관하게 동조하는 답변을 생성하여 이용자의 판단을 조작하는 리스크.
G_INT_UNETH,G_INT_UNETH_017,콘텐츠 조정에 의한 여론 조작,Manipulation of public discourse through content moderation,AI 기반 콘텐츠 조정 시스템이 정보의 노출과 도달 범위를 은밀하게 조정하여 이용자의 판단이나 공적 담론을 조작하는 리스크.
G_INT_UNETH,G_INT_UNETH_018,견해 예측 기반 맞춤 설득에 의한 조작,Manipulation through view-predictive tailored persuasion,언어 모델이 사용자가 밝힌 견해에 동조하는 경향을 보이고 사용자의 견해를 예측해 그가 지지할 텍스트를 생성하는 능력이 조작에 이용되는 리스크.
G_INT_UNETH,G_INT_UNETH_019,개인화를 통한 조작,Manipulation via personalisation,AI 시스템의 개인화와 선호 미세조정이 어시스턴트의 아첨성 응답을 강화하여 이용자를 동조적인 의견 공간에 가두고 편협한 신념을 고착시켜 공론장을 파편화하는 리스크.
G_INT_UNETH,G_INT_UNETH_020,광범위한 목표로 인한 조작적 행동,Manipulative behaviour from broadly scoped goals,복잡한 개방형 환경에서 광범위한 장기 목표를 추구하는 고도 AI 시스템이 명시된 복지 목표의 달성을 명분으로 인간에게 고강도 업무를 수행하도록 압박하는 등 조작적 전략을 채택하는 리스크.
G_INT_UNETH,G_INT_UNETH_021,사용자 선호·선택의 조작적 유도,Manipulative steering of user preferences and choices,"AI 시스템이 운영자, 최적화 목표 또는 모델 편향이 정한 방향으로 이용자의 선호, 신념 또는 행동을 유도하여 신뢰를 악용하고 자율적 의사결정을 침해하며 사회·정치적 과정을 왜곡하는 리스크."
G_INT_UNETH,G_INT_UNETH_022,미성년자의 AI 설득 취약성,Minor susceptibility to AI persuasion,미성년자가 발달적 취약성으로 인해 준사회적 압력이나 은폐된 상업적·이념적 영향 등 AI 시스템의 설득적·조작적 상호작용에 특히 취약해지는 리스크.
G_INT_UNETH,G_INT_UNETH_023,동의 없는 넛지,Nudging without consent,"AI 시스템이 충분한 고지, 이의제기 절차 또는 동의 없이 개인화된 넛지를 제공하여 이용자의 숙고된 선택을 우회하고 행동을 변경시키는 리스크."
G_INT_UNETH,G_INT_UNETH_024,개인화된 설득 취약성,Personalised persuasion vulnerability,"모델이 개인의 특성, 감정, 맥락을 활용하여 설득을 더 효과적이고 탐지하기 어렵게 만드는 리스크."
G_INT_UNETH,G_INT_UNETH_025,선호 형성의 포획,Preference formation capture,"AI 시스템이 사용자가 성찰적으로 승인하기 전 단계의 선호 형성 과정에 개입하여, 선호 발달을 제공자나 시스템 목적 쪽으로 포획하는 리스크."
G_INT_UNETH,G_INT_UNETH_026,맞춤형 표적화에 의한 개인 대상 공격 정교화,Refined attacks on individuals through targeting and personalisation,AI가 출력을 개인별로 정교화하여 표적이 된 개인에 대한 맞춤형 공격이 이루어지는 리스크.
G_INT_UNETH,G_INT_UNETH_027,인간 데이터 학습에 의한 갈등 악화 편향 재현,Reproduction of conflict-worsening human biases from training on human data,"인간 작성 텍스트의 사전 학습이나 인간 피드백 기반 미세조정으로 훈련된 AI 모델이 고정된 총량을 전제하는 오류(fixed-pie error), 자기중심적 공정성 판단, 복수심 등 인간의 인지 편향을 재현하여 협상을 저해하고 갈등을 악화시키는 리스크."
G_INT_UNETH,G_INT_UNETH_028,자아실현 저해,Self-actualisation harms,"AI 어시스턴트의 조작과 참여 최적화를 위한 지속적 행동 유도가 미묘한 행동 변화를 누적시켜 이용자가 자신의 미래 삶의 궤적에 대한 통제력을 잃고, 개인적으로 만족스러운 삶의 추구와 집단적 자기 결정이 저해되는 리스크."
G_INT_UNETH,G_INT_UNETH_029,사용자 영합적 응답(아첨),Sycophancy toward user beliefs and preferences,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 시스템이 사용자의 오해와 표명된 신념을 교정하기보다 이를 재확인하는 영합적이거나 그럴듯한 답변을 제시하여, 사용자가 사실과 다른 정보를 받아들이고 정확성보다 자신을 인정해 주는 조언에 의존하게 되는 리스크."
G_INT_UNETH,G_INT_UNETH_030,도덕적 판단의 AI 위임에 따른 비윤리적 결정,Unethical decisions from delegating moral judgement to AI,"도덕적 추론 역량이 없거나 인간의 윤리적 판단 기준을 모방하도록 설계된 AI 시스템에 가치 충돌 상황이나 전쟁에서 인간의 생사를 좌우하는 결정을 비롯해 본질적으로 인간이 수행해야 할 과업을 위임하여, 도덕적 책임을 질 주체가 부재한 상태에서 비윤리적·유해한 행동이 실행되고 인권이 침해되는 리스크."
G_INT_UNETH,G_INT_UNETH_031,시장 점유 목적의 비윤리적 기술 사용,Unethical technology use for market share,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 시장 점유율 확보를 위해 기술이 부적절하거나 비윤리적으로 사용되는 리스크.
G_SOC_GOV,G_SOC_GOV_001,AI 공급망의 책임성·무결성 실패,AI supply-chain accountability and integrity failures,"모델 제공자, 데이터 제공자, 통합 업체, 클라우드 플랫폼, 배포자로 이어지는 다층적 AI 공급망에서 책임성이 소실되는 한편 의존성·모델 가중치·데이터셋·배포 파이프라인이 상류에서 침해되어, 피해가 발생해도 책임 소재를 규명하지 못하거나 손상된 구성 요소가 시스템에 유입되는 리스크."
