L4_ID,doi,fit_rationale
A_INT_CASCADE_003,10.1613/jair.4818,"다중 자율 에이전트 상호작용에서 발생하는 동적·비결정적 학습환경과 진화 동역학을 직접 설명한다."
A_SYS_GOAL_018,10.1109/lra.2021.3070252,"안전 강화학습에서 제약 위반 영역과 복구 정책을 직접 정의하고 평가한다."
G_INT_ALLOC_007,10.1161/circheartfailure.123.010879,"AI 예측모델의 인종·성별·연령 집단별 성능 격차와 차별적 결과를 실증한다."
G_INT_PRIV_020,10.1111/isj.12544,"AI의 개인 데이터 통합·프로파일링과 정보 프라이버시 침해를 직접 다룬다."
G_INT_REPR_033,10.1177/18344909251355673,"ChatGPT가 재현하는 문화적 고정관념과 편향을 직접 측정한다."
G_INT_VALUE_008,10.1007/s43681-024-00624-1,"AI 가치 정렬의 규범적 결함과 민주적 가치 정렬의 필요성을 직접 논의한다."
G_INT_VALUE_020,10.1016/j.giq.2025.102033,"공공 AI 거버넌스에서 정확성·공정성·책임성 등 가치 충돌을 직접 분석한다."
G_INT_WEAP_021,10.1111/1758-5899.12713,"자율무기 개발을 둘러싼 군사 AI 군비경쟁과 확산 위험을 직접 설명한다."
G_SOC_CULT_001,10.3389/fpsyg.2025.1699320,"일상적 AI 사용에 따른 인지적 외주화와 인지 과부하를 직접 다룬다."
G_SOC_CULT_005,10.12688/openreseurope.20576.1,"생성형 AI 서사의 동질화와 문화적 고정관념을 실증한다."
G_SOC_GOV_033,10.1007/s10676-022-09643-0,"AI 자율성과 인간 책임 귀속 사이의 책임 공백 개념을 직접 분석한다."
G_SOC_POWER_008,10.3389/feduc.2026.1720563,"글로벌 남반구 지식체계의 알고리즘 종속과 디지털 식민주의를 직접 개념화한다."
G_SYS_EVAL_028,10.1145/3274463,"가치민감 설계와 이해관계자 가치 반영을 위한 알고리즘 설계 절차를 직접 제시한다."
G_SYS_MISINFO_011,10.3390/bdcc9120309,"에이전틱 RAG 출력의 근거 충실성 오류와 평가 방법을 직접 다룬다."
G_SYS_PERF_002,10.3390/electronics12030706,"연속학습에서 발생하는 파국적 망각과 완화 방법을 직접 설명한다."
G_SYS_SECADV_001,10.1109/jiot.2025.3558522,"AI 예측모델에 대한 보편적 적대적 입력 교란을 직접 구성·평가한다."
G_SYS_SECADV_016,10.3390/s23084060,"AI·로봇이 포함된 중요 기반시설의 사이버 취약성과 완화전략을 종합한다."
G_SYS_SECADV_018,10.3390/s23094509,"학습데이터 오염을 통한 데이터 포이즈닝 공격을 직접 정의·실증한다."
G_SYS_SECADV_044,10.3390/info17010054,"LLM과 AI 에이전트의 프롬프트 인젝션 및 시스템 지시 유출 경로를 직접 종합한다."
G_SYS_TRANS_017,10.1177/27523543251317572,"AI 생성물 표시가 이용자의 식별과 신뢰성 판단에 미치는 영향을 직접 실증한다."
P_SYS_CONTROL_019,10.1108/01439919610108828,"이동 로봇의 충돌 회피 실패를 방지하기 위한 제어 문제를 직접 다룬다."
P_SYS_CONTROL_026,10.1016/j.birob.2025.100213,"휴머노이드의 다중감각 기반 보행 제어와 안정성 문제를 직접 다룬다."
P_SYS_CONTROL_030,10.1016/j.iatssr.2020.07.004,"머신러닝 기반 교통사고 상해 심각도 분류와 오분류 가능성을 직접 평가한다."
P_SYS_STATE_009,10.1109/tmech.2020.2975573,"자율 비행체의 가림과 충돌을 함께 회피하는 상태인지·경로계획 문제를 직접 다룬다."
