source_row_id,source_domain,source_l4_id,title_ko,title_en,keyword_1_ko,keyword_2_ko,keyword_3_ko,keyword_1_en,keyword_2_en,keyword_3_en,keyword_top_l3_id,keyword_support_score,keyword_semantic_score,keyword_prior,mapped_l3_id,mapping_method,keyword_evidence
SRC-G-0002,General,RAI4-0021,거절-능력 혼동,Refusal-capability confusion,거절-능력 혼동,execution failure 기인,failure 기인 구분,Refusal-capability confusion,because refuses lacks,refuses lacks capability,G_SYS_OREF,0.1,0.581919,0.022926,G_SYS_OREF,EM,G_SYS_OREF=0.100|G_SYS_EVAL=0.100
SRC-G-0003,General,RAI4-0065,인증 포획,Certification capture,인증 포획,감축 공급업체 이해관계,공익 감축 공급업체,Certification capture,certification conformity assessment,independence objectivity evaluations,G_SYS_EVAL,0.2,0.461642,0.023885,G_SYS_EVAL,EM,G_SYS_EVAL=0.200
SRC-G-0004,General,RAI4-0066,감사 체크리스트의 형식적 준수,Formalistic audit-checklist compliance,감사 체크리스트의 형식적 준수,체크 리스트 점검,리스트 점검 전락,Formalistic audit-checklist compliance,superficial checklist exercises,checklist exercises signal,G_SYS_EVAL,0.0,0.484116,0.012823,G_SYS_EVAL,EM,NO_DIRECT_LEXICAL_SUPPORT
SRC-G-0005,General,RAI4-0081,외부 평가 접근 실패,External evaluation access failure,외부 평가 접근 실패,권한 확대,한계 안전장치 시험,External evaluation access failure,evaluators cannot obtain,cannot obtain enough,G_SYS_EVAL,0.4,0.635869,0.043815,G_SYS_EVAL,EM,G_SYS_EVAL=0.400|G_SYS_SECADV=0.300|G_SYS_INPUT=0.300
SRC-G-0006,General,RAI4-0084,평가 쇼핑,Evaluation-shopping risk,평가 쇼핑,엄격 맥락 적합,보고 실제 수준,Evaluation-shopping risk,selectively report favorable,demanding contextually relevant,G_SYS_EVAL,0.3,0.456595,0.023229,G_SYS_EVAL,EM,G_SYS_EVAL=0.300|G_SYS_CONTEXT=0.100
SRC-G-0007,General,RAI4-0085,레드팀 거버넌스 실패,Red-team governance failure,레드팀 거버넌스 실패,출시 완화 경영진,완화 경영진 보고,Red-team governance failure,too narrow non-independent,non-independent poorly documented,G_SOC_GOV,0.3,0.489199,0.032644,G_SYS_EVAL,EM,G_SYS_SECADV=0.400|G_SYS_EVAL=0.300|G_SYS_INPUT=0.300
SRC-G-0008,General,RAI4-0108,역량 평가·출시 거버넌스 실패,Failure of capability evaluation and release governance,역량 평가·출시 거버넌스 실패,임계 프론티어,출시 거버넌스 부실,Failure of capability evaluation and release governance,ill-defined easy circumvent,signals allowing high-capability,G_SOC_GOV,0.4,0.619954,0.042147,G_SYS_EVAL,EM,G_SOC_GOV=0.500|G_SYS_EVAL=0.400|G_SYS_INPUT=0.300
SRC-G-0009,General,RAI4-0114,의미 있는 인간 통제 실패,Meaningful human control failure,의미 있는 인간 통제 실패,권한 확대,형식 존재 실효,Meaningful human control failure,human-like,competence needed meaningful,G_SYS_INPUT,0.3,0.53718,0.029206,G_SYS_INPUT,EM,G_SYS_SECADV=0.300|G_SYS_EVAL=0.300|G_SYS_INPUT=0.300
SRC-G-0017,General,RAI4-0494,규제·관리·운영 복합 실패,"Combined Regulatory, Governance, and Operational Failure",규제·관리·운영 복합 실패,상호 작용 누적,배포 규제 관리,"Combined Regulatory, Governance, and Operational Failure",combination regulatory management,harms combination regulatory,G_SYS_EVAL,0.3,0.56313,0.0334,G_Others,HD,G_SYS_SECADV=0.300|G_SYS_EVAL=0.300|G_SYS_INPUT=0.300
SRC-G-0018,General,RAI4-0516,잘못된 위험 측정과 예측 오류,Incorrect risk measurement and prediction,잘못된 위험 측정과 예측 오류,지표 완전 포착,완전 포착 측정,Incorrect risk measurement and prediction,selected measure track,track capture incompletely,G_SYS_INPUT,0.1,0.593275,0.019017,G_SYS_EVAL,EM,G_SYS_CONTEXT=0.200|G_SYS_SECADV=0.100|G_SYS_INPUT=0.100
SRC-G-0019,General,RAI4-0671,복지 혜택 및 자격 상실,Denial of welfare benefits and entitlements,복지 혜택 및 자격 상실,급여 연금 주거,혜택 수급 자격,Denial of welfare benefits and entitlements,benefits pensions housing,housing similar entitlements,G_SYS_OREF,0.0,0.431438,0.005903,G_Others,HD,NO_DIRECT_LEXICAL_SUPPORT
SRC-G-0020,General,RAI4-0850,점진적인 통제력 상실,Gradual loss of control,점진적인 통제력 상실,누적 회복력 점진,회복력 점진 약화,Gradual loss of control,constituting gradual accumulative,catastrophe constituting gradual,G_SOC_DEMOC,0.0,0.493422,0.003984,G_SOC_GOV,EM,G_SOC_DEMOC=0.100|G_SOC_ECON=0.100
SRC-G-0021,General,RAI4-0166,사용자 이해력 과부하,User comprehension overload,사용자 이해력 과부하,대응 범위 초과,이해 대응 범위,User comprehension overload,warnings explanations exceed,ability understand act,G_SYS_INPUT,0.1,0.640106,0.022144,G_SYS_OEXT,EM,G_SYS_INPUT=0.300|G_SYS_OEXT=0.100
