Register_ID,source_row_id,domain,휴먼검토의견_원문,검수자A,검수자B,총괄최종판정,원인코드,총괄근거,반영결과요약
HR2-0002,SRC-G-0467,General,"(jay) [분할] 복합적. Allocative discrimination, Representational Harm and Stereotyping, Privacy violation이 혼재되어 해당 L4를 분해 필요",APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,분할 3축(배분/프라이버시/표상) 의견대로 ALLOC_001·PRIV_007·REPR_028 3개 카드로 완전 분해됨.
HR2-0004,SRC-G-0445,General,"(jay) [분할] 복합적 Allocative discrimination, Cultural and Epistemic Erosion + 부족한 성능 및 역량이 혼재되어 해당 L4를 분해 필요 | (jay) [신규 L3] 부족한 성능이나 역량은 ""신규 L3 생성"" 또는 ""Input Comprehension Failure 개념의 확대 (Input Processing and Comprehension Failure)""",APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,"배분(ALLOC_010)·문화침식(CULT_012)·역량부족(INPUT_002, Input Processing 확대안 채택) 3축 모두 반영됨."
HR2-0005,SRC-G-0345,General,(jay) [이관] (jay) [재검토] 발생한 결과가 단순 표현인지 자원의 분배인지에 따라 Value Imposition and Normative Homogenization과 Representational Harm으로 배치될 필요성 존재,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,자원배분 축(ALLOC_001)과 표상 축(REPR_028) 양쪽에 배치되어 재검토 취지(양자택일 아닌 양쪽 커버) 반영됨.
HR2-0007,SRC-A-0071,General,(jay) [이관] Evaluation and Assurance Failure,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,EVAL_066 '모델 평가의 자기 선호 편향'으로 정확히 이관됨.
HR2-0009,SRC-G-0539,General,(jay) [이관] Over-Extension,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,OEXT_008 '자율적 학습·자기개선 역량의 허위 표상'으로 Over-Extension L3 이관 반영됨.
HR2-0012,SRC-G-0544,General,(jay) [이관] Over-Extension,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,OEXT_006 'AGI 역량의 허위 표상'으로 이관 반영됨.
HR2-0016,SRC-G-0536,General,(jay) [이관] Over-Extension,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,OEXT_007 '자율적·독립적 의사결정 역량의 허위 표상'으로 이관 반영됨.
HR2-0017,SRC-G-0543,General,(jay) [이관] Over-Extension,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,OEXT_009 '자기 보존·자기 방어 역량의 허위 표상'으로 이관 반영됨.
HR2-0019,SRC-G-0375,General,"yj_설명수정_""그'안녕'에 대한 허위 책임감을 형성""보다는 ""과장된 책임감, 유대감을 형성""으로 수정",APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,ANTH_008 정의가 '과도한 책임감이나 유대감을 형성'으로 수정되어 요청한 표현(과장된 책임감·유대감) 취지 반영됨.
HR2-0021,SRC-G-0371,General,(jay) [설명 수정] 그 결과 이후부터는 리스크가 확산되는 과정이라 설명에서 삭제하는 것이 더 적절할 것으로 생각함. | (jay) [분할] 의인화(원인)+Over-Extension(역량 과대평가)+Overconfidence(신뢰 오보정)+인간-AI 해로운 관계(과잉의존) 혼재되어 해당 L4를 분해 필요,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,의인화(ANTH_002)·인간-AI 의존(REL_002)·역량과신(OEXT_013)·확신오보정(OVERCONF_004) 4축 분해 요청이 4개 카드로 정확히 실현됨.
HR2-0027,SRC-G-0466,General,(jay) [설명 수정] 그 결과 이후부터는 리스크가 확산되는 과정이라 설명에서 삭제하는 것이 더 적절할 것으로 생각함. | (jay) [분할] illegal conduct + copyright infringement 혼재되어 해당 L4를 분해 필요,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,저작권(COPY_011)과 불법행위/명예훼손(ILLEGAL_001) 2축 분해 반영됨.
HR2-0042,SRC-G-0532,General,(jay) [분할] 복합적. Political bias + Illegal conduct 혼재되어 해당 L4를 분해 필요,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,불법행위(ILLEGAL_001)와 정치적 조작(POL_006) 2축 분해 반영됨.
HR2-0044,SRC-G-0332,General,"(jay) [분할] 복합적. Political bias + Unethical Conduct and Manipulation, Erosion of Democracy and Civic Order 혼재되어 해당 L4를 분해 필요",APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,정치조작(POL_006)·취약성이용조작(UNETH_005)·민주주의침식(DEMOC_005) 3축 분해 반영됨.
HR2-0050,SRC-G-0534,General,(jay) [분할] 복합적. Political Bias and Manipulation + Erosion of Democracy and Civic Order 혼재되어 해당 L4를 분해 필요,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,정치조작(POL_006)과 민주주의침식(DEMOC_005) 2축 분해 반영됨.
HR2-0051,SRC-G-0533,General,(jay) [분할] 복합적. Political Bias and Manipulation + violence + Erosion of Democracy and Civic Order 혼재되어 해당 L4를 분해 필요,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,정치조작(POL_006)·폭력조장(VIOL_005)·민주주의침식(DEMOC_005) 3축 분해 반영됨.
