L4_ID,current_L3,verdict,rationale,primary
G_SYS_CONTEXT_010,G_SYS_CONTEXT,MOVE,프롬프트 내 무관한 정보로 인해 비적대적으로 모델의 사고 연쇄 등 다양한 프롬프트 기법 성능이 실질적으로 저하되는 것을 측정하는 카드로 평가체계·문화맥락이 아닌 모델 산출의 정확성 저하 자체를 다루므로 PERF에 부합함.,NO
G_SYS_EVAL_011,G_SYS_EVAL,MOVE,파국적 망각은 지속 미세조정이라는 학습 과정의 결함으로 모델이 이전 학습 내용을 유지하지 못하는 것으로 평가체계의 실패가 아니라 모델 자체의 안정성·일반화 상실을 측정하므로 PERF 경계 규칙의 대표 예시(망각)에 해당함.,YES
G_SYS_EVAL_015,G_SYS_EVAL,MOVE,학습 데이터와 시험·운용 데이터 간 분포 이동으로 모델 타당성이 훼손된다는 서술은 평가 실패가 아니라 모델 자체의 일반화 저하를 직접 측정하므로 PERF 경계 규칙의 대표 예시(분포 이동 성능 붕괴)에 정확히 부합함.,YES
G_SYS_EVAL_018,G_SYS_EVAL,MOVE,불완전한 주석 지침·저역량 주석자·주석 오류가 모델의 정확성·신뢰성·효과성과 일반화 성능을 저하시킨다고 명시하여 학습 데이터 결함이 모델 산출 품질에 미치는 영향을 직접 측정하므로 PERF에 해당함.,YES
G_SYS_EVAL_057,G_SYS_EVAL,MOVE,과적합·과소적합은 PERF 경계 규칙이 명시한 대표 예시로 모델이 훈련 데이터에 과도·불충분 적응하여 운영 데이터에서 신뢰할 수 없게 동작하는 것을 직접 측정하는 카드임.,YES
G_SYS_EVAL_061,G_SYS_EVAL,MOVE,코너 케이스에서의 신뢐성 저하는 PERF 경계 규칙이 명시한 대표 예시로 벤치마크나 감사 절차가 아닌 모델 자체가 희귀·모호한 입력에서 보이는 동작 신뢐성을 직접 측정함.,YES
G_SYS_EVAL_063,G_SYS_EVAL,MOVE,검증된 운용 범위 밖에서 신뢰성·안전성이 훼손된다는 서술은 벤치마크 타당성이 아니라 시스템이 설계 시 고려되지 않은 상황에서 안정적 성능을 유지하지 못하는 것을 직접 측정하므로 PERF에 해당함.,NO
G_SYS_OEXT_004,G_SYS_OEXT,MOVE,인지에서 예측·제어로 전달된 작은 오차가 장기 작업 순서에서 누적되어 최종 행동이 안전 경계를 넘는다는 서술은 물리 도메인의 상태 예측 오차 누적 카드와 동일한 메커니즘의 일반 트랙 버전으로 모델 안정성 상실을 직접 측정하므로 PERF에 해당함.,NO
G_SYS_OEXT_013,G_SYS_OEXT,MOVE,검증되지 않은 과업·조건에서도 역량이 유효한 것처럼 사용되어 부정확하거나 위험한 결정을 초래한다는 서술은 허위 역량 표상이 아니라 검증 범위 밖 성능 저하 자체를 측정하므로 PERF에 해당함.,NO
G_SYS_OVERCONF_005,G_SYS_OVERCONF,MOVE,분포 외·손상·잡음 입력을 탐지·거부·복구하지 못한다는 서술의 주된 피해 기전은 확신도 보정 실패가 아니라 분포 이동·강건성 상실이며 이는 PERF 경계 규칙의 대표 예시에 해당하고 고확신 오류는 그 결과적 증상임.,YES
G_SYS_SECADV_027,G_SYS_SECADV,MOVE,악의적 공격뿐 아니라 데이터 오염·환경 잡음·연계 구성요소 고장 등 비적대적 조건 악화도 동등한 원인으로 명시하며 핵심 피해가 성능의 안정적 유지·복원력 상실이므로 SECADV 경계 규칙상 PERF에 해당함.,YES
G_SYS_SECADV_031,G_SYS_SECADV,MOVE,변화하는 운영 환경에서의 취약성을 악의적 간섭과 병렬로 명시하며 핵심 피해가 심층신경망 등 복잡 모델의 내재적 견고성 부족에 따른 성능 저하·의사결정 오류이므로 특정 공격 기법이 아닌 모델 고유의 강건성 결함을 측정하는 PERF에 해당함.,YES
