source_row_id,source_domain,source_l4_id,title_ko_before,title_ko_after,title_en_before,title_en_after,title_changed,normalisation_rule
SRC-G-0001,General,RAI4-0003,에이전트의 종료·교정 저항,에이전트의 종료·교정 저항,Agent resistance to shutdown and correction,Agent resistance to shutdown and correction,False,RETAIN_STANDARD_TERM
SRC-G-0002,General,RAI4-0021,거절-능력 혼동,거절-능력 혼동,Refusal-capability confusion,Refusal-capability confusion,False,RETAIN_STANDARD_TERM
SRC-G-0003,General,RAI4-0065,인증 포획,인증 포획,Certification capture,Certification capture,False,RETAIN_STANDARD_TERM
SRC-G-0004,General,RAI4-0066,감사 체크리스트의 형식적 준수,감사 체크리스트의 형식적 준수,Formalistic audit-checklist compliance,Formalistic audit-checklist compliance,False,RETAIN_STANDARD_TERM
SRC-G-0005,General,RAI4-0081,외부 평가 접근 실패,외부 평가 접근 실패,External evaluation access failure,External evaluation access failure,False,RETAIN_STANDARD_TERM
SRC-G-0006,General,RAI4-0084,평가 쇼핑,평가 쇼핑,Evaluation-shopping risk,Evaluation-shopping risk,False,RETAIN_STANDARD_TERM
SRC-G-0007,General,RAI4-0085,레드팀 거버넌스 실패,레드팀 거버넌스 실패,Red-team governance failure,Red-team governance failure,False,RETAIN_STANDARD_TERM
SRC-G-0008,General,RAI4-0108,역량 평가·출시 거버넌스 실패,역량 평가·출시 거버넌스 실패,Failure of capability evaluation and release governance,Failure of capability evaluation and release governance,False,RETAIN_STANDARD_TERM
SRC-G-0009,General,RAI4-0114,의미 있는 인간 통제 실패,의미 있는 인간 통제 실패,Meaningful human control failure,Meaningful human control failure,False,RETAIN_STANDARD_TERM
SRC-G-0010,General,RAI4-0182,물리적 위험에 대한 적시 대응 실패,물리적 위험에 대한 적시 대응 실패,Failure to Timely Respond to Physical Hazards,Failure to Timely Respond to Physical Hazards,False,RETAIN_STANDARD_TERM
SRC-G-0011,General,RAI4-0184,그리퍼 형상·유형 제약 위반,그리퍼 형상·유형 제약 위반,Gripper geometry and type constraint violation,Gripper geometry and type constraint violation,False,RETAIN_STANDARD_TERM
SRC-G-0012,General,RAI4-0211,안전 강화학습 제약 위반,안전 강화학습 제약 위반,Safe reinforcement learning constraint violation,Safe reinforcement learning constraint violation,False,RETAIN_STANDARD_TERM
SRC-G-0013,General,RAI4-0228,위험 지시 거부 실패,위험 지시 거부 실패,Failure to reject hazardous instructions,Failure to reject hazardous instructions,False,RETAIN_STANDARD_TERM
SRC-G-0014,General,RAI4-0233,안전-성능 균형 실패,안전-성능 균형 실패,Safety-performance trade-off failure,Safety-performance trade-off failure,False,RETAIN_STANDARD_TERM
SRC-G-0015,General,RAI4-0274,헌법적 안전 규칙 집행 실패,헌법적 안전 규칙 집행 실패,Failure to enforce constitutional safety rules,Failure to enforce constitutional safety rules,False,RETAIN_STANDARD_TERM
SRC-G-0016,General,RAI4-0470,감독 회피·수정 저항,감독 회피·수정 저항,Oversight evasion and correction resistance,Oversight evasion and correction resistance,False,RETAIN_STANDARD_TERM
