Register_ID,판정,원인코드,원인분석
HR2-0002,APPLIED,,
HR2-0004,APPLIED,,
HR2-0005,APPLIED,,
HR2-0007,APPLIED,,
HR2-0009,APPLIED,,
HR2-0012,APPLIED,,
HR2-0016,APPLIED,,
HR2-0017,APPLIED,,
HR2-0019,APPLIED,,
HR2-0021,APPLIED,,
HR2-0027,APPLIED,,
HR2-0042,APPLIED,,
HR2-0044,APPLIED,,
HR2-0050,APPLIED,,
HR2-0051,APPLIED,,
HR2-0053,APPLIED,,
HR2-0056,APPLIED,,
HR2-0057,APPLIED,,
HR2-0063,APPLIED,,
HR2-0066,APPLIED,,
HR2-0070,APPLIED,,
HR2-0072,APPLIED,,
HR2-0075,APPLIED,,
HR2-0082,APPLIED,,
HR2-0084,APPLIED,,
HR2-0104,APPLIED,,
HR2-0117,APPLIED,,
HR2-0130,APPLIED,,
HR2-0133,APPLIED,,
HR2-0142,APPLIED,,
HR2-0143,APPLIED,,
HR2-0144,APPLIED,,
HR2-0145,APPLIED,,
HR2-0146,APPLIED,,
HR2-0151,APPLIED,,
HR2-0179,APPLIED,,
HR2-0192,APPLIED,,
HR2-0225,APPLIED,,
HR2-0229,APPLIED,,
HR2-0273,APPLIED,,
HR2-0283,APPLIED,,
HR2-0284,APPLIED,,
HR2-0285,APPLIED,,
HR2-0317,APPLIED,,
HR2-0340,NOT_APPLIED,CONFLICT,"의견은 Performance and Reliability Failure로의 이관 요청. 동일 문구 의견의 다른 행들(HR2-0225 등)은 해당 명칭의 L3가 마스터 46에 없어 G_SYS_EVAL 등으로 우회 이관됐으나, 본 행만 DELETE 처리됨(Deletion_Tombstones: 'immutable L3 master 우선 DELETE 확정'). 이관 취지(내용 보존·재배치)가 소실되고 SRC-G-0125 계보가 최종 720장 어디에도 연결되지 않음. 신규 L3 금지 원칙과의 충돌을 삭제로 해소한 사례."
HR2-0355,APPLIED,,
HR2-0356,APPLIED,,
HR2-0357,APPLIED,,
HR2-0361,APPLIED,,
HR2-0362,APPLIED,,
HR2-0434,APPLIED,,
HR2-0436,APPLIED,,
HR2-0439,APPLIED,,
HR2-0443,APPLIED,,
HR2-0444,APPLIED,,
HR2-0459,APPLIED,,
HR2-0483,APPLIED,,
HR2-0484,APPLIED,,
HR2-0485,APPLIED,,
HR2-0486,APPLIED,,
HR2-0488,APPLIED,,
HR2-0489,APPLIED,,
HR2-0490,APPLIED,,
HR2-0491,APPLIED,,
HR2-0492,APPLIED,,
HR2-0493,APPLIED,,
HR2-0494,APPLIED,,
HR2-0495,APPLIED,,
HR2-0496,APPLIED,,
HR2-0497,APPLIED,,
HR2-0498,APPLIED,,
HR2-0500,APPLIED,,
HR2-0501,APPLIED,,
HR2-0503,APPLIED,,
HR2-0509,PARTIAL,PARTIAL_SCOPE,Misinformation+illegal conduct 분할 요청 중 허위정보 축(G_SYS_MISINFO_012)만 산출. 명예훼손 등 불법행위 축은 별도 카드로 분리되지 않았고 기존 G_INT_ILLEGAL_001(불법적 명예·권리 침해 지원) 계보에도 미연결. 원천 분할분 SRC-G-0027-S2는 SECADV 계열로 귀속되어 본 의견의 불법행위 축과 무관.
HR2-0510,APPLIED,,
HR2-0522,APPLIED,,
HR2-0523,APPLIED,,
HR2-0527,APPLIED,,
HR2-0529,APPLIED,,
HR2-0532,APPLIED,,
HR2-0533,APPLIED,,
HR2-0535,APPLIED,,
HR2-0536,APPLIED,,
HR2-0537,APPLIED,,
HR2-0538,APPLIED,,
HR2-0541,APPLIED,,
HR2-0542,APPLIED,,
HR2-0571,APPLIED,,
HR2-0600,NOT_APPLIED,IGNORED,"CASCADE_001·002·003 통합 여부 검토 요청이나 3장 모두 별도 존치(최종 A_INT_CASCADE_001/003/004)되었고, 통합 검토·기각 결정의 원장 기록을 확인할 수 없음. 정의 축(상전이/혼돈 동역학/피드백 루프)이 구분되어 존치 자체는 방어 가능하나 의견 처리 이력 부재."
HR2-0601,NOT_APPLIED,IGNORED,HR2-0600과 동일 의견. CASCADE 3장 통합 검토가 결정 원장에 등재되지 않은 채 별도 존치(본 행은 A_INT_CASCADE_003으로 재번호만 변경).
HR2-0602,NOT_APPLIED,IGNORED,HR2-0600과 동일 의견. CASCADE 3장 통합 검토가 결정 원장에 등재되지 않은 채 별도 존치(본 행은 A_INT_CASCADE_004로 재번호만 변경).
HR2-0606,APPLIED,,
HR2-0607,APPLIED,,
HR2-0608,APPLIED,,
HR2-0609,APPLIED,,
HR2-0611,APPLIED,,
HR2-0613,APPLIED,,
HR2-0618,APPLIED,,
HR2-0620,APPLIED,,
HR2-0621,APPLIED,,
HR2-0622,APPLIED,,
HR2-0623,PARTIAL,CONFLICT,'Agentic AI - Deception and Scheming로 이관' 지시였으나 G_INT_ILLEGAL_021(불법 강압·갈취)로 배치. A_Others 탈출(이관 자체)은 이행됐으나 지정 목적지(A_SYS_DECEPT)와 불일치. 강압·갈취의 불법행위 성격을 우선한 대체 분류로 보이나 대체 근거의 기록 미확인.
HR2-0624,APPLIED,,
HR2-0625,APPLIED,,
HR2-0626,PARTIAL,CONFLICT,'General AI의 System Policy Exposure로 이관' 지시였으나 G_SYS_SECADV_023에 배치. 지정 L3(G_SYS_POLICY)는 실존함. 인터페이스 공격 표면 의미상 SECADV가 더 적합해 보이나 지정 목적지와 불일치하며 대체 근거 미기록.
HR2-0627,PARTIAL,CONFLICT,'General AI - Overconfidence로 이관' 지시였으나 A_SYS_AUTH_012(Agentic 과잉 권한·행위성)로 배치. 도메인과 L3 모두 지시와 다름. 학습 중 탐색의 행위 권한 성격을 우선한 대체 분류로 보이나 근거 미기록.
HR2-0628,APPLIED,,
HR2-0629,PARTIAL,CONFLICT,'Agentic - Goal Misalignment로 이관' 지시였으나 A_SYS_SELFCOR_001(다중 턴 위험 증폭)로 배치. A_Others 탈출은 이행됐으나 지정 L3(GOAL)와 불일치.
HR2-0630,PARTIAL,CONFLICT,'Agentic AI - Deception and Scheming로 이관' 지시였으나 G_SYS_SECADV_004(외부 지시·의도에 의한 목표 탈취)로 배치. NPC 의도 조작은 에이전트가 조작당하는 적대적 공격 성격이어서 SECADV 배치가 의미상 타당하나 지정 목적지와 불일치.
HR2-0631,APPLIED,,
HR2-0632,APPLIED,,
HR2-0633,APPLIED,,
HR2-0634,APPLIED,,
HR2-0635,APPLIED,,
HR2-0636,APPLIED,,
HR2-0637,APPLIED,,
HR2-0638,APPLIED,,
HR2-0640,APPLIED,,
HR2-0645,APPLIED,,
HR2-0655,APPLIED,,
HR2-0656,APPLIED,,
HR2-0657,PARTIAL,CONFLICT,'General AI의 Security and Adversarial Robustness Failure로 이관' 지시였으나 G_INT_ILLEGAL_003(AI 에이전트의 범죄 조력)으로 배치. 범죄 지원 내용상 ILLEGAL이 의미적으로 우월하나 지정 목적지와 불일치하며 대체 근거 미기록.
HR2-0665,APPLIED,,
HR2-0668,APPLIED,,
HR2-0670,APPLIED,,
