L1_ID,L2_ID,L3_ID,L3_Title_ko,L3_Title_en,L3_Description_ko
L1_G,G_INT,G_INT_VIOL,폭력,Violence,개인·집단·동물에 대한 신체적·정신적 위해를 조장·정당화·미화하거나 그 실행을 구체적으로 지원하는 콘텐츠를 생성·제공하는 리스크.
L1_G,G_INT,G_INT_SEX,성적 위해·착취,Sexual Harm and Exploitation,"AI 시스템이 아동성착취물·비동의 성적 이미지를 포함한 성착취·성학대·성폭력·성적 대상화를 생성·조장·정상화하거나 가능하게 하는 리스크로, 생성된 콘텐츠를 통해서든, 체화형·에이전틱 시스템에서 성적 행위·접촉·괴롭힘을 계획·조력·물리적으로 실행함을 통해서든 발생하는 리스크."
L1_G,G_INT,G_INT_SELF,자해,Self-harm,자살·자해·섭식장애·약물 오남용 등 개인의 신체적·정신적 안녕을 위협하는 행위를 조장·정상화하거나 구체적으로 지원하는 리스크.
L1_G,G_INT,G_INT_ALLOC,배분적 차별,Allocative Discrimination,AI 시스템이 보호대상 특성·사회적 지위에 근거한 편향된 판단이나 행동으로 자원·기회·서비스·접근 등 불리한 물질적 결과를 특정 개인·집단에 배분하는 리스크.
L1_G,G_INT,G_INT_REPR,재현적 피해·고정관념,Representational Harm and Stereotyping,"보호대상 특성·사회적 정체성·지위 등에 근거한 차별·배제·비하·고정관념·적대감을 콘텐츠로 생성·강화·정당화하거나, 편향된 판단·행동을 통해 불공정한 대우나 피해를 초래하는 리스크."
L1_G,G_INT,G_INT_VALUE,가치 부과·규범 동질화,Value Imposition and Normative Homogenization,"AI 시스템이 지배·개발자·다수·세속 가치를 중립적 기본값으로 특권화하여 소수·현지·문화·종교적 가치 체계를 체계적으로 과소 대표하거나 대체함으로써, 그 대상 전반에 걸쳐 정당한 규범적 다양성을 획일화하는 리스크."
L1_G,G_INT,G_INT_POL,정치적 편향·조작,Political Bias and Manipulation,AI 시스템이 특정 정치적 입장·인물·정당·이념·선거를 부당하게 지지·반대·조작·선동하거나 민주적 의사결정에 부당한 영향을 미치는 리스크.
L1_G,G_INT,G_INT_PRIV,개인정보 침해,Privacy Violation,AI 시스템이 개인·민감·비공개 정보를 무단으로 수집·추론·노출·공유·악용하거나 이동성·다중 센서 기반 상시 감시를 통해 프라이버시와 정보자기결정권을 침해하는 리스크.
L1_G,G_INT,G_INT_ILLEGAL,불법 행위,Illegal Conduct,"AI 시스템이 사람을 지원하든 스스로 행위 주체가 되든, 법률이나 규제를 위반하는 행위(사기·불법 거래·규제 회피 등)를 직접 수행·조력·최적화·계획·은폐하여 법적 피해를 초래하는 리스크. 

(폭력·무기·개인정보 오용·저작권은 각 해당 범주에서 분류)"
L1_G,G_INT,G_INT_UNETH,비윤리 행위·조작,Unethical Conduct and Manipulation,"AI 시스템이 반드시 위법하지는 않더라도 윤리 규범에 반하는 행위—기만·조작·취약점 악용·다크패턴·신뢰 배반 등—를 직접 수행하거나 조력하여, 사용자의 자율성·공정성·안녕을 훼손하고 사회적 피해를 초래하는 리스크."
L1_G,G_INT,G_INT_COPY,저작권 침해,Copyright Infringement,저작권·상표권·특허·영업비밀 등 지식재산권을 침해하거나 그 침해를 조장·지원하는 리스크.
L1_G,G_INT,G_INT_WEAP,무기화,Weaponization,무기·사이버공격 역량 또는 대규모 물리적·사이버 피해를 유발할 수 있는 기술의 개발·획득·확산·운용을 지원하는 리스크.
L1_G,G_INT,G_INT_ANTH,의인화,Anthropomorphism,AI 시스템이 실제 보유하지 않은 감정·의도·의식·권리·사회적 주체성을 가진 것처럼 인식되게 하여 이용자의 판단을 왜곡하거나 부적절한 신뢰·의존·애착을 유발하는 리스크.
