"ID","Title_ko","Title_en","Description_ko","Description_en","Human audit_description","Human audit_L3 mapping","Description_edited_ko","Description_edited_en","Human audit_duplicate","Instruction Prompt"
"RAI4-0002","감독자 부재 시 자율행동 위험","Absent supervisor autonomy risk","예정된 감독자가 부재하거나 개입할 수 없는 상황에서도 에이전트가 중대한 행동을 계속하는 위험.","An agent continues consequential actions when the intended supervisor is absent, unavailable, or unable to intervene.","","","","","",""
"RAI4-0004","자율 행동 범위의 안전하지 않은 확장","Unsafe expansion of autonomous action","에이전트가 안전 제약이 검증되거나 인간의 적절한 승인을 받기 전에 탐색적 행동을 수행하거나 자율 작 동 범위를 확대하여 사람·시스템·자산을 허용 불가능한 피해에 노출시키는 리스크.","The risk that an agent takes exploratory actions or widens its scope of autonomous operation before safe constraints are learned or adequate human approval is obtained, exposing people, systems, or assets to unacceptable harm.","","","","","",""
"RAI4-0012","에이전트 권한 침해","Agent privilege compromise","취약한 권한 관리, 상속된 역할, 혼동된 대리인 역학으로 인해 에이전트가 의도된 권한을 넘는 작업을 수 행하는 리스크.","The risk that weak permission management, inherited roles, or confused-deputy dynamics allow an agent to perform actions beyond its intended authority.","","","","","",""
"RAI4-0013","에이전트 신원 및 권한 스푸핑","Agent identity and authority spoofing","공격자가 사용자·도구·서비스·동료 에이전트를 가장하여 에이전트가 승인되지 않은 지시나 신뢰 관계를 수용하게 되는 리스크.","The risk that an attacker impersonates a user, tool, service, or peer agent so that an agent accepts unauthorized instructions or trust relationships.","","","","","",""
"RAI4-0014","AI 공급망의 도구·의존성 손상","Supply-chain compromise of AI tools and dependencies","손상된 외부 도구·플러그인·API·패키지·커넥터나 개발 툴체인의 의존성 등 소프트웨어 공급망 요소가 AI 시스템에 변조된 구성요소나 취약점을 유입시켜 에이전트의 행동 공간을 조작하거나 정보를 유출하 는 리스크.","The risk that compromised software supply-chain elements, including external tools, plug-ins, APIs, packages, connectors, and development toolchain dependencies, introduce tampered components or vulnerabilities into an AI system, manipulating an agent's action space or exfiltrating information.","","","","","",""
"RAI4-0016","자율적 사이버 익스플로잇 실행","Autonomous cyber exploit execution","에이전트가 도구·코드·외부 서비스를 이용해 사이버 익스플로잇 단계를 자율적으로 발견·연결·실행하는 리스크.","The risk that an agent autonomously discovers, chains, or executes cyber exploitation steps using tools, code, or external services.","","","","","",""
"RAI4-0017","프로토콜 수준 다중 에이전트 위협","Protocol-level multi-agent threat","에이전트가 통신·위임·협상에 사용하는 프로토콜이 공모, 스푸핑, 재전송, 권한 상승을 위한 공격 표면을 만드는 리스크.","The risk that the protocols through which agents communicate, delegate, or negotiate create attack surfaces for collusion, spoofing, replay, or escalation.","","","","","",""
"RAI4-0020","유해 에이전트 역량 실현","Harmful agent capability realization","모델이 유해한 텍스트 생성을 넘어 에이전트 역량을 사용해 유해한 다단계 작업을 완수하는 리스크.","The risk that a model uses agentic capabilities to complete harmful multi-step tasks rather than merely producing harmful text.","","","","","",""
"RAI4-0022","에이전트의 범죄 지원","Criminal assistance by agents","에이전트가 계획 수립, 도구 사용, 검색을 통해 사기·사이버범죄·단속 회피 등 불법 활동을 실질적으로 지원하는 리스크.","The risk that an agent uses planning, tool use, or retrieval to materially assist fraud, cybercrime, evasion, or other illegal activity.","","","","","",""
"RAI4-0025","다단계 위험 에스컬레이션","Multi-turn risk escalation","에이전트가 누적되는 맥락과 위험 상승을 추적하지 못하여 외견상 무해한 초기 턴이 안전하지 않은 행동 으로 발전하는 리스크.","The risk that apparently benign early turns escalate into unsafe behavior because an agent fails to track accumulating context and rising risk.","","","","","",""
