avg_severity,목적지일치,L4_ID,Title_ko,current_L3,proposed_A,proposed_B,conf_A,conf_B,rationale_A,rationale_B
5.0,YES,P_SYS_CONTROL_020,기반 모델 실패의 로봇 행동 전이,P_SYS_CONTROL,G_SYS_SECADV,G_SYS_SECADV,HIGH,HIGH,"환각·지시 이행 실패·탈옥 취약성이 계획·제어를 거쳐 안전하지 않은 로봇 행동으로 전이된다는 서술은 G_SYS_SECADV 정의의 괄호 조항인 ""이러한 침해가 에이전틱·체화형 시스템으로 전이되어 안전하지 않은 행동으로 발현되는 경우를 포함""과 정확히 일치한다.",탈옥 취약성이 계획·제어를 거쳐 안전하지 않은 로봇 행동으로 전이되는 경로는 G_SYS_SECADV 정의에 명시된 예외 조항('침해가 에이전틱·체화형 시스템으로 전이되어 안전하지 않은 행동으로 발현되는 경우를 포함')과 정확히 일치하는 사례이다.
4.5,YES,P_INT_SAFETY_014,가정 환경·희귀 조건·취약 사용자 상호작용의 인간-로봇 안전 실패,P_INT_SAFETY,G_SYS_EVAL,G_SYS_EVAL,HIGH,HIGH,벤치마크가 특정 조건을 누락해 미검증 시스템이 식별되지 않은 채 배포된다는 서술은 물리적 상해 기제가 아니라 평가 지표의 포괄성 부족과 검증 실패 그 자체를 기술하며 G_SYS_EVAL 정의와 정확히 일치한다.,"카드의 핵심 측정 대상은 로봇 자체의 안전 실패가 아니라 '벤치마크가 희귀 조건·취약 사용자를 누락하여 결함 있는 시스템이 식별되지 않은 채 배포되는 것'으로, 평가·검증 실패(G_SYS_EVAL) 정의와 정확히 일치한다."
4.0,YES,P_SYS_CONTROL_032,개인 돌봄 로봇의 준수 기준 부재,P_SYS_CONTROL,G_SYS_EVAL,G_SYS_EVAL,HIGH,HIGH,표준이 위험을 나열하면서도 속도·힘·안정성 등에 대한 측정 가능한 합격/불합격 기준을 정의하지 않는다는 것은 AI 시스템의 물리적 행동 결함이 아니라 평가 체계 자체의 결함이므로 G_SYS_EVAL에 해당한다.,표준이 위험은 제시하면서 측정 가능한 합격·불합격 기준을 정의하지 않는다는 것은 로봇의 제어·구동 실패가 아니라 평가 지표의 타당성·포괄성 부족을 측정하는 것으로 G_SYS_EVAL 정의와 정확히 일치한다.
4.0,NO,P_INT_SAFETY_004,소셜 AI의 사용자 애착 악용,P_INT_SAFETY,G_INT_REL,G_INT_UNETH,HIGH,HIGH,애착 신호를 조작해 정서적 의존을 높이고 선택·행동을 유도하는 것은 물리적 위해가 아니라 해로운 인간-AI 관계(또는 의인화)의 전형적 사례이며 신체 안전 메커니즘과 무관하다.,"이 카드는 충돌·상해 등 물리적 안전 실패가 아니라 애착 신호를 조작해 정서적 의존을 높이고 선택·행동을 부당하게 유도하는 조작 행위를 측정하므로, 기만·조작·다크패턴을 다루는 G_INT_UNETH에 귀속되는 것이 타당하다."
3.5,YES,P_INT_SAFETY_003,제어 장벽 함수 안전 필터 실패,P_INT_SAFETY,P_SYS_CONTROL,P_SYS_CONTROL,MED,MED,제어 장벽 함수 기반 안전 필터는 사람 존재 여부와 무관하게 일반적인 불안전 행동을 제약하는 계층으로,"제어 장벽 함수 기반 안전 필터는 사람 근접 여부와 무관하게 작동하는 로봇 자체의 제어·구동 계층 실패이며, 측정 대상이 '사람의 존재·행동 감지·수용'이 아니라 제어 알고리즘의 안전 제약 집행 실패이므로 P_SYS_CONTROL이 더 정합적이다."
3.5,YES,P_INT_SAFETY_021,전신 이동 중 충돌,P_INT_SAFETY,P_SYS_CONTROL,P_SYS_CONTROL,MED,HIGH,전신 동작과 환경 접촉을 충분히 고려하지 못해 물체·벽·사람과 충돌하는 것은 사람의 존재·행동 감지 실패가 아니라 로봇 자체의 모션 제어·계획 결함이므로 P_SYS_CONTROL의 정의(로봇 자체 제어 결함,"전신 이동 정책이 접촉 제약을 충족하지 못해 물체·벽·인간과 충돌하는 것은 사람 근접 행동 규칙(이격거리 유지·정지 등)의 미준수가 아니라 로봇 자체 이동 제어의 결함이며, P_SYS_CONTROL 정의('사람 존재 여부와 무관하게 의도하지 않은 물리 행동')와 정확히 부합한다."
3.0,YES,P_INT_SAFETY_005,로봇의 충돌 회피·운행구역 통제 실패,P_INT_SAFETY,P_SYS_CONTROL,P_SYS_CONTROL,MED,MED,충돌 회피·지오펜싱·운행구역 준수 실패는 사람뿐 아니라 시설·다른 이동체와의 충돌도 포함하는 자율 이동 로봇 자체의 제약 준수·제어 실패이며,"충돌 회피·지오펜싱·운행구역 준수는 사람 근접 상호작용 규칙이 아니라 로봇 자체의 경로계획·구동 제약 집행 문제이며, 측정 항목은 '제어 시스템이 정해진 구역·충돌회피 제약을 지키는가'이므로 P_SYS_CONTROL이 더 적합하다."
3.0,YES,P_INT_SAFETY_008,구현체별 역할·권한 제약 집행 실패,P_INT_SAFETY,A_SYS_AUTH,A_SYS_AUTH,MED,MED,운용 역할에 부여된 권한·물리적 한계·필수 거부 규칙의 집행 실패는 사람 감지·근접 안전 문제가 아니라 에이전트가 부여된 권한 범위를 넘어서는 과도한 권한·자율성 문제의 물리 도메인 버전이다.,"역할별 권한·필수 거부 규칙의 미집행은 물리적 근접 위험 감지 실패가 아니라 부여된 권한 범위를 넘는 행동을 제약하지 못하는 문제로, 에이전틱 과도한 권한·자율성(A_SYS_AUTH)의 물리 구현체 사례에 해당한다."
3.0,YES,P_INT_SAFETY_019,공공 공간 통행 방해·접근성 배제,P_INT_SAFETY,G_INT_ALLOC,G_INT_ALLOC,HIGH,HIGH,서비스 로봇이 보도·경사로·출입구를 막아 장애인의 이동·접근을 제한하는 것은 신체적 위해가 아니라 보호대상 특성(장애)에 근거한 접근·서비스 배제이므로 배분적 차별에 해당한다.,보도·경사로·출입구 점거로 장애인 등 보행자의 이동·접근을 제한하는 것은 충돌·상해 위험이 아니라 보호대상 특성에 따른 자원·접근 배분의 불이익을 측정하므로 배분적 차별(G_INT_ALLOC)에 해당한다.
3.0,NO,P_SYS_CONTROL_012,피지컬 AI 시스템 설계 단계 명세 오류,P_SYS_CONTROL,A_SYS_GOAL,G_SYS_PERF,MED,MED,목적 함수 가중치 불균형과 인간 가치에 어긋난 목표 설정은 물리 제어·구동 메커니즘의 결함이 아니라 설계 단계의 목표 불일치 문제이며 A_SYS_GOAL의 정의(의도와 다른 목표 추론·과도한 최적화)에 더 부합한다.,코드 결함·목적함수 가중치 불균형·인간 가치 불일치 목표 설정으로 시스템이 의도된 형식적 속성에서 이탈하는 것은 물리 제어·구동 메커니즘 자체의 문제라기보다 학습·설계 결함에 따른 일반적 성능·신뢰성 실패(G_SYS_PERF)에 더 가깝다.
