L3_ID,L3_Title_en,L4_ID,Title_ko,Title_en,Definition_en
G_SOC_GOV,Governance and Accountability Void,G_SOC_GOV_002,AI 결정과 피해에 대한 책임·거버넌스 공백,Accountability and governance gaps for AI decisions and harm,"The risk that duties and accountability among AI developers, providers, deployers, and operators, together with oversight procedures, documentation, corrective authority, or redress mechanisms, are unclear or inadequate for autonomous AI behaviour, learning, decisions, and resulting harm, weakening social control and incentives for responsible development."
G_SOC_GOV,Governance and Accountability Void,G_SOC_GOV_005,영향받는 공동체 배제,Affected-community exclusion,"The risk that groups affected by an AI system are not included in defining values, harms, evaluation criteria, or acceptable tradeoffs."
G_SOC_GOV,Governance and Accountability Void,G_SOC_GOV_006,AI 리스크 책임 주체의 불명확성,Ambiguous ownership of AI risk,"The risk that no organisational unit or executive clearly owns responsibility for AI-risk decisions, residual-risk acceptance, and escalation, delaying response and accountability."
G_SOC_GOV,Governance and Accountability Void,G_SOC_GOV_008,기계 안전·AI 적합성 의무 충돌,Conflicting machinery-safety and AI conformity obligations,"The risk that testing, documentation, risk-assessment, or post-market reporting obligations under machinery-safety and AI regulation conflict or overlap for physical AI, making safety responsibility and compliance pathways unclear."
G_SOC_GOV,Governance and Accountability Void,G_SOC_GOV_009,피지컬 AI 사고 보고·조사 미흡,Deficient physical AI incident reporting and investigation,"The risk that physical AI incidents are neither reported through a standardised schema covering near misses, system context, causal factors, and corrective actions, nor investigated with preserved logs, identified contributing causes, assigned corrective-action owners, and verified remediation, so recurrence goes unprevented."
G_SOC_GOV,Governance and Accountability Void,G_SOC_GOV_010,AI 위임에 따른 인간 의사결정 권한 이전,Displacement of human decision authority through AI delegation,"The risk that repeated delegation to AI shifts real decision authority and ownership away from identifiable human actors without an explicit governance choice, while workflows become so dependent on the delegation that returning authority to human decision makers grows costly or impractical."
G_SOC_GOV,Governance and Accountability Void,G_SOC_GOV_011,AI 시스템에 대한 고착화된 의존,Entrenched dependence on AI systems,"The risk that individuals, institutions, and critical sectors become operationally and behaviourally dependent on AI systems, including externally controlled systems they cannot inspect or govern and systems optimised for engagement over user welfare, so that failures propagate into large-scale social and institutional harm and the dependence becomes difficult or impossible to reverse."
G_SOC_GOV,Governance and Accountability Void,G_SOC_GOV_012,AI 자기이익 개입에 의한 권리 보호 약화,Erosion of rights protections through self-interested AI input,"The risk that an AI system injects self-interested preferences into ethical guidance or governance rules, weakening rights protections and accountability norms and making harms harder to control or remedy."
G_SOC_GOV,Governance and Accountability Void,G_SOC_GOV_015,AI에 대한 국제법적 거버넌스의 공백,Gaps in international legal governance of AI,"The risk that international rules, jurisdictional arrangements, oversight, or accountability mechanisms for the cross-border development, deployment, and operation of AI systems are fragmented or absent, impeding consistent risk control and attribution of responsibility for harm."
G_SOC_GOV,Governance and Accountability Void,G_SOC_GOV_016,점진적인 통제력 상실,Gradual loss of control,"The risk that the design, training, deployment, or use of an AI system or AI algorithm creates a condition in which the accumulation of less severe disruptions gradually weakens systemic resilience until a critical event triggers a catastrophe, constituting gradual or accumulative loss of control."
G_SOC_GOV,Governance and Accountability Void,G_SOC_GOV_017,AI 조달의 불충분한 실사,Inadequate due diligence in AI procurement,"The risk that an organisation procures an AI system without adequate investigation and verification of the supplier, training data, performance limits, security, legal compliance, and human-rights or safety impacts, allowing known or foreseeable risks to enter contracting and deployment."
G_SOC_GOV,Governance and Accountability Void,G_SOC_GOV_020,사고 분류 단편화,Incident taxonomy fragmentation,"The risk that the design, training, deployment, or use of an AI system or AI algorithm creates a condition in which inconsistent incident categories prevent aggregation, comparison, and institutional learning."
G_SOC_GOV,Governance and Accountability Void,G_SOC_GOV_021,AI 결정·행동에 대한 감사 추적 불완전성,Incomplete audit trails for AI decisions and actions,"The risk that logs, model and software versions, data lineage, decision traces, and sensor, actuator, or human-command records are insufficient to reconstruct harmful events, whether digital decisions or physical incidents, precluding audit and accountability."
G_SOC_GOV,Governance and Accountability Void,G_SOC_GOV_022,라이프사이클 거버넌스 불연속성,Lifecycle governance discontinuity,"The risk that the design, training, deployment, or use of an AI system or AI algorithm creates a condition in which governance controls are applied at design time but not maintained through deployment, adaptation, and retirement."
G_SOC_GOV,Governance and Accountability Void,G_SOC_GOV_023,현지 책임 없는 현지화,Localisation without local accountability,"The risk that models are linguistically localised while remaining accountable to external providers, norms, and evaluation regimes, leaving local communities without governance authority over systems that operate in their language."
G_SOC_GOV,Governance and Accountability Void,G_SOC_GOV_024,의미 있는 인간 통제 실패,Meaningful human control failure,"The risk that the design, training, deployment, or use of an AI system or AI algorithm creates a condition in which human oversight is formally present but lacks the information, time, authority, or competence needed to be meaningful."
G_SOC_GOV,Governance and Accountability Void,G_SOC_GOV_025,현지 규범·제도와의 불일치,Mismatch with local norms and institutions,"The risk that AI systems and governance frameworks transplanted across jurisdictions ignore differences in law, custom, language, institutional practice, and development priorities, exporting one context's norms into another and failing to fit the institutions, public values, and social expectations of the deployment context."
