Phase,Domain,Seed,Iterations,Final_Objective,Objective_Trace
FINAL_POST_GROUNDING,General,20260826,4,0.8509016036987305,"[0.8068617582321167, 0.8507804870605469, 0.8508952856063843, 0.8509016036987305]"
FINAL_POST_GROUNDING,General,20260827,4,0.8508933782577515,"[0.8077042698860168, 0.8507663011550903, 0.8508689999580383, 0.8508933782577515]"
FINAL_POST_GROUNDING,General,20260828,3,0.8508646488189697,"[0.8080280423164368, 0.8506899476051331, 0.8508646488189697]"
FINAL_POST_GROUNDING,General,20260829,4,0.8509300351142883,"[0.806381344795227, 0.8508018255233765, 0.8509193658828735, 0.8509300351142883]"
FINAL_POST_GROUNDING,General,20260830,4,0.8508935570716858,"[0.807408332824707, 0.8507707118988037, 0.8508774638175964, 0.8508935570716858]"
FINAL_POST_GROUNDING,Agentic,20260826,2,0.814338743686676,"[0.7610046863555908, 0.814338743686676]"
FINAL_POST_GROUNDING,Agentic,20260827,3,0.8143725991249084,"[0.7595808506011963, 0.8142757415771484, 0.8143725991249084]"
FINAL_POST_GROUNDING,Agentic,20260828,2,0.8143843412399292,"[0.7604372501373291, 0.8143843412399292]"
FINAL_POST_GROUNDING,Agentic,20260829,2,0.8143604397773743,"[0.761234700679779, 0.8143604397773743]"
FINAL_POST_GROUNDING,Agentic,20260830,3,0.8143474459648132,"[0.7614047527313232, 0.814270555973053, 0.8143474459648132]"
FINAL_POST_GROUNDING,Physical,20260826,3,0.803471028804779,"[0.7576310038566589, 0.8033899664878845, 0.803471028804779]"
FINAL_POST_GROUNDING,Physical,20260827,3,0.8034917116165161,"[0.7557578682899475, 0.8034347295761108, 0.8034917116165161]"
FINAL_POST_GROUNDING,Physical,20260828,3,0.803471028804779,"[0.7577420473098755, 0.8033395409584045, 0.803471028804779]"
FINAL_POST_GROUNDING,Physical,20260829,3,0.803471028804779,"[0.7555939555168152, 0.8034383058547974, 0.803471028804779]"
FINAL_POST_GROUNDING,Physical,20260830,3,0.803471028804779,"[0.75797039270401, 0.8033375144004822, 0.803471028804779]"
