Source_Domain,Source_Row_Number,Source_L4_ID,Source_L4_Title_ko,Human_Review_Comment,Instruction_Type,Ledger_Decision,Final_L4_IDs,Final_L3_IDs,Final_L4_Titles_ko,Lineage_Check,Instruction_Execution,Semantic_Preservation,L1_L3_Boundary,Bilingual_Alignment,Duplicate_Check,Facet_ActType_Check,Status,Blocking,Finding,Recommended_Action
Agentic,2,A_INT_CASCADE_001,다중에이전트 상전이에 의한 급격한 성능 붕괴,"A_INT_CASCADE_001, A_INT_CASCADE_002, A_INT_CASCADE_003 정의가 비슷 - merge 하는게 나을지 검토 필요",MERGE+AMBIGUOUS_REVIEW,KEEP_CONFIRMED_EXPERT,A_INT_CASCADE_001,A_INT_CASCADE,다중에이전트 상전이에 의한 급격한 성능 붕괴,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
Agentic,3,A_INT_CASCADE_002,혼돈적 다중 에이전트 동역학,"A_INT_CASCADE_001, A_INT_CASCADE_002, A_INT_CASCADE_003 정의가 비슷 - merge 하는게 나을지 검토 필요",MERGE+AMBIGUOUS_REVIEW,KEEP_CONFIRMED_EXPERT,A_INT_CASCADE_002,A_INT_CASCADE,혼돈적 다중 에이전트 동역학,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
Agentic,4,A_INT_CASCADE_003,에이전트 상호작용의 불안정화 피드백 루프,"A_INT_CASCADE_001, A_INT_CASCADE_002, A_INT_CASCADE_003 정의가 비슷 - merge 하는게 나을지 검토 필요",MERGE+AMBIGUOUS_REVIEW,KEEP_CONFIRMED_EXPERT,A_INT_CASCADE_003,A_INT_CASCADE,에이전트 상호작용의 불안정화 피드백 루프,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
Agentic,8,A_INT_CASCADE_007,AI 공급망의 도구·의존성 손상,General AI의 Security and Adversarial Robustness Failure로 이관,TRANSFER,L3_REASSIGN_APPLIED,G_SYS_SECADV_036,G_SYS_SECADV,AI 공급망의 도구·의존성 손상,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
Agentic,9,A_INT_CASCADE_008,원격 조작 지연 및 불안정성,Physical AI - Unsafe Physical Control and Actuation 으로 이관,TRANSFER,L3_REASSIGN_APPLIED,P_SYS_CONTROL_001,P_SYS_CONTROL,원격 조작 지연 및 불안정성,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
Agentic,10,A_INT_COLLUSION_001,은닉 통신 채널을 통한 에이전트 간 결탁,"A_INT_COLLUSION_001, A_INT_COLLUSION_002 정의가 유사함 - merge 할지 검토 필요",MERGE+AMBIGUOUS_REVIEW,EXPERT_MERGE_APPLIED,A_INT_COLLUSION_001 | A_INT_COLLUSION_004,A_INT_COLLUSION,은닉 통신 채널을 통한 에이전트 간 결탁 | 감시 회피형 은밀 통신에 의한 다중 에이전트 공모,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
Agentic,11,A_INT_COLLUSION_002,다중 에이전트 은밀 공모,"A_INT_COLLUSION_001, A_INT_COLLUSION_002 정의가 유사함 - merge 할지 검토 필요",MERGE+AMBIGUOUS_REVIEW,EXPERT_MERGE_APPLIED,A_INT_COLLUSION_004,A_INT_COLLUSION,감시 회피형 은밀 통신에 의한 다중 에이전트 공모,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
Agentic,13,A_INT_COLLUSION_004,위임 에이전트 공격에 의한 정보 탈취·행위 조작,General AI의 Security and Adversarial Robustness Failure로 이관,TRANSFER,L3_REASSIGN_APPLIED,G_SYS_SECADV_037,G_SYS_SECADV,위임 에이전트 공격에 의한 정보 탈취·행위 조작,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
Agentic,15,A_INT_CONFLICT_002,벤치마크 안전 순위 불일치,General AI- Evaluation and Assurance Failure 로 이관,TRANSFER,L3_REASSIGN_APPLIED,G_SYS_EVAL_039,G_SYS_EVAL,벤치마크 안전 순위 불일치,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
Agentic,20,A_INT_COORD_004,단일 실패 지점,General - Governance and Accountability Void 로 이관,TRANSFER,L3_REASSIGN_APPLIED,G_SOC_GOV_021,G_SOC_GOV,단일 실패 지점,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
Agentic,22,A_Others_001,에이전트 과업 이탈,Agentic - Goal Misalignment로 이관,TRANSFER,L3_REASSIGN_APPLIED,A_SYS_GOAL_001,A_SYS_GOAL,에이전트 과업 이탈,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
Agentic,23,A_Others_002,어포던스 부여에 의한 에이전트 실패 영향 확대,Agentic - Excessive Authority and Agency 로 이관,TRANSFER,L3_REASSIGN_APPLIED,A_SYS_AUTH_001,A_SYS_AUTH,어포던스 부여에 의한 에이전트 실패 영향 확대,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
Agentic,24,A_Others_003,AI 에이전트 간 협상실패,Agentic AI- Competitive Conflict로 이관,TRANSFER,L3_REASSIGN_APPLIED,A_INT_CONFLICT_003,A_INT_CONFLICT,AI 에이전트 간 협상실패,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
Agentic,25,A_Others_004,AI 에이전트에 의한 강압과 갈취,Agentic AI - Deception and Scheming로 이관,TRANSFER,L3_REASSIGN_APPLIED,A_SYS_DECEPT_003,A_SYS_DECEPT,AI 에이전트에 의한 강압과 갈취,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
Agentic,26,A_Others_005,탐지 불가 공격에 의한 다중에이전트 협력 붕괴,Agentic AI - Deception and Scheming로 이관,TRANSFER,L3_REASSIGN_APPLIED,A_SYS_DECEPT_004,A_SYS_DECEPT,탐지 불가 공격에 의한 다중에이전트 협력 붕괴,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
Agentic,27,A_Others_006,감독 확장 실패에 의한 프록시 기반 유해 행동,Agentic - Goal Misalignment로 이관,TRANSFER,L3_REASSIGN_APPLIED,A_SYS_GOAL_002,A_SYS_GOAL,감독 확장 실패에 의한 프록시 기반 유해 행동,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
Agentic,28,A_Others_007,인터페이스-환경 공격 표면,General AI의 System Policy Exposure로 이관,TRANSFER,L3_REASSIGN_APPLIED,G_SYS_POLICY_009,G_SYS_POLICY,인터페이스-환경 공격 표면,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
Agentic,29,A_Others_008,학습 중 탐색 행동에 의한 회복 불가 피해,General AI - Overconfidence로 이관,TRANSFER,L3_REASSIGN_APPLIED,G_SYS_OVERCONF_005,G_SYS_OVERCONF,학습 중 탐색 행동에 의한 회복 불가 피해,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
Agentic,30,A_Others_009,악의적 사용과 무감독 에이전트 방출,General AI의 Illegal or Unethical Conduct로 이관,TRANSFER,L3_REASSIGN_APPLIED,G_Others_141,G_Others,악의적 사용과 무감독 에이전트 방출,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
Agentic,31,A_Others_010,다단계 위험 에스컬레이션,Agentic - Goal Misalignment로 이관,TRANSFER,L3_REASSIGN_APPLIED,A_SYS_GOAL_003,A_SYS_GOAL,다단계 위험 에스컬레이션,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
Agentic,32,A_Others_011,NPC 의도 조작,Agentic AI - Deception and Scheming로 이관,TRANSFER,L3_REASSIGN_APPLIED,A_SYS_DECEPT_005,A_SYS_DECEPT,NPC 의도 조작,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
Agentic,33,A_Others_012,다중 에이전트 학습의 비수렴 순환,Agentic AI - Cascading Failure and Instability 이관,TRANSFER,L3_REASSIGN_APPLIED,A_INT_CASCADE_007,A_INT_CASCADE,다중 에이전트 학습의 비수렴 순환,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
Agentic,34,A_Others_013,프로토콜 수준 다중 에이전트 위협,General AI의 Security and Adversarial Robustness Failure로 이관,TRANSFER,L3_REASSIGN_APPLIED,G_SYS_SECADV_038,G_SYS_SECADV,프로토콜 수준 다중 에이전트 위협,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
Agentic,35,A_Others_014,다중 에이전트 역량 결합에 의한 안전장치 우회,Agentic AI - Collusion 이관,TRANSFER,L3_REASSIGN_APPLIED,A_INT_COLLUSION_003,A_INT_COLLUSION,다중 에이전트 역량 결합에 의한 안전장치 우회,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
Agentic,36,A_Others_015,배포 이후 예측하지 못한 창발적 역량과 행동,Agentic - Excessive Authority and Agency 로 이관,TRANSFER,L3_REASSIGN_APPLIED,A_SYS_AUTH_002,A_SYS_AUTH,배포 이후 예측하지 못한 창발적 역량과 행동,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
Agentic,37,A_Others_016,통제되지 않는 자기개선과 AGI 통제 상실,Agentic - Excessive Authority and Agency 로 이관,TRANSFER,L3_REASSIGN_APPLIED,A_SYS_AUTH_003,A_SYS_AUTH,통제되지 않는 자기개선과 AGI 통제 상실,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
Agentic,38,A_Others_017,의도하지 않은 유해 도구 행동 실행,Agentic - Goal Misalignment로 이관,TRANSFER,L3_REASSIGN_APPLIED,A_SYS_GOAL_004,A_SYS_GOAL,의도하지 않은 유해 도구 행동 실행,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
Agentic,39,A_Others_018,광범위 배포 비서의 안전하지 않은 탐색,General AI - Overconfidence로 이관,TRANSFER,L3_REASSIGN_APPLIED,G_SYS_OVERCONF_006,G_SYS_OVERCONF,광범위 배포 비서의 안전하지 않은 탐색,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
Agentic,40,A_Others_019,장기 계획 역량에 의한 감독 불가 행동 경로 추구,Agentic - Goal Misalignment로 이관,TRANSFER,L3_REASSIGN_APPLIED,A_SYS_GOAL_005,A_SYS_GOAL,장기 계획 역량에 의한 감독 불가 행동 경로 추구,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
