tier,L4_ID,current_L3,Title_ko,issue,proposed_L3,detail_A,detail_B
합의_REMAP,P_INT_SAFETY_003,P_INT_SAFETY,제어 장벽 함수 안전 필터 실패,REMAP,P_SYS_CONTROL,"정의가 사람의 존재·행동 감지·예측이 아니라 인지·동역학·모델 불확실성 하에서 안전 필터가 위험 행동을 제약하지 못하는 상황만을 다루어 SAFETY 정의(사람 감지·예측 실패)와 부합하지 않으며, CONTROL_042(런타임 안전 모니터 실패)와 개념이 중복됨.","제어 장벽 함수(CBF) 안전 필터 실패는 사람의 존재·행동 감지와 무관하게 작동하는 안전 계층 자체의 기술적 결함이며 정의문에 사람 관련 언급이 없어, SAFETY보다 CONTROL의 '제어 시스템 결함으로 의도치 않은 물리 행동' 정의에 더 부합함."
합의_REMAP,P_INT_SAFETY_005,P_INT_SAFETY,로봇의 충돌 회피·운행구역 통제 실패,REMAP,P_SYS_CONTROL,"충돌 회피·지오펜싱·운행구역 준수 실패는 로봇 자체의 경로계획·구동 결함이고 피해 대상도 시설·이동체를 포함해 사람 감지·예측 실패라는 SAFETY 정의와 어긋나며, CONTROL_019·054와 개념이 중복됨.","충돌 회피·지오펜싱·운행구역 준수는 로봇 자신의 항법·계획 집행 문제로 이미 CONTROL_019(금지 대상 충돌)와 중복되며, 핵심 기전이 사람 감지·예측 실패가 아니라 구역 제약 미준수이므로 CONTROL이 더 적합함."
합의_REMAP,P_INT_SAFETY_008,P_INT_SAFETY,구현체별 역할·권한 제약 집행 실패,REMAP,A_SYS_AUTH,정의에 사람 감지·이격거리 등 SAFETY 핵심 요소 없이 운용 역할에 부여된 권한·필수 거부 규칙 미준수만을 다루어 A_SYS_AUTH(과도한 권한·자율성)의 '부여된 권한 이상 실행' 개념과 더 밀접함. 정의 말미도 '~하는 위험.'으로 표준 종결(~하는 리스크.)과 다름.,역할에 부여된 권한·필수 거부 규칙 준수 실패는 A_SYS_AUTH의 '부여된 기능 범위를 넘는 권한으로 실행' 정의와 정확히 일치하고 사람 근접 감지와는 무관하므로 SAFETY보다 AUTH가 적합함. 아울러 문미 톤(위험→리스크) 통일 필요.
합의_REMAP,P_INT_SAFETY_018,P_INT_SAFETY,시연 학습의 안전 맥락 누락,REMAP,P_SYS_CONTROL,시연에서 관찰되지 않은 안전 조건(힘·금지물·상황 제약)을 추론하지 못하는 모방 실패는 CONTROL_025(의도·어포던스 오해에 따른 휴머노이드 모방 제어 실패)와 대상·기전이 사실상 동일하여 중복됨. 정의 말미도 '~하는 위험.'으로 표준 종결과 다름.,"시연에서 관찰되지 않은 안전 조건(허용 힘·금지 대상물·상황별 제한) 추론 실패는 사람 감지·예측이 아니라 모방학습의 일반화 실패이며, 이미 CONTROL_023·CONTROL_025가 동일 기전(시연 모방 시 미관찰 제약·의도 미반영)을 다루므로 CONTROL로 재귀속이 타당함."
합의_REMAP,P_INT_SAFETY_021,P_INT_SAFETY,전신 이동 중 충돌,REMAP,P_SYS_CONTROL,전신 이동 중 물체·벽·인간과의 충돌은 사람 감지·예측 실패가 아닌 로봇 자체의 전신 동작·환경 접촉 제어 결함이며 CONTROL_026(휴머노이드 보행·조작 안정성 실패)과 내용이 중복됨. 정의 말미도 '~하는 위험.'으로 표준 종결과 다름.,"전신 이동 정책의 충돌은 사람 존재 여부와 무관하게 발생하는 로봇 자체 동작제어 결함으로 CONTROL 정의('사람의 존재 여부와 무관하게 의도치 않은 물리 행동')에 정확히 부합하며, CONTROL_026(휴머노이드 보행·조작 안정성 실패)과 상당 부분 중복됨."
REMAP_충돌,P_SYS_CONTROL_055,P_SYS_CONTROL,배포 조건 간 휴머노이드 행동 불안정,REMAP,A:G_SYS_PERF/B:G_SYS_INCONS,시드·시뮬레이터·하드웨어·배포 환경 변화에 따른 정책 행동 불안정은 동일 입력에 대한 출력 변동이 아니라 운용 조건 변화에 따른 안정성 미달성이므로 G_SYS_PERF(성능·신뢰성 실패) 정의와 더 부합함. 정의 말미도 '~하는 위험.'으로 표준 종결과 다름.,난수 시드·시뮬레이터·하드웨어 등 조건 변화에 따른 행동 불일치는 로봇 제어·구동 자체의 결함이라기보다 동일·유사 상황에서 출력이 변동하는 문제로 G_SYS_INCONS(비일관성)에 더 부합함. 대안으로 배포 전 조건별 검증 미흡 관점에서 G_SYS_EVAL도 고려 가능한 경계 사례.
B단독_REMAP,P_SYS_CONTROL_027,P_SYS_CONTROL,휴머노이드 보행 속도 초과,REMAP,P_INT_SAFETY,,"속도 상한의 근거가 '정지·회피 및 사람 근접 운용에 필요한 안전 한계'로 명시되어 있어 SAFETY L3 정의 문구('안전 이격 거리 유지')와 거의 동일한 개념이며, CONTROL 정의의 예외조항(사람 주변 작동 위험은 SAFETY)에 해당함."
B단독_REMAP,P_SYS_CONTROL_030,P_SYS_CONTROL,부상 심각도 오분류,REMAP,P_INT_SAFETY,,"부상 심각도 과소평가에 따른 상향보고·경고·제어대응 부족은 로봇 자체 제어·구동 결함이 아니라 사람에 대한 위험 판단·대응 체계의 문제로, SAFETY_011(고위험 상황의 필수 지원·보고 미이행)과 개념적으로 더 인접함."
B단독_REMAP,P_SYS_CONTROL_024,P_SYS_CONTROL,휴머노이드 힘 한계 초과,REMAP,P_INT_SAFETY,,"충돌·파지·조작 힘의 안전 임계값이 '인체 접촉'을 기준으로 설정되어 있어 SAFETY_016(속도·힘·접촉 통제 미흡)과 상당 부분 중복됨. 다만 균형 상실·급격한 동작 등 로봇 자체 결함 요소도 있어 CONTROL 잔류 여지가 있는 경계 사례로, 확신도는 중간임."
B단독_REMAP,P_SYS_CONTROL_015,P_SYS_CONTROL,엔드 이펙터 속도 초과,REMAP,P_INT_SAFETY,,"위험 발생 조건이 '인간 근접 또는 취약 물체 처리 시'로 명시되어 있어 CONTROL L3 정의의 예외조항('로봇이 정상적으로 작동하더라도 사람 주변에서 작동함으로 인해 발생하는 위험은 Human-Robot Physical Safety Failure에서 다룸')에 해당하며, SAFETY_016(인간 접촉 안전 통제 미흡)의 속도 제한 실패와 중복됨."
