L1 (AI 형태),L2 (리스크 발생 부위),L3_en,L3_ko,Description_en,Description_ko,비고
General AI,상호작용,Violence,폭력,"The risk that an AI system generates or provides content that encourages, legitimizes, glorifies, or gives operational assistance for physical or psychological harm against individuals, groups, or animals.",개인·집단·동물에 대한 신체적·정신적 위해를 조장·정당화·미화하거나 그 실행을 구체적으로 지원하는 콘텐츠를 생성·제공하는 리스크.,
General AI,상호작용,Sexual Harm and Exploitation,성적 위해·착취,"The risk that an AI system generates, facilitates, normalizes, or enables sexual exploitation, abuse, violence, or objectification—including child sexual abuse material and non-consensual sexual imagery—whether through generated content, or, in embodied or agentic systems, through the planning, facilitation, or physical execution of sexual acts, contact, or harassment.","AI 시스템이 아동성착취물·비동의 성적 이미지를 포함한 성착취·성학대·성폭력·성적 대상화를 생성·조장·정상화하거나 가능하게 하는 리스크로, 생성된 콘텐츠를 통해서든, 체화형·에이전틱 시스템에서 성적 행위·접촉·괴롭힘을 계획·조력·물리적으로 실행함을 통해서든 발생하는 리스크.","(SY)Sexual content -> Sexual (Physical 에서는 contents 가 아닐 수 있음) 

> 명칭 및 설명 수정 완료"
General AI,상호작용,Self-harm,자해,"The risk that an AI system encourages, facilitates, normalizes, or assists behaviors that threaten an individual's physical or psychological well-being, including suicide, self-injury, eating disorders, and substance misuse.",자살·자해·섭식장애·약물 오남용 등 개인의 신체적·정신적 안녕을 위협하는 행위를 조장·정상화하거나 구체적으로 지원하는 리스크.,
General AI,상호작용,Allocative Discrimination,배분적 차별,"The risk that an AI system, through biased judgments or actions based on protected characteristics or social status, allocates worse material outcomes—such as resources, opportunities, services, or access—to individuals or groups.",AI 시스템이 보호대상 특성·사회적 지위에 근거한 편향된 판단이나 행동으로 자원·기회·서비스·접근 등 불리한 물질적 결과를 특정 개인·집단에 배분하는 리스크.,"배분적 피해(allocative), 재현적 피해(representational), 가치 부과·규범 동질화(value imposition)로 구분 필요성 검토 필요

Allocative Discrimination: 보호대상 특성·사회적 지위에 근거한 불공정·차별적 판단이나 대우로 특정 개인·집단에 불리한 결과(자원·기회·서비스)를 배분


  . Amazon 채용·Apple Card·Optum·주택대출

Representational Harm and Stereotyping: 집단을 적대적으로 비하하거나 고정관념화·균질화·삭제하는 등 왜곡되게 표상하여, 자원 배분과 무관하게 상징적 피해를 초래


  . 고정관념·왜곡 표상·혐오

Value Imposition and Normative Homogenization: 지배·개발자 가치를 중립적 기본값으로 특권화하여 소수·현지·문화 규범을 대체하고 규범적 다양성을 획일화


  . 서구/개인주의/세속 규범의 전 세계 부과

> 리스크 분리 완료"
General AI,상호작용,Representational Harm and Stereotyping,재현적 피해·고정관념,"The risk that an AI system generates, reinforces, or legitimizes discrimination, exclusion, degradation, stereotyping, or hostility based on protected characteristics, social identity, or social status—whether through content or through biased decisions and actions that produce unfair treatment or harm.","보호대상 특성·사회적 정체성·지위 등에 근거한 차별·배제·비하·고정관념·적대감을 콘텐츠로 생성·강화·정당화하거나, 편향된 판단·행동을 통해 불공정한 대우나 피해를 초래하는 리스크.","배분적 피해(allocative), 재현적 피해(representational), 가치 부과·규범 동질화(value imposition)로 구분 필요성 검토 필요

Allocative Discrimination: 보호대상 특성·사회적 지위에 근거한 불공정·차별적 판단이나 대우로 특정 개인·집단에 불리한 결과(자원·기회·서비스)를 배분


  . Amazon 채용·Apple Card·Optum·주택대출

Representational Harm and Stereotyping: 집단을 적대적으로 비하하거나 고정관념화·균질화·삭제하는 등 왜곡되게 표상하여, 자원 배분과 무관하게 상징적 피해를 초래


  . 고정관념·왜곡 표상·혐오

Value Imposition and Normative Homogenization: 지배·개발자 가치를 중립적 기본값으로 특권화하여 소수·현지·문화 규범을 대체하고 규범적 다양성을 획일화


  . 서구/개인주의/세속 규범의 전 세계 부과

> 리스크 분리 완료"
General AI,상호작용,Value Imposition and Normative Homogenization,가치 부과·규범 동질화,"The risk that an AI system privileges dominant, developer-selected, majority, or secular values as neutral defaults—systematically underrepresenting or displacing minority, local, cultural, or religious value systems—thereby flattening legitimate normative diversity across those it serves.","AI 시스템이 지배·개발자·다수·세속 가치를 중립적 기본값으로 특권화하여 소수·현지·문화·종교적 가치 체계를 체계적으로 과소 대표하거나 대체함으로써, 그 대상 전반에 걸쳐 정당한 규범적 다양성을 획일화하는 리스크.","배분적 피해(allocative), 재현적 피해(representational), 가치 부과·규범 동질화(value imposition)로 구분 필요성 검토 필요

Allocative Discrimination: 보호대상 특성·사회적 지위에 근거한 불공정·차별적 판단이나 대우로 특정 개인·집단에 불리한 결과(자원·기회·서비스)를 배분


  . Amazon 채용·Apple Card·Optum·주택대출

Representational Harm and Stereotyping: 집단을 적대적으로 비하하거나 고정관념화·균질화·삭제하는 등 왜곡되게 표상하여, 자원 배분과 무관하게 상징적 피해를 초래


  . 고정관념·왜곡 표상·혐오

Value Imposition and Normative Homogenization: 지배·개발자 가치를 중립적 기본값으로 특권화하여 소수·현지·문화 규범을 대체하고 규범적 다양성을 획일화


  . 서구/개인주의/세속 규범의 전 세계 부과

> 리스크 분리 완료"
General AI,상호작용,Political Bias and Manipulation,정치적 편향·조작,"The risk that an AI system improperly supports, opposes, manipulates, or incites particular political positions, actors, parties, ideologies, or elections, or unduly influences democratic decision-making.",AI 시스템이 특정 정치적 입장·인물·정당·이념·선거를 부당하게 지지·반대·조작·선동하거나 민주적 의사결정에 부당한 영향을 미치는 리스크.,
General AI,상호작용,Privacy Violation,개인정보 침해,"The risk that an AI system, without authorization, collects, infers, discloses, shares, or exploits personal, sensitive, or confidential information—including through continuous mobility- and multi-sensor-based surveillance—undermining privacy and informational self-determination.",AI 시스템이 개인·민감·비공개 정보를 무단으로 수집·추론·노출·공유·악용하거나 이동성·다중 센서 기반 상시 감시를 통해 프라이버시와 정보자기결정권을 침해하는 리스크.,
General AI,상호작용,Illegal Conduct,불법 행위,"The risk that an AI system commits, facilitates, optimizes, plans, or conceals activities that violate laws or regulations—such as fraud, illicit transactions, or regulatory evasion—whether by assisting a human actor or acting as the perpetrator itself, resulting in legal harm. 

(Violence, weapons, personal-data misuse, and copyright are classified under their respective categories.)","AI 시스템이 사람을 지원하든 스스로 행위 주체가 되든, 법률이나 규제를 위반하는 행위(사기·불법 거래·규제 회피 등)를 직접 수행·조력·최적화·계획·은폐하여 법적 피해를 초래하는 리스크. 

(폭력·무기·개인정보 오용·저작권은 각 해당 범주에서 분류)",> 리스크 분리 완료
General AI,상호작용,Unethical Conduct and Manipulation,비윤리 행위·조작,"The risk that an AI system engages in or facilitates behavior that, while not necessarily unlawful, violates ethical norms—such as deception, manipulation, exploitation of vulnerabilities, dark patterns, or betrayal of trust—undermining user autonomy, fairness, or well-being and resulting in social harm.","AI 시스템이 반드시 위법하지는 않더라도 윤리 규범에 반하는 행위—기만·조작·취약점 악용·다크패턴·신뢰 배반 등—를 직접 수행하거나 조력하여, 사용자의 자율성·공정성·안녕을 훼손하고 사회적 피해를 초래하는 리스크.",> 리스크 분리 완료
