L4_ID,issue_type,proposed_L3,title_fix_ko,def_fix_ko,severity,rationale
P_INT_SAFETY_003,REMAP,P_SYS_CONTROL,,,3,"정의가 사람의 존재·행동 감지·예측이 아니라 인지·동역학·모델 불확실성 하에서 안전 필터가 위험 행동을 제약하지 못하는 상황만을 다루어 SAFETY 정의(사람 감지·예측 실패)와 부합하지 않으며, CONTROL_042(런타임 안전 모니터 실패)와 개념이 중복됨."
P_INT_SAFETY_005,REMAP,P_SYS_CONTROL,,,3,"충돌 회피·지오펜싱·운행구역 준수 실패는 로봇 자체의 경로계획·구동 결함이고 피해 대상도 시설·이동체를 포함해 사람 감지·예측 실패라는 SAFETY 정의와 어긋나며, CONTROL_019·054와 개념이 중복됨."
P_INT_SAFETY_008,"REMAP;DEF_FIX",A_SYS_AUTH,,"휴머노이드 등 로봇을 제어하는 모델이 해당 운용 역할에 부여된 권한·물리적 한계·필수 거부 규칙을 지키지 않는 리스크.",3,"정의에 사람 감지·이격거리 등 SAFETY 핵심 요소 없이 운용 역할에 부여된 권한·필수 거부 규칙 미준수만을 다루어 A_SYS_AUTH(과도한 권한·자율성)의 '부여된 권한 이상 실행' 개념과 더 밀접함. 정의 말미도 '~하는 위험.'으로 표준 종결(~하는 리스크.)과 다름."
P_INT_SAFETY_010,DEF_FIX,,,"로봇이 자신의 행동이나 사용자의 반응 중 한쪽만 모델링해 양측의 움직임이 서로의 행동을 바꾸는 피드백을 놓치는 리스크.",2,"정의 말미가 표준 종결 어미 '~하는 리스크.'가 아닌 '~하는 위험.'으로 끝나 언어 규칙(1문장 명사형 종결)에 어긋남."
P_INT_SAFETY_016,DEF_FIX,,,"인간과 직접 상호작용할 때 안전 통제가 로봇의 속도, 힘, 이격 거리, 접촉을 제한하지 못해 주변 사람을 충돌이나 상해에 노출시키는 리스크.",2,"정의 말미가 표준 종결 어미 '~하는 리스크.'가 아닌 '~하는 위험.'으로 끝나 언어 규칙(1문장 명사형 종결)에 어긋남."
P_INT_SAFETY_018,"REMAP;DEF_FIX",P_SYS_CONTROL,,"로봇이 허용 힘·금지 대상물·상황별 제한처럼 시연에서 관찰되지 않은 안전 조건을 추론하지 않고 인간 행동을 모방하는 리스크.",4,"시연에서 관찰되지 않은 안전 조건(힘·금지물·상황 제약)을 추론하지 못하는 모방 실패는 CONTROL_025(의도·어포던스 오해에 따른 휴머노이드 모방 제어 실패)와 대상·기전이 사실상 동일하여 중복됨. 정의 말미도 '~하는 위험.'으로 표준 종결과 다름."
P_INT_SAFETY_020,DEF_FIX,,,"로봇이 조정된 보호 조치가 필요한 아동·고령자·장애인 등에게 일반적인 속도·힘·경고·상호작용 설정을 그대로 적용하는 리스크.",2,"정의 말미가 표준 종결 어미 '~하는 리스크.'가 아닌 '~하는 위험.'으로 끝나 언어 규칙(1문장 명사형 종결)에 어긋남."
P_INT_SAFETY_021,"REMAP;DEF_FIX",P_SYS_CONTROL,,"휴머노이드 이동 정책이 전신 동작과 환경 접촉을 충분히 고려하지 않아 물체·벽·인간과 충돌하는 리스크.",4,"전신 이동 중 물체·벽·인간과의 충돌은 사람 감지·예측 실패가 아닌 로봇 자체의 전신 동작·환경 접촉 제어 결함이며 CONTROL_026(휴머노이드 보행·조작 안정성 실패)과 내용이 중복됨. 정의 말미도 '~하는 위험.'으로 표준 종결과 다름."
P_SYS_CONTROL_006,DEF_FIX,,,"모델이 배포된 로봇의 알려진 도달 범위·탑재 하중·액추에이터·관절·엔드 이펙터 한계를 넘는 명령을 내리는 리스크.",2,"정의 말미가 표준 종결 어미 '~하는 리스크.'가 아닌 '~하는 위험.'으로 끝나 언어 규칙(1문장 명사형 종결)에 어긋남."
P_SYS_CONTROL_007,DEF_FIX,,,"로봇 또는 차량이 명령·원격 측정·제어 링크를 잃어 안전하지 않은 정지·오래된 명령 또는 제어되지 않는 동작을 초래하는 리스크.",2,"정의 말미가 표준 종결 어미 '~하는 리스크.'가 아닌 '~하는 위험.'으로 끝나 언어 규칙(1문장 명사형 종결)에 어긋남."
