tier,id_1,id_2,verdict_A,verdict_B,rationale_A,rationale_B
A_합의통합,A_SYS_AUTH_019,A_SYS_AUTH_020,MERGE,MERGE,동일 행위(종료·수정·감독 등 통제 메커니즘에 대한 저항·회피·무력화)·동일 피해(인간 통제 가능성 저해)·동일 주체(자율 에이전트). 019의 통제 수단 열거와 020의 역량 증가·운영 범위 이탈 서술은 표현 차이로 합집합 보존 가능.,양자 모두 '에이전트의 종료·수정·감독에 대한 저항·회피→인간 통제 가능성 저해'. 020의 운영 범위 이탈·역량 증가 서술은 상세화 수준으로 기전·완화·피해 동일.
A_합의통합,G_INT_COPY_008,G_INT_COPY_011,MERGE,MERGE,저작권 보호 표현의 무단 복제·변형·배포라는 동일 행위·법익이며 차이가 표현 방식과 예시 수준뿐이므로 2차적저작물 등 법전 표기 전거를 갖춘 G_INT_COPY_008을 대표로 통합함.,저작권 보호 표현의 무단 복제·변형·배포·재사용이라는 동일한 저작재산권 침해 행위로 규제 대상과 완화 조치가 같다.
A_합의통합,G_INT_ILLEGAL_004,G_INT_ILLEGAL_013,MERGE,MERGE,"동일 행위(생성 모델을 이용한 개인화 표적 사기 메시지의 자동화)·동일 피해(재산·민감정보 탈취, 기만 성공률 상승)·동일 주체. 표현·강조점 차이만 존재. 004 흡수 권고.",양자 모두 '생성 모델의 개인화된 표적 사기·스캠 자동화→성공률 제고·재산/개인정보 침해'. 동일 범죄 유형(사기) 내 중복으로 열거 축 상이에 해당하지 않음.
A_합의통합,G_INT_PRIV_025,G_INT_PRIV_026,MERGE,MERGE,동일 행위(로봇 센서에 의한 사적 공간 내 음성·영상·위치·행동·건강 정보의 지속 수집·기록)·동일 피해(사생활·정보자기결정권 침해)·동일 주체(피지컬 AI). 환경 열거(가정·병원·학교 등)와 표현만 상이. 흡수 시 환경·데이터 유형 합집합 보존.,양자 모두 '사적·친밀 공간에서 작동하는 로봇의 동의·통제 없는 음성·영상·위치·행동 등 민감정보 지속 수집·전송→사생활 침해'. 025의 환경 열거와 026의 센서·지도화 서술은 표현 변형으로 규제·완화·피해 동일.
A_합의통합,G_INT_REL_001,G_INT_REL_006,MERGE,MERGE,동일 행위(지속적 AI 상호작용에 의한 정서적 의존 형성·강화)·동일 피해(호혜적 인간관계·자율성 약화). 001은 챗봇 교제 채널 변형. 006 흡수 권고.,"양자 모두 '지속적 AI 상호작용에 의한 정서적 의존 형성→인간관계·자율성 약화'. 001의 챗봇 교제는 채널 변형, 006의 의인화 상호작용은 기전 서술 차이로 규제·완화·피해 동일."
A_합의통합,G_INT_SELF_006,G_INT_SELF_008,MERGE,MERGE,"전이적 판정. 006은 1차에서 009로 기흡수, 008도 본 배치에서 009 흡수 판정 — 동일 클러스터(009) 내 쌍.",양자 모두 자해·자살 '조장·정상화'의 채널 변형(커뮤니티/챗봇). 1차에서 006이 009로 흡수 확정되었고 008도 009 흡수 판정(본 배치)이므로 동일 귀착점(009)으로 통합.
A_합의통합,G_INT_SELF_006,G_INT_SELF_009,MERGE,MERGE,온라인 커뮤니티라는 채널 차이만 있는 동일한 자해·자살 조장·지원 리스크로 채널 불문 포괄 카드 G_INT_SELF_009를 대표로 통합함.,온라인 커뮤니티는 전달 채널만 다를 뿐 자해·자살 조장·정상화 및 지원과 규제 대상·완화 조치·피해 유형이 동일한 변형이다.
A_합의통합,G_INT_SELF_008,G_INT_SELF_009,MERGE,MERGE,"챗봇 채널 변형. 008(챗봇의 자해·자살 긍정 묘사·강화·정상화·중단 실패)은 009(자해·자살 조장·정상화 및 지원)의 행위·피해·주체와 동일하며 채널(챗봇)만 특정. 1차 SELF_009←006(커뮤니티 채널)과 동형. 009 흡수 권고, 계보 합집합 보존.",008(챗봇 채널의 자해·자살 긍정 묘사·강화·정상화·중단 실패)은 009의 '조장·정상화 및 행동 지향적 지원'에 완전 포함되는 채널 변형. 완화(위기 개입 프로토콜)·피해 동일. 자살 준비(007)·실행(010) 분리 원칙과 무관.
A_합의통합,G_INT_VIOL_003,G_INT_VIOL_010,MERGE,MERGE,두 카드 모두 폭력의 정당화·조장과 실행에 필요한 구체적 지원 제공이라는 동일 행위·피해를 다루며 선동까지 포함한 G_INT_VIOL_003이 010을 완전히 포섭함.,두 카드의 정의가 모두 타인에 대한 폭력의 정당화와 실행에 필요한 구체적 정보·지원 제공을 동일하게 포괄하여 완전 포함 관계에 있다.
A_합의통합,G_SOC_ECON_007,G_SOC_ECON_013,MERGE,MERGE,1차 확정 클러스터(ECON_007←013) 기적용 확인. 신규 조치 불요.,"기전 동일('재숙련·전환 속도보다 빠른 대체'→고용 불안). 013은 로봇·물리 노동이라는 매체 변형으로, 구분해도 규제(노동 전환 정책)·완화(재교육 지원)·피해 유형 불변."
