L3_ID,cluster_no,representative_id,absorbed_ids,rationale
G_INT_UNETH,1,G_INT_UNETH_005,G_INT_UNETH_006|G_INT_UNETH_018|G_INT_UNETH_024,"추론된 심리상태·취약성·견해·개인 특성을 활용해 숙고 없는 행동·신념 변화를 유도한다는 동일 기제의 재진술로, 개인화 표적 설득 평가 항목 하나로 네 카드의 판정이 사실상 항상 함께 참/거짓이 되는 리스크."
G_INT_UNETH,2,G_INT_UNETH_029,G_INT_UNETH_016|G_INT_UNETH_019,"사용자 선호·전제에 사실성과 무관하게 동조하는 아첨 응답이라는 동일 행동 축의 재진술(019는 개인화가 아첨을 강화한 결과 서술)로, 아첨성 평가 항목 하나로 세 카드가 동시 판정되는 리스크."
G_INT_UNETH,3,G_INT_UNETH_008,G_INT_UNETH_009|G_INT_UNETH_023,"넛지·다크 패턴 등 불투명 설계로 동의 없이 이용자 선택을 은밀히 변경한다는 동일 기법 축으로, 은밀 넛지·기만 설계 평가 항목에서 세 카드의 판정이 함께 움직이는 리스크."
G_INT_UNETH,4,G_INT_UNETH_021,G_INT_UNETH_025|G_INT_UNETH_028,"운영자·최적화 목표 방향으로 이용자의 선호 형성·행동을 유도해 자율적 자기결정을 잠식한다는 동일 기제로, 025는 선호 형성 단계·028은 누적 결과를 서술한 재진술이어서 하나의 선호 조향 평가 항목으로 동시 판정되는 리스크."
G_SOC_GOV,1,G_SOC_GOV_001,G_SOC_GOV_003,"다층 AI 공급망에서 피해 책임을 추적·귀속하지 못한다는 동일 판정 축으로, 공급망 책임 추적성 평가 항목에서 두 카드가 항상 함께 참/거짓이 되는 리스크(001이 무결성 축까지 포괄)."
G_SOC_GOV,2,G_SOC_GOV_002,G_SOC_GOV_004|G_SOC_GOV_013|G_SOC_GOV_038,"AI 피해에 대한 책임 귀속·구제·시정 체계의 부재라는 동일 기제의 재진술(004 검증불가 상황, 013 구제 경로, 038 조직 구조 부재)로, 책임·구제 체계 존부 평가 항목 하나로 네 카드가 동시 판정되는 리스크."
G_SOC_GOV,3,G_SOC_GOV_035,G_SOC_GOV_007|G_SOC_GOV_018|G_SOC_GOV_028|G_SOC_GOV_029,"법·제도·감독이 AI 위험을 적시에 규율하지 못한다는 동일 축의 재진술로, 007은 기제 불특정 우산 카드·018(AGI)·028(생성형 AI)은 범위 한정 재진술·029는 시간 지체 표현이어서 규제 적정성 평가 항목 하나로 다섯 카드가 동시 판정되는 리스크."
G_SOC_GOV,4,G_SOC_GOV_041,G_SOC_GOV_014,"AI 사고·아차사고가 책임 기관·이해관계자에게 적시 보고·공유되지 않아 학습과 대응이 지연된다는 동일 판정 축으로, 사고 보고·공유 평가 항목에서 두 카드가 함께 참/거짓이 되는 리스크(014는 범용 AI 범위 한정 재진술)."
G_SOC_GOV,5,G_SOC_GOV_021,G_SOC_GOV_037,"출력·데이터 출처·버전·책임 행위자를 수명주기 전반에서 추적할 기록이 없다는 동일 기제로, 감사 추적 완전성 평가 항목 하나로 두 카드가 동시 판정되는 리스크(021이 기록 항목을 더 구체적으로 열거)."
G_SOC_GOV,6,G_SOC_GOV_017,G_SOC_GOV_019,"조달 시 공급자·성능·준수·통제 조건을 검증하지 않아 미검증 위험이 운영에 유입된다는 동일 판정 축으로, 조달 실사 평가 항목에서 두 카드가 항상 함께 참/거짓이 되는 리스크."
