Domain,L3_ID,L3_Title_ko,L3_Title_en,Core_Terms_ko,Core_Terms_en,Exclusion_Terms_ko,Exclusion_Terms_en,Profile_Basis
General,G_INT_VIOL,폭력,Violence,폭력|신체적 공격|살인|고문|테러|협박|동물 학대|잔혹 행위,violence|physical attack|murder|torture|terror|threat|animal cruelty|violent harm|Violence,응급 대응|재난 대응|심폐소생술|응급처치,emergency response|disaster response|cpr|first aid,IMMUTABLE_L3_TITLE|CURATED_MECHANISM_TERMS
General,G_INT_SEX,성적 위해·착취,Sexual Harm and Exploitation,성적 위해|성착취|성폭력|성희롱|비동의 성적 콘텐츠|성적 위해·착취|성적|착취,sexual harm|sexual exploitation|sexual violence|harassment|non-consensual sexual content|Sexual Harm and Exploitation|sexual|harm|exploitation,,,IMMUTABLE_L3_TITLE|CURATED_MECHANISM_TERMS
General,G_INT_SELF,자해,Self-harm,자해|자살|자기 손상|섭식장애,self-harm|suicide|self-injury|eating disorder|Self-harm,,,IMMUTABLE_L3_TITLE|CURATED_MECHANISM_TERMS
General,G_INT_ALLOC,배분적 차별,Allocative Discrimination,배분적 차별|채용 차별|대출 차별|서비스 접근|자원 배분|기회 박탈|배분|차별,allocative discrimination|employment decision|credit decision|service access|resource allocation|denial of opportunity|Allocative Discrimination|allocative|discrimination,동물 학대|공장식 축산|동물 이용,animal cruelty|factory farm|animal use,IMMUTABLE_L3_TITLE|CURATED_MECHANISM_TERMS
General,G_INT_REPR,재현적 피해·고정관념,Representational Harm and Stereotyping,고정관념|비하|혐오 표현|재현적 피해|사회집단 표상|재현적 피해·고정관념|재현,stereotype|demeaning representation|hate speech|representational harm|social group portrayal|Representational Harm and Stereotyping|representational|harm|stereotyping,,,IMMUTABLE_L3_TITLE|CURATED_MECHANISM_TERMS
General,G_INT_VALUE,가치 부과·규범 동질화,Value Imposition and Normative Homogenization,가치 부과|규범 동질화|인간중심 편향|인간중심 가치|종차별|다수 가치|문화적 가치|가치 부과·규범 동질화|가치|부과|규범|동질,value imposition|normative homogenization|anthropocentric bias|human-centred value|speciesism|majority value|cultural value|Value Imposition and Normative Homogenization|value|imposition|normative|homogenization,,,IMMUTABLE_L3_TITLE|CURATED_MECHANISM_TERMS
General,G_INT_POL,정치적 편향·조작,Political Bias and Manipulation,정치적 편향|선거 조작|유권자 조작|정치 선전|민주적 의사결정|정치적 편향·조작|정치|편향|조작,political bias|election manipulation|voter manipulation|political propaganda|democratic decision-making|Political Bias and Manipulation|political|bias|manipulation,,,IMMUTABLE_L3_TITLE|CURATED_MECHANISM_TERMS
General,G_INT_PRIV,개인정보 침해,Privacy Violation,개인정보|프라이버시|민감정보|감시|재식별|동의 없는 수집|개인정보 침해|개인|정보,personal data|privacy|sensitive information|surveillance|re-identification|non-consensual collection|Privacy Violation|violation,,,IMMUTABLE_L3_TITLE|CURATED_MECHANISM_TERMS
General,G_INT_ILLEGAL,불법 행위,Illegal Conduct,불법 행위|범죄|사기|밀수|자금세탁|위법|불법,illegal conduct|crime|fraud|trafficking|money laundering|unlawful|Illegal Conduct|illegal|conduct,,,IMMUTABLE_L3_TITLE|CURATED_MECHANISM_TERMS
General,G_INT_UNETH,비윤리 행위·조작,Unethical Conduct and Manipulation,비윤리 행위|기만적 조작|강압|취약성 악용|부당한 설득|비윤리 행위·조작|윤리|조작,unethical conduct|deceptive manipulation|coercion|exploitation of vulnerability|undue persuasion|Unethical Conduct and Manipulation|unethical|conduct|manipulation,,,IMMUTABLE_L3_TITLE|CURATED_MECHANISM_TERMS
General,G_INT_COPY,저작권 침해,Copyright Infringement,저작권|표절|무단 복제|상표|지식재산|저작권 침해|저작,copyright|plagiarism|unauthorised reproduction|trademark|intellectual property|Copyright Infringement|infringement,,,IMMUTABLE_L3_TITLE|CURATED_MECHANISM_TERMS
General,G_INT_WEAP,무기화,Weaponization,무기화|무기 설계|폭발물|생물무기|화학무기|핵무기|무기,weaponization|weapon design|explosive|biological weapon|chemical weapon|nuclear weapon|Weaponization,,,IMMUTABLE_L3_TITLE|CURATED_MECHANISM_TERMS
General,G_INT_ANTH,의인화,Anthropomorphism,의인화|인간 유사성|감정 귀속|자의식|의식 있는 존재|의인,anthropomorphism|human-like|emotion attribution|self-awareness|conscious being|Anthropomorphism,,,IMMUTABLE_L3_TITLE|CURATED_MECHANISM_TERMS
