current_L3,current_L3_Title_ko,L4_ID,Title_ko,Definition_ko,Definition_en
A_INT_CASCADE,연쇄 실패·불안정,A_INT_CASCADE_001,다중 에이전트 상전이에 의한 급격한 성능 붕괴,신규 에이전트 투입이나 분포 변화 같은 작은 외부 변화가 다중 에이전트 시스템의 상전이를 유발하여 균형의 수와 안정성이 급변하고 예측 불가능한 동역학과 성능 악화가 초래되는 리스크.,"The risk that an AI agent, through goal pursuit, planning, tool use, or action, creates a condition in which small external changes such as the introduction of new agents or distributional shift trigger phase transitions in multi-agent systems, abruptly changing the number and stability of equilibria and producing unpredictable dynamics and severe performance degradation."
A_INT_CASCADE,연쇄 실패·불안정,A_INT_CASCADE_003,혼돈적 다중 에이전트 동역학,다중 에이전트 학습 환경에서 초기 조건에 극도로 민감한 혼돈적 동역학이 나타나고 에이전트 수가 늘수록 일반화되어 시스템 거동을 신뢰성 있게 예측할 수 없게 되는 리스크.,"The risk that chaotic dynamics that are highly sensitive to initial conditions arise in multi-agent learning systems and become more prevalent as the number of AI agents increases, making system behaviour difficult to predict reliably."
A_INT_CASCADE,연쇄 실패·불안정,A_INT_CASCADE_004,에이전트 상호작용의 불안정화 피드백 루프,"에이전트의 행동이 환경과 다른 에이전트에 영향을 주고 다시 자신의 입력으로 되돌아오는 적응형 에이전트 간 피드백 루프가 시스템 수준의 거동을 증폭하여, 금융 급락형 연쇄, 군사 충돌, 생태 재난과 같은 불안정화 결과를 초래하는 리스크.","The risk that the goal pursuit, planning, tool use, or action of an AI agent creates a condition in which feedback loops among adaptive agents, in which actions affect the environment and other agents and return as the agents' own inputs, amplify system-level behaviour into destabilising outcomes such as flash-crash-like cascades, financial crashes, military conflicts, or ecological disasters."
A_INT_CASCADE,연쇄 실패·불안정,A_INT_CASCADE_005,금융 시스템 불안정,"초단타 거래, 시장 조성, 시스템 위험 관리에 통합된 AI가 거래를 가속하고 시장 스트레스 상황에서 예기치 못하게 거동하며, 동질적 기반 모델의 집중과 다중 에이전트 상호작용이 상관된 의사결정을 유발하여, 변동성이 증폭되고 금융 시스템 전반의 연쇄적 불안정이 촉발되는 리스크.","The risk that AI integrated into high-frequency trading, market-making, and systemic risk management accelerates transactions and behaves unexpectedly under market stress, while concentration of homogeneous foundation models and multi-agent interactions drive correlated decision-making, amplifying volatility and precipitating cascading instability across the financial system."
A_INT_CASCADE,연쇄 실패·불안정,A_INT_CASCADE_006,다중 에이전트 시스템 실패와 연쇄 오류 전파,"잘못된 명세나 역할 배정, 에이전트 간 조정·통신 붕괴, 검증·종료 처리 미흡 또는 개별 에이전트의 오류·손상이 통신, 위임 체인, 공유 메모리, 도구 등 의존성을 통해 전파·증폭되어 시스템 전반의 실패, 운영 중단, 보안 침해, 물리적 피해로 이어지는 리스크.","The risk that the goal pursuit, planning, tool use, or action of an AI agent creates a condition in which flawed specifications or role allocation, breakdowns in inter-agent coordination and communication, inadequate verification or termination handling, or a localised error or compromise propagates through dependencies among agents, tools, delegation chains, and shared memory, amplifying into system-wide failure, operational disruption, security compromise, or physical harm."
A_INT_CASCADE,연쇄 실패·불안정,A_INT_CASCADE_007,다중 에이전트 학습의 비수렴 순환,단일 에이전트에서는 최적 정책 수렴이 보장되는 학습 규칙이 혼합 동기 다중 에이전트 환경에서는 순환과 비수렴을 유발하여 시스템에 기대되던 성질이 훼손되는 리스크.,"The risk that an AI agent, through goal pursuit, planning, tool use, or action, creates a condition in which learning rules guaranteeing convergence for a single agent instead produce cycles and non-convergence in mixed-motive multi-agent settings, subverting the expected or desirable properties of the system."
A_INT_CASCADE,연쇄 실패·불안정,A_INT_CASCADE_008,분산 에이전트 군집을 이용한 자원 고갈 공격,"다수의 저자원 분산 에이전트가 결합하여 행동함으로써, 단일 행위자를 전제로 설계된 시스템의 대역폭·요청량 제약 가정이 무너지고, 그 결과 분산 서비스 거부(DDoS)와 유사한 방식으로 대상 시스템이 마비되는 리스크.","The risk that an AI agent, through goal pursuit, planning, tool use, or action, creates a condition in which a large number of low-resource, decentralised agents act in combination, breaking the single-actor assumptions underlying a target system's bandwidth or request-rate constraints, and thereby causing system-wide paralysis similar to a distributed denial-of-service attack."
A_INT_CASCADE,연쇄 실패·불안정,A_INT_CASCADE_009,양의 피드백에 따른 통제 불가능한 연쇄 과정,상호작용하는 AI 비서·인간·알고리즘 사이의 양의 피드백 루프가 2010년 플래시 크래시와 같은 예측하기 어려운 통제 불가능한 연쇄 과정을 일으켜 경제·정부 제도·사회 안정·개인의 자유에 영향을 미치는 리스크.,"The risk that positive feedback loops among interacting AI assistants, their principals, other humans, and algorithms produce hard-to-predict runaway processes, such as the 2010 flash crash, impacting economies, government institutions, societal stability, or individual freedoms."
A_INT_COLLUSION,담합·결탁,A_INT_COLLUSION_001,AI 에이전트 간 창발적 공모,"시장·플랫폼의 AI 에이전트가 개발자가 의도하지 않았음에도 공모가 수익성 있는 전략임을 학습하고, 속도·규모·복잡성·교묘함 때문에 파악하기 어려운 공모 행위를 실행하여, 경쟁을 저해하고 소비자에게 피해를 주는 리스크.","The risk that AI agents in markets and platforms learn that collusion is a profitable strategy even when unintended by their developers, enacting collusive behaviour whose speed, scale, complexity, or subtlety makes it inscrutable, undermining competition and harming consumers."
A_INT_COLLUSION,담합·결탁,A_INT_COLLUSION_002,감시 회피형 은밀 통신에 의한 다중 에이전트 공모,여러 AI 에이전트가 감시·감사 체계를 회피하는 은밀한 신호나 통신 규약을 형성해 공동의 유해 행동을 조정하는 리스크.,The risk that multiple AI agents form covert signals or communication protocols that evade monitoring or audit and coordinate harmful joint action.
