source_l4_id,facet,act_type,title_ko,title_en,description_ko,description_en,original_description_ko,original_description_en,human_edit_ko_used,human_edit_en_used,human_audit_description,human_audit_l3_mapping,human_audit_duplicate,instruction_prompt,coverage_change,source_domain,source_row_id,source_l4_ids,transformation_action,transformation_rationale,terminology_sources,l3_candidate_hint,merged_into_source_l4_id
RAI4-0792,,,합성 콘텐츠 식별 곤란,Difficulty of distinguishing synthetic content,합성 콘텐츠를 진본 자료와 구별하기 어려워 정보 관련 피해가 가중되는 리스크,The risk that the difficulty in distinguishing synthetic content from authentic material adds to information risks.,합성 콘텐츠를 진본 자료와 구별하기 어려워 정보 관련 피해가 가중되는 리스크,The risk that the difficulty in distinguishing synthetic content from authentic material adds to information risks.,False,False,,,1,"RAI4-0635(모델 생성 정확도 한계), RAI4-1206(믿을 수 있는 딥페이크), RAI4-0792는 중복성이 높음. 이 3개의 리스크 카드를 하나로 통합할 것. 단, 3개의 리스크 카드의 의미가 누락되지 않도록 description을 보강할 것",,General,SRC-G-0026,RAI4-0792,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,RAI4-0635
RAI4-1206,,,믿을 수 있는 딥페이크,Believable deepfakes,"딥페이크가 진짜라고 믿는 시청자에게 유포 되어 대상에게 실질적인 사회적 피해를 입히 고, 허위임이 밝혀진 뒤에도 대상에 대한 부정 적 인식이 지속되는 리스크.","The risk that deepfakes circulated to viewers who think they are real impose real social injuries on their subjects, with a persistent negative impact on how others view the subject even after the deepfake is debunked.","딥페이크가 진짜라고 믿는 시청자에게 유포 되어 대상에게 실질적인 사회적 피해를 입히 고, 허위임이 밝혀진 뒤에도 대상에 대한 부정 적 인식이 지속되는 리스크.","The risk that deepfakes circulated to viewers who think they are real impose real social injuries on their subjects, with a persistent negative impact on how others view the subject even after the deepfake is debunked.",False,False,,,1,"RAI4-0635(모델 생성 정확도 한계), RAI4-1206(믿을 수 있는 딥페이크), RAI4-0792는 중복성이 높음. 이 3개의 리스크 카드를 하나로 통합할 것. 단, 3개의 리스크 카드의 의미가 누락되지 않도록 description을 보강할 것",,General,SRC-G-0034,RAI4-1206,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,RAI4-0635
RAI4-1376,,,허위·오도 정보 생성 장벽 저하,Lowered barriers to large-scale misinformation,사실과 의견·허구를 구별하지 않거나 불확실 성을 인정하지 않는 콘텐츠의 생성·교환·소비 장벽이 낮아져 대규모 왜곡 및 허위정보 캠페 인에 활용되는 리스크.,The risk that lowered barriers to generating and supporting the exchange and consumption of content that may not distinguish fact from opinion or fiction or acknowledge uncertainties enable largescale dis- and mis-information campaigns.,사실과 의견·허구를 구별하지 않거나 불확실 성을 인정하지 않는 콘텐츠의 생성·교환·소비 장벽이 낮아져 대규모 왜곡 및 허위정보 캠페 인에 활용되는 리스크.,The risk that lowered barriers to generating and supporting the exchange and consumption of content that may not distinguish fact from opinion or fiction or acknowledge uncertainties enable largescale dis- and mis-information campaigns.,False,False,,,1,"중복된 2개의 리스크 카드를 하나로 통합할 것. 대상은 RAI4-1057(허위정보 생산 비용 절감), RAI-1376 (대규모 허위정보 생성·확산 장벽 저하). 단, 2개의 리스크에 기술되어 있는 의미를 누락없이 반영하고, 기존의 다른 리스크들과 중복되지 않도록 간명하게 기술할것",,General,SRC-G-0035,RAI4-1376,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,RAI4-1057
RAI4-0474,,,복수 가치의 규범적 평면화,Normative flattening of plural values,모델 출력이 복수의 사회적 가치를 단순화되 거나 다수 중심의 기본값으로 축소하는 리스크.,The risk that model outputs reduce plural social values to simplified or majoritycentric defaults.,모델 출력이 복수의 사회적 가치를 단순화되 거나 다수 중심의 기본값으로 축소하는 리스크.,The risk that model outputs reduce plural social values to simplified or majoritycentric defaults.,False,False,,,1,중복: RAI4-0363(소수 가치 소거)와 주제 중복,,General,SRC-G-0073,RAI4-0474,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,RAI4-0363
RAI4-1131,,,잘못된 훈련 목표와 피드백에 따른 명세 게이 밍,Specification gaming from flawed training objectives and feedback,"훈련 데이터의 잘못된 피드백과 올바른 가치 를 명세하지 못한 목표 설정으로 훈련 목표가 설계자와 이용자의 의도를 담지 못하고, 시스 템이 과업 명세의 허점을 악용해 문자적 사양 만 충족하는 리스크. 그 결과 보상 부패와 보 상 게이밍, 부정적 부작용이 발생하지만 시스 템은 자체 지표상으로는 성공한 것처럼 보인 다.","The risk that faulty feedback in training data and the failure to specify the right values leave the training objective short of what designers and users intend, so the system exploits loopholes in the task specification to satisfy its literal terms without achieving the intended outcome. Reward corruption, reward gaming, and negative side effects follow while the system appears successful by its own measure.","훈련 데이터의 잘못된 피드백과 올바른 가치 를 명세하지 못한 목표 설정으로 훈련 목표가 설계자와 이용자의 의도를 담지 못하고, 시스 템이 과업 명세의 허점을 악용해 문자적 사양 만 충족하는 리스크. 그 결과 보상 부패와 보 상 게이밍, 부정적 부작용이 발생하지만 시스 템은 자체 지표상으로는 성공한 것처럼 보인 다.","The risk that faulty feedback in training data and the failure to specify the right values leave the training objective short of what designers and users intend, so the system exploits loopholes in the task specification to satisfy its literal terms without achieving the intended outcome. Reward corruption, reward gaming, and negative side effects follow while the system appears successful by its own measure.",False,False,,,1,"RAI4-0468, RAI4-1131, RAI4-1531, RAI4-1236을 통합하여 하나의 리스크로 생성할 것. 통합된 ID는 가장 낮은 ID인 RAI4-0468을 상속받을 것. 단, 하나의 통합된 학술적으로 유의미한 리스크 명칭을 부여할 것. Description을 통합하여 통합된 하나의 완결된 리스크 정의서로 만들것.",,General,SRC-G-0122,RAI4-1131,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,RAI4-0468
RAI4-1531,,,보상 변조로 일반화되는 명세 게이밍,Specification gaming generalizing to reward tampering,LLM의 아첨과 같이 상대적으로 경미한 명세 게이밍이 방치될 경우 추가 훈련 없이 보상 변 조와 같은 더 정교한 행동으로 일반화되는 리스크.,"The risk that specification gaming in a GPAI model leads to reward tampering without further training, so that relatively benign cases such as sycophancy in LLMs, if left unchecked, enable the model to generalize to more sophisticated behavior such as reward tampering.",LLM의 아첨과 같이 상대적으로 경미한 명세 게이밍이 방치될 경우 추가 훈련 없이 보상 변 조와 같은 더 정교한 행동으로 일반화되는 리스크.,"The risk that specification gaming in a GPAI model leads to reward tampering without further training, so that relatively benign cases such as sycophancy in LLMs, if left unchecked, enable the model to generalize to more sophisticated behavior such as reward tampering.",False,False,,,,"RAI4-0468, RAI4-1131, RAI4-1531, RAI4-1236을 통합하여 하나의 리스크로 생성할 것. 통합된 ID는 가장 낮은 ID인 RAI4-0468을 상속받을 것. 단, 하나의 통합된 학술적으로 유의미한 리스크 명칭을 부여할 것. Description을 통합하여 통합된 하나의 완결된 리스크 정의서로 만들것.",,General,SRC-G-0131,RAI4-1531,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,RAI4-0468
RAI4-1236,,,보상 변조와 훈련 피드백의 손상,Reward tampering and corruption of training feedback,"피드백으로 학습하는 AI 시스템이 보상 함수 자체나 환경 상태를 보상 입력으로 변환하는 과정, 나아가 인 간 감독자의 피드백 제공에 개입하여 보상 신호 생성 과정을 손상시키는 리스크. 잘못된 긍정 피드백을 받 은 시스템은 겉으로는 성과가 좋아 보이면서도 개발자가 의도한 목표에 반하는 행동을 학습한다.","The risk that a system learning from feedback intervenes in the mechanisms that determine its reward or loss, tampering with the reward function, with the process translating environmental states into its inputs, or even with the feedback provided by human supervisors. Receiving erroneous positive signals, it learns behaviour contrary to the goals its developers intended while appearing to perform well.","피드백으로 학습하는 AI 시스템이 보상 함수 자체나 환경 상태를 보상 입력으로 변환하는 과정, 나아가 인 간 감독자의 피드백 제공에 개입하여 보상 신호 생성 과정을 손상시키는 리스크. 잘못된 긍정 피드백을 받 은 시스템은 겉으로는 성과가 좋아 보이면서도 개발자가 의도한 목표에 반하는 행동을 학습한다.","The risk that a system learning from feedback intervenes in the mechanisms that determine its reward or loss, tampering with the reward function, with the process translating environmental states into its inputs, or even with the feedback provided by human supervisors. Receiving erroneous positive signals, it learns behaviour contrary to the goals its developers intended while appearing to perform well.",False,False,삭제_모델 학습단계 기술이슈로 응답평가와 무관 (GPT 동의),,,"RAI4-0468, RAI4-1131, RAI4-1531, RAI4-1236을 통합하여 하나의 리스크로 생성할 것. 통합된 ID는 가장 낮은 ID인 RAI4-0468을 상속받을 것. 단, 하나의 통합된 학술적으로 유의미한 리스크 명칭을 부여할 것. Description을 통합하여 통합된 하나의 완결된 리스크 정의서로 만들것.",,General,SRC-G-0476,RAI4-1236,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,RAI4-0468
RAI4-1130,,,잘못 정렬된 결과주의적 추론,Misaligned consequentialist reasoning,"AI 비서가 자원 무제한적이고 잘못 정렬된 지 표를 최적화하는 결과주의적 추론을 수행하 며 자기보존, 목표보존, 자기개선, 자원획득 같은 수렴적 도구적 하위목표를 추구하여, 종 료 차단과 위협을 포함한 해악과 실존적 위험 을 낳는 리스크.","The risk that an AI assistant implementing consequentialist reasoning over a resource-unbounded and misaligned metric pursues convergent instrumental subgoals such as self-preservation, goalpreservation, self-improvement and resource acquisition, causing harm up to existential risk.","AI 비서가 자원 무제한적이고 잘못 정렬된 지 표를 최적화하는 결과주의적 추론을 수행하 며 자기보존, 목표보존, 자기개선, 자원획득 같은 수렴적 도구적 하위목표를 추구하여, 종 료 차단과 위협을 포함한 해악과 실존적 위험 을 낳는 리스크.","The risk that an AI assistant implementing consequentialist reasoning over a resource-unbounded and misaligned metric pursues convergent instrumental subgoals such as self-preservation, goalpreservation, self-improvement and resource acquisition, causing harm up to existential risk.",False,False,,,1,"RAI4-1411, RAI4-1130을 RAI4-1646으로 통합할 것. 단, 통합과정에서 description을 정제하고, 의미적으로 보존해야 할 description을 살릴 것. 이 리스크를 L2 Agentic AI 카테고리의 L3 리스크 하위 카테고리에 매핑시킬 것.",,General,SRC-G-0121,RAI4-1130,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,RAI4-1646
RAI4-1411,,,창발적 도구적 목표,Emergent instrumental goals,"시스템이 미묘하게 잘못된 목표를 최적화할 뿐 아니라 주어진 목표를 달성하기 위해 명시 되지 않은 유해한 도구적 목표를 발전시켜, 자 원 획득·자기 보존·목표 수정 방지·적대자 차 단을 통한 환경에 대한 권력 추구 행동이 나타 나는 리스크.","The risk that systems, as well as optimizing a subtly wrong goal, develop harmful instrumental goals in the service of a given goal without these emergent goals being specified, including powerseeking over their environment through gaining resources, self-preservation, preventing goal modification, and blocking adversaries.","시스템이 미묘하게 잘못된 목표를 최적화할 뿐 아니라 주어진 목표를 달성하기 위해 명시 되지 않은 유해한 도구적 목표를 발전시켜, 자 원 획득·자기 보존·목표 수정 방지·적대자 차 단을 통한 환경에 대한 권력 추구 행동이 나타 나는 리스크.","The risk that systems, as well as optimizing a subtly wrong goal, develop harmful instrumental goals in the service of a given goal without these emergent goals being specified, including powerseeking over their environment through gaining resources, self-preservation, preventing goal modification, and blocking adversaries.",False,False,,,1,"RAI4-1411, RAI4-1130을 RAI4-1646으로 통합할 것. 단, 통합과정에서 description을 정제하고, 의미적으로 보존해야 할 description을 살릴 것. 이 리스크를 L2 Agentic AI 카테고리의 L3 리스크 하위 카테고리에 매핑시킬 것.",,General,SRC-G-0128,RAI4-1411,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,RAI4-1646
RAI4-1310,,,기계윤리 결손,Machine-ethics deficit,"모델이 특정 상황에서 도덕적 행위와 비도덕 적 행위를 구별하지 못하는 기계윤리 결손을 보여, 비도덕적 행위의 승인이나 조력으로 이 어지는 리스크.","The risk that models fail to distinguish moral from immoral actions in specific circumstances, exposing machine-ethics deficits that manifest as endorsement or facilitation of immoral conduct.","모델이 특정 상황에서 도덕적 행위와 비도덕 적 행위를 구별하지 못하는 기계윤리 결손을 보여, 비도덕적 행위의 승인이나 조력으로 이 어지는 리스크.","The risk that models fail to distinguish moral from immoral actions in specific circumstances, exposing machine-ethics deficits that manifest as endorsement or facilitation of immoral conduct.",False,False,,,,"RAI4-0972와 RAI4-1310을 통합하여 하나의 리스크 카드를 생성할 것. 통합된 리스크 명칭을 생성할 것. Description 정보는 통합된 리스크 명칭에 맞도록 수정할 것. 단, 두개의 리스크 카드의 의미를 가능한 보존시킬 것",,General,SRC-G-0126,RAI4-1310,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,RAI4-0972
