L4_ID,issue_type,proposed_L3,title_fix_ko,def_fix_ko,severity,rationale
P_INT_SAFETY_003,REMAP,P_SYS_CONTROL,,,3,"제어 장벽 함수(CBF) 안전 필터 실패는 사람의 존재·행동 감지와 무관하게 작동하는 안전 계층 자체의 기술적 결함이며 정의문에 사람 관련 언급이 없어, SAFETY보다 CONTROL의 '제어 시스템 결함으로 의도치 않은 물리 행동' 정의에 더 부합함."
P_INT_SAFETY_005,REMAP,P_SYS_CONTROL,,,3,"충돌 회피·지오펜싱·운행구역 준수는 로봇 자신의 항법·계획 집행 문제로 이미 CONTROL_019(금지 대상 충돌)와 중복되며, 핵심 기전이 사람 감지·예측 실패가 아니라 구역 제약 미준수이므로 CONTROL이 더 적합함."
P_INT_SAFETY_008,REMAP;DEF_FIX,A_SYS_AUTH,,"말미 '...지키지 않는 위험.'을 '...지키지 않는 리스크.'로 수정(톤 통일).",3,"역할에 부여된 권한·필수 거부 규칙 준수 실패는 A_SYS_AUTH의 '부여된 기능 범위를 넘는 권한으로 실행' 정의와 정확히 일치하고 사람 근접 감지와는 무관하므로 SAFETY보다 AUTH가 적합함. 아울러 문미 톤(위험→리스크) 통일 필요."
P_INT_SAFETY_010,DEF_FIX,,,"말미 '...피드백을 놓치는 위험.'을 '...피드백을 놓치는 리스크.'로 수정.",1,"정의문 종결이 표준 톤 '~하는 리스크.'가 아닌 '~하는 위험.'으로 되어 있어 통일 필요."
P_INT_SAFETY_016,DEF_FIX,,,"말미 '...상해에 노출시키는 위험.'을 '...상해에 노출시키는 리스크.'로 수정.",1,"정의문 종결 톤 불일치(위험→리스크)."
P_INT_SAFETY_018,REMAP;DEF_FIX,P_SYS_CONTROL,,"말미 '...인간 행동을 모방하는 위험.'을 '...인간 행동을 모방하는 리스크.'로 수정.",3,"시연에서 관찰되지 않은 안전 조건(허용 힘·금지 대상물·상황별 제한) 추론 실패는 사람 감지·예측이 아니라 모방학습의 일반화 실패이며, 이미 CONTROL_023·CONTROL_025가 동일 기전(시연 모방 시 미관찰 제약·의도 미반영)을 다루므로 CONTROL로 재귀속이 타당함."
P_INT_SAFETY_020,DEF_FIX,,,"말미 '...설정을 그대로 적용하는 위험.'을 '...설정을 그대로 적용하는 리스크.'로 수정.",1,"정의문 종결 톤 불일치(위험→리스크)."
P_INT_SAFETY_021,REMAP;DEF_FIX,P_SYS_CONTROL,,"말미 '...물체·벽·인간과 충돌하는 위험.'을 '...충돌하는 리스크.'로 수정.",4,"전신 이동 정책의 충돌은 사람 존재 여부와 무관하게 발생하는 로봇 자체 동작제어 결함으로 CONTROL 정의('사람의 존재 여부와 무관하게 의도치 않은 물리 행동')에 정확히 부합하며, CONTROL_026(휴머노이드 보행·조작 안정성 실패)과 상당 부분 중복됨."
P_SYS_CONTROL_002,TITLE_FIX,,"상위 안전 지시의 충돌 해결 기준 불명확",,2,"현재 제목 '해석 불명확'은 로봇 측의 해석 실패를 암시하나 정의문은 상위 지시 자체가 사용자 의도·물리적 위험·운용 제약 간 충돌 해결 기준을 명시하지 않는 설계상 결함을 기술해 제목·정의 주체가 어긋남. EN 제목(Ambiguous high-level safety instruction)과도 KO 제목의 초점이 다름."
P_SYS_CONTROL_006,DEF_FIX,,,"말미 '...명령을 내리는 위험.'을 '...명령을 내리는 리스크.'로 수정.",1,"정의문 종결 톤 불일치(위험→리스크)."
P_SYS_CONTROL_007,DEF_FIX,,,"말미 '...동작을 초래하는 위험.'을 '...동작을 초래하는 리스크.'로 수정.",1,"정의문 종결 톤 불일치(위험→리스크)."
P_SYS_CONTROL_015,REMAP,P_INT_SAFETY,,,3,"위험 발생 조건이 '인간 근접 또는 취약 물체 처리 시'로 명시되어 있어 CONTROL L3 정의의 예외조항('로봇이 정상적으로 작동하더라도 사람 주변에서 작동함으로 인해 발생하는 위험은 Human-Robot Physical Safety Failure에서 다룸')에 해당하며, SAFETY_016(인간 접촉 안전 통제 미흡)의 속도 제한 실패와 중복됨."
P_SYS_CONTROL_023,DEF_FIX,,,"'부적절한 접촉이나 이동을 일으키는 위험.'을 '물체·사람과의 충돌 또는 과도한 접촉력을 유발하는 리스크.'로 구체화 및 톤 수정.",2,"'부적절한'은 조작화 기준이 불명확한 모호어이며 문미 톤도 표준('~리스크.')과 다른 '위험.'임. 어떤 접촉·이동이 위해로 판정되는지 관찰 가능한 기준(충돌·과도한 힘 등)으로 구체화 필요."
