L0_ID,L0_Title_ko,L0_Title_en,L1_ID,L1_Title_ko,L1_Title_en,L1_Description_ko,L1_Description_en,L2_ID,L2_Title_ko,L2_Title_en,L2_Description_ko,L2_Description_en,L3_ID,L3_Title_ko,L3_Title_en,L3_Description_ko,L3_Description_en,L4_ID,L4_Title_ko,L4_Title_en,L4_Description_ko,L4_Description_en,facet,act-type,Mapping_Method,EM_Score,EM_Margin,EM_Stability,EM_Anchor_Score,Hybrid_EM_Score,Hybrid_EM_Margin,L4_Keyword_1_ko,L4_Keyword_2_ko,L4_Keyword_3_ko,L4_Keyword_1_en,L4_Keyword_2_en,L4_Keyword_3_en,Keyword_Top_L3_ID,Keyword_Support_Score,Keyword_Semantic_Score,Keyword_Prior,Keyword_Evidence,Candidate_1_L3_ID,Candidate_1_EM_Score,Candidate_1_Hybrid_Score,Candidate_2_L3_ID,Candidate_2_EM_Score,Candidate_2_Hybrid_Score,KO_Top_L3_ID,EN_Top_L3_ID,HD_Reason,source_row_id,Source_Domain,Source_L4_ID,Source_L4_IDs,Source_Instruction_Prompt,Domain_Route_Basis,Transformation_Action,Transformation_Rationale,Terminology_Sources,Candidate_Constraint_Reason,Definition_L3_Anchor_ID,Definition_L3_Anchor_Score,Definition_Grounding_Action
L0_RAI,책임 있는 인공지능,Responsible AI,L1_A,에이전틱 AI,Agentic AI,"도구를 사용하고, 여러 단계에 걸쳐 목표를 추구하며, 위임된 의사결정을 수행하고, 상태를 유지하거나 다른 에이전트와 협력하는 AI 시스템.","Systems that use tools, pursue goals over multiple steps, make delegated decisions, maintain state, or coordinate with other agents.",A_INT,상호작용,Interaction,"AI 시스템이 사람, 다른 시스템, 조직 또는 환경과 소통하고 결정하거나 행동하는 과정에서 발생하는 리스크.","Risks arising when an AI system communicates, decides, acts, or interacts with people, other systems, organisations, or the environment.",A_INT_CASCADE,연쇄 실패·불안정,Cascading Failure and Instability,"상호작용하는 에이전트들이 서로의 출력을 재사용하고 피드백 루프를 형성하면서, 하나의 오류·편향·교란이 네트워크 전체로 전파·증폭되어 무한 루프·연쇄 지연·통제 불능 등 시스템적 불안정을 초래하는 리스크.","The risk that, as interacting agents reuse one another's outputs and form feedback loops, a single error, bias, or disturbance propagates and amplifies across the network, producing systemic instability such as infinite loops, cascading delays, or runaway behavior.",A_INT_CASCADE_001,다중에이전트 상전이에 의한 급격한 성능 붕괴,Abrupt performance collapse from phase transitions in multi-agent systems,신규 에이전트 투입이나 분포 변화 같은 작은 외부 변화가 다중 에이전트 시스템의상 전이를 유발하여 균형의 수와 안정성이 급변하고 예측 불가능한 동역학과 성능 악화가 초래되는 리스크.,"The risk that an AI agent, through goal pursuit, planning, tool use, or action, creates a condition in which small external changes such as the introduction of new agents or distributional shift trigger phase transitions in multi-agent systems, abruptly changing the number and stability of equilibria and producing unpredictable dynamics and severe performance degradation.",,,EM,0.7201949954032898,0.032395001500844955,1.0,0.6636790037155151,0.7389159798622131,0.0453759990632534,다중에이전트 상전이에 의한 급격한 성능 붕괴,결과 불안정,투입 분포 변화,Abrupt performance collapse from phase transitions in multi-agent systems,severe performance degradation,trigger phase transitions,A_INT_CASCADE,0.1,0.576944,0.01872,A_INT_CASCADE=0.100,A_INT_CASCADE,0.720195,0.738916,A_INT_COORD,0.6878,0.69354,A_INT_CASCADE,A_INT_CASCADE,,SRC-A-0048,Agentic,RAI4-1574,RAI4-1574,,SOURCE_DOMAIN,REWRITE_KEEP|PEER_REVIEW|L3_AI_GROUNDING,"Bilingual definition grounded in an explicit AI technology, causal mechanism, and immutable L3 scope",L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT|L3_MASTER,NO_CURATED_PRIOR|PREREQUISITE_FILTER:,A_INT_CASCADE,0.71668,L3_MASTER_AI_REWRITE
L0_RAI,책임 있는 인공지능,Responsible AI,L1_A,에이전틱 AI,Agentic AI,"도구를 사용하고, 여러 단계에 걸쳐 목표를 추구하며, 위임된 의사결정을 수행하고, 상태를 유지하거나 다른 에이전트와 협력하는 AI 시스템.","Systems that use tools, pursue goals over multiple steps, make delegated decisions, maintain state, or coordinate with other agents.",A_INT,상호작용,Interaction,"AI 시스템이 사람, 다른 시스템, 조직 또는 환경과 소통하고 결정하거나 행동하는 과정에서 발생하는 리스크.","Risks arising when an AI system communicates, decides, acts, or interacts with people, other systems, organisations, or the environment.",A_INT_CASCADE,연쇄 실패·불안정,Cascading Failure and Instability,"상호작용하는 에이전트들이 서로의 출력을 재사용하고 피드백 루프를 형성하면서, 하나의 오류·편향·교란이 네트워크 전체로 전파·증폭되어 무한 루프·연쇄 지연·통제 불능 등 시스템적 불안정을 초래하는 리스크.","The risk that, as interacting agents reuse one another's outputs and form feedback loops, a single error, bias, or disturbance propagates and amplifies across the network, producing systemic instability such as infinite loops, cascading delays, or runaway behavior.",A_INT_CASCADE_002,혼돈적 다중 에이전트 동역학,Chaotic multi-agent dynamics,다중 에이전트 학습 환경에서 초기 조건에 극도로 민감한 혼돈적 동역학이 나타나고 에이전트 수가 늘수록 일반화되어 시스템 거동을 신뢰성 있게 예측할 수 없게되는 리스크.,"The risk that an AI agent, through goal pursuit, planning, tool use, or action, creates a condition in which chaotic dynamics, inherently unpredictable and highly sensitive to initial conditions, arise in multi-agent learning setups and become the norm as the number of agents increases, making system behaviour unreliable to predict.",,,EM,0.717182993888855,0.037248000502586365,1.0,0.6655120253562927,0.7280600070953369,0.05053599923849106,혼돈적 다중 에이전트 동역학,극도 민감 혼돈,민감 혼돈 동역학,Chaotic multi-agent dynamics,inherently unpredictable highly,setups become norm,A_INT_CASCADE,0.0,0.55017,0.010877,NO_DIRECT_LEXICAL_SUPPORT,A_INT_CASCADE,0.717183,0.72806,A_SYS_TRACE,0.676861,0.677524,A_INT_CASCADE,A_INT_CASCADE,,SRC-A-0044,Agentic,RAI4-0561,RAI4-0561,,SOURCE_DOMAIN,REWRITE_KEEP|PEER_REVIEW|L3_AI_GROUNDING,"Bilingual definition grounded in an explicit AI technology, causal mechanism, and immutable L3 scope",L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT|L3_MASTER,NO_CURATED_PRIOR|PREREQUISITE_FILTER:,A_INT_CASCADE,0.710152,L3_MASTER_AI_REWRITE
L0_RAI,책임 있는 인공지능,Responsible AI,L1_A,에이전틱 AI,Agentic AI,"도구를 사용하고, 여러 단계에 걸쳐 목표를 추구하며, 위임된 의사결정을 수행하고, 상태를 유지하거나 다른 에이전트와 협력하는 AI 시스템.","Systems that use tools, pursue goals over multiple steps, make delegated decisions, maintain state, or coordinate with other agents.",A_INT,상호작용,Interaction,"AI 시스템이 사람, 다른 시스템, 조직 또는 환경과 소통하고 결정하거나 행동하는 과정에서 발생하는 리스크.","Risks arising when an AI system communicates, decides, acts, or interacts with people, other systems, organisations, or the environment.",A_INT_CASCADE,연쇄 실패·불안정,Cascading Failure and Instability,"상호작용하는 에이전트들이 서로의 출력을 재사용하고 피드백 루프를 형성하면서, 하나의 오류·편향·교란이 네트워크 전체로 전파·증폭되어 무한 루프·연쇄 지연·통제 불능 등 시스템적 불안정을 초래하는 리스크.","The risk that, as interacting agents reuse one another's outputs and form feedback loops, a single error, bias, or disturbance propagates and amplifies across the network, producing systemic instability such as infinite loops, cascading delays, or runaway behavior.",A_INT_CASCADE_003,에이전트 상호작용의 불안정화 피드백 루프,Destabilizing feedback loops among interacting agents,"에이전트의 행동이 환경과 다른 에이전트에 영향을 주고 다시 자신의 입력으로 되돌아오는 적응형 에이전트 간 피드백 루프가 시스템 수준의 거동을 증폭하여, 금융 급락형 연쇄, 군사 충돌, 생태 재난과 같은 불안정화 결과를 초래하는 리스크.","The risk that the goal pursuit, planning, tool use, or action of an AI agent creates a condition in which feedback loops among adaptive agents, in which actions affect the environment and other agents and return as the agents' own inputs, amplify system-level behavior into destabilizing outcomes such as flash-crash-like cascades, financial crashes, military conflicts, or ecological disasters.",,,EM,0.816897988319397,0.12482800334692001,1.0,0.7815039753913879,0.8412250280380249,0.12901799380779266,에이전트 상호작용의 불안정화 피드백 루프,충돌,군사 충돌 생태,Destabilizing feedback loops among interacting agents,conflicts ecological disasters,crashes military conflicts,A_INT_CASCADE,0.1,0.640041,0.024327,A_INT_CONFLICT=0.300|A_INT_CASCADE=0.100,A_INT_CASCADE,0.816898,0.841225,A_INT_CONFLICT,0.688193,0.712207,A_INT_CASCADE,A_INT_CASCADE,,SRC-A-0047,Agentic,RAI4-0579,RAI4-0579,,SOURCE_DOMAIN,REWRITE_KEEP|PEER_REVIEW|L3_AI_GROUNDING,"Bilingual definition grounded in an explicit AI technology, causal mechanism, and immutable L3 scope",L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT|L3_MASTER,NO_CURATED_PRIOR|PREREQUISITE_FILTER:,A_INT_CASCADE,0.816704,L3_MASTER_AI_REWRITE
L0_RAI,책임 있는 인공지능,Responsible AI,L1_A,에이전틱 AI,Agentic AI,"도구를 사용하고, 여러 단계에 걸쳐 목표를 추구하며, 위임된 의사결정을 수행하고, 상태를 유지하거나 다른 에이전트와 협력하는 AI 시스템.","Systems that use tools, pursue goals over multiple steps, make delegated decisions, maintain state, or coordinate with other agents.",A_INT,상호작용,Interaction,"AI 시스템이 사람, 다른 시스템, 조직 또는 환경과 소통하고 결정하거나 행동하는 과정에서 발생하는 리스크.","Risks arising when an AI system communicates, decides, acts, or interacts with people, other systems, organisations, or the environment.",A_INT_CASCADE,연쇄 실패·불안정,Cascading Failure and Instability,"상호작용하는 에이전트들이 서로의 출력을 재사용하고 피드백 루프를 형성하면서, 하나의 오류·편향·교란이 네트워크 전체로 전파·증폭되어 무한 루프·연쇄 지연·통제 불능 등 시스템적 불안정을 초래하는 리스크.","The risk that, as interacting agents reuse one another's outputs and form feedback loops, a single error, bias, or disturbance propagates and amplifies across the network, producing systemic instability such as infinite loops, cascading delays, or runaway behavior.",A_INT_CASCADE_004,다중 에이전트 시스템 실패와 연쇄 오류 전파,Multi-agent system failure and cascading error propagation,"잘못된 명세나 역할 배정, 에이전트 간 조정·통신 붕괴, 검증·종료 처리 미흡 또는 개별 에이전트의 오류·손상이 통신, 위임 체인, 공유 메모리, 도구 등 의존성을 통해 전파·증폭되어 시스템 전반의 실패, 운영 중단, 보안 침해, 물리적 피해로 이어지는 리스크.","The risk that the goal pursuit, planning, tool use, or action of an AI agent creates a condition in which flawed specifications or role allocation, breakdowns in inter-agent coordination and communication, inadequate verification or termination handling, or a localized error or compromise propagates through dependencies among agents, tools, delegation chains, and shared memory, amplifying into system-wide failure, operational disruption, security compromise, or physical harm.",,,EM,0.833204984664917,0.06818599998950958,1.0,0.7952569723129272,0.8770059943199158,0.08385799825191498,다중 에이전트 시스템 실패와 연쇄 오류 전파,자기 손상,명세 역할 배정,Multi-agent system failure and cascading error propagation,without verification,allocation breakdowns inter-agent,A_INT_CASCADE,0.5,0.661052,0.043801,A_INT_CASCADE=0.500|A_INT_COORD=0.400|A_SYS_SELFCOR=0.300,A_INT_CASCADE,0.833205,0.877006,A_SYS_SELFCOR,0.765019,0.793148,A_INT_CASCADE,A_INT_CASCADE,,SRC-A-0057,Agentic,RAI4-0009,RAI4-0009,,SOURCE_DOMAIN,REWRITE_KEEP|PEER_REVIEW|L3_AI_GROUNDING,"Bilingual definition grounded in an explicit AI technology, causal mechanism, and immutable L3 scope",L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT|L3_MASTER,NO_CURATED_PRIOR|PREREQUISITE_FILTER:,A_INT_CASCADE,0.832723,L3_MASTER_AI_REWRITE
L0_RAI,책임 있는 인공지능,Responsible AI,L1_A,에이전틱 AI,Agentic AI,"도구를 사용하고, 여러 단계에 걸쳐 목표를 추구하며, 위임된 의사결정을 수행하고, 상태를 유지하거나 다른 에이전트와 협력하는 AI 시스템.","Systems that use tools, pursue goals over multiple steps, make delegated decisions, maintain state, or coordinate with other agents.",A_INT,상호작용,Interaction,"AI 시스템이 사람, 다른 시스템, 조직 또는 환경과 소통하고 결정하거나 행동하는 과정에서 발생하는 리스크.","Risks arising when an AI system communicates, decides, acts, or interacts with people, other systems, organisations, or the environment.",A_INT_CASCADE,연쇄 실패·불안정,Cascading Failure and Instability,"상호작용하는 에이전트들이 서로의 출력을 재사용하고 피드백 루프를 형성하면서, 하나의 오류·편향·교란이 네트워크 전체로 전파·증폭되어 무한 루프·연쇄 지연·통제 불능 등 시스템적 불안정을 초래하는 리스크.","The risk that, as interacting agents reuse one another's outputs and form feedback loops, a single error, bias, or disturbance propagates and amplifies across the network, producing systemic instability such as infinite loops, cascading delays, or runaway behavior.",A_INT_CASCADE_005,분산 에이전트 군집을 이용한 자원 고갈 공격,Resource-exhaustion attacks by decentralized agent swarms,"다수의 저자원 분산 에이전트가 결합하여 행동함으로써, 단일 행위자를 전제로 설계된 시스템의 대역 폭·요청 량 제약 가정이 무너지고, 그 결과 분산 서비스 거부(DDoS)와 유사한 방식으로 대상 시스템이 마비되는 리스크.","The risk that an AI agent, through goal pursuit, planning, tool use, or action, creates a condition in which a large number of low-resource, decentralized agents act in combination, breaking the single-actor assumptions underlying a target system's bandwidth or request-rate constraints, and thereby causing system-wide paralysis similar to a distributed denial-of-service attack.",,,EM,0.6870759725570679,0.021153999492526054,1.0,0.637287974357605,0.6974030137062073,0.026001999154686928,분산 에이전트 군집을 이용한 자원 고갈 공격,ddos 유사 방식,방식 대상 마비,Resource-exhaustion attacks by decentralized agent swarms,combination breaking single-actor,assumptions underlying target,A_SYS_DECEPT,0.0,0.532488,0.010328,NO_DIRECT_LEXICAL_SUPPORT,A_INT_CASCADE,0.687076,0.697403,A_SYS_DECEPT,0.657603,0.671401,A_INT_CASCADE,A_SYS_AUTH,,SRC-A-0066,Agentic,RAI4-1577,RAI4-1577,,SOURCE_DOMAIN,REWRITE_KEEP|PEER_REVIEW|L3_AI_GROUNDING,"Bilingual definition grounded in an explicit AI technology, causal mechanism, and immutable L3 scope",L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT|L3_MASTER,NO_CURATED_PRIOR|PREREQUISITE_FILTER:,A_INT_CASCADE,0.681028,L3_MASTER_AI_REWRITE
L0_RAI,책임 있는 인공지능,Responsible AI,L1_A,에이전틱 AI,Agentic AI,"도구를 사용하고, 여러 단계에 걸쳐 목표를 추구하며, 위임된 의사결정을 수행하고, 상태를 유지하거나 다른 에이전트와 협력하는 AI 시스템.","Systems that use tools, pursue goals over multiple steps, make delegated decisions, maintain state, or coordinate with other agents.",A_INT,상호작용,Interaction,"AI 시스템이 사람, 다른 시스템, 조직 또는 환경과 소통하고 결정하거나 행동하는 과정에서 발생하는 리스크.","Risks arising when an AI system communicates, decides, acts, or interacts with people, other systems, organisations, or the environment.",A_INT_CASCADE,연쇄 실패·불안정,Cascading Failure and Instability,"상호작용하는 에이전트들이 서로의 출력을 재사용하고 피드백 루프를 형성하면서, 하나의 오류·편향·교란이 네트워크 전체로 전파·증폭되어 무한 루프·연쇄 지연·통제 불능 등 시스템적 불안정을 초래하는 리스크.","The risk that, as interacting agents reuse one another's outputs and form feedback loops, a single error, bias, or disturbance propagates and amplifies across the network, producing systemic instability such as infinite loops, cascading delays, or runaway behavior.",A_INT_CASCADE_006,AI 공급망의 도구·의존성 손상,Supply-chain compromise of AI tools and dependencies,손상된 외부 도구·플러그인·API·패키지·커넥터나 개발 툴 체인의 의존성 등 소프트웨어 공급망 요소가 AI 시스템에 변조된 구성 요소나 취약점을 유입시켜 에이전트의 행동 공간을 조작하거나 정보를 유출하는 리스크.,"The risk that compromised software supply-chain elements, including external tools, plug-ins, APIs, packages, connectors, and development toolchain dependencies, introduce tampered components or vulnerabilities into an AI system, manipulating an agent's action space or exfiltrating information.",,,EM,0.704509973526001,0.025916999205946922,1.0,0.6566500067710876,0.7149310111999512,0.031265001744031906,AI 공급망의 도구·의존성 손상,api 패키지 커넥터,플러그인 api 패키지,Supply-chain compromise of AI tools and dependencies,apis packages connectors,compromised software supply-chain,A_INT_CASCADE,0.0,0.505576,0.010421,NO_DIRECT_LEXICAL_SUPPORT,A_INT_CASCADE,0.704509,0.714931,A_SYS_AUTH,0.678592,0.683666,A_INT_CASCADE,A_INT_CASCADE,,SRC-A-0005,Agentic,RAI4-0014,RAI4-0014,,SOURCE_DOMAIN,REWRITE_KEEP|PEER_REVIEW,Peer-review spacing restoration,L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT,NO_CURATED_PRIOR|PREREQUISITE_FILTER:,A_INT_CASCADE,0.697276,L3_MASTER_VALIDATED
L0_RAI,책임 있는 인공지능,Responsible AI,L1_A,에이전틱 AI,Agentic AI,"도구를 사용하고, 여러 단계에 걸쳐 목표를 추구하며, 위임된 의사결정을 수행하고, 상태를 유지하거나 다른 에이전트와 협력하는 AI 시스템.","Systems that use tools, pursue goals over multiple steps, make delegated decisions, maintain state, or coordinate with other agents.",A_INT,상호작용,Interaction,"AI 시스템이 사람, 다른 시스템, 조직 또는 환경과 소통하고 결정하거나 행동하는 과정에서 발생하는 리스크.","Risks arising when an AI system communicates, decides, acts, or interacts with people, other systems, organisations, or the environment.",A_INT_CASCADE,연쇄 실패·불안정,Cascading Failure and Instability,"상호작용하는 에이전트들이 서로의 출력을 재사용하고 피드백 루프를 형성하면서, 하나의 오류·편향·교란이 네트워크 전체로 전파·증폭되어 무한 루프·연쇄 지연·통제 불능 등 시스템적 불안정을 초래하는 리스크.","The risk that, as interacting agents reuse one another's outputs and form feedback loops, a single error, bias, or disturbance propagates and amplifies across the network, producing systemic instability such as infinite loops, cascading delays, or runaway behavior.",A_INT_CASCADE_007,원격 조작 지연 및 불안정성,Teleoperation latency and instability,AI 에이전트의 목표 추구·계획·도구 사용·행동 과정이 원격 조작 링크의 높거나 변동하는 지연이 폐 루프 제어를 불안정하게하거나 인간 개입을 지연하는 위험.,"The risk that the goal pursuit, planning, tool use, or action of an AI agent creates a condition in which high or variable latency on a teleoperation link destabilizes control or delays human intervention.",,,EM,0.7420160174369812,0.04147399961948395,1.0,0.7012580037117004,0.7814239859580994,0.08303199708461761,원격 조작 지연 및 불안정성,링크 변동 지연,변동 지연 루프,Teleoperation latency and instability,latency teleoperation link,teleoperation link destabilizes,A_INT_CASCADE,0.3,0.602824,0.039407,A_INT_CASCADE=0.300,A_INT_CASCADE,0.742016,0.781424,A_SYS_GOAL,0.700543,0.698392,A_INT_CASCADE,A_INT_CASCADE,,SRC-A-0043,Agentic,RAI4-0294,RAI4-0294,,SOURCE_DOMAIN,REWRITE_KEEP|PEER_REVIEW|L3_AI_GROUNDING,"Bilingual definition grounded in an explicit AI technology, causal mechanism, and immutable L3 scope",L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT|L3_MASTER,NO_CURATED_PRIOR|PREREQUISITE_FILTER:,A_INT_CASCADE,0.714666,L3_MASTER_AI_REWRITE
L0_RAI,책임 있는 인공지능,Responsible AI,L1_A,에이전틱 AI,Agentic AI,"도구를 사용하고, 여러 단계에 걸쳐 목표를 추구하며, 위임된 의사결정을 수행하고, 상태를 유지하거나 다른 에이전트와 협력하는 AI 시스템.","Systems that use tools, pursue goals over multiple steps, make delegated decisions, maintain state, or coordinate with other agents.",A_INT,상호작용,Interaction,"AI 시스템이 사람, 다른 시스템, 조직 또는 환경과 소통하고 결정하거나 행동하는 과정에서 발생하는 리스크.","Risks arising when an AI system communicates, decides, acts, or interacts with people, other systems, organisations, or the environment.",A_INT_COLLUSION,담합·결탁,Collusion,독립적으로 행동해야 할 에이전트들이 비밀리에 협력·정보 공유·행동 조율하여 인간의 감독·통제를 우회하거나 제3자에게 불공정한 피해를 초래하는 리스크.,"The risk that agents expected to operate independently secretly coordinate, share information, or align behavior in ways that circumvent human oversight and control or unfairly harm third parties.",A_INT_COLLUSION_001,은닉 통신 채널을 통한 에이전트 간 결탁,Covert collusion between agents through hidden communication channels,"에이전트들이 겉보기에 무해한 텍스트나 압축된 텍스트, 인간이 해석할 수 없는 창발적 기호에 메시지를 은닉하여 스테가노그래피 통신 채널을 구축하고 통신 감시와 제약을 우회하는 리스크. 인간 감독을 벗어난 조율이 이루어져 친사회적 경쟁이 저해되고 연합 밖 당사자에게 부정적 외부 효과가 발생하지만 결탁의 탐지는 사실상 불가능해진다로 인해 구체적인 위해가 발생하는 리스크.","The risk that an AI agent, through goal pursuit, planning, tool use, or action, creates a condition in which agents conceal messages within innocuous text, compressed text, or emergent symbols humans cannot interpret, establishing steganographic channels that evade monitoring and the constraints placed on their communication. Coordination proceeds beyond human oversight, undermining pro-social competition and imposing negative externalities on those outside the coalition while detection remains infeasible.",,,EM,0.7982869744300842,0.06893700361251831,1.0,0.7494369745254517,0.8410459756851196,0.09147799760103226,은닉 통신 채널을 통한 에이전트 간 결탁,감시,기호 메시지 은닉,Covert collusion between agents through hidden communication channels,conceal messages within,messages within innocuous,A_INT_COLLUSION,0.4,0.671118,0.042759,A_INT_COLLUSION=0.400|A_SYS_DECEPT=0.200|A_INT_COORD=0.100,A_INT_COLLUSION,0.798287,0.841046,A_SYS_DECEPT,0.72935,0.749568,A_INT_COLLUSION,A_INT_COLLUSION,,SRC-A-0065,Agentic,RAI4-1570,RAI4-1570,,SOURCE_DOMAIN,REWRITE_KEEP|PEER_REVIEW|L3_AI_GROUNDING,"Bilingual definition grounded in an explicit AI technology, causal mechanism, and immutable L3 scope",L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT|L3_MASTER,NO_CURATED_PRIOR|PREREQUISITE_FILTER:,A_INT_COLLUSION,0.797566,L3_MASTER_AI_REWRITE
L0_RAI,책임 있는 인공지능,Responsible AI,L1_A,에이전틱 AI,Agentic AI,"도구를 사용하고, 여러 단계에 걸쳐 목표를 추구하며, 위임된 의사결정을 수행하고, 상태를 유지하거나 다른 에이전트와 협력하는 AI 시스템.","Systems that use tools, pursue goals over multiple steps, make delegated decisions, maintain state, or coordinate with other agents.",A_INT,상호작용,Interaction,"AI 시스템이 사람, 다른 시스템, 조직 또는 환경과 소통하고 결정하거나 행동하는 과정에서 발생하는 리스크.","Risks arising when an AI system communicates, decides, acts, or interacts with people, other systems, organisations, or the environment.",A_INT_COLLUSION,담합·결탁,Collusion,독립적으로 행동해야 할 에이전트들이 비밀리에 협력·정보 공유·행동 조율하여 인간의 감독·통제를 우회하거나 제3자에게 불공정한 피해를 초래하는 리스크.,"The risk that agents expected to operate independently secretly coordinate, share information, or align behavior in ways that circumvent human oversight and control or unfairly harm third parties.",A_INT_COLLUSION_002,다중 에이전트 은밀 공모,Covert multi-agent collusion,"복수 에이전트가 공동 이익을 극대화하기 위해 은밀한 수단과 감시 회피용 전용 통신 규약으로 행동을 조율하여 제3자 이익을 침해하고 규제를 회피하며, 개별 안전 제약에도 불구하고 시장 조작이나 연쇄 실패처럼 탐지와 완화가 어려운 시스템적 위험을 유발하는 리스크.","The risk that the goal pursuit, planning, tool use, or action of an AI agent creates a condition in which multiple agents coordinate actions through covert means, including specialized communication protocols to avoid monitoring, to maximize common interests while harming third-party interests and evading regulation, triggering systemic risks such as market manipulation or cascading failures that are difficult to detect and mitigate despite individual safety constraints.",,,EM,0.8041849732398987,0.06309299916028976,1.0,0.7520769834518433,0.8291000127792358,0.08482400327920914,다중 에이전트 은밀 공모,감시,연쇄 실패,Covert multi-agent collusion,detect mitigate despite,evading regulation triggering,A_INT_COLLUSION,0.3,0.584259,0.024915,A_INT_CASCADE=0.400|A_INT_COLLUSION=0.300|A_INT_COORD=0.200,A_INT_COLLUSION,0.804185,0.8291,A_INT_COORD,0.727746,0.744276,A_INT_COLLUSION,A_INT_COLLUSION,,SRC-A-0062,Agentic,RAI4-0605,RAI4-0605,,SOURCE_DOMAIN,REWRITE_KEEP|PEER_REVIEW|L3_AI_GROUNDING,"Bilingual definition grounded in an explicit AI technology, causal mechanism, and immutable L3 scope",L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT|L3_MASTER,NO_CURATED_PRIOR|PREREQUISITE_FILTER:,A_INT_COLLUSION,0.811418,L3_MASTER_AI_REWRITE
L0_RAI,책임 있는 인공지능,Responsible AI,L1_A,에이전틱 AI,Agentic AI,"도구를 사용하고, 여러 단계에 걸쳐 목표를 추구하며, 위임된 의사결정을 수행하고, 상태를 유지하거나 다른 에이전트와 협력하는 AI 시스템.","Systems that use tools, pursue goals over multiple steps, make delegated decisions, maintain state, or coordinate with other agents.",A_INT,상호작용,Interaction,"AI 시스템이 사람, 다른 시스템, 조직 또는 환경과 소통하고 결정하거나 행동하는 과정에서 발생하는 리스크.","Risks arising when an AI system communicates, decides, acts, or interacts with people, other systems, organisations, or the environment.",A_INT_COLLUSION,담합·결탁,Collusion,독립적으로 행동해야 할 에이전트들이 비밀리에 협력·정보 공유·행동 조율하여 인간의 감독·통제를 우회하거나 제3자에게 불공정한 피해를 초래하는 리스크.,"The risk that agents expected to operate independently secretly coordinate, share information, or align behavior in ways that circumvent human oversight and control or unfairly harm third parties.",A_INT_COLLUSION_003,AI 에이전트 간 창발적 공모,Emergent collusion among AI agents,"시장·플랫폼의 AI 에이전트가 개발자가 의도하지 않았음에도 공모가 수익성 있는 전략임을 학습하고, 속도·규모·복잡성·교묘함 때문에 파악하기 어려운 공모 행위를 실행하여, 경쟁을 저해하고 소비자에게 피해를 주는 리스크.","The risk that AI agents in markets and platforms learn that collusion is a profitable strategy even when unintended by their developers, enacting collusive behavior whose speed, scale, complexity, or subtlety makes it inscrutable, undermining competition and harming consumers.",,,EM,0.7668840289115906,0.029131999239325523,1.0,0.7126799821853638,0.8008679747581482,0.05139299854636192,AI 에이전트 간 창발적 공모,교묘 때문 파악,때문 파악 공모,Emergent collusion among AI agents,scale complexity subtlety,speed scale complexity,A_INT_COLLUSION,0.3,0.542469,0.033984,A_INT_COLLUSION=0.300,A_INT_COLLUSION,0.766884,0.800868,A_INT_CONFLICT,0.737752,0.749475,A_INT_CONFLICT,A_INT_COLLUSION,,SRC-A-0058,Agentic,RAI4-0483,RAI4-0483,,SOURCE_DOMAIN,REWRITE_KEEP|PEER_REVIEW,Peer-review spacing restoration,L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT,NO_CURATED_PRIOR|PREREQUISITE_FILTER:,A_INT_COLLUSION,0.759543,L3_MASTER_VALIDATED
