avg_severity,목적지일치,L4_ID,Title_ko,current_L3,proposed_A,proposed_B,conf_A,conf_B,rationale_A,rationale_B
4.0,YES,G_SYS_EVAL_051,미세조정에 따른 모델 안전성 열화,G_SYS_EVAL,G_SYS_PERF,G_SYS_PERF,HIGH,HIGH,"무해한 데이터로 수행된 하류 미세조정이 모델의 안전 학습 자체를 열화시켜 유해 출력 가능성을 높이는 것은 평가 활동의 실패가 아니라 학습 과정 결함에 따른 시스템 성능·신뢰성 저하이며, G_SYS_PERF_002(지속 튜닝의 파국적 망각)와 동일한 성격의 학습 열화 현상임.","무해한 통상적 미세조정이라는 학습 과정의 결함이 안전 학습이라는 모델 자체의 속성을 열화시키는 사례로, 평가·측정 활동의 실패가 아니라 시스템 자신의 안정성 상실을 기술하므로 벤치마크화 시 PERF가 측정하는 축(학습 결함→신뢰불가 산출)에 해당한다."
4.0,YES,G_SYS_EVAL_058,인지·추론 지연의 급증,G_SYS_EVAL,G_SYS_PERF,G_SYS_PERF,HIGH,HIGH,"AI 시스템의 인지·추론 지연이 급증하여 위해 감지·대응이 늦어지는 것은 평가·검증 절차의 결함이 아니라 시스템 자체의 실시간 성능·신뢰성 저하이며, G_SYS_PERF의 정의(운용 조건에서 요구되는 안정성 미달)에 정확히 부합함.","정의문에 측정·감사·벤치마크 등 평가 활동에 대한 언급이 전혀 없고, 인지·추론 지연 급증이라는 시스템 자체의 런타임 성능·안정성 저하만을 기술하므로 EVAL이 아니라 PERF(운용 조건에서 성능 저하·신뢰 불가 산출)로 벤치마크화해야 한다."
3.5,YES,G_SOC_GOV_036,익명 에이전트의 자원 축적에 따른 추적·책임 공백,G_SOC_GOV,A_SYS_TRACE,A_SYS_TRACE,HIGH,MED,"익명 에이전트가 신원 검증 없이 자금·연산 자원을 자율적으로 축적하여 행위 주체 추적과 책임 귀속이 불가능해지는 리스크로, 이는 거버넌스 공백이 아니라 A_SYS_TRACE(책임 소재·추적 불명확)의 정의(결정·행동 주체 식별·추적 불가로 인한 책임 귀속 불능)에 정확히 부합하는 에이전틱 자율행동 전제 리스크임.",익명 AI 에이전트가 자원을 축적하여 행위 주체 추적과 책임 귀속이 불가능해진다는 서술은 사회 전반의 거버넌스 공백이 아니라 A_SYS_TRACE의 정의('에이전틱 시스템에서 특정 결정·행동을 내린 주체를 식별·추적할 수 없어 책임 귀속이 불가능한 리스크')와 문언상 거의 일치하는 에이전트 단위의 추적·책임성 실패다.
3.5,YES,G_SYS_EVAL_067,체계적 학습 오류에 따른 알고리즘 편향,G_SYS_EVAL,G_SYS_PERF,G_SYS_PERF,MEDIUM,HIGH,"체계적 학습 오류로 모델이 일관되게 잘못된 패턴을 학습하여 편향이 예측에 내재화되는 것은 평가가 편향을 탐지하지 못하는 문제가 아니라 학습 과정 자체의 결함이며, G_SYS_PERF_004·005(주석 결함·과적합)와 같은 학습 결함 계열에 해당함.","체계적 학습 오류로 모델이 일관되게 그릇된 패턴을 학습해 예측 자체에 편향이 내재화되는 것은 평가 방법론의 결함이 아니라 학습 과정 결함에 따른 정확성 미달로, PERF 정의(학습 과정의 결함으로 정확성 미달)와 정확히 부합한다."
3.0,YES,G_SYS_EVAL_056,하드웨어 연산·전력 요구사항 누락,G_SYS_EVAL,G_SYS_PERF,G_SYS_PERF,MEDIUM,MED,"하드웨어 연산·전력 요구사항이 용량 계획에 반영되지 않아 발생하는 성능 저하·서비스 중단은 평가·검증 활동 자체의 실패라기보다 설계·용량계획 결함에 따른 시스템 성능·신뢰성 저하로, G_SYS_PERF의 견고성·복원력 실패 계열 카드들과 성격이 더 가까움.","하드웨어 연산·전력 요구사항이 용량 계획에 반영되지 않아 성능 저하·서비스 중단이 발생한다는 내용으로, 평가·검증·감사 절차의 결함이 아니라 운용 조건(용량 계획) 미흡에 따른 시스템 성능 저하를 기술하여 PERF 정의에 더 부합한다."
2.0,YES,G_INT_UNETH_013,법적으로 허용된 의도적 동물 위해,G_INT_UNETH,G_INT_VIOL,G_INT_VIOL,MEDIUM,MED,"법적으로 허용된 방식이라도 AI가 동물에게 의도적으로 위해를 가하도록 설계되는 리스크는 G_INT_VIOL의 정의(개인·집단·동물에 대한 신체적 위해의 조장·정당화)에 동물이 명시적으로 포함되어 있어, 기만·조작 등 비폭력적 윤리 위반을 다루는 G_INT_UNETH보다 G_INT_VIOL이 더 적합함.","동물에 대한 의도적 위해 설계는 UNETH의 핵심 축(기만·조작·다크패턴·신뢰 배반)과 무관하며, VIOL의 L3 정의가 명시적으로 '개인·집단·동물에 대한 신체적·정신적 위해'를 포함하고 이미 G_INT_VIOL_002(동물 학대 콘텐츠 증폭)가 동일 축을 다루고 있어 VIOL이 정합적 귀속처이다."
2.0,NO,G_SYS_OEXT_002,학습 과정 우회,G_SYS_OEXT,G_INT_UNETH,G_SOC_CULT,HIGH,MED,"고품질 생성 모델에 대한 손쉬운 접근으로 학습자가 학습 과정을 우회하는 문제는 AI 시스템이 검증된 역량·권한을 넘어선 과제를 수행하거나 그렇게 보이도록 표상한다는 G_SYS_OEXT의 정의와 무관하며, G_INT_UNETH_003(LLM 남용에 의한 학업 부정행위)과 사실상 동일한 리스크임.","고품질 생성 모델 접근으로 학습자가 학습 과정을 우회한다는 내용은 AI가 검증된 역량·범위를 넘어 과업을 수행하거나 그렇게 보이도록 하는 OEXT의 정의와 무관하며, G_SOC_CULT_001(인지 오프로딩: 추론·기억·평가를 AI에 위임하여 독립적 인지능력 저하)과 사실상 동일한 사회적 인지역량 침식 축이다."
,A단독,A_INT_CASCADE_008,분산 에이전트 군집을 이용한 자원 고갈 공격,A_INT_CASCADE,G_SYS_SECADV,,MEDIUM,,"다수의 저자원 분산 에이전트가 결합하여 대상 시스템의 대역폭·요청량 제약을 무너뜨려 DDoS와 유사하게 마비시키는 것은 상호작용 에이전트 간 피드백 루프로 인한 창발적 연쇄 불안정(CASCADE)이 아니라 의도적인 사이버 공격이며, G_SYS_SECADV의 정의(사이버 공격으로 인한 무단 접근·조작·중단, 에이전틱 시스템으로의 침해 전이 포함)에 해당함.",
,A단독,A_SYS_AUTH_024,학습 단계의 치명적 실수,A_SYS_AUTH,G_SYS_PERF,,MEDIUM,,"안전 탐색 실패나 분포 변화 등으로 학습 단계에서 치명적 실수가 발생하는 문제는 권한 범위·자율성 과잉을 다루는 A_SYS_AUTH의 정의와 맞지 않으며, G_SYS_PERF_003(학습·운용 데이터 간 분포 이동)과 성격이 같은 학습 과정 결함에 따른 신뢰성 실패임.",
,A단독,G_SYS_CONTEXT_002,AI 의사결정 지원의 경고 피로,G_SYS_CONTEXT,G_SYS_TRANS,,MEDIUM,,"빈번하거나 우선순위가 부적절한 경고로 사용자가 중요한 경고를 무시하게 되는 '경고 피로'는 AI의 대화·상황 맥락 인식 실패가 아니라 경고·알림 인터페이스 설계와 인간 요인 간의 불일치 문제로, G_SYS_TRANS_013(AI 인터페이스와 인적 요소의 불일치)과 성격이 같음.",
