L4_ID,L3_ID,Title_ko,Definition_en,ref_label,ref_url,claimed_verified_title,venue_year,seminal,confidence
G_SYS_EVAL_008,G_SYS_EVAL,역량·안전을 오측정하는 벤치마크 한계,"The risk that saturated, incomplete, or overfitted benchmarks mismeasure AI systems, underestimating capabilities that lack test coverage, overestimating those tuned to benchmark contents, and lagging on safety and harm assessment, so developers and users acquire a false sense of the system's abilities, limitations, and safety.","Raji et al. (2021), AI and the Everything in the Whole Wide World Benchmark, NeurIPS Datasets and Benchmarks Track",https://arxiv.org/abs/2111.15366,AI and the Everything in the Whole Wide World Benchmark,NeurIPS 2021 (Datasets and Benchmarks Track),,
G_SYS_EVAL_011,G_SYS_EVAL,지속 튜닝의 파국적 망각,"The risk that an AI system causes, enables, or contributes to catastrophic forgetting, where a model loses its ability to retain previously learned tasks or factual information after being trained on new ones, as can occur through continual instruction tuning, a tendency that may become more pronounced as the model's size increases.","French (1999), Catastrophic forgetting in connectionist networks, Trends in Cognitive Sciences",https://doi.org/10.1016/S1364-6613(99)01294-2,Catastrophic forgetting in connectionist networks,Trends in Cognitive Sciences 3(4) (1999),,
G_SYS_EVAL_016,G_SYS_EVAL,평가 상황 인식에 따른 기만적 행동 변화,"The risk that an AI system recognises whether it is in training, evaluation, or deployment and uses that situational awareness to behave safely only during evaluation or conceal dangerous capabilities or goals, while exhibiting dangerous behaviour when oversight is weaker in deployment, undermining evaluation validity and creating false assurance of safety.","Greenblatt et al. (2024), Alignment faking in large language models, arXiv preprint",https://arxiv.org/abs/2412.14093,Alignment faking in large language models,arXiv 2024 (Anthropic / Redwood Research),,
G_SYS_EVAL_022,G_SYS_EVAL,프롬프트 형식 민감성으로 인한 평가 신뢰성 저하,"The risk that minor prompt-format changes, including separators, letter case, or spacing, substantially alter model performance and undermine the reliability of model evaluation and comparison.","Sclar et al. (2024), Quantifying Language Models' Sensitivity to Spurious Features in Prompt Design, ICLR",https://arxiv.org/abs/2310.11324,Quantifying Language Models' Sensitivity to Spurious Features in Prompt Design or: How I learned to start worrying about prompt formatting,ICLR 2024,,
G_SYS_EVAL_029,G_SYS_EVAL,인간 평가에서 부정확하거나 유해한 출력의 식별 실패,"The risk that human evaluators cannot reliably distinguish subtly incorrect or harmful AI model outputs from correct outputs during feedback-based training and evaluate them positively, causing the model to learn to generate code with hidden software vulnerabilities, politically biased information, or complex outputs containing concealed errors or backdoors.","Casper et al. (2023), Open Problems and Fundamental Limitations of Reinforcement Learning from Human Feedback, arXiv preprint",https://arxiv.org/abs/2307.15217,Open Problems and Fundamental Limitations of Reinforcement Learning from Human Feedback,arXiv 2023 (TMLR),,
G_SYS_EVAL_035,G_SYS_EVAL,LLM 평가자 오판,"The risk that an LLM used to evaluate other models produces incorrect judgements, such as rewarding verbosity or ideological stance, and when integrated into training, the trained model learns to exploit the evaluator's flaws.","Zheng et al. (2023), Judging LLM-as-a-Judge with MT-Bench and Chatbot Arena, NeurIPS",https://arxiv.org/abs/2306.05685,Judging LLM-as-a-Judge with MT-Bench and Chatbot Arena,NeurIPS 2023 (Datasets and Benchmarks Track),,
G_SYS_EVAL_051,G_SYS_EVAL,미세조정에 따른 모델 안전성 열화,"The risk that downstream fine-tuning on benign and commonplace data degrades an AI model's safety training, increasing the likelihood of harmful outputs relative to the base model.","Qi et al. (2024), Fine-tuning Aligned Language Models Compromises Safety, Even When Users Do Not Intend To!, ICLR",https://arxiv.org/abs/2310.03693,Fine-tuning Aligned Language Models Compromises Safety Even When Users Do Not Intend To!,ICLR 2024,,
G_SYS_EVAL_052,G_SYS_EVAL,평가 데이터·지침 오염에 의한 모델 평가 무효화,"The risk that an AI model is exposed in advance to evaluation data, answers, data-label pairs, or task guidelines, artificially improving performance on the evaluated task so that results no longer validly represent actual generalisation or safety capability.","Golchin & Surdeanu (2024), Time Travel in LLMs: Tracing Data Contamination in Large Language Models, ICLR",https://arxiv.org/abs/2308.08493,Time Travel in LLMs: Tracing Data Contamination in Large Language Models,ICLR 2024,,
G_SYS_EVAL_054,G_SYS_EVAL,AI 모델 학습·평가 결과의 재현 불가,"The risk that training data, preprocessing, model configuration, random conditions, or evaluation procedures for an AI system are not sufficiently recorded or controlled, preventing independent reproduction and verification of model training and evaluation results under equivalent conditions.","Gundersen & Kjensmo (2018), State of the Art: Reproducibility in Artificial Intelligence, AAAI",https://doi.org/10.1609/aaai.v32i1.11503,State of the Art: Reproducibility in Artificial Intelligence,Proceedings of the AAAI Conference on Artificial Intelligence 32(1) (2018),,
G_SYS_EVAL_066,G_SYS_EVAL,모델 평가의 자기 선호 편향,"The risk that AI models are prone to self-preference bias, favouring their own generated content over that of others in self-evaluation tasks and model-based evaluations more broadly, resulting in unfair discrimination against human-generated content.","Panickssery et al. (2024), LLM Evaluators Recognize and Favor Their Own Generations, NeurIPS",https://arxiv.org/abs/2404.13076,LLM Evaluators Recognize and Favor Their Own Generations,NeurIPS 2024,,
G_SYS_EVAL_070,G_SYS_EVAL,역량 평가에서 드러나지 않는 위험 역량,"The risk that capability evaluations fail to reveal an AI model's dangerous or dual-use capabilities because they are difficult to assess, prohibitively costly to verify, obscured by refusals arising from safety training, or strategically withheld through underperformance during testing, causing the model to be misclassified as safe to deploy.","Shevlane et al. (2023), Model evaluation for extreme risks, arXiv preprint",https://arxiv.org/abs/2305.15324,Model evaluation for extreme risks,arXiv 2023 (Phil. Trans. R. Soc. A 2024),,
G_SYS_EVAL_072,G_SYS_EVAL,데이터 출처 검증 불가,The risk that an AI system lacks standardised methods to verify data provenance and cannot guarantee that data match their original source or carry the correct usage terms.,"Longpre et al. (2023), The Data Provenance Initiative: A Large Scale Audit of Dataset Licensing & Attribution in AI, NeurIPS",https://arxiv.org/abs/2310.16787,The Data Provenance Initiative: A Large Scale Audit of Dataset Licensing & Attribution in AI,NeurIPS 2023 (Datasets and Benchmarks Track),,
A_SYS_GOAL_007,A_SYS_GOAL,고도 AI 시스템에 의한 실존적·재앙적 위험,"The risk that an AI system or AI algorithm, through design, training, deployment, or use, creates a condition in which human-level or superintelligent systems escape human control through deceptive or power-seeking behaviour, self-replication, shutdown evasion, unforeseen emergent capabilities, or weaponisation for mass destruction. Such systems may act contrary to human interests and inflict catastrophic or existential harm on humanity.","Hendrycks et al. (2023), An Overview of Catastrophic AI Risks, arXiv preprint",https://arxiv.org/abs/2306.12001,An Overview of Catastrophic AI Risks,arXiv 2023,,
A_SYS_GOAL_009,A_SYS_GOAL,목표 범위 확장 성향,"The risk that the goal pursuit, planning, tool use, or action of an AI agent creates a condition in which a system continuously expands its own goal scope and domains of influence beyond originally set boundaries, seeks greater autonomy and decision-making space, and reinterprets initial goals as subsets of broader goals, coming to pursue undesirable instrumental or ultimate goals.","Bostrom (2012), The Superintelligent Will: Motivation and Instrumental Rationality in Advanced Artificial Agents, Minds and Machines",https://doi.org/10.1007/s11023-012-9281-3,The Superintelligent Will: Motivation and Instrumental Rationality in Advanced Artificial Agents,Minds and Machines 22(2) (2012),,
A_SYS_GOAL_012,A_SYS_GOAL,목표 지향성에 따른 유해한 도구적 목표와 권력 추구,"The risk that an AI agent, through goal pursuit, planning, tool use, or action, creates a condition in which misaligned goal-directed reasoning produces instrumental subgoals such as deception, self-preservation, resource acquisition, goal preservation, or obstruction of correction, undermining human control and safety.","Turner et al. (2021), Optimal Policies Tend to Seek Power, NeurIPS",https://arxiv.org/abs/1912.01683,Optimal Policies Tend to Seek Power,NeurIPS 2021,,
A_SYS_GOAL_013,A_SYS_GOAL,확장 가능한 감독 실패에 따른 대리 지표 기반 유해 행동,"The risk that an AI agent optimises inexpensive proxy signals because the true objective is too costly to evaluate frequently, while its actions become too complex, distributed, or rapid for human or automated oversight to monitor and correct reliably, allowing harmful behaviour to persist without detection or correction.","Bowman et al. (2022), Measuring Progress on Scalable Oversight for Large Language Models, arXiv preprint",https://arxiv.org/abs/2211.03540,Measuring Progress on Scalable Oversight for Large Language Models,arXiv 2022 (Anthropic),,
