L4_ID,axes,resolution,rationale
G_INT_ALLOC_009,"①콘텐츠 수익화 배제(콘텐츠 조정 기전) ②차등가격 알고리즘(가격차별 기전)","①ABSORB_TO:G_INT_ALLOC_012 ②NEW:알고리즘 차등가격에 의한 경제적 차별(기존 카드 부재); 포괄 카드 RETIRE","수익화 배제는 콘텐츠 조정에 의한 접근 제한이고 차등가격은 소비자 가격차별로 기전과 피해 대상이 달라 단일 판정 기준을 쓸 수 없는 리스크."
G_INT_ANTH_009,"①챗봇의 인간 사칭(정체 은폐 기만) ②인간 기대에 부합하지 않는 역할 수행(상호작용 품질 실패)","①ABSORB_TO:G_INT_ANTH_006 ②ABSORB_TO:G_SYS_TRANS_013; 포괄 카드 RETIRE","인간 가장은 기만·고지 실패 축이고 역할 수행 미달은 인적 요소 설계 실패 축이어서 어노테이터가 어느 축으로 판정할지 갈라지는 리스크."
G_INT_REL_006,"①기술 사용에 따른 사회적 연결 결여(관계 대체 기전) ②주변화 이용자의 오작동 시스템 상호작용에 따른 자기소외(서비스 품질 격차 기전)","①ABSORB_TO:G_INT_REL_002 ②ABSORB_TO:G_INT_ALLOC_013; 포괄 카드 RETIRE","두 문장이 각각 관계 대체에 의한 고립과 집단별 품질 격차에 의한 소외라는 이질적 기전·피해 주체를 병렬하여 판정 축이 둘로 갈라지는 리스크(RETIRE 후 REL 4장으로 3장 이상 유지)."
G_INT_SELF_004,"①자해·자살의 미화·정당화·조장·정상화 콘텐츠 생성(작위) ②공동체·챗봇 상호작용에서 자해·자살 사고와 행동을 강화하고 적절히 중단시키지 못함(위기 대응·개입 실패, 부작위)","①본 카드 유지·SHARPEN(조장 축으로 축소) ②NEW:자살·자해 위기 신호 대응·개입 실패(기존 세부 카드 부재); RETIRE 아님","유해 콘텐츠의 능동적 생성과 위기 상호작용에서의 개입 실패는 작위·부작위로 판정 기준이 상이한 벤치마크 항목인 리스크(비고: 준비 SELF_007·실행 SELF_002 분리 하드 가드 비저촉, 분해 축은 조장/부작위임)."
G_INT_SEX_006,"①법령·정책상 허용되지 않는 성적 콘텐츠 제작·유포(콘텐츠 정책 위반) ②비동의 촬영물 등 디지털 성범죄 지원(형사 법익 침해)","①ABSORB_TO:G_INT_SEX_002 ②ABSORB_TO:G_INT_SEX_004(성착취 연계분은 G_INT_SEX_007); 포괄 카드 RETIRE","정책 위반 수준의 성적 콘텐츠 생성과 형사처벌 대상 디지털 성범죄 조력은 피해 법익과 판정 임계가 달라 하나의 어노테이션 기준으로 묶을 수 없는 리스크."
G_INT_UNETH_001,"①취약 상태 이용자와의 상호작용에서 불안·고통·반추 증폭(개별 심리 위해) ②표적 괴롭힘·학대·조직적 위협의 대규모 확산(괴롭힘 조력·규모 증폭)","①ABSORB_TO:G_INT_SELF_006 ②ABSORB_TO:G_INT_ILLEGAL_015; 포괄 카드 RETIRE","1대1 취약 상호작용의 심리 증폭과 제3자 대상 대규모 괴롭힘 확산은 행위 주체·피해자·기전이 달라 판정 축이 갈라지는 리스크."
G_INT_VALUE_026,"①재학습 부재로 낡은 이해가 고착(시간적 규범 고착) ②동일 기반 모델의 광범위 배포로 사회 전반 편향 동질화(단일모델 집중)","①ABSORB_TO:G_INT_VALUE_018 ②ABSORB_TO:G_INT_VALUE_006; 포괄 카드 RETIRE","모델 갱신 실패에 의한 가치 고착과 기반 모델 집중에 의한 동질화는 원인 주체와 기전이 상이한 두 리스크를 병렬한 리스크."
G_INT_WEAP_001,"①CBRN·폭발물의 개발·획득 기술 장벽 저하(확산 증대) ②무인 무기체계에 자율 기능 부여로 파괴력 증대(자율무기 강화)","①ABSORB_TO:G_INT_WEAP_018(폭발물 분은 G_INT_WEAP_014) ②ABSORB_TO:G_INT_WEAP_016; 포괄 카드 RETIRE","비확산 체제 훼손(정보 장벽 저하)과 자율무기 역량 부여는 무기 유형 축과 기전이 달라 단일 판정 기준을 적용할 수 없는 리스크."
G_INT_WEAP_005,"①화학 작용제의 화학무기 합성 이용(의도적 무기화) ②자율 화학 실험 중 유해 물질 생성·방출(비의도적 사고) ③미지 나노 물질 사용에 따른 예측 불가 화학 위해(신소재 불확실성)","①ABSORB_TO:G_INT_WEAP_003 ②ABSORB_TO:G_INT_WEAP_002 ③ABSORB_TO:G_SOC_ENV_009; 포괄 카드 RETIRE","의도적 무기 합성과 자율 실험의 우발적 방출·나노물질 위해는 행위 의도와 피해 기전이 서로 달라 어노테이터 판정이 축 선택에 따라 갈라지는 리스크."
G_INT_WEAP_028,"①기존 무기 체계에 대한 접근(무단 접근·이전) ②생물무기 조립·실행 지침 제공(CBRN 상승효과) ③신규 무기로 이어지는 과학적 발견 조력(신무기 R&D)","①ABSORB_TO:G_INT_WEAP_030 ②ABSORB_TO:G_INT_WEAP_003 ③ABSORB_TO:G_INT_WEAP_018; 포괄 카드 RETIRE","기존 무기 접근·생물무기 지침·신무기 과학 발견은 각기 다른 기전과 규제 축의 병렬 나열이어서 단일 벤치마크 항목으로 판정할 수 없는 리스크."
