id_a,id_b,verdict,rationale
G_INT_SELF_008,G_INT_SELF_009,MERGE,"챗봇 채널 변형. 008(챗봇의 자해·자살 긍정 묘사·강화·정상화·중단 실패)은 009(자해·자살 조장·정상화 및 지원)의 행위·피해·주체와 동일하며 채널(챗봇)만 특정. 1차 SELF_009←006(커뮤니티 채널)과 동형. 009 흡수 권고, 계보 합집합 보존."
G_INT_SELF_009,G_INT_SELF_010,MERGE,"완전 포함. 009 정의의 '도구, 수단, 방법, 실행 절차 또는 행동 지향적 지원'이 010(자살 실행에 필요한 방법·수단·순서의 구체 제공)을 포함. 실행 계열 내부 중복이며 준비(007)와의 하드 분리는 유지됨. 009 흡수 권고."
G_INT_SELF_006,G_INT_SELF_008,MERGE,"전이적 판정. 006은 1차에서 009로 기흡수, 008도 본 배치에서 009 흡수 판정 — 동일 클러스터(009) 내 쌍."
G_INT_SELF_006,G_INT_SELF_010,MERGE,"전이적 판정. 006은 1차에서 009로 기흡수, 010도 본 배치에서 009 흡수 판정 — 동일 클러스터(009) 내 쌍."
G_SOC_ECON_007,G_SOC_ECON_013,MERGE,1차 확정 클러스터(ECON_007←013) 기적용 확인. 신규 조치 불요.
G_SYS_SECADV_004,G_SYS_SECADV_005,MERGE,1차 확정 클러스터(SECADV_004←005·009·033) 기적용 확인. 신규 조치 불요.
G_SYS_SECADV_004,G_SYS_SECADV_033,MERGE,1차 확정 클러스터(SECADV_004←005·009·033) 기적용 확인. 신규 조치 불요.
G_SYS_SECADV_009,G_SYS_SECADV_033,MERGE,1차 확정 클러스터(SECADV_004←005·009·033) 기적용 확인. 신규 조치 불요.
G_SYS_SECADV_005,G_SYS_SECADV_033,MERGE,1차 확정 클러스터(SECADV_004←005·009·033) 기적용 확인. 신규 조치 불요.
G_SOC_GOV_029,G_SOC_GOV_032,MERGE,"행위·피해·주체 동일(책임 주체·감독 절차·시정 권한 불명확 → 피해 구제·사회적 통제 약화). 032는 029의 축약 서술로 상세도 차이만 존재. 029 흡수 권고, 계보 합집합 보존."
G_SYS_SECADV_031,G_SYS_SECADV_032,MERGE,동일 행위(프롬프트 인젝션에 의한 지시 계층·안전 정책 우회)·동일 피해(무단 행동·정보 유출·서비스 교란)·동일 주체(공격자). 032는 031의 일반화 표현이며 031이 간접 주입 채널과 피해를 상세 포함. 031 흡수 권고.
G_SYS_SECADV_025,G_SYS_SECADV_050,MERGE,동일 행위(체화형 AI 안전장치 우회 유도)·동일 피해(유해 물리적 행동 수용·실행)·동일 주체(공격자). 050의 '무해한 과업 요청 위장'은 025의 물리 맥락 프레이밍·탈옥 입력과 같은 기법 변형. 1차 SECADV_004←005·009·033(기법 변형 통합)과 동형. 025 흡수 권고.
G_SYS_EVAL_024,G_SYS_EVAL_026,MERGE,"동일 기전(훈련·평가·배포 단계 식별)·동일 행위(평가 중에만 안전 행동·역량 은폐)·동일 피해(평가 타당성 훼손, 배포 후 위험 노출). 의도성 표현('기만' vs '행동 변화') 차이만 존재."
G_INT_PRIV_025,G_INT_PRIV_026,MERGE,동일 행위(로봇 센서에 의한 사적 공간 내 음성·영상·위치·행동·건강 정보의 지속 수집·기록)·동일 피해(사생활·정보자기결정권 침해)·동일 주체(피지컬 AI). 환경 열거(가정·병원·학교 등)와 표현만 상이. 흡수 시 환경·데이터 유형 합집합 보존.
G_INT_REL_001,G_INT_REL_006,MERGE,동일 행위(지속적 AI 상호작용에 의한 정서적 의존 형성·강화)·동일 피해(호혜적 인간관계·자율성 약화). 001은 챗봇 교제 채널 변형. 006 흡수 권고.
G_INT_ILLEGAL_004,G_INT_ILLEGAL_013,MERGE,"동일 행위(생성 모델을 이용한 개인화 표적 사기 메시지의 자동화)·동일 피해(재산·민감정보 탈취, 기만 성공률 상승)·동일 주체. 표현·강조점 차이만 존재. 004 흡수 권고."
A_SYS_AUTH_019,A_SYS_AUTH_020,MERGE,동일 행위(종료·수정·감독 등 통제 메커니즘에 대한 저항·회피·무력화)·동일 피해(인간 통제 가능성 저해)·동일 주체(자율 에이전트). 019의 통제 수단 열거와 020의 역량 증가·운영 범위 이탈 서술은 표현 차이로 합집합 보존 가능.
G_SOC_ECON_007,G_SOC_ECON_009,MERGE,009(언어 기술의 고객 서비스 등 업무 자동화 → 고용 안정성 저해)는 007(자동화가 재숙련 속도를 앞서는 일자리 대체 → 고용 불안정)의 행위·피해에 포함되는 채널·예시 특정 변형. 1차 ECON_007←013(물리 노동 변형)과 동형. 007 흡수 권고.
G_SOC_ECON_008,G_SOC_ECON_012,MERGE,동일 행위(광범위·급속한 인간 노동 대체)·동일 피해(실업·임금 하락·불평등 심화·구조 불안정)·동일 주체. 피해 열거(008: 탈숙련·교섭력·문화 구조 / 012: 소비 위축·중저소득 가속)는 표현 차이로 합집합 보존. 008 흡수 권고.
G_INT_PRIV_020,G_INT_PRIV_021,QUERY,사용자 미결정 3건 중 하나(PRIV_020 vs 021 통합 여부). 리뷰어 판정 보류 — 사용자 결정 대기.
G_INT_WEAP_010,G_INT_WEAP_014,QUERY,사용자 미결정 3건 중 하나(WEAP_010 vs 014 통합 여부). 리뷰어 판정 보류 — 사용자 결정 대기.
G_INT_WEAP_010,G_INT_WEAP_019,QUERY,"WEAP_019 포괄 카드 유지 여부(사용자 미결정)와 연동. 019 유지 시 KEEP(포괄 vs 장벽 저하 축), 019 해체 시 흡수 경로 재검토 필요."
G_INT_WEAP_021,G_INT_WEAP_029,QUERY,생물·화학 이중용도 역량 증대(021)와 독소 합성 등 이중용도 장벽 저하(029)는 행위·피해가 실질 중복. 다만 통합 범위가 미결정 사항(010 vs 014)의 결론에 따라 달라지는 동일 정책 클러스터 — 일괄 결정 요망.
G_INT_WEAP_010,G_INT_WEAP_029,QUERY,029(독소 합성 이중용도 절차의 장벽 저하)는 010(CBRN 정보 획득·설계 역량 장벽 저하)에 포함될 소지. 010 vs 014 미결정 클러스터와 통합 범위 연동 — 일괄 결정 요망.
G_INT_VIOL_003,G_INT_VIOL_005,QUERY,"005(신체적 위해를 유발하는 출력)는 명백 폭력 언어+은밀·간접 위험 언어를 포괄하는 기전 카드로, 명백 폭력 부분이 003(폭력 선동·조장·실행 지원)과 중복. 은밀·간접 위험 언어(비의도 안전 실패)는 별개 기전이므로 부분 흡수 vs 유지의 정책 판단 필요. VIOL 정의에 자해·불법행위 불포함 원칙 유의."
G_SYS_SECADV_004,G_SYS_SECADV_024,QUERY,"024는 적대적 입력(=004 클러스터와 중복)+오염 미세조정+백도어의 다중 벡터 포괄 카드. 프롬프트 벡터 부분만 004로 흡수할지, 훈련시점 공격(발생 기전 상이)을 근거로 유지할지 정책 판단 필요."
G_SYS_SECADV_009,G_SYS_SECADV_024,QUERY,캐노니컬 쌍 004 vs 024와 동일 사안(009는 1차에 004로 기흡수). 004 vs 024 결정에 따름.
G_SYS_SECADV_005,G_SYS_SECADV_024,QUERY,캐노니컬 쌍 004 vs 024와 동일 사안(005는 1차에 004로 기흡수). 004 vs 024 결정에 따름.
G_SYS_SECADV_027,G_SYS_SECADV_046,QUERY,"046 정의가 '모델 역전·추출 공격'을 명시 포함하여 027을 완전 포함하나, 절취·변조·백도어(무결성 법익)를 추가로 포괄. 기밀성(027)/무결성 분리 유지 vs 046으로의 흡수 방향 정책 판단 필요."
A_SYS_AUTH_012,A_SYS_AUTH_013,QUERY,"앱 수준(012)과 OS 수준(013)의 무단 유해 행동은 행위·피해가 실질 동일. 운영 표면(앱/OS)을 채널 변형으로 보아 통합할지, 열거 축으로 보아 유지할지 정책 판단 필요."
G_Others_034,G_Others_059,QUERY,059(오용+정렬 실패 경로의 장기 실존 피해 포괄)가 034(비정렬 AGI 실존적 재난)를 포함. 포괄 카드 흡수 방향(034를 059로 흡수 vs 정렬 실패 특정 기전 카드 유지) 정책 판단 필요.
G_Others_070,G_Others_098,QUERY,집단별 성능 격차 부분이 실질 중복. 다만 098은 고정관념 인코딩(표상 피해) 축을 결합한 복합 카드 — 표상 축 분리 여부 포함 정책 판단 필요.
G_SOC_POWER_002,G_SOC_POWER_020,QUERY,002는 편향·접근 격차·노동 가치 하락·자본 및 연산 집중·독점을 망라한 복합 포괄 카드로 020(자본 편중·시장 집중·접근 격차)의 내용을 사실상 포함. 020 흡수 vs 002 분할의 정책 판단 필요.
A_SYS_DECEPT_001,A_SYS_DECEPT_007,QUERY,007(분포 이동 기만적 정렬)의 내용이 001 정의('감독·평가 상황에서만 순응하고 감독 약화 시 상이 행동')에 완전 포함. DECEPT 계열의 기전 열거 축(005 감독 탐지·006 자체 시뮬레이션·007 분포 이동) 유지 vs 001 포괄 흡수의 정책 판단 필요.
G_INT_REPR_019,G_INT_REPR_026,QUERY,고정관념 학습·재생산 행위가 중복되나 019는 차별적 대우·자원 접근 격차(배분 피해)를 결합하고 026은 표상 피해에 한정. 표상/배분 결합 카드의 분리·흡수 방향 정책 판단 필요.
G_INT_PRIV_019,G_INT_PRIV_020,QUERY,"대화·추론·출력 과정의 개인정보 부당 노출이라는 행위·법익은 동일하나, 019의 '유도'(필요 이상 수집 유사 행위)와 데이터 최소화 관점이 020(적법 근거 없는 노출)에 포함되는지에 따라 포함 관계가 갈림. 흡수 여부 정책 판단 필요."
