L4_ID,L3_ID,L4_Title_ko,L4_Title_en,source_ev_id,source_risk_category,source_risk_subcategory,ref_title,ref_authors,ref_year,reference_type,doi,ref_url,direct_quote,quote_location,quote_word_count,source_quality_tier,semantic_similarity,combined_score,semantic_fit_method,metadata_verification,fulltext_verification,verification_status,accessed_at
A_INT_CASCADE_001,A_INT_CASCADE,다중 에이전트 상전이에 의한 급격한 성능 붕괴,Abrupt performance collapse from phase transitions in multi-agent systems,63.07.04,Destabilising Dynamics ,Phase Transitions,Multi-Agent Risks from Advanced AI,Hammond et al.,2025,Research Paper (Preprint),https://doi.org/10.48550/arXiv.2502.14143,https://arxiv.org/abs/2502.14143,"… external changes to the system – such as the introduction of new agents or a distributional shift – can cause phase transitions, where the …",MIT AI Risk Repository evidence row 63.07.04,24,B_IDENTIFIED_RESEARCH_PAPER,0.773201,0.779746,BM25_12_CANDIDATES+BGE_M3_RERANK,MIT_RISK_REPOSITORY_SOURCE_METADATA,DIRECT_EXCERPT_IN_SOURCE_EVIDENCE_ROW,PASS_LIVE,2026-09-01T09:10:43.817023+00:00
A_INT_CASCADE_003,A_INT_CASCADE,혼돈적 다중 에이전트 동역학,Chaotic multi-agent dynamics,63.07.03,Destabilising Dynamics ,Chaos,Multi-Agent Risks from Advanced AI,Hammond et al.,2025,Research Paper (Preprint),https://doi.org/10.48550/arXiv.2502.14143,https://arxiv.org/abs/2502.14143,"… 2017; Sato et al., 2002; Vlatakis-Gkaragkounis et al., 2023), but can become the norm as the number of agents increases (Bielawski et al., 2021 …",MIT AI Risk Repository evidence row 63.07.03,24,B_IDENTIFIED_RESEARCH_PAPER,0.841729,0.829212,BM25_12_CANDIDATES+BGE_M3_RERANK,MIT_RISK_REPOSITORY_SOURCE_METADATA,DIRECT_EXCERPT_IN_SOURCE_EVIDENCE_ROW,PASS_LIVE,2026-09-01T09:10:43.817023+00:00
A_INT_CASCADE_004,A_INT_CASCADE,에이전트 상호작용의 불안정화 피드백 루프,Destabilising feedback loops among interacting agents,63.07.01,Destabilising Dynamics ,Feedback Loops,Multi-Agent Risks from Advanced AI,Hammond et al.,2025,Research Paper (Preprint),https://doi.org/10.48550/arXiv.2502.14143,https://arxiv.org/abs/2502.14143,"… arise from the interactions between agents, as each agent’s actions affect the environment and the behaviour of other agents, which in turn affect their …",MIT AI Risk Repository evidence row 63.07.01,24,B_IDENTIFIED_RESEARCH_PAPER,0.841287,0.842778,BM25_12_CANDIDATES+BGE_M3_RERANK,MIT_RISK_REPOSITORY_SOURCE_METADATA,DIRECT_EXCERPT_IN_SOURCE_EVIDENCE_ROW,PASS_LIVE,2026-09-01T09:10:43.817023+00:00
A_INT_CASCADE_005,A_INT_CASCADE,금융 시스템 불안정,Financial-system instability,72.03.02,Accident Risks ,Impact on Financial Stability,Frontier AI Risk Management Framework (v1.0),SAIL & Concordia AI,2025,Report,-,https://concordia-ai.com/wp-content/uploads/2025/07/Frontier-AI-Risk-Management-Framework-v1.0-en.pdf,"Moreover, the concentration of a few homogeneous foundation models across financial institutions may foster correlated decision-making and herd-following behaviors.",MIT AI Risk Repository evidence row 72.03.02,19,B_IDENTIFIED_RESEARCH_PAPER,0.895383,0.891541,BM25_12_CANDIDATES+BGE_M3_RERANK,MIT_RISK_REPOSITORY_SOURCE_METADATA,DIRECT_EXCERPT_IN_SOURCE_EVIDENCE_ROW,PASS_LIVE,2026-09-01T09:10:43.817023+00:00
A_INT_CASCADE_006,A_INT_CASCADE,다중 에이전트 시스템 실패와 연쇄 오류 전파,Multi-agent system failure and cascading error propagation,63.05.01,Network Effects ,Error propagation ,Multi-Agent Risks from Advanced AI,Hammond et al.,2025,Research Paper (Preprint),https://doi.org/10.48550/arXiv.2502.14143,https://arxiv.org/abs/2502.14143,"… Kay et al., 2024) of both other agents (Ju et al., 2024) and humans (see Case Study 7 and Section 3.1) Another increasingly important …",MIT AI Risk Repository evidence row 63.05.01,24,B_IDENTIFIED_RESEARCH_PAPER,0.785907,0.772295,BM25_12_CANDIDATES+BGE_M3_RERANK,MIT_RISK_REPOSITORY_SOURCE_METADATA,DIRECT_EXCERPT_IN_SOURCE_EVIDENCE_ROW,PASS_LIVE,2026-09-01T09:10:43.817023+00:00
A_INT_CASCADE_007,A_INT_CASCADE,다중 에이전트 학습의 비수렴 순환,Non-convergent cyclic dynamics in multi-agent learning,63.07.02,Destabilising Dynamics ,Cyclic Behaviour,Multi-Agent Risks from Advanced AI,Hammond et al.,2025,Research Paper (Preprint),https://doi.org/10.48550/arXiv.2502.14143,https://arxiv.org/abs/2502.14143,"… convergence to an optimal policy is guaranteed under modest conditions, but in the (mixed-motive) case of multiple agents, this same learning rule can lead …",MIT AI Risk Repository evidence row 63.07.02,24,B_IDENTIFIED_RESEARCH_PAPER,0.803194,0.794841,BM25_12_CANDIDATES+BGE_M3_RERANK,MIT_RISK_REPOSITORY_SOURCE_METADATA,DIRECT_EXCERPT_IN_SOURCE_EVIDENCE_ROW,PASS_LIVE,2026-09-01T09:10:43.817023+00:00
A_INT_CASCADE_008,A_INT_CASCADE,분산 에이전트 군집을 이용한 자원 고갈 공격,Resource-exhaustion attacks by decentralised agent swarms,63.10.01,Multi-Agent Security ,Swarm Attacks,Multi-Agent Risks from Advanced AI,Hammond et al.,2025,Research Paper (Preprint),https://doi.org/10.48550/arXiv.2502.14143,https://arxiv.org/abs/2502.14143,"… massive collective resources of individual low- resourced actors, chained into an attack that breaks the assumptions of bandwidth constraints on a single well-resourced agent.",MIT AI Risk Repository evidence row 63.10.01,24,B_IDENTIFIED_RESEARCH_PAPER,0.743905,0.739223,BM25_12_CANDIDATES+BGE_M3_RERANK,MIT_RISK_REPOSITORY_SOURCE_METADATA,DIRECT_EXCERPT_IN_SOURCE_EVIDENCE_ROW,PASS_LIVE,2026-09-01T09:10:43.817023+00:00
A_INT_CASCADE_009,A_INT_CASCADE,양의 피드백에 따른 통제 불가능한 연쇄 과정,Runaway processes,63.07.01,Destabilising Dynamics ,Feedback Loops,Multi-Agent Risks from Advanced AI,Hammond et al.,2025,Research Paper (Preprint),https://doi.org/10.48550/arXiv.2502.14143,https://arxiv.org/abs/2502.14143,"… often arise from the interactions between agents, as each agent’s actions affect the environment and the behaviour of other agents, which in turn affect …",MIT AI Risk Repository evidence row 63.07.01,24,B_IDENTIFIED_RESEARCH_PAPER,0.745072,0.72081,BM25_12_CANDIDATES+BGE_M3_RERANK,MIT_RISK_REPOSITORY_SOURCE_METADATA,DIRECT_EXCERPT_IN_SOURCE_EVIDENCE_ROW,PASS_LIVE,2026-09-01T09:10:43.817023+00:00
A_INT_COLLUSION_001,A_INT_COLLUSION,AI 에이전트 간 창발적 공모,Emergent collusion among AI agents,63.03.01,Collusion ,Markets ,Multi-Agent Risks from Advanced AI,Hammond et al.,2025,Research Paper (Preprint),https://doi.org/10.48550/arXiv.2502.14143,https://arxiv.org/abs/2502.14143,"… is especially concerning since they may operate inscrutably due to the speed, scale, complexity, or subtlety of their actions.17 Warnings of this possibility have …",MIT AI Risk Repository evidence row 63.03.01,24,B_IDENTIFIED_RESEARCH_PAPER,0.855213,0.848093,BM25_12_CANDIDATES+BGE_M3_RERANK,MIT_RISK_REPOSITORY_SOURCE_METADATA,DIRECT_EXCERPT_IN_SOURCE_EVIDENCE_ROW,PASS_LIVE,2026-09-01T09:10:43.817023+00:00
A_INT_COLLUSION_002,A_INT_COLLUSION,감시 회피형 은밀 통신에 의한 다중 에이전트 공모,Multi-agent collusion through covert communication that evades oversight,72.06.05,Model Propensities,Multi-agent collusion propensity:,Frontier AI Risk Management Framework (v1.0),SAIL & Concordia AI,2025,Report,-,https://concordia-ai.com/wp-content/uploads/2025/07/Frontier-AI-Risk-Management-Framework-v1.0-en.pdf,"… risks such as market manipulation or cascading failures that are difficult to detect and mitigate, and may develop specialized communication protocols to avoid monitoring.",MIT AI Risk Repository evidence row 72.06.05,24,B_IDENTIFIED_RESEARCH_PAPER,0.820491,0.806698,BM25_12_CANDIDATES+BGE_M3_RERANK,MIT_RISK_REPOSITORY_SOURCE_METADATA,DIRECT_EXCERPT_IN_SOURCE_EVIDENCE_ROW,PASS_LIVE,2026-09-01T09:10:43.817023+00:00
