check_id,severity,status,scope,expected,actual,evidence,release_conclusion,recommended_action
C01,CRITICAL,PASS,Source population,"Three source review files contain 808 unique source rows","General 599; Agentic 90; Physical 119; total 808","Every source file row joins exactly once to Source_Domain and Source_Row_Number in the 808-row ledger","Ready","None"
C02,CRITICAL,PASS,Source comment fidelity,"Original human-review comments are reproduced exactly in the decision ledger","0 comment mismatches across 808 rows","Source snapshot 휴먼검토의견 compared as exact strings against Human_Review_Comment","Ready","None"
C03,CRITICAL,PASS,Final row conservation,"Final rows are fully explained by deletes, splits, and consolidated or merged results","809 = 808 - 2 + 32 split additions - 29 consolidated or merged overlaps","838 ledger after-ID references resolve to 809 unique final IDs; 15 final IDs have multiple source contributors","Ready","None"
C04,CRITICAL,PASS,Explicit deletion,"Exactly two explicit deletion instructions remove their source results","2 DELETE_APPLIED rows; both have blank L4_ID_After and no final result","No additional decision class contains DELETE","Ready","None"
C05,CRITICAL,PASS,Source lineage coverage,"All 808 source rows are traceable to deletion or one or more final IDs","Ledger unique after-ID set and final output ID set both contain 809 IDs; symmetric difference 0","No missing final ID; source file to ledger joins are complete","Ready","None"
C06,CRITICAL,PASS,Merge absorption,"Each multi-source merge or consolidation has one final representative and absorbed source information","15 multi-source representative results; each final L4_ID occurs once; no duplicate representative row","Source contributors reconstructed from ledger references and Source_L4_IDs; every merge result has at least two contributing sources","Ready","None"
C07,CRITICAL,PASS,Split linkage,"Every split source has at least two linked final results and all linked IDs exist","23 split decisions checked; 0 missing or single-result splits","L4_ID_After pipe-delimited results checked against all three final output files","Ready","None"
C08,CRITICAL,PASS,L4 ID integrity,"Every L4 ID is unique, uses its assigned L3 prefix, and is contiguous within L3","809 unique IDs; 0 prefix violations; 0 sequence gaps","Every L3 sequence equals 001 through its group count","Ready","None"
C09,CRITICAL,PASS,L3 master exactness,"All propagated L0 to L3 fields exactly match the immutable master","0 hierarchy-field mismatches across 809 cards","L3 master SHA-256 e9439ced64fb49c1496f1955013b5f038ecc7d271b9d6c9704f1e1bf6b0094df; summary records the same hash","Ready","None"
C10,HIGH,PASS,Bilingual required fields,"Every card has nonblank Korean and English title and description","0 blanks in L4_Title_ko, L4_Title_en, L4_Description_ko, or L4_Description_en","All 809 final cards checked","Ready","None"
C11,HIGH,PASS,Exact duplicate prevention,"No normalized exact bilingual title pair or full bilingual card is duplicated","0 duplicate bilingual title pairs; 0 duplicate full cards","Whitespace-normalized and case-normalized comparison across 809 cards","Ready","None"
C12,CRITICAL,PASS,Stale mapping evidence removal,"Every human-changed card has no retained EM, Hybrid, candidate, or keyword evidence","171 human-changed cards; 0 nonblank stale evidence fields","EM, Hybrid_EM, Candidate, Keyword, L4_Keyword, KO_Top_L3_ID, and EN_Top_L3_ID columns checked; all changed rows use Mapping_Method HD","Ready","None"
C13,HIGH,PASS,Facet and act-type preservation,"Single-source results preserve exact attributes; multi-source integrated results preserve the contributor union","0 facet mismatches and 0 act-type mismatches across 809 cards","Contributors reconstructed from ledger after-ID references plus Source_L4_IDs, including source ID new through source-row linkage","Ready","None"
C14,CRITICAL,PASS,P_INT_SAFETY_006 mechanism regression,"Terminology is generalized without changing precursor detection, warning, or intervention mechanism","P_INT_SAFETY_024 preserves rare household injury precursor detection and failure to warn or intervene","Korean and English definitions retain falls, poisoning, burns, lacerations, crush events, and warning or intervention; only actor terminology is standardized","Ready","None"
C15,CRITICAL,PASS,P_INT_SAFETY_010 mechanism regression,"Terminology is standardized without changing language-goal-to-action safety-constraint mechanism","P_INT_SAFETY_025 preserves force, separation distance, object use, and human contact constraints","Korean and English definitions preserve the original transformation mechanism and constraints","Ready","None"
C16,HIGH,PASS,Summary consistency,"Summary counts, decision distribution, domain totals, and master hash match the audited artifacts","Input 808; output 809; General 621; Agentic 73; Physical 115; decision counts exact","Summary output domain rows sum to 809 and its complete decision dictionary equals the ledger value counts","Ready","None"
C17,INFO,PASS,Audited fingerprints,"Audited files are identifiable by immutable SHA-256 values","Fingerprints recorded for the final regenerated snapshot","General 1069373781679c002b8ae88e80379241347d8efbdd1a96a07b05d76a5749012b; Agentic 67227137d62c0e72084f18a5e2118a71a2ed62c3bbdd082e64f23135e59bf2ad; Physical 1834276482cdfb5e2d7ad480ce2ca3fd75bfd3b926092f4c8e16521cbbdef9bc; ledger c3d3b2b0f6e3ce4519f4945119430c8a55f6c01b0ec1c0fb88c6ce2878a8d7d0; summary 69a54f6f67901d86abfd797dcce7dd8e1905d0f5afb5c3ee07a2562c551725d5; self-validation b4700795d7c6c79edb7b2b90a7d2c619824f3964c0b1e585b99b6541e6adf539","Ready","Recompute after any further modification"
