Register_ID,Action,Target_L3_IDs,Merge_Representative_source_row_id,Split_Count,Confidence,Basis,Reviewer_Note
HR2-0004,SPLIT,G_INT_ALLOC|G_SOC_CULT|G_SYS_INPUT,,3,MEDIUM,E/S/C,"원문의 3개 기제를 분리하되 성능 child는 저자원 언어 입력 이해 실패로 좁혀야 함"
HR2-0005,MERGE,G_INT_REPR,SRC-G-0338,,MEDIUM,E/M/C,"명시 중복을 대표 카드에 통합하되 배분 결과가 있으면 별도 child 유지 필요"
HR2-0009,REMAP,G_SYS_OEXT,,,HIGH,E/L,"명시된 Over-Extension 이동이 master 범위와 일치"
HR2-0012,REMAP,G_SYS_OEXT,,,HIGH,E/L,"명시된 Over-Extension 이동이 master 범위와 일치"
HR2-0016,REMAP,G_SYS_OEXT,,,HIGH,E/L,"명시된 Over-Extension 이동이 master 범위와 일치"
HR2-0017,REMAP,G_SYS_OEXT,,,HIGH,E/L,"명시된 Over-Extension 이동이 master 범위와 일치"
HR2-0021,SPLIT,G_INT_ANTH|G_SYS_OEXT|G_SYS_OVERCONF|G_INT_REL,,4,HIGH,E/S/L,"의인화·역량 과대평가·오보정 신뢰·해로운 의존의 4개 기제를 분리"
HR2-0027,SPLIT,G_INT_COPY|G_INT_ILLEGAL,,2,HIGH,E/S/L,"저작권 침해와 기타 불법 행위를 분리"
HR2-0070,SPLIT,G_SYS_OEXT|G_INT_PRIV,,2,HIGH,E/S/L,"역량 초과 수행과 개인정보 침해를 분리"
HR2-0082,SPLIT,G_INT_REPR|G_INT_ALLOC,,2,MEDIUM,E/S/C,"고정관념과 집단별 성능·서비스 격차를 분리"
HR2-0130,REMAP,A_INT_COORD,,,HIGH,E/L,"협력 실패와 집단적으로 나쁜 결과가 Coordination Failure에 직접 부합"
HR2-0133,REMAP,G_INT_REPR,,,HIGH,E/L,"비인간화와 대상화가 재현적 피해 정의에 직접 부합"
HR2-0142,REMAP,G_SOC_CULT,,,HIGH,E/L,"도덕적 탈숙련화가 인간 전문성·지식 역량 침식에 부합"
HR2-0143,REWRITE_KEEP,G_SYS_EVAL,,,MEDIUM,E/R,"비전문가 데이터 조작을 데이터 품질 보증·검증 실패로 좁혀 유지"
