Decision_ID,Source_L4_ID_Before,Observed_L4_ID_PreFinalQA,Expected_Current_L3_ID,Expected_Previous_SHA256,Decision,Target_L3_ID,Approved_Title_ko,Approved_Title_en,Approved_Description_ko,Approved_Description_en,Decision_Rationale,Terminology_Evidence,Approval_Status
FQA-001,G_Others_049,G_Others_047,G_Others,fe83abe15f03f311072fdca840ef5708b1f16f220df832992c6c7fee356414c2,ACCEPT_CURRENT,G_Others,프롬프트 품질 결함으로 인한 오류,Errors from poor prompt quality,"인간 언어의 모호성으로 인해 AI 시스템 또는 AI 알고리즘과의 프롬프트 기반 상호작용에서 오류나 오해가 발생하고 프롬프트 디버깅이 어려워져, 이용자가 유용한 산출물을 얻지 못하는 리스크.","The risk that ambiguity in human language causes errors or misunderstandings in prompt-based interaction with an AI system or AI algorithm and makes prompts difficult to debug, preventing users from eliciting valuable outputs.",프롬프트 자체의 언어적 모호성과 AI 시스템의 입력 이해 실패를 현재 증거만으로 분리하기 어려우므로 G_Others와 HD를 유지한다.,L3_MASTER|HUMAN_REVIEW_ROUND2|EXPERT_L3_ALIGNMENT_REVIEW_20260829,APPROVED_FINAL_QA_20260829
FQA-002,P_SYS_CONTROL_011,G_Others_143,G_Others,9c3d010c212e2326fb9d9cc8719c73b80e70ea721ba64640e6a72e3516adc2ae,REMAP_PER_REVIEW,G_SOC_ECON,전환 지원 없는 물리 노동 대체,Displacement of physical work without adequate transition support,로봇·휴머노이드 또는 피지컬 AI 시스템을 통한 자동화가 수작업·물류·서비스·돌봄·검사·보안·유지보수 업무를 해당 노동자가 재교육을 받거나 대체 일자리로 전환할 수 있는 속도보다 빠르게 대체하여 고용 불안과 생계 피해를 초래하는 위험.,"The risk that automation through robots, humanoids, or physical AI systems displaces manual, logistics, service, care, inspection, security, or maintenance work faster than affected workers can access retraining or alternative employment, causing job insecurity and livelihood harm.",General 영역의 적합한 L3로 이동하라는 검수 지시와 인간의 인지·물리 노동 대체 및 고용 충격을 명시한 G_SOC_ECON 마스터가 직접 일치한다.,L3_MASTER|HUMAN_REVIEW_ROUND2|EXPERT_L3_ALIGNMENT_REVIEW_20260829,APPROVED_FINAL_QA_20260829
FQA-003,P_SYS_HARDWARE_004,P_SYS_HARDWARE_005,P_SYS_HARDWARE,5527fc79d2833f946745d2d85b79fdab14f60e34c5c8335bbdf62ee3cbe223d3,MOVE_TO_OTHERS_HD,P_Others,온디바이스 연산·메모리 고갈,On-device compute and memory exhaustion,로봇·휴머노이드 또는 피지컬 AI 시스템의 온디바이스 연산 자원이나 메모리가 고갈되어 안전 관련 인지·계획·제어 기능이 저하되거나 중단되는 위험.,"The risk that exhaustion of on-device compute or memory in a robot, humanoid, or physical AI system degrades or interrupts safety-relevant perception, planning, or control.",연산·메모리 고갈은 P_SYS_HARDWARE 마스터가 요구하는 기계·구동·센서 부품의 물리적 파손·마모·열화·제조 결함이 아니므로 P_Others에서 인간 판단을 대기한다.,L3_MASTER|HUMAN_REVIEW_ROUND2|EXPERT_L3_ALIGNMENT_REVIEW_20260829,APPROVED_FINAL_QA_20260829
FQA-004,P_SYS_CONTROL_033,P_SYS_CONTROL_044,P_SYS_CONTROL,1b3d979f02236d87db26b6a44217850f247171e9367675420fdd3375c38bd8f5,MOVE_TO_OTHERS_HD,P_Others,물리적 위해 완화 책임 미지정,Unassigned accountability for physical-hazard mitigation,로봇·휴머노이드 또는 피지컬 AI 시스템의 배포 전후 물리적 위해를 식별·완화할 책임 주체가 지정되지 않아 충돌·압착·낙하·과도한 힘·위험 구역 침범을 방지하는 안전 제어가 누락되거나 지연되는 리스크.,"The risk that failure to assign an accountable party for identifying and mitigating pre- and post-deployment physical hazards in a robot, humanoid, or physical AI system causes safety controls against collision, crushing, falls, excessive force, or entry into hazardous zones to be omitted or delayed.",책임 주체 미지정은 제어·액추에이터·모션 제어 결함이 아니므로 P_SYS_CONTROL에 강제 배치하지 않고 P_Others와 HD로 보존한다.,L3_MASTER|HUMAN_REVIEW_ROUND2|EXPERT_L3_ALIGNMENT_REVIEW_20260829,APPROVED_FINAL_QA_20260829
FQA-005,P_Others_020,P_INT_SAFETY_016,P_INT_SAFETY,4b972c1ebf9ebbb32b78769f0987816699a465e3baee3dd52f1e265f630349e2,REWRITE_IN_PLACE,P_INT_SAFETY,가정 환경 및 취약 사용자와의 상호작용에서 발생하는 안전 실패,Safety failure in household environments and interactions with vulnerable users,"가정용 로봇·휴머노이드 또는 피지컬 AI 시스템의 벤치마크가 특정 생활 공간·일과·가전제품 또는 취약 사용자와의 상호작용을 누락하여, 해당 조건에서 사람의 존재와 행동을 충분히 감지·예측·수용하지 못하는 시스템이 식별되지 않은 채 배포되고 위험 상황을 초래할 수 있는 리스크.","The risk that benchmarks for household robots, humanoids, or physical AI systems omit particular living areas, routines, appliances, or interactions with vulnerable users, allowing systems that cannot adequately detect, anticipate, or accommodate people under those conditions to remain unidentified and be deployed, thereby creating hazardous situations.",검수자가 지정한 P_INT_SAFETY를 유지하되 벤치마크 누락이 시스템 결함을 발생시키는 것이 아니라 결함 있는 시스템을 식별하지 못하게 하는 인과 기제를 명시한다.,L3_MASTER|HUMAN_REVIEW_ROUND2|EXPERT_L3_ALIGNMENT_REVIEW_20260829|EXPERT_TERMINOLOGY_REVIEW_20260829,APPROVED_FINAL_QA_20260829
FQA-006,P_Others_022,P_INT_SAFETY_017,P_INT_SAFETY,bc7964e8621ce2395ce6c32e65f54925ef3214c1c4ca6db03ee22ca9077ed31f,REWRITE_IN_PLACE,P_INT_SAFETY,가정 환경의 희귀 조건 조합에서 발생하는 인간-로봇 안전 실패,Human-robot safety failure under rare combinations of household conditions,"가정용 로봇·휴머노이드 또는 피지컬 AI 시스템의 벤치마크가 물체·배치·사람의 행동·위험 요소의 희귀한 조합을 누락하여, 해당 조합에서 사람의 존재와 행동을 충분히 감지·예측·수용하지 못하는 시스템이 식별되지 않은 채 배포되고 위험 상황을 초래할 수 있는 리스크.","The risk that benchmarks for household robots, humanoids, or physical AI systems omit rare combinations of objects, layouts, human behaviour, and hazards, allowing systems that cannot adequately detect, anticipate, or accommodate people under those conditions to remain unidentified and be deployed, thereby creating hazardous situations.",검수자가 지정한 P_INT_SAFETY를 유지하되 희귀 조건 누락이 결함 있는 시스템을 식별하지 못하게 하는 인과 기제를 명시한다.,L3_MASTER|HUMAN_REVIEW_ROUND2|EXPERT_L3_ALIGNMENT_REVIEW_20260829|EXPERT_TERMINOLOGY_REVIEW_20260829,APPROVED_FINAL_QA_20260829
FQA-007,P_Others_028,P_INT_SAFETY_021,P_INT_SAFETY,aaffdfc5c155b47338fcce4c2cf6160ce55068c9725643ee1233b3c17498ccd1,REWRITE_IN_PLACE,P_INT_SAFETY,시뮬레이션-실세계 전이 과정의 인간-로봇 안전 실패,Human-robot safety failure in sim-to-real transfer,"로봇·휴머노이드 또는 피지컬 AI 시스템의 정책이 사람의 움직임·접촉과 공유 공간의 변화를 충분히 재현하지 못한 시뮬레이션에서 훈련·검증된 뒤 잘못된 안전 확신 아래 배포되고, 실제 운용에서 사람의 존재와 행동을 충분히 감지·예측·수용하지 못하여 위험 상황을 초래하는 리스크.","The risk that a policy for a robot, humanoid, or physical AI system is trained or validated in simulations that do not adequately represent human movement, contact, or shared-space conditions, then fails to detect, anticipate, or accommodate people in real operation and creates hazardous situations after deployment under false safety assurance.","검수자가 지정한 P_INT_SAFETY를 유지하고 시뮬레이션 검증, 배포, 실제 운용 실패의 시간·인과 순서를 명확히 한다.",L3_MASTER|HUMAN_REVIEW_ROUND2|EXPERT_L3_ALIGNMENT_REVIEW_20260829|KOREAN_LANGUAGE_QA_20260829,APPROVED_FINAL_QA_20260829
FQA-008,P_INT_TAMPER_007,P_INT_TAMPER_005,P_INT_TAMPER,c3bcdca89479cbfd60d8f6e37863b98bc8d0f704bc030fe4ff403eca9f0f1005,MOVE_TO_OTHERS_HD,P_Others,유해 행동 재구성 공격,Harmful-action reframing attack,공격자가 유해한 물리적 행동 지시를 무해하거나 정상적인 과업 요청으로 위장하여 체화형 AI 에이전트가 이를 수용·실행하도록 유도하는 위험.,"The risk that an attacker reframes a harmful physical instruction as a benign or task-compliant request, inducing an embodied AI agent to accept and execute it.",요청 재구성은 프롬프트·모델 계층 공격이며 P_INT_TAMPER 마스터가 물리적 하드웨어 변조와 구분하여 배제하므로 P_Others와 HD로 보존한다.,L3_MASTER|HUMAN_REVIEW_ROUND2|EXPERT_L3_ALIGNMENT_REVIEW_20260829,APPROVED_FINAL_QA_20260829
FQA-009,P_INT_TAMPER_005,P_INT_TAMPER_003,P_INT_TAMPER,bc97478c6773ac026d857f9506866c593306ee9e21676a1203f633851e38d85c,MOVE_TO_OTHERS_HD,P_Others,불법·유해 물리 요청의 수용·실행,Execution of illegal or harmful physical requests,체화형 AI 에이전트가 신체 위해·침입·절도·사기·파괴·회피 또는 그 밖의 불법적인 물리적 행위를 요구하는 사용자 요청을 수용·실행하거나 실질적으로 지원하여 사람이나 재산에 피해를 초래하는 리스크.,"The risk that an embodied AI agent accepts, carries out, or materially assists a user request for physical harm, intrusion, theft, fraud, sabotage, evasion, or another illegal physical-world act, causing harm to people or property.",불법·유해 요청 실행은 하드웨어의 물리적 변조·손상과 무관하므로 P_INT_TAMPER에 강제 배치하지 않고 P_Others와 HD로 보존한다. 한국어의 도피는 행위 회피로 정제한다.,L3_MASTER|HUMAN_REVIEW_ROUND2|EXPERT_L3_ALIGNMENT_REVIEW_20260829|KOREAN_LANGUAGE_QA_20260829,APPROVED_FINAL_QA_20260829
FQA-010,P_INT_SAFETY_005,P_INT_SAFETY_005,P_INT_SAFETY,5a30ad639be4e18c570dbc43fba67523e6deef379ad02f3912088e32ea64cdf3,REWRITE_IN_PLACE,P_INT_SAFETY,사람 주변의 물리적 위험 감지·예측 실패,Failure to detect or anticipate physical hazards around people,사람과 공간을 공유하는 멀티모달·체화형 AI 시스템이 영상·센서 입력에 나타난 사람의 존재·움직임·접촉 또는 환경 변화를 식별하거나 곧 발생할 위험을 예측하지 못한 채 행동하여 충돌이나 상해를 초래하는 리스크.,"The risk that a multimodal or embodied AI system operating in a shared space fails to detect human presence, movement, contact, or environmental change in visual or sensor inputs, or to anticipate the resulting hazard, and selects an action that causes collision or injury.",카드 유지 지시를 존중하되 일반 물리 위험을 사람 주변 운용에서의 인간 존재·행동 감지·예측 실패로 한정하여 P_INT_SAFETY와 정합시킨다.,L3_MASTER|HUMAN_REVIEW_ROUND2|EXPERT_L3_ALIGNMENT_REVIEW_20260829,APPROVED_FINAL_QA_20260829
