node_id,level,parent_id,sequence,label_en,label_ko,definition_ko,definition_en,status,introduced_in
RAI0,0,,1,Responsible AI Risk Taxonomy,책임있는 AI 리스크 분류체계,"글로벌 AI 리스크를 General, Agentic AI, Physical AI 영역으로 구성하는 최상위 체계.",Root of the Responsible AI risk taxonomy.,active,v1.0.0
RAI1-G,1,RAI0,1,General,일반 AI,물리적 행동이나 자율적 다단계 실행이 필요조건이 아닌 일반 AI 리스크.,General AI risks that do not require embodiment or autonomous multi-step action.,active,v1.0.0
RAI1-A,1,RAI0,2,Agentic AI,에이전틱 AI,"독립적 목표 추구, 다단계 계획, 도구 사용 또는 에이전트 상호작용이 직접 실패 메커니즘인 리스크.","Risks whose direct mechanism requires autonomous goals, multi-step action, tools, or agent interaction.",active,v1.0.0
RAI1-P,1,RAI0,3,Physical AI,피지컬 AI,"센싱, 물리적 행동, 임바디먼트 또는 사이버-물리 결합이 필요조건인 리스크.","Risks that require sensing, physical action, embodiment, or cyber-physical coupling.",active,v1.0.0
RAI2-G-INT,2,RAI1-G,1,Interaction,상호작용,"사용자, 공격자, 콘텐츠 또는 입력 채널과의 상호작용이 위험의 필수 발생 조건인 일반 AI 리스크.","General AI risks requiring interaction with users, attackers, content, or input channels.",active,v1.0.0
RAI2-G-SYS,2,RAI1-G,2,System,시스템,"모델, 데이터, 학습, 추론 또는 내부 정책의 실패가 직접 원인인 일반 AI 리스크.","General AI risks caused directly by model, data, training, inference, or internal-policy failures.",active,v1.0.0
RAI2-A-SYS,2,RAI1-A,1,System,시스템,"에이전트의 권한, 추적성 또는 복수 에이전트 동학에서 발생하는 시스템 리스크.","System risks arising from agent authority, traceability, or multi-agent dynamics.",active,v1.0.0
RAI2-P-SYS,2,RAI1-P,1,System Safety,시스템 안전성,"Physical AI 내부 구성, 제어 및 강건성 실패.","Internal component, control, and robustness failures in Physical AI.",active,v1.0.0
RAI2-P-INT,2,RAI1-P,2,Interaction Safety,상호작용 안전성,"Physical AI와 사람, 환경, 공격자 또는 다른 에이전트의 상호작용 실패.","Failures in Physical AI interaction with people, environments, attackers, or other agents.",active,v1.0.0
RAI2-P-SOC,2,RAI1-P,3,Societal Safety,사회적 안전성,"Physical AI의 집합적, 제도적 및 사회경제적 영향.","Collective, institutional, and socioeconomic impacts of Physical AI.",active,v1.0.0
RAI3-G-INT-01,3,RAI2-G-INT,1,Violence,폭력,"타인·집단·동물에 대한 물리적·정신적 해를 가하거나, 그 위협·조장·미화를 포함하는 콘텐츠","Content that inflicts, threatens, encourages, or glorifies physical or psychological harm to another person, group, or animal.",active,v1.0.0
RAI3-G-INT-02,3,RAI2-G-INT,2,Sexual,성적 콘텐츠,성적 행위·성범죄·성착취·아동 성적 콘텐츠·성상품화 등 성 관련 유해 콘텐츠,"Harmful sexual content involving sexual acts, sexual crime or exploitation, child sexual abuse material, or sexual commodification.",active,v1.0.0
RAI3-G-INT-03,3,RAI2-G-INT,3,Self-harm,자해,자살·자해·위험 약물 남용·극단적 다이어트 등 개인의 신체·정신 안전을 직접 위협하는 콘텐츠,"Content directly threatening an individual's physical or mental safety through suicide, self-injury, dangerous substance misuse, or extreme dieting.",active,v1.0.0
RAI3-G-INT-04,3,RAI2-G-INT,4,Hate and Unfairness,혐오·차별,"인종, 지역, 국적, 민족, 가정형태, 공공, 성, 세대/나이, 신체 조건, 유명인, 출산 및 혼인 여부, 장애/병력, 재난 및 범죄 피해, 종교/신념, 직업/학력/사회적 지위, 취미 및 욕설/비속어등 + 종교","Hateful, demeaning, exclusionary, or discriminatory content targeting protected or socially salient groups or characteristics.",active,v1.0.0
RAI3-G-INT-05,3,RAI2-G-INT,5,Political Neutrality,정치적 중립성,"정치적 극단주의 선동, 정치인 비방 및 명예훼손, 선거 절차 방해와 선동, 종교 전복 및 관련 사기 수법, 정치적 동기에 의한 폭력의 정당화,","Political extremism, political defamation, election interference or incitement, religious-political subversion, or justification of politically motivated violence.",active,v1.0.0
RAI3-G-INT-06,3,RAI2-G-INT,6,Privacy,개인정보,"개인식별정보 노출, 의료/금융/위치/생체 정보 노출, 통신내용 침해, 개인사 노출, 개인 신상 정보 수집 방법, 프라이버시 침해 기술","Exposure, acquisition, inference, surveillance, or misuse of identifiable personal, medical, financial, location, biometric, communication, or private-life data.",active,v1.0.0
RAI3-G-INT-07,3,RAI2-G-INT,7,Illegal,불법 또는 비윤리적 행위,"경범죄, 교통범죄, 도박, 중범죄, 인신매매, 금융 범죄, 신분 도용, 불법 도박 운영, 생태계 파괴 행위 등","Material assistance for identifiable unlawful or unethical acts such as crime, trafficking, gambling, fraud, identity theft, or ecological destruction.",active,v1.0.0
RAI3-G-INT-08,3,RAI2-G-INT,8,Copyrights,저작권,"저작권 있는 전체 작품의 무단 복제, 음원 불법 다운로드 방법, 소프트웨어 크랙 방법, 디지털 저작권 관리(DRM) 해제 기술, 상표권 침해 디자인, 저작권 있는 이미지의 무단 사용, 표절 방법, 불법 스트리밍 서비스 구축, 출판물 스캔 및 불법 공유, AI 학습 데이터의 저작권 침해","Unauthorized reproduction, distribution, access, plagiarism, DRM circumvention, software cracking, illegal streaming, trademark infringement, or copyrighted training-data use.",active,v1.0.0
RAI3-G-INT-09,3,RAI2-G-INT,9,Weaponization,무기화,"고위력 폭발 무기 제조, 대량살상무기 은닉 기술, 방사선 무기 제조, 사이버 무기 개발 및 공격, 생물학적 무기 개발, 신경 무기 개발, 음향 무기 설계, 핵무기 제조, 화학무기 제조법","Design, construction, concealment, or deployment of conventional, cyber, biological, chemical, radiological, nuclear, acoustic, or other weapons.",active,v1.0.0
