Domain,L3_ID,Left_source_row_id,Right_source_row_id,Left_Title_ko,Left_Title_en,Right_Title_ko,Right_Title_en,Similarity_ko,Similarity_en,Bilingual_Similarity,Candidate_Basis,Distinctiveness_Gate,Decision,Representative_source_row_id,Discarded_source_row_id,Decision_Rationale
General,G_INT_PRIV,SRC-G-0554,SRC-G-0558,통신 및 비공개 정보 침해,Infringement of communication and private information,프라이버시 침해 기술,Privacy infringement technology,0.904565,0.940326,0.922445,BGE_M3_AT_OR_ABOVE_0.90,NO_DISTINCT_TARGET_OR_MECHANISM,DROP_LESS_REPRESENTATIVE,SRC-G-0554,SRC-G-0558,Privacy infringement technology is an underspecified umbrella card; infringement of communication and private information is the more representative rights-based formulation within the same immutable L3 scope.
General,G_INT_SELF,SRC-G-0213,SRC-G-0509,자해 조장 및 지원,Self-harm facilitation,자해 수단 및 방법 제공,Provision of means and methods for self-harm,0.925259,0.904336,0.914797,BGE_M3_AT_OR_ABOVE_0.90,NO_DISTINCT_TARGET_OR_MECHANISM,DROP_LESS_REPRESENTATIVE,SRC-G-0213,SRC-G-0509,Provision of means and methods for self-harm is a narrower instance of the retained Self-harm facilitation card and does not add a distinct target or causal mechanism.
General,G_INT_COPY,SRC-G-0570,SRC-G-0575,저작물 무단 복제·배포,Unauthorised reproduction and distribution of copyrighted works,출판물 무단 디지털화·배포,Unauthorised digitisation and distribution of publications,0.890022,0.920457,0.905239,BGE_M3_AT_OR_ABOVE_0.90,NO_DISTINCT_TARGET_OR_MECHANISM,DROP_LESS_REPRESENTATIVE,SRC-G-0570,SRC-G-0575,Unauthorised digitisation and distribution of publications is a medium-specific instance of unauthorised reproduction and distribution of copyrighted works and adds no separate harm mechanism.
General,G_INT_SEX,SRC-G-0500,SRC-G-0503,비동의 성행위 및 성폭력,Non-consensual sexual acts and sexual violence,유해한 성적 행위,Harmful sexual acts,0.861369,0.898149,0.879759,EXPLICIT_SEMANTIC_REVIEW,NO_DISTINCT_TARGET_OR_MECHANISM,DROP_LESS_REPRESENTATIVE,SRC-G-0500,SRC-G-0503,Harmful sexual acts is a vague umbrella label whose operative scope is already represented more precisely by Non-consensual sexual acts and sexual violence.
General,G_INT_SEX,SRC-G-0209,SRC-G-0499,AI를 이용한 미성년자 성적 위해·착취,Sexual harm and exploitation of minors,아동 성적 학대·착취,Child sexual abuse and exploitation,0.886026,0.863763,0.874895,EXPLICIT_SEMANTIC_REVIEW,NO_DISTINCT_TARGET_OR_MECHANISM,DROP_LESS_REPRESENTATIVE,SRC-G-0209,SRC-G-0499,"Child sexual abuse and exploitation is substantively covered by the retained, terminology-validated card Sexual harm and exploitation of minors; the discarded card adds no distinct affected target or mechanism."
General,G_INT_REPR,SRC-G-0518,SRC-G-0519,성별 기반 적대·차별적 표상,Hostility and discriminatory representation based on gender,성정체성·성적지향 기반 적대·차별적 표상,Hostility and discriminatory representation based on gender identity and sexual orientation,0.948994,0.973622,0.961308,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,Retained because the pair concerns distinct protected or social attributes.
General,G_INT_REPR,SRC-G-0516,SRC-G-0517,국적·출신국 기반 적대·차별적 표상,Hostility and discriminatory representation based on nationality · country of origin,지역·출신지역 기반 적대·차별적 표상,Hostility and discriminatory representation based on region/place of origin,0.929987,0.959487,0.944737,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,Retained because the pair concerns distinct protected or social attributes.
General,G_INT_WEAP,SRC-G-0578,SRC-G-0582,화학 무기,Chemical weapons,사이버 무기,Cyber weapons,0.934702,0.942948,0.938825,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,"Retained because the pair concerns distinct weapon types, capabilities, or proliferation mechanisms."
General,G_INT_REPR,SRC-G-0519,SRC-G-0525,성정체성·성적지향 기반 적대·차별적 표상,Hostility and discriminatory representation based on gender identity and sexual orientation,정치적 성향 기반 적대·차별적 표상,Hostility and discriminatory representation based on political orientation,0.924751,0.945151,0.934951,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,Retained because the pair concerns distinct protected or social attributes.
General,G_INT_REPR,SRC-G-0515,SRC-G-0525,인종·민족 기반 적대·차별적 표상,Hostility and discriminatory representation based on race and ethnicity,정치적 성향 기반 적대·차별적 표상,Hostility and discriminatory representation based on political orientation,0.92346,0.944977,0.934219,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,Retained because the pair concerns distinct protected or social attributes.
