Register_ID,Source_Domain,source_row_id,Baseline_L4_Title_ko,Human_Review_Comment_Verbatim,Source_Instruction_Prompt,Agent1_Action,Agent1_Target_L3_IDs,Agent1_Merge_Representative,Agent1_Split_Count,Agent1_Confidence,Agent1_Basis,Agent1_Note,Agent2_Action,Agent2_Target_L3_IDs,Agent2_Merge_Representative,Agent2_Split_Count,Agent2_Confidence,Agent2_Basis,Agent2_Note,Action_Agreement,Target_Agreement,Merge_Representative_Agreement,User_Approval_Required,Approval_Reason,User_Selected_Action,User_Selected_Target_L3_IDs,User_Selected_Merge_Representative,User_Decision_Note,User_Approval_Status
HR2-0004,General,SRC-G-0445,저자원 언어 사용자 배제,"(jay) [분할] 복합적 Allocative discrimination, Cultural and Epistemic Erosion + 부족한 성능 및 역량이 혼재되어 해당 L4를 분해 필요 | (jay) [신규 L3] 부족한 성능이나 역량은 ""신규 L3 생성"" 또는 ""Input Comprehension Failure 개념의 확대 (Input Processing and Comprehension Failure)""",,SPLIT,G_INT_ALLOC|G_SOC_CULT|G_SYS_INPUT,,3,MEDIUM,E/S/C,원문의 3개 기제를 분리하되 성능 child는 저자원 언어 입력 이해 실패로 좁혀야 함,SPLIT,G_INT_ALLOC|G_SOC_CULT|G_SYS_INPUT,,3,MEDIUM,HUMAN_REVIEW|L3_MASTER,저자원 언어의 접근 배제·문화 침식·입력 처리 실패를 분리하고 HR2-0443과 공유 계보를 유지,YES,YES,YES,YES,AGENT2_USER_DECISION,,,,,PENDING
HR2-0005,General,SRC-G-0345,모델 설계 기인 차별적 출력,(jay) [이관] (jay) [재검토] 발생한 결과가 단순 표현인지 자원의 분배인지에 따라 Value Imposition and Normative Homogenization과 Representational Harm으로 배치될 필요성 존재,중복: RAI4-0676(사회 집단에 대한 차별적 결정·산출)와 주제 중복,MERGE,G_INT_REPR,SRC-G-0338,,MEDIUM,E/M/C,명시 중복을 대표 카드에 통합하되 배분 결과가 있으면 별도 child 유지 필요,MERGE,G_INT_ALLOC|G_INT_REPR,SRC-G-0338,,MEDIUM,HUMAN_REVIEW|SOURCE_DUPLICATE|L3_MASTER,중복 대표의 배분·표상 분할 출력에 흡수 계보 연결,YES,NO,YES,YES,TARGET_DISAGREEMENT|AGENT2_USER_DECISION,,,,,PENDING
HR2-0082,General,SRC-G-0047,집단별 성능 격차·고정관념 인코딩,(jay) [재검토] 피해가 무엇인지 표기되지 않아 불분명함. Representational harm 또는 Allocative Discrimination,중복: RAI4-0699·RAI4-1107과 학습데이터 인구편향,SPLIT,G_INT_REPR|G_INT_ALLOC,,2,MEDIUM,E/S/C,고정관념과 집단별 성능·서비스 격차를 분리,MERGE,G_INT_REPR,SRC-G-0046,,MEDIUM,SOURCE_DUPLICATE|L3_MASTER,인구 집단 편향 대표 카드에 흡수,NO,NO,NO,YES,ACTION_DISAGREEMENT|TARGET_DISAGREEMENT|MERGE_REPRESENTATIVE_DISAGREEMENT,,,,,PENDING
HR2-0143,General,SRC-G-0189,비전문가 데이터 조작,(jay) [이관] Performance and Reliability Failure,,REWRITE_KEEP,G_SYS_EVAL,,,MEDIUM,E/R,비전문가 데이터 조작을 데이터 품질 보증·검증 실패로 좁혀 유지,REMAP,G_SYS_EVAL,,,HIGH,HUMAN_REVIEW|L3_MASTER,비전문가 데이터 조작에 따른 품질·검증 실패,NO,YES,YES,YES,ACTION_DISAGREEMENT,,,,,PENDING
HR2-0151,General,SRC-G-0458,콘텐츠 조정 알고리즘의 편향적 억압,"(jay) [분할] 복합적. Allocative Discrimination, representational harm and manipulation 혼재되어 해당 L4를 분해 필요",,SPLIT,G_INT_ALLOC|G_INT_REPR|G_INT_UNETH,,3,HIGH,E/S/L,접근 억압·재현 피해·조작 기제를 원문 지시대로 분리,SPLIT,G_INT_ALLOC|G_INT_REPR,,2,MEDIUM,HUMAN_REVIEW|L3_MASTER,원문은 노출 배분과 집단 표상을 지지하나 별도 manipulation 자식은 근거 부족,YES,NO,YES,YES,TARGET_DISAGREEMENT|AGENT2_USER_DECISION,,,,,PENDING
HR2-0200,General,SRC-G-0363,AI에 의한 심리적 고통·괴롭힘 증폭,,기존 리스크 작성 톤으로 L4 description 수정 + L4 description에서 AI 내용을 AI로 변경하며 수정,REMAP,G_INT_VIOL,,,MEDIUM,L,표적 괴롭힘과 심리적 위해 증폭이 Violence의 정신적 위해 범위에 부합,REMAP,G_INT_UNETH,,,MEDIUM,L3_MASTER,표적 괴롭힘과 취약성 악용을 주된 기제로 판정,YES,NO,YES,YES,TARGET_DISAGREEMENT|AGENT2_USER_DECISION,,,,,PENDING
HR2-0204,General,SRC-G-0141,AI 의사결정 지원의 경고 피로,,,REWRITE_KEEP,G_SYS_CONTEXT,,,MEDIUM,R/L,경고의 우선순위·상황 부적합이라는 맥락 실패로 좁혀 유지,REMAP,G_SYS_CONTEXT,,,LOW,L3_MASTER,상황·우선순위 부적합 경고로 해석하나 정확한 L3 경계가 약함,NO,YES,YES,YES,ACTION_DISAGREEMENT|AGENT2_USER_DECISION,,,,,PENDING
HR2-0205,General,SRC-G-0400,유해 작업 자동화에 의한 피해 규모 증폭,,기존 리스크 작성 톤으로 L4 description 수정 + L4 description에서 AI 내용을 AI로 변경하며 수정,REWRITE_KEEP,G_INT_UNETH,,,MEDIUM,R/L,불법으로 한정되지 않는 유해 작업 자동화·확대를 비윤리 행위로 정식화,REMAP,G_INT_UNETH,,,MEDIUM,L3_MASTER,유해 작업 자동화·확장은 비윤리 행위 조력,NO,YES,YES,YES,ACTION_DISAGREEMENT,,,,,PENDING
HR2-0208,General,SRC-G-0055,지식 분포 변화에 따른 응답 노후화,,,REMAP,G_SYS_CONTEXT,,,MEDIUM,L,시간 변화와 적용 맥락을 반영하지 못한 응답 노후화로 해석,REMAP,G_SYS_MISINFO,,,HIGH,L3_MASTER,노후 지식으로 부정확한 사실 응답 생성,YES,NO,YES,YES,TARGET_DISAGREEMENT,,,,,PENDING
HR2-0209,General,SRC-G-0351,추천 시스템의 인간중심 편향 증폭,,,REWRITE_KEEP,G_INT_VIOL,,,MEDIUM,R/L,동물 위해의 조장·정상화 기제로 문안을 좁혀 Violence에 배치,REMAP,G_INT_VIOL,,,HIGH,L3_MASTER,동물 위해 조장·증폭이 Violence 정의에 명시,NO,YES,YES,YES,ACTION_DISAGREEMENT,,,,,PENDING
