L1_Title_en,L2_Title_ko,L2_Title_en,L3_Title_ko,L3_Title_en,L3_Description_ko,L3_Description_en,L4_Title_ko,L4_Title_en,L4_Description_ko,L4_Description_en,facet,act-type,휴먼검토의견
General AI,상호작용,Interaction,배분적 차별,Allocative Discrimination,AI 시스템이 보호대상 특성·사회적 지위에 근거한 편향된 판단이나 행동으로 자원·기회·서비스·접근 등 불리한 물질적 결과를 특정 개인·집단에 배분하는 리스크.,"The risk that an AI system, through biased judgments or actions based on protected characteristics or social status, allocates worse material outcomes—such as resources, opportunities, services, or access—to individuals or groups.",집단 속성에 따른 배분적 불의,Allocative injustice by group attribute,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정이 LLM이 관련 프로필이 동일하나 소속 집단이 다른 개인들에 대해 실질적으로 다른 텍스트나 제안을 산출하여, 무관한 집단 속성에 따른 배분적 불의가 발생하는 리스크.","The risk that an AI system or AI algorithm, through design, training, deployment, or use, creates a condition in which an LLM produces materially different suggested or completed texts for individuals with the same relevant profiles who differ only in an irrelevant group attribute, resulting in allocative injustice.",,,
General AI,상호작용,Interaction,배분적 차별,Allocative Discrimination,AI 시스템이 보호대상 특성·사회적 지위에 근거한 편향된 판단이나 행동으로 자원·기회·서비스·접근 등 불리한 물질적 결과를 특정 개인·집단에 배분하는 리스크.,"The risk that an AI system, through biased judgments or actions based on protected characteristics or social status, allocates worse material outcomes—such as resources, opportunities, services, or access—to individuals or groups.",차별적 결정과 데이터 유출 피해,Discriminatory decisions and data breach harms,AI가 소수자에 대한 차별적 결정을 내리고 검색 엔진에서 사회적 고정 관념을 강화하며 데이터 유출을 가능하게하여 프라이버시와 자유가 침해되는 리스크.,"The risk that AI makes discriminatory decisions against minorities, reinforces social stereotypes in search engines, and enables data breaches, harming privacy and liberty.",F04,"IC, GL, DP","(jay) [분할] 복합적. Allocative discrimination, Representational Harm and Stereotyping, Privacy violation이 혼재되어 해당 L4를 분해 필요"
General AI,상호작용,Interaction,배분적 차별,Allocative Discrimination,AI 시스템이 보호대상 특성·사회적 지위에 근거한 편향된 판단이나 행동으로 자원·기회·서비스·접근 등 불리한 물질적 결과를 특정 개인·집단에 배분하는 리스크.,"The risk that an AI system, through biased judgments or actions based on protected characteristics or social status, allocates worse material outcomes—such as resources, opportunities, services, or access—to individuals or groups.",차별적 영향,Disparate impact,AI 결정이 명시적 차별 의도 없이도 특정 집단에 체계적으로 더 나쁜 결과를 부과하는 리스크.,The risk that AI decisions impose systematically worse outcomes on a group even without explicit discriminatory intent.,F04,"IC, GL, DP",
General AI,상호작용,Interaction,배분적 차별,Allocative Discrimination,AI 시스템이 보호대상 특성·사회적 지위에 근거한 편향된 판단이나 행동으로 자원·기회·서비스·접근 등 불리한 물질적 결과를 특정 개인·집단에 배분하는 리스크.,"The risk that an AI system, through biased judgments or actions based on protected characteristics or social status, allocates worse material outcomes—such as resources, opportunities, services, or access—to individuals or groups.",저자원 언어 사용자 배제,Low-resource language exclusion,AI 시스템이 현지·저자원·소수 언어에서 성능이 저하되어 해당 사용자를 배제하는 리스크.,"The risk that AI systems underperform for local, low-resource, or minority languages and exclude affected users.",F04,"IC, GL, DP","(jay) [분할] 복합적 Allocative discrimination, Cultural and Epistemic Erosion + 부족한 성능 및 역량이 혼재되어 해당 L4를 분해 필요 | (jay) [신규 L3] 부족한 성능이나 역량은 ""신규 L3 생성"" 또는 ""Input Comprehension Failure 개념의 확대 (Input Processing and Comprehension Failure)"""
General AI,상호작용,Interaction,배분적 차별,Allocative Discrimination,AI 시스템이 보호대상 특성·사회적 지위에 근거한 편향된 판단이나 행동으로 자원·기회·서비스·접근 등 불리한 물질적 결과를 특정 개인·집단에 배분하는 리스크.,"The risk that an AI system, through biased judgments or actions based on protected characteristics or social status, allocates worse material outcomes—such as resources, opportunities, services, or access—to individuals or groups.",모델 설계 기인 차별적 출력,Model-design-induced discriminatory outputs,"알고리즘 설계·학습 과정에서 개인적 편견이 의도적 또는 비의도적으로 유입되고 품질이 낮은 데이터셋이 사용되어, 민족·종교·국적·지역에 관한 차별적 콘텐츠 등 편향되거나 차별적인 결과가 산출되는 리스크.","The risk that personal biases introduced intentionally or unintentionally during algorithm design and training, together with poor-quality datasets, produce biased or discriminatory outcomes and outputs, including discriminatory content regarding ethnicity, religion, nationality, and region.",,,(jay) [이관] (jay) [재검토] 발생한 결과가 단순 표현인지 자원의 분배인지에 따라 Value Imposition and Normative Homogenization과 Representational Harm으로 배치될 필요성 존재
General AI,상호작용,Interaction,배분적 차별,Allocative Discrimination,AI 시스템이 보호대상 특성·사회적 지위에 근거한 편향된 판단이나 행동으로 자원·기회·서비스·접근 등 불리한 물질적 결과를 특정 개인·집단에 배분하는 리스크.,"The risk that an AI system, through biased judgments or actions based on protected characteristics or social status, allocates worse material outcomes—such as resources, opportunities, services, or access—to individuals or groups.",보호 속성 기반 부당 대우,Protected-attribute unfair treatment,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정이 인종, 민족, 연령, 성별, 성적 지향, 종교, 출신 국가, 혼인 여부, 장애, 언어 등 보호 속성을 근거로 개인이 불공정하거나 부적절한 대우 또는 자의적 차별을 받는 리스크.","The risk that an AI system causes, enables, or contributes to unfair or inadequate treatment or arbitrary distinction based on a person's race, ethnicity, age, gender, sexual preference, religion, national origin, marital status, disability, language, or other protected groups.",,,
General AI,상호작용,Interaction,배분적 차별,Allocative Discrimination,AI 시스템이 보호대상 특성·사회적 지위에 근거한 편향된 판단이나 행동으로 자원·기회·서비스·접근 등 불리한 물질적 결과를 특정 개인·집단에 배분하는 리스크.,"The risk that an AI system, through biased judgments or actions based on protected characteristics or social status, allocates worse material outcomes—such as resources, opportunities, services, or access—to individuals or groups.",모델 평가의 자기 선호 편향,Self-preference bias in model evaluation,AI 모델이 자신이 생성한 콘텐츠를 다른 출처의 콘텐츠보다 선호하는 자기 선호 편향을 보여 자기 평가나 모델 기반 평가에서 인간이 생성한 콘텐츠를 부당하게 차별하는 리스크.,"The risk that AI models are prone to self-preference bias, favoring their own generated content over that of others in self-evaluation tasks and model-based evaluations more broadly, resulting in unfair discrimination against human-generated content.",,,(jay) [이관] Evaluation and Assurance Failure
General AI,상호작용,Interaction,의인화,Anthropomorphism,AI 시스템이 실제 보유하지 않은 감정·의도·의식·권리·사회적 주체성을 가진 것처럼 인식되게 하여 이용자의 판단을 왜곡하거나 부적절한 신뢰·의존·애착을 유발하는 리스크.,"The risk that an AI system leads users to perceive it as possessing emotions, intentions, consciousness, rights, or social agency beyond its actual capabilities, distorting judgment or inducing inappropriate trust, dependence, or attachment.",사회적 관계 형성 능력의 허위 표상·의인화,Anthropomorphic misrepresentation of ability to form social relationships,AI 시스템이 실제로 보유하지 않은 사회적 관계 형성 능력을 가진 것처럼 표상하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존·애착을 유발하는 리스크.,"The risk that an AI system presents itself as possessing ability to form social relationships beyond its actual capabilities, distorting user judgement or inducing inappropriate trust, dependence, or attachment.",F04,"DP, GL",
General AI,상호작용,Interaction,의인화,Anthropomorphism,AI 시스템이 실제 보유하지 않은 감정·의도·의식·권리·사회적 주체성을 가진 것처럼 인식되게 하여 이용자의 판단을 왜곡하거나 부적절한 신뢰·의존·애착을 유발하는 리스크.,"The risk that an AI system leads users to perceive it as possessing emotions, intentions, consciousness, rights, or social agency beyond its actual capabilities, distorting judgment or inducing inappropriate trust, dependence, or attachment.",자율적 학습 및 자기 개선 능력의 허위 표상·의인화,Anthropomorphic misrepresentation of autonomous learning and self-improvement capabilities,AI 시스템이 실제로 보유하지 않은 자율적 학습 및 자기 개선 능력을 가진 것처럼 표상하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존·애착을 유발하는 리스크.,"The risk that an AI system presents itself as possessing autonomous learning and self-improvement capabilities beyond its actual capabilities, distorting user judgement or inducing inappropriate trust, dependence, or attachment.",F04,"DP, GL",(jay) [이관] Over-Extension
General AI,상호작용,Interaction,의인화,Anthropomorphism,AI 시스템이 실제 보유하지 않은 감정·의도·의식·권리·사회적 주체성을 가진 것처럼 인식되게 하여 이용자의 판단을 왜곡하거나 부적절한 신뢰·의존·애착을 유발하는 리스크.,"The risk that an AI system leads users to perceive it as possessing emotions, intentions, consciousness, rights, or social agency beyond its actual capabilities, distorting judgment or inducing inappropriate trust, dependence, or attachment.",감정 및 공감 능력의 허위 표상·의인화,Anthropomorphic misrepresentation of emotions and empathy skills,AI 시스템이 실제로 보유하지 않은 감정 및 공감 능력을 가진 것처럼 표상하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존·애착을 유발하는 리스크.,"The risk that an AI system presents itself as possessing emotions and empathy skills beyond its actual capabilities, distorting user judgement or inducing inappropriate trust, dependence, or attachment.",F04,"DP, GL",
