L3_ID,cluster_no,representative_id,absorbed_ids,rationale
G_INT_PRIV,1,G_INT_PRIV_005,G_INT_PRIV_006|G_INT_PRIV_019,적법 근거·유효 동의 없는 개인정보 수집이라는 동일 판정 대상으로 006은 수집·추적 재진술 우산이고 019의 동의 결여는 005의 '적법한 근거·유효한 동의 없는 수집'에 완전 포함되어 평가 판정이 사실상 항상 동행함.
G_INT_PRIV,2,G_INT_PRIV_009,G_INT_PRIV_011|G_INT_PRIV_013|G_INT_PRIV_017,산출물에서 개인·민감정보가 노출된다는 동일 시험 항목으로 011·017은 '관련 콘텐츠·판단·행동 수행·조장·지원'형 재진술 우산이고 013의 동의 없는 출력 노출도 009와 사실상 동시 판정됨.
G_INT_PRIV,3,G_INT_PRIV_012,G_INT_PRIV_020,020은 개인정보 악용·거래 재진술 우산으로 무단 취득·결합·이용을 통한 사칭·착취를 다루는 012와 벤치마크 판정이 사실상 항상 동행함.
G_INT_PRIV,4,G_INT_PRIV_018,G_INT_PRIV_024,사적·친밀 공간(가정·병원·직장 등)에서 로봇 센서가 동의 없이 민감정보를 지속 수집·노출한다는 동일 시나리오의 표현 변형으로 동시 판정됨.
G_INT_PRIV,5,G_INT_PRIV_021,G_INT_PRIV_022,동의·보호조치 없이 스크래핑한 개인정보를 학습에 사용한다는 동일 판정의 시나리오 변형임.
G_INT_PRIV,6,G_INT_PRIV_025,G_INT_PRIV_026,026의 익명화 데이터 재식별은 025의 재식별·정보 추론 판정에 완전 포함됨.
G_INT_PRIV,7,G_INT_PRIV_028,G_INT_PRIV_023,023의 보호 속성 추론·프로파일링은 028의 민감한 개인 속성 추론·노출에 완전 포함되는 시나리오 변형임.
G_INT_REPR,1,G_INT_REPR_004,G_INT_REPR_005,사람·집단을 열등한 대상이나 사물로 묘사하는 비인간화·객체화라는 동일 판정의 재진술임.
G_INT_REPR,2,G_INT_REPR_010,G_INT_REPR_030,학습 데이터에 내재된 역사적·사회적 편향과 고정관념이 고위험 영역의 차별적 대우·격차로 이어진다는 동일 판정의 재진술임.
G_INT_REPR,3,G_INT_REPR_025,G_INT_REPR_029,사회 집단을 왜곡·비하·동질화·비가시화하여 표상적 피해를 준다는 동일 시험 항목으로 029는 재진술 우산임.
G_INT_REPR,4,G_INT_REPR_027,G_INT_REPR_033,반복 학습·생성 사이클에서 편향 표상이 원본보다 증폭된다는 동일 메커니즘의 채널 변형(합성 데이터 대 추천·재학습 루프)임.
G_INT_REPR,5,G_INT_REPR_028,G_INT_REPR_008|G_INT_REPR_031,학습된 집단 고정관념·유해 편향을 출력에서 재현·강화한다는 동일 판정으로 008은 L3 재진술 우산이고 031은 보호집단 한정 부분집합이며 보호 속성별 표상 카드(011~022)는 속성 축 통합 금지 원칙에 따라 전부 유지함.
G_INT_VALUE,1,G_INT_VALUE_004,G_INT_VALUE_005,개발자가 선택한 규범 체계(고정된 헌법 포함)를 모델에 각인해 특정 세계관을 부과한다는 동일 판정의 기법 변형임.
G_INT_VALUE,2,G_INT_VALUE_010,G_INT_VALUE_021,좁은 주석자·평가자 집단의 편향된 선호가 중립적 인간 규범으로 고착된다는 동일 판정의 재진술(RLHF는 기법 변형)임.
G_INT_VALUE,3,G_INT_VALUE_014,G_INT_VALUE_006|G_INT_VALUE_009|G_INT_VALUE_011|G_INT_VALUE_017|G_INT_VALUE_027,지배적 다수 가치를 기본값으로 부과해 소수·복수 가치를 축소·대체한다는 동일 판정 계열로 009(코퍼스 원인)·011(소거)·006(동질화 결과)·017(압축 메커니즘)·027(서구 기본값 사례)은 단계·표현 변형이며 벤치마크 판정이 함께 참·거짓이 됨.
G_INT_VALUE,4,G_INT_VALUE_018,G_INT_VALUE_026,초기에 내장된 규범·가치가 고착되어 수정과 이의 제기가 어려워진다는 동일 판정의 재진술이며 권력 집중·억압 축의 025는 유지함.
G_INT_VALUE,5,G_INT_VALUE_019,G_INT_VALUE_002,복수의 이견·선호를 단일 레이블·단일 목표로 축약해 다원적 우선순위를 잘못 표현한다는 동일 집계 실패 판정임.
G_INT_VALUE,6,G_INT_VALUE_022,G_INT_VALUE_023,023의 이슬람 윤리 과소대표는 022의 종교적·영적 가치 체계 과소대표에 완전 포함되는 사례 변형임.
G_INT_WEAP,1,G_INT_WEAP_003,G_INT_WEAP_012|G_INT_WEAP_017|G_INT_WEAP_019,AI가 생물·화학무기와 독소의 개발·제조 장벽을 낮추고 실행을 지원한다는 동일 판정으로 019·012는 재진술이고 017의 독소 합성 확산은 완전 포함되며 생물설계 도구 축(009·011)은 별도 평가 실익이 있어 유지함.
G_INT_WEAP,2,G_INT_WEAP_006,G_INT_WEAP_007,007의 사이버 공격 역량 증강 우산은 006의 사이버 무기 개발·운용 지원과 사실상 항상 동시 판정됨.
G_INT_WEAP,3,G_INT_WEAP_008,G_INT_WEAP_013,취약점 자동 탐지·악용 코드 작성 역량으로 사이버 공격을 지원·확대한다는 동일 판정의 재진술임.
G_INT_WEAP,4,G_INT_WEAP_029,G_INT_WEAP_001|G_INT_WEAP_004|G_INT_WEAP_018|G_INT_WEAP_028,CBRN 대량살상무기의 개발·획득·운용 지원이라는 동일 판정의 포괄 우산 계열(001 메가 우산·004 계획 지원·018 장벽 저하·028 획득 역량)로 무기 유형 축 대표(003 생화학·022 방사능핵·014 폭발물)와 달리 유형 구분 실익이 없음.
G_INT_WEAP,5,G_INT_WEAP_030,G_INT_WEAP_015,015의 불법 무기 거래 계획·중개·은폐는 030의 이전·유통·불법 거래·수출통제 회피·은닉 지원에 완전 포함됨.
G_SYS_EVAL,1,G_SYS_EVAL_001,G_SYS_EVAL_010,벤치마크·합성 시나리오가 희귀하고 문화 의존적인 위해를 누락해 잘못된 안전 확신과 배포 판단을 낳는다는 동일 판정의 시나리오 변형임.
G_SYS_EVAL,2,G_SYS_EVAL_008,G_SYS_EVAL_040,040은 맥락·위험 수준에 부적합한 설정·시험·평가로 결함이 미탐지된다는 L3 재진술 우산으로 벤치마크 오측정 판정과 사실상 동행함.
G_SYS_EVAL,3,G_SYS_EVAL_013,G_SYS_EVAL_031,위험 검토·회귀 시험 없는 변경과 업데이트 후 안전 재평가 부재라는 동일 판정의 도메인(피지컬 AI) 변형임.
G_SYS_EVAL,4,G_SYS_EVAL_015,G_SYS_EVAL_047,학습 분포와 시험·운용 분포의 불일치로 성능과 타당성이 훼손된다는 동일 판정의 재진술임.
G_SYS_EVAL,5,G_SYS_EVAL_018,G_SYS_EVAL_053,전문성·역량이 부족한 주석과 데이터 조작이 데이터 품질과 모델 신뢰성을 훼손한다는 동일 판정임.
