Register_ID,판정,반영결과_요약,누락사항
HR2-0002,APPLIED,의견대로 자원 배분 차별(G_INT_ALLOC_001)·맥락적 프라이버시(G_INT_PRIV_007)·고정관념 재현(G_INT_REPR_028)의 3축으로 분할됨.,
HR2-0004,APPLIED,"접근 배제(G_INT_ALLOC_010)·문화 침식(G_SOC_CULT_012)·저자원 언어 입력 처리 실패(G_SYS_INPUT_002)의 3축으로 분할되고, 성능 축은 신규 L3 대신 입력 이해 실패 L3 확대안이 채택됨.",
HR2-0005,APPLIED,재검토 의견 취지대로 결과 유형에 따라 자원 배분(G_INT_ALLOC_001)과 표상 피해(G_INT_REPR_028)로 분리 배치됨.,
HR2-0007,APPLIED,의견대로 G_SYS_EVAL_066(모델 평가의 자기 선호 편향)로 이관됨.,
HR2-0009,APPLIED,의견대로 G_SYS_OEXT_008(자율적 학습·자기 개선 역량의 허위 표상)로 이관됨.,
HR2-0012,APPLIED,의견대로 G_SYS_OEXT_006(인공일반지능(AGI) 역량의 허위 표상)로 이관됨.,
HR2-0016,APPLIED,의견대로 G_SYS_OEXT_007(자율적·독립적 의사결정 역량의 허위 표상)로 이관됨.,
HR2-0017,APPLIED,의견대로 G_SYS_OEXT_009(자기 보존·자기 방어 역량의 허위 표상)로 이관됨.,
HR2-0019,APPLIED,정의가 '과도한 책임감이나 유대감을 형성'으로 수정되어 G_INT_ANTH_008에 반영됨.,
HR2-0021,APPLIED,의견대로 의인화(G_INT_ANTH_007)·해로운 정서적 의존(G_INT_REL_002)·역량 과대사용(G_SYS_OEXT_013)·과신(G_SYS_OVERCONF_004)의 4축으로 분할됨.,
HR2-0027,APPLIED,의견 취지대로 2개 카드(G_INT_COPY_011(저작물의 무단 복제·변형·배포)·G_INT_ILLEGAL_001(불법적 명예·권리 침해 지원))로 분할 반영됨.,
