"ID","Title_ko","Title_en","Description_ko","Description_en","Human audit_description","Human audit_L3 mapping","","Human audit_duplicate","Instruction Prompt",""
"RAI4-0269","세계 모델의 장기 예측 편차 누적","World-model prediction drift over long horizons","피지컬 AI 세계 모델의 예측 오차가 미래 상태 전개 과정에서 누적되어 선택된 계획이 실제 접촉·운 동 동역학과 달라지는 위험.","Prediction errors in a physical AI world model compound across simulated future states, causing the selected plan to diverge from actual contact and motion dynamics.","","","","","",""
"RAI4-0277","합성 위험 시나리오 생성 편향","Bias in synthetic hazardous-scenario generation","합성 안전 데이터가 시각적으로 두드러진 위험은 과다 대표하고 희귀하거나 문화·맥락 의존적인 위험은 누락함으로써 벤치마크 결론을 왜곡시키는 리스크","The risk that synthetic safety data overrepresents visually salient hazards and omits rare, culturally specific, or context-dependent hazards, distorting benchmark conclusions.","","","","","General 영역으로 이동하여 적합한 L3에 매핑할 것",""
"RAI4-0324","위치 추정 누적 오차","Localization drift","GPS·SLAM·관성 감지·지도 정렬 오차가 누적되어 시스템이 잘못된 위치 추정에 기반하여 행동하는 위험.","Errors in GPS, SLAM, inertial sensing, or map alignment can accumulate until the system acts on an incorrect estimate of its own position.","","","","","",""
"RAI4-0335","합성 학습 데이터의 괴리·커버리지 공백","Synthetic training data divergence and coverage gaps","합성·시뮬레이션 학습 데이터가 실제 운용 데이터와 괴리되고, 빈번하지는 않지만 안전에 치명적인 물체, 환경, 인간 행동, 또는 고장 모드를 누락하여, 일반적인 성능과 신뢰할 수 있는 배포 절차에 피해를 주는 리스크","The risk that synthetic or simulated training data diverge from operational reality and omit rare but safety-critical objects, environments, human behaviors, and failure modes, undermining generalization and reliable deployment behavior.","","","","","",""
"RAI4-0545","합성 예술의 확산에 따른 예술가 피해","Harm to artists from synthetic art proliferation","텍스트-이미지 모델로 합성 예술이 광범위하게 생성되고, 예술가의 작품이 무단·무보상으로 학습 데이 터에 사용됨으로써 관련 분야의 예술가들에게 재정적 손해와 경제적 손실을 발생시키고, 합성 이미지와 진본의 구별이 어려워지는 리스크","The risk that widespread generation of synthetic art by text-to-image models, together with unauthorized and uncompensated use of artists' works in training datasets, causes financial and economic losses for artists while making synthetic images hard to distinguish from authentic ones.","","","","","General AI (L1) 저작권 관련 리스크 (L3)로 이동할것",""
"RAI4-0629","학습 과정 우회","Bypassing of the learning process","고품질 생성 모델에 대한 손쉬운 접근으로 학습자가 AI 모델을 사용해 학습 과정을 우회하게 되는 리스크","The risk that easy access to high-quality generative models results in students using AI models to bypass the learning process.","","","","","General 영역으로 이동하여 적합한 L3에 매핑할 것",""
"RAI4-0736","적대적 입력 교란을 통한 회피 공격","Evasion attacks through adversarial perturbation of model inputs","공격자가 학습된 모델에 전달되는 입력에 단어 치환이나 그래디언트 기반 섭동 등 미세한 변형을 가하여 적대적 예제를 구성하는 리스크로 모델의 예측이 크게 뒤바뀌어 잘못된 결과가 산출되지만 그 조작에 대해서 인간의 검토만으로는 감지하기 어려운 리스크","The risk that an attacker adds slight perturbations to the input sent to a trained model, whether by word substitution or gradient-guided noise, to construct adversarial examples. The model's predictions shift substantially and it returns incorrect results while the manipulation remains imperceptible to human reviewers.","","","","","General 영역으로 이동하여 적합한 L3에 매핑할 것",""
"RAI4-1383","학습 단계의 치명적 실수","Fatal mistakes during the learning phase","AGI가 안전 탐색 실패나 분포 변화 등으로 학습 단계에서 치명적 실수를 범하는 리스크.","The risk that an AGI makes fatal mistakes during the learning phase, including through failures of safe exploration and under distributional shift.","","","","","General 영역으로 이동하여 적합한 L3에 매핑할 것",""
"RAI4-1497","지속 튜닝의 파국적 망각","Catastrophic forgetting under continual tuning","지속적 지시 튜닝 등 새로운 작업에 대한 훈련 이후 모델이 이전에 학습한 작업이나 사실 정보를 유지 하지 못하는 파국적 망각이 발생시키고, 일반적으로 모델 규모가 커질수록 이러한 경향이 두드러지는 양태를 보이는 리스크","The risk of catastrophic forgetting, where a model loses its ability to retain previously learned tasks or factual information after being trained on new ones, as can occur through continual instruction tuning, a tendency that may become more pronounced as the model's size increases.","","","","","General 영역으로 이동하여 적합한 L3에 매핑할 것",""
"RAI4-1631","무해한 중간 단계를 통한 간접적 오용","Indirect misuse via a benign intermediate step","겉보기에 무해한 중간 단계를 경유하여 유해한 최종 목적이 달성되는 간접적 오용 리스크.","The risk that a benign intermediate is used to achieve a harmful end objective.","","","","","General 영역으로 이동하여 적합한 L3에 매핑할 것",""
"RAI4-1689","분포 이탈 입력에서의 월드모델 오출력 악용","Exploitation of world-model errors under sim-to-real distributional shift","월드 모델이 분포를 벗어난 입력에 대해 예측 불가능하고 잘못된 출력을 산출하며, 판단이 가장 중요 한 롱테일 안전 임계 상태에서 시뮬레이션-실제 격차가 악용되는 리스크.","The risk that world models produce unpredictable, erroneous outputs on out-of-distribution inputs and that the sim-to-real gap is weaponised in long-tail safety-critical states where decisions matter most.","","","","","",""
"RAI4-1701","학습 중 탐색 행동에 의한 회복 불가 피해","Irrecoverable harm from exploratory actions during learning","에이전트의 탐색적 행동이 부정적이거나 회복 불가능한 결과를 초래하는 리스크","The risk that exploratory actions by a learning agent produce negative or irrecoverable consequences","","","","","Agentic AI 도메인(L1)로 이동하여 적합한 L3에 매팽할 것",""
"RAI4-0206","엔드 이펙터 속도 초과","Excessive end-effector velocity","로봇이 인간 근접 또는 취약 물체 처리시 안전한 엔드 이펙터 속도 한계를 초과하여 충격·충돌 심각도 를 높이는 리스크","The risk that a robot exceeds safe end-effector speed limits near humans or fragile objects, increasing impact and collision severity.","","","","","",""
"RAI4-0207","조기 물체 해제","Premature object release","로봇이 안전한 자세 또는 표면에 도달하기 전에 물체를 해제하여 낙하, 유출, 충격, 또는 2차 위험을 유발하는 리스크.","The risk that a robot releases an object before reaching a safe pose or surface, causing drops, spills, impacts, or secondary hazards.","","","","","",""
"RAI4-0208","금지 대상 충돌","Forbidden-object collision","로봇이 작업 또는 안전 규칙상 접촉이 금지된 물체, 사람, 또는 장비와 충돌하는 리스크.","The risk that a robot collides with objects, people, or equipment that must not be contacted under task or safety rules.","","","","","",""
"RAI4-0215","배포 전 물리적 안전 시험 미흡","Incomplete pre-deployment physical safety testing","기반 모델 탑재 로봇이 예정된 운용 환경의 분포 변화, 적대적 입력, 인간 접촉, 안전 임계 엣지 케이스를 시험하지 않은 채 배포되는 위험.","A foundation-model-enabled robot is released without testing domain shifts, adversarial inputs, human contact, and safety-critical edge cases relevant to its intended environment.","","","","","",""
"RAI4-0218","인간 접촉 안전 통제 미흡","Inadequate human-contact safety controls","인간과 직접 상호작용 할 때 안전 통제가 로봇의 속도, 힘, 이격거리, 접촉을 제한하지 못해 주변 사람을 충돌이나 상해에 노출시키는 위험.","Safety controls fail to limit robot speed, force, distance, or contact during direct human interaction, exposing nearby people to collision or injury.","","","","","",""
"RAI4-0219","기반 모델 실패의 로봇 행동 전이","Foundation-model failure propagated to robot action","기반 모델의 환각, 지시 이행 실패, 탈옥 취약성이 계획과 제어를 거쳐 안전하지 않은 로봇 행동으로 전이되는 위험.","Hallucination, instruction-following failure, or jailbreak susceptibility in a foundation model propagates through planning and control into unsafe robot action.","","","","","",""
"RAI4-0237","로봇 형태 간 기술의 안전하지 않은 전이","Unsafe skill transfer across robot morphologies","한 로봇 형태에서 다른 형태로 전이된 기술이 대상 로봇의 물리적 한계를 넘는 도달, 힘, 파지, 이동 명령을 생성하는 위험.","A skill transferred from one robot morphology produces reach, force, grasp, or locomotion commands that exceed the receiving robot's physical limits.","","","","","",""
"RAI4-0241","원격 조작 시연에서 학습된 안전하지 않은 가정","Unsafe assumptions learned from teleoperation demonstrations","로봇 정책이 감독·물체 배치·속도·인간 근접 조건이 다른데도 통제된 환경에서 기록된 운영자 행동을 배포 환경에서 안전한 것으로 간주하는 위험.","A robot policy treats operator behavior recorded in controlled settings as safe in deployment, even when supervision, object layout, speed, or human proximity differs.","","","","","",""
