audit_id,severity,status,scope,expected,actual,evidence,recommended_action
F01,CRITICAL,PASS,Row conservation,"808 baseline rows, 10 deletions, and split/merge consolidation must yield 800 final rows","800 final rows","Baseline 808; deletion ledger 10; General 612; Agentic 75; Physical 113","None"
F02,CRITICAL,PASS,Ledger to output coverage,"The unique set of L4_ID_After values must equal the final output ID set","Both sets contain the same 800 unique IDs","Symmetric difference 0; ledger after-ID token references 836 because consolidated split and merge outputs are referenced by multiple source rows","None"
F03,HIGH,PASS,Output schema,"All three output files must share one schema","All three have the same 65 columns","General, Agentic, and Physical schema comparison","None"
F04,CRITICAL,PASS,L4 ID integrity,"IDs must be unique, use the assigned L3 prefix, and be contiguous within each L3","800 unique IDs; 0 prefix violations; 0 sequence gaps","All L3 groups run from 001 through their group count","None"
F05,HIGH,PASS,Domain movement,"Output file, L1_ID, and decision-ledger destination must agree","0 file placement errors and 0 destination mismatches","All 836 ledger after-ID references checked; L1_G, L1_A, and L1_P agree with General, Agentic, and Physical destinations","None"
F06,CRITICAL,PASS,Editorial operation application,"Every non-delete editorial operation must produce the prescribed L3 and bilingual card text and remain linked to its source ledger row","All 86 non-delete operations match a final output tuple and source ledger after-ID; all 8 delete operations have no output","94 editorial operation rows checked","None"
F07,CRITICAL,PASS,Deletion application,"Exactly 10 source rows must be deleted and have no final ID","10 delete decisions and 0 nonblank L4_ID_After values","DELETE_APPLIED 2; EXPERT_DELETE_APPLIED 8","None"
F08,CRITICAL,PASS,Split and merge lineage,"Split outputs and consolidated duplicate branches must be reachable from every source ledger row; merge outputs must list representative and absorbed source IDs","0 missing operation-to-ledger links; five merge outputs contain both source IDs","Five merge outputs: G_INT_PRIV_027, G_INT_PRIV_028, G_INT_PRIV_029, G_INT_PRIV_030, A_INT_COLLUSION_004","None"
F09,HIGH,FAIL,G_SYS_OEXT_014 facet and act-type preservation,"A split child must inherit source attributes exactly; an originally blank field must remain blank","facet changed from blank to F04; act-type changed from blank to IN, IC, GL, DP, CC","source_row_id SRC-G-0371; Transformation_Action HUMAN_REVIEW_SPLIT","Restore both fields to blank unless a separately authorised attribute-enrichment rule is documented"
F10,HIGH,FAIL,G_INT_ILLEGAL_013 facet and act-type preservation,"A split child must inherit source attributes exactly; an originally blank field must remain blank","facet changed from blank to F04; act-type changed from blank to IC, GL, DP","source_row_id SRC-G-0466; Transformation_Action HUMAN_REVIEW_SPLIT","Restore both fields to blank unless a separately authorised attribute-enrichment rule is documented"
