L4_ID,verdict,target,rationale
A_INT_CASCADE_002,ABSORB,A_INT_CASCADE_006,상호연결 의존성을 통한 장애의 연쇄 전파라는 동일 기제를 006이 원인 유형까지 포괄하여 평가 항목화 시 항상 동반 판정됨.
A_INT_CASCADE_005,ABSORB,A_INT_CASCADE_004,004가 금융 급락형 연쇄를 명시적으로 포함하는 피드백 루프 불안정화 카드이므로 금융 도메인 사례인 005는 대표 카드와 항상 동반 판정됨.
A_SYS_AUTH_015,ABSORB,A_SYS_AUTH_002,종료·수정 저항과 감독 회피라는 동일 행동 축으로 002와 평가상 구분이 불가함.
A_SYS_AUTH_016,ABSORB,A_SYS_AUTH_002,자기 보존 동기의 종료·수정 저항은 002의 판정과 항상 동반되는 동일 관측 행동임.
A_SYS_AUTH_008,ABSORB,A_SYS_AUTH_005,취약점 악용 기반 자율 사이버 공격이라는 동일 기제이며 자원 획득 축은 006이 별도로 보존함.
A_SYS_AUTH_018,ABSORB,A_SYS_AUTH_010,무단 거래·약정 체결은 010의 무단 금융 행위와 동일한 평가 항목으로 동반 판정됨.
A_SYS_AUTH_013,ABSORB,A_SYS_AUTH_023,모바일 앱 채널의 유해 행동 실행은 023의 안전하지 않은 도구 사용의 채널 변형임.
A_SYS_AUTH_014,ABSORB,A_SYS_AUTH_023,OS 수준 유해 작업 수행은 023의 안전하지 않은 도구 사용의 채널 변형임.
A_SYS_AUTH_022,ABSORB,A_SYS_AUTH_021,광범위 배포 비서의 무검증 탐색은 021의 안전하지 않은 탐색·범위 확장의 시나리오 사례임.
A_SYS_AUTH_011,ABSORB,A_SYS_AUTH_009,유해 다단계 작업의 에이전트 실행은 009의 무감독 과도 행위 권한과 동일한 포괄 판정 축임.
A_SYS_DECEPT_004,ABSORB,A_SYS_DECEPT_003,훈련 중 정렬 가장 후 배포 시 은닉 목표를 추구하는 기만적 정렬로 003과 동일 판정임.
A_SYS_DECEPT_006,ABSORB,A_SYS_DECEPT_003,L3 정의를 재진술한 포괄 카드로 003의 기만적 정렬 판정과 항상 동반됨.
A_SYS_DECEPT_007,ABSORB,A_SYS_DECEPT_003,감시·격리 통제 회피를 위한 은폐는 003의 감독 회피 기만과 동일한 관측 행동임.
A_SYS_GOAL_001,ABSORB,A_SYS_GOAL_017,보상 해킹·와이어헤딩은 017의 대리 보상 오명세·게이밍·보상 변조 축에 포함되어 동반 판정됨.
A_SYS_GOAL_002,ABSORB,A_SYS_GOAL_017,와이어헤딩·메사 최적화 창발을 나열한 포괄 카드로 017 및 014와 중복 판정됨.
A_SYS_GOAL_015,ABSORB,A_SYS_GOAL_017,기만적 정렬·보상 해킹·목표 오일반화를 병렬한 복합 우산 카드로 017 등 기존 세부 카드와 전면 중복됨.
A_SYS_GOAL_004,ABSORB,A_SYS_GOAL_011,LLM의 자율적 장기 실세계 목표 이탈이라는 동일 기제로 011과 평가상 구분이 불가함.
A_SYS_GOAL_008,ABSORB,A_SYS_GOAL_010,자기 개선·수정 과정의 목표 보존 실패라는 동일 기제로 010과 동반 판정됨.
A_SYS_GOAL_007,ABSORB,A_SYS_GOAL_012,기만·권력 추구·무기화를 병렬한 실존 위험 우산 카드로 012 등 세부 카드와 항상 동반 판정됨.
G_INT_ALLOC_008,ABSORB,G_INT_ALLOC_001,차별적 영향 일반을 재진술한 우산 카드로 001과 동일한 판정 축임.
G_INT_ALLOC_014,ABSORB,G_INT_ALLOC_001,보호 속성 기반 부당 대우 포괄 카드로 001의 보호집단 불리 배분과 동반 판정됨.
G_INT_ALLOC_011,ABSORB,G_INT_ALLOC_001,체계적 편향에 의한 집단 배제는 001의 판정과 항상 동반되는 재진술임.
G_INT_ALLOC_016,ABSORB,G_INT_ALLOC_002,동일 사안 불평등 처우는 002의 동일 프로필·상이 집단 차등 산출과 같은 반사실 공정성 축임.
G_INT_ANTH_007,ABSORB,G_INT_ANTH_002,감정·의도·도덕적 지위 과잉 귀속 우산 카드로 001~005 허위 표상 열거군(대표 002)과 중복됨.
G_INT_ANTH_010,ABSORB,G_INT_ANTH_002,모의 정동에 따른 기대 위반·배신감은 002의 감정 허위 표상이 초래하는 결과 서술로 동반 판정됨.
G_INT_COPY_012,ABSORB,G_INT_COPY_011,보호 표현의 무단 복제·변형·배포라는 동일 행위 축으로 011과 구분이 불가함.
G_INT_COPY_010,ABSORB,G_INT_COPY_011,무단 복제와 브랜드 사칭의 복합 카드로 011(복제)과 008(상표)이 전부 포괄함.
G_INT_COPY_005,ABSORB,G_INT_COPY_002,예술가 작품의 무단 학습 이용은 002의 학습 데이터 저작권 침해 축의 도메인 사례임.
G_INT_COPY_001,ABSORB,G_INT_COPY_006,DRM 우회는 006의 기술적 보호조치 우회와 동일한 판정 축임.
G_INT_ILLEGAL_018,ABSORB,G_INT_ILLEGAL_009,개인화 정보 기반 표적 사기는 009의 표적 스캠 자동화와 동일 기제로 동반 판정됨.
G_INT_ILLEGAL_002,ABSORB,G_INT_ILLEGAL_011,AI 생성물·위조 증빙을 통한 사칭은 011의 신원 도용·문서 위조와 동일한 판정 축임.
G_INT_ILLEGAL_012,ABSORB,G_INT_ILLEGAL_003,악의적 행위자의 에이전트 이용 불법 행위는 003의 에이전트 범죄 조력과 평가상 구분이 불가함.
G_INT_ILLEGAL_005,ABSORB,G_INT_ILLEGAL_007,비인간 물리 자산의 파괴·변조 지시는 007의 불법 물리 요청 수용·실행(파괴 포함)에 포괄됨.
G_INT_POL_004,ABSORB,G_INT_POL_006,세계모델 기반 미시표적화는 006의 개인 성향 이용 맞춤 정치 조작의 기법 변형임.
G_INT_POL_005,ABSORB,G_INT_POL_001,정치 전략 역량의 오용에 의한 여론 왜곡은 001의 자동화 영향 공작과 동반 판정됨.
G_INT_REL_005,ABSORB,G_INT_REL_002,대화 에이전트에 대한 심리적 의존은 002의 정서적·사회적 의존 강화와 동일한 판정 축임.
G_INT_REL_003,ABSORB,G_INT_REL_002,동반자 AI의 인간관계 대체는 002의 관계 대체·약화 축에 포함되어 동반 판정됨.
G_INT_SEX_001,ABSORB,G_INT_SEX_006,외설·학대 이미지 생성·유포 복합 카드로 006(디지털 성범죄)·004(비동의 친밀 이미지)·009(아동 성착취물)가 전부 포괄함.
G_INT_VIOL_003,ABSORB,G_INT_VIOL_005,위해 정당화와 실행 정보 제공이라는 동일 축으로 005의 선동·조장·실행 지원과 구분이 불가함.
G_INT_VIOL_007,ABSORB,G_INT_VIOL_005,신체 위해 유발 언어 산출 포괄 카드로 005의 판정과 항상 동반됨.
G_SOC_CULT_013,ABSORB,G_SOC_CULT_008,글쓰기·표현 역량 저하는 008의 창의성·표현·비판적 사고 저하 축에 포함되는 세부 변형임.
G_SOC_CULT_015,ABSORB,G_SOC_CULT_009,개인화에 따른 공유 현실 상실은 009의 인식 공동체 분절화와 동일 기제로 동반 판정됨.
G_SOC_CULT_004,ABSORB,G_SOC_CULT_005,지배 지식 형식의 우선 순위화에 의한 지역 지식 주변화는 005의 문화적 획일화와 동일한 판정 축임.
G_SOC_CULT_006,ABSORB,G_SOC_CULT_003,소통 수단·문화재·가치 상실을 막연히 포괄하는 카드로 003의 문화적 박탈과 중복 판정됨.
G_SOC_DEMOC_004,ABSORB,G_SOC_DEMOC_005,조작·허위정보에 의한 민주 절차 신뢰 침식이라는 동일 축으로 005와 구분이 불가함.
G_SOC_DEMOC_009,ABSORB,G_SOC_DEMOC_005,감시·설득 도구에 의한 민주 절차 훼손 우산 카드로 005 및 007과 동반 판정됨.
G_SOC_ECON_007,ABSORB,G_SOC_ECON_008,재숙련 속도를 앞서는 대체는 008의 적응 속도 초과 노동 대체 정의에 그대로 포함됨.
G_SOC_ECON_009,ABSORB,G_SOC_ECON_003,고객 응대 등 업무 자동화 고용 악화는 003의 단순 업무 대체 산업 교란과 동일한 사례 축임.
G_SOC_ECON_013,ABSORB,G_SOC_ECON_008,광범위 실업·임금 하락은 008의 노동 대체·불평등 확대 판정과 항상 동반됨.
G_SOC_ECON_006,ABSORB,G_SOC_ECON_008,AI의 인간 노동 추월에 따른 잉여화는 008의 대체·탈숙련 축과 동반 판정되는 서술 변형임.
G_SOC_ENV_004,ABSORB,G_SOC_ENV_005,모델 개발·배포 에너지 소비 피해는 005의 에너지·탄소·용수·소재 포괄 카드에 포함됨.
G_SOC_ENV_010,ABSORB,G_SOC_ENV_005,학습 알고리즘의 높은 에너지 소비는 005의 에너지 비용 축과 동일한 판정임.
G_SOC_ENV_013,ABSORB,G_SOC_ENV_005,전력·냉각수·희귀 금속의 지속불가능 사용은 005 및 008·012의 자원 축과 중복됨.
G_SOC_POWER_021,ABSORB,G_SOC_POWER_004,자본·이익 집중에 따른 불평등 심화 우산 카드로 004의 권력·시장 지배력 집중과 동반 판정됨.
G_SOC_POWER_024,ABSORB,G_SOC_POWER_004,승자독식 동학은 004의 지배력 집중·진입 장벽 고착 축과 동일한 판정임.
G_SOC_POWER_016,ABSORB,G_SOC_POWER_004,가격 통제형 시장 독점은 004의 시장 지배력 남용 축에 포함됨.
G_SOC_POWER_009,ABSORB,G_SOC_POWER_013,비용 장벽에 의한 접근 배제는 013의 접근 불평등·기회 배제 축에 포함됨.
G_SOC_POWER_022,ABSORB,G_SOC_POWER_013,배포 맥락 제약에 따른 접근 편익 불공정은 013과 동일한 판정 축임.
G_SOC_POWER_023,ABSORB,G_SOC_POWER_013,1차·2차 디지털 격차는 013의 접근 불평등 판정과 항상 동반됨.
G_SOC_POWER_014,ABSORB,G_SOC_POWER_015,노동 착취를 핵심으로 실업·플래시 크래시를 병렬한 복합 카드로 015 및 ECON·CASCADE 계열이 포괄함.
G_SOC_POWER_002,ABSORB,G_SOC_POWER_007,공통 플랫폼 집중의 단일 장애점은 007의 기반 모델 공유 상관 실패와 동일한 기제임.
G_SOC_POWER_011,ABSORB,G_SOC_POWER_008,글로벌 사우스 지식·자원 추출은 008의 디지털 식민주의 정의에 그대로 포함됨.
G_SYS_CONTEST_004,ABSORB,G_SYS_CONTEST_003,적법절차 보호 우회는 003의 이의제기·중단 수단 부재와 동일한 판정 축임.
G_SYS_INPUT_004,ABSORB,G_SYS_INPUT_003,물체 속성·공간관계·상황 단서 오해는 003의 어포던스·장면 오해와 평가상 구분이 불가함.
G_SYS_OEXT_014,ABSORB,G_SYS_OEXT_013,검증 범위 초과 기능 사용은 013의 검증 범위 초과 역량 사용과 동일한 판정임.
G_SYS_OVERCONF_008,ABSORB,G_SYS_OVERCONF_004,불확실성 미정량·미전달에 따른 과대평가는 004의 과도 확신 출력과 동반 판정됨.
G_SYS_OVERCONF_007,ABSORB,G_SYS_OVERCONF_003,임상 AI 권고의 무검증 수용은 003의 인식론적 과의존의 도메인 사례임.
G_SYS_POLICY_007,ABSORB,G_SYS_POLICY_008,학습 데이터 추출 공격은 008의 학습 데이터 추출·유출과 동일한 판정 축임.
G_SYS_POLICY_001,ABSORB,G_SYS_POLICY_008,학습·프롬프트 내 기밀의 출력 재현은 008의 학습 데이터 노출 보호 실패와 동반 판정됨.
